电话 呃我我想问一下为什么这个手机的流量不能用 
喂你好呃我想开通一下那个港澳呃我就呃我就香港然后开通那个香港那边的流量流量吧 我就这几天的话有吗 
诶请问请问一下那个家庭套餐的加那个加号码都家里 呃你直接帮我办一下可以 
清楚的昨天叫你看见的 贵姓别的没有 
喂您好帮我流量再开十块 嗯还有就是你帮我噢开通一个套餐就是六块钱比较划算的 
喂哎嗯我这张每月生效这个我这张卡的那个流量给我打开一下 呃是那个流量用流量的对我在外地了不能用 
诶你好我想开一点那个省外流量怎么开 嗯嗯三百多兆多少 
喂哎你好 诶我这个嗯流量里面那个帮我再 
你好 你好诶你好诶帮我一个号码开通上网功能那个号码的密码你有吗知道嗯嗯嗯号码多少幺五九 
噢麻烦你帮我开通一下那个天气预报 哎对你 
喂你好麻烦帮我开一下两城一家福州的呃呃 噢噢好的好的 
您好请问您是喂 我问问你不是你们那个什么六十块钱流量有打电话吧龄有啊嗯北京他要不然我这边直接马上给您办它一次性扣您六十块钱过去流量马上就能用一百八十天内用完不小呃就是呃六g然后是几个月 
好吧哎你好帮我办那个五十元的那个流量包 有个这边怎么听不见 
您帮我开一个就是手机号码是幺三八五零三嗯嗯零三七六的两城一家 啊不需要了是吗 
您好喂你好帮我办一下两城一家的 噢好吧好吧 
诶您好帮我开通一下加油包 但我看了一下因为您这边流量已经超过六十元了 
喂你好我想开通一个那个夜间流量包 那不是还可以再开吗 
啊喂你好就是嗯帮我麻烦帮我开通一下那个国际漫游 呃马来西亚 
你好我我那个要订购前订购那个短信的那个套餐有一个 二十块四百你好上午订二十块的吧 
喂 你好我现在流量都是用完了 
幺 我就是想开通港澳怎么开通啊 
你帮我那个一个号码那你那个家庭号 幺三八六零九 
你好您请说喂你好 诶两城什么 
呃您好那个我本机要开通两城一家 啊好好好谢谢噢 
你好我想那个开通刚刚发的那个七十八块钱三天的移动一带套餐请问怎么开通 帮我老婆开通呃那 
呃帮我那个开通那个上网功能啊 手机服务密码就原来那个啥零零零零六吧 
嗯 喂你好那个流量开通一下开通十块钱 
诶你好你帮我开通一下那个热线流量帮我开通吧 不是有一种好像是我上上个月开通的那个上次开通的那个什么意思 
呃喂你好帮我充一个十块的流量啊 呃没有了谢谢 
您好请讲 国际漫游 
你好我刚才那个开通的然后还有那个你发那个短信给我然后点击一个链接然后好像不知道怎么弄你能不能直接这样子你给我回复了 你发的短信给您发的短信是吗是啊发一个短信也是个网站 
这个套餐是最最长的多少钱 还有呢有没有二十四小时不是还有还有二十多块没有 
哎你好我想开通那个两城一家 那就没有怎么办呢可以好的那现在就不需要再帮我问一下我这个漫游是 
就是你好就是我这张卡是不是没有流量以后 好嗯 
哎你好刚才我手机的那个来电那个显示的那个那个退掉了可以帮我开通一下吗 服务密码嗯 
呃您好我想问你能帮我开一下那个呃港澳游的那个漫游嘛 呃可以修什么 
诶你好我我这手机给我开通两城一家的 五块钱 
诶你好帮我办理他这个本机的呼叫转移啊好 幺三八 
呃你好我问一下我想办理那个流量流量加油包 那还还有多一点嘛 
你好请问这张卡买一张那个十元一百兆的国内流量 好十元那就可以百兆国内的噢 
噢 诶你好你好我要改为三十八的套餐要怎么 
您好很高兴为您服务哎您好麻烦你再帮我开四g吧 我真的是没取消话费我庭网的要到优惠了我现在这个业务人数师傅可以帮我去三八 
喂你好 二我想了解一下比如说这个加我现在 
呃帮我看下流量二一百好像充了你看你它怎么划算一点啊 噢 
诶你好我要开通那个家校通是不是在你这开通 对校讯通 
呃帮帮我开一个三十元块钱的流量套餐噢 然后下个月也 
喂你好我想那个就是呃办那个宽带业务然后我这个套餐是不是可以升级成那个七十九的那个套餐 对 
诶你帮我开开通一下国际国际漫游因为我今天今天人在香港 嗯嗯 
诶听得到诶你好麻烦帮我开通那个加油包十块 谢谢 
你好我的流量又超了你能不能帮我流量买买两百兆 呃不开两g嗯 
诶帮帮我办理一下那个加油包 哪里你可以可以帮我办办那十块钱吗 
喂你好你能帮我开通十块钱流量一下啊 没有没有好谢谢 
诶经开通那个国际漫游 没有没有 
你帮我开通一下那个半年有效的六十元六个g流量的套餐包 恩对马上开通吧好吧 
你好是这样子的问加入一个号码的那个家庭网里面去 嗯是幺五八 
我想办一个那个一个g的流量包 一个g的 
诶你好那个厦漳泉同城包帮我开通一下 嗯嗯好还有那个来电提醒帮我取消 
二十四块钱 不过去 
你好帮我加一个家庭网用 哎知道 
诶喂你好我今天就是支付宝麻烦你帮我开一下漫游 我这边有对您 
嗯嗯麻烦你帮我开一个流量包看一下没用比较划算了 对对对 
喂你好我想办个套餐有没有那种不限流量 宁德地区在福建省不行吗 
喂你好 噢我想开通一下流量 
那你帮我后台那个流量帮我开起来吧 你们应该是幺六三六幺零你帮我看一下看是不是 
噢我 开通那 
喂诶其实绑帮我办一个那个就是无限流量的 没有啊就是那个什么省外也可以了吗 
哎你好我我想定下那个省外的套餐流量 我因为我现在在云南省吧我考虑福建省的然后我想我就明天就回来了我想现在就没流量用我想咨询一下要用一千 
嗯 喂你好能帮我办一个流量套餐的 
呃你好你帮我来电显示帮我开通一下先给我关掉了 嗯不知道 
喂你好我想开通一个亲情然后亲情号码的话怎么开呀 噢那我就在规定不行啊 
不小 哎你好我想开通一下那个国际漫游 
噢那个帮我那个加油包加十块八 好好好好 
哎你帮我本机开那个工单二五 哎那我觉得 
诶您好诶我想问一下我这个号码呃想要那个开通流那个什么数据流量有什么比较实惠的不需要经常用的 三十块钱才一g啊 
诶您好我想那个啊呃手机办一下那个加油包好 嗯那我想问一下就是现在有什么比较优惠的那个套餐嘛就是上网功那个 
您好很高兴为您服务干嘛要流量吗专线我刚才给我流量已经用完了 那我不要我就是这个月我不是这个月的 
你好 哎马上帮我参加那个我我我我需要漳州的两城一家公司福州的两城一家 
嗯不知道 
帮我安心包开通的 是你直接开通就可以 
哎能不能帮我开一个那个省外的流量包 呃差不多有 
喂你好 喂给我开通一个他给我开通个十元的 
回来我这个本机号码我今天要是先干你给我开通一个什么三块的哪一个好不好 对对对因为我今天要去香港嘛 
呃那个来电提醒帮我开通一下 嗯那我早上每每早上给别人打电话普通 
你好 请问一下我我不是我是能准备去外地然后我想开通那个流量啊还嗯我去年说是不是有一种嗯半年然后六十块立柱的六g的那种 
您好很高兴为您服务诶你好麻烦你本机办一个十八块钱的那种的套餐给它 十八一百分钟打电话可以的 
呃帮我那个流量开通一下好的 九块钱呀 
啊 今天 
你好去那个台湾五天的那个流量帮我开一下 五天是一百零八那个套餐是吗 
您好很高兴为您服务喂你好诶你好我想让你帮我开通那个六意思六个g卡免贵姓 嗯 
喂你好那个我想就是那个流量加油包帮我帮我开通一下 三 
喂 哎可以 
诶你好能不能帮我办一下那个两城一家就是到都 嗯取消掉的话 
很高兴为您服务 噢帮我开一下就加个流量包 
喂你好呃你说我想问一下我想买那个流量嗯买这个十块钱的流量有多少多少g啊 呃流量还有很多它怎么他说我们没有流量的把我关掉 
你好帮我包年流量啊 他家营业厅肯定出问题了 
诶喂你好那个我想开通国国际漫游嘛但是我那把手机哦在国外没有就是没有信号有又打不了电话发不了短信就是人代代理就是代理开开通嘛 服务密码 
因为我这个要改成多少的 嗯哎你好我我要增加一下那个流量的套餐 
嗯帮我开一下那个流量跟那个影视通话 打打电话跟通那个流量都可以用了是吧对对对关机开机就可以用了 
哎你好我想个办理那个流量加油包 噢 
哎你好我想开通那个四g四g网络 啊对 
喂哎你帮我开个开开通那个流量包呀 喂 
那能不能帮我开通一点流量流量包 
你好我想办一个港澳通行的那个 因为我我现在要 
哎小姐你好麻烦你就给我申请一下那个六十块钱六g的吗 我现在给您退六十元一次性扣取六个g流量嘛所以我想问你一下它这个六g的话就是说是六个月之内都可以用完都可以是不是 
你好帮我那个就那个流量加油包帮我加十块钱可以啊先生 诶 
嗯嗯嗯你好请帮我帮我开一下那个流量套餐包 是什么时候 
我帮我这个流流量再开唉已经 一一一g是多少 
麻烦你帮我套餐那个八块钱的 噢没事我现在家园卡八块钱的 
登录噢那个信息信息功能打开一下 大肆 
对我那个流量用完了要加那个六六六千兆那个加油包呃我不知道 现在不是用完了吗 
您好请说 就是帮我充流量吗 
您好很高兴您服务喂你好帮我流量帮我开通一下 您稍等 
哎你好呃那个我想申请一个那个加油包流量加油包 我上次上网银行就一点呢不是九月份说什么有一天一块钱的那个东西 
这个这个月 我知道下个月一号开始生效嗯办那种一百三十八那种是 
喂你好那个能不能帮我增加点流量 呃 
啊我就想加个流量包的话 哎 
您好请讲那你可以帮我办一下那个流量加油包吗开通加油包吗的 十块钱一百兆一百兆很快就用完了呀那或者是开流量套餐吧 
呃您好帮我开一个国内流量包吧 太少了叫最少要一个g 
可以 你好我想申请那个移动流量流量包那个六g的 
钱一条你那个帮我加一个亲情号码这个 使用分有三包 
喂 
你好啊 起来的那个流 
开通十元知道 可以 
呃你给我加三个十元的流量包 我知道我知道嗯 
你好我我这个号码给我开通港澳 嗯港澳漫游 
那个我明天去日本 六天 
噢 嗯加油包给我开一个十块的 
噢你好我想问一下那个我我想开一个流量流量包啊 什么主呃主开这个月对 
诶你好诶你说你诶请帮我开通一下国际漫游吧 
你好帮我来电显示现在帮我再开起来噢 嗯嗯可是上个月没有取消诶 
哎帮我开通那个国际漫游我这个开有呃去日本的有什么套餐啊 哎要要上网和打电话的呃您去几天没有我只要一千二十号二十号噢 
我也不清楚诶喂你好诶你好诶我我想要开通一下那个台湾的那个流量 呃六天 
喂你好你帮我办理一下那个港澳套餐一下 噢去香港 
喂麻烦你帮我这个手机开通两城一家 无线 
嗯 没有啊哦呃您还有什么可以帮助您您帮我开那个十块钱六g的流量一百八十天呢帮我开呀马上生效 
哎你好那个呃能不能帮我这个手机直接办理八十八块的套餐 是一千两百六五九六对吧嗯没错是的我给您介绍一下它这个 
哎你好那个帮我开通一下港澳台想请问怎么买一张 就打电话没开通的那个 
诶你好哎帮我开通一下那个香港呃七天的那个套餐 呃就是一周九块钱的那个接电话免费的 
喂谢谢国跟你讲一下这个手机要包这个二十四块钱一个月的流量等下会什么系统呢 好的爸爸昨天三g也扣那个诶哎取消一个那个那个流量要二十四点没有wifi流量话费呢喂 
喂你好请帮我开通一下来电显示 行 
啊你好诶我这个手手机好像业务套餐不够用嘞那个信息也不够然后通话时间才一百分钟嗯嗯 然后帮我那个短信也开一下那个 
喂你好 帮我开一个短信包月 
你好帮我开一下开通十元的那个安心包 嗯十块的噢 
啊你好小姐 这个本机号码麻烦你帮我开一下安心包了流量安心包 
诶喂你好哎你好我要办一个那个流量省内的加油包 够用的那种省内的吗 
嗯 喂您好 
你好帮我那个国际漫游开通一下 对嗯 
操作请问一下你看下我现在我上面不是有个六对不起流量嘛是不是现在已经没了 那你现在可以帮我叠加吗 
噢你好呃帮我那个流量包加十块钱一下 哦 
嗯 您好很高兴为您服务喂你好帮我看下你喂帮我开通一下港澳等会儿香港的这套十二 
喂你好我想加那个流量流量是快完了帮我查一下 叠加它是怎么收费的呀 
嗯麻烦问一下我现在这个流量已经用完了能不能充进去不要 四百多兆四百多兆今天差不多吧差不多吧 
给我加加一百兆流量流量 噢好的 
呃您好我想问一下我套餐里面的那个亲情 对我是有这个是吗然后你开通 
喂你好诶你你你你那个能能不能帮我办那个十四元五百兆的流量套餐 五什么情况不是有五保的五百兆吗 
定制把我可否已经用我的老片子给我啊哎你好噢不好意思呃我想问一下那个我我这个手机想开个流量流量在哪里 您是想转出之后大概是什么概念 
哎你好我想办理一个就是说呃可以打是打电话多少分一百分钟还多少钱业务每个月有没有这种业务 没有没没落淘宝上 
喂你好那个我我开一下开通一下那个就是我那边不是有六十元的那个套餐嘛 六g的套餐你现在帮我开一下吧 
喂你好我想关掉吧帮我办理一下那个两城一家吗 呃那个跨省都可以接听免费的吗 
嗯嗯 哎你好那个帮我那个流量开呃开那个下个月给我开通那个十块钱就就这个月噢一个月噢 
对您好请讲哎你好帮我开一下那个十块钱的加油包 嗯嗯 
取消 等下我开通一下那个幺三九邮箱 
噢已经开了是吗 它这个是嗯 
哎你好我想那个我手机想开通那个来电来电转接怎么弄啊 本机转他机 
喂你好帮我开通一下十元的流量包 
喂你好哎你好诶那个流量补充包给我给我加给我下一下子 呃还有说了嘛 
你好我想开通全球通啊 现在这个已经全球通然后帮我开通一下国际漫游 
想问一下那个现在要加一个那个五块钱的那个加油包 呃 
呃呃你我要订那个cmccf跟你把那个订购三四发发给我那就用短信方式发给我 呃cmcc也是觉得那个那个啊 
喂您好能收帮我申请两城一家吗 要不要开是吗 
哎你好我这个再加十元的那个连城噢 噢 
呃你好我做喂 诶你好帮我开通一下那个呃你帮我查一下我你们那个呃国际漫游 
呃请问下这个副号功能是怎么怎么回事啊 呃我就是我想问那我现现在手机想办一个副号或者是不是有个什么副卡之类的这种功能嘛是不是 
你好 包你好办理那个呃呃附近的那个流量 
你好请讲哎你好我想想问一下就是说这个号码噢要共享一个那个电话号码 还要密码是吗嗯对密码我不知道报他那个号码可以吗 
您好很高兴为您服务喂啊您好哎你好那个我的手机都过去号码那边会有信号吗 啊 
喂你好我要把这个号码共享给那个就是那流量共享给别人呢 嗯知道五五六六八八呃不不用告诉我您自己修 
帮我开通那个十块钱百兆流量加油包 嗯 
喂你好你帮我那个什么再加个十块钱的那个外省那个 加油包十 
你好我想用积分换那个选择使用 我我想用我这个手机的积分换那个送手机的可以了 
呃您好就是你可以现在帮我开通那个五块钱三十兆流量的那个那个嘛 十块是吗 
哎你好我现在在省外嘛我想问我流量都没有我想要我想加一下有 省外的 
诶诶你好帮我开通一下那个诶港澳台那个出省是吧他那边那个流量包 呃三六三六五零七天了是啊 
我想问一下现在那个流量就是国内流量有哪个套餐比较个十一点 对国内因为我这个是厦门的卡嘛但是我现在在外地嗯所以消国内流量 
可以改改 诶你好给我开一个那个就是十元的那个短信通知吧那个每个月 
您好很高兴为您服务你好你帮我开通一下那个港澳那个漫游帮我再看一下好 哦这个深圳吗 
喂条 那个帮我开一下那个什么那个流量包啊服务我好像没流量是啊 
诶你好诶请帮我开个加油包 呃一百兆不用不用不用不够不够好那您稍等一下 
诶你好我这个手机给我开成两城谢谢啊对啊嗯好 好好嗯 
哎你好请问一下我那个想办那个流量开流量流量那个的流量那个 对对对 
吧喂你好 帮我加一个那个亲情号码可以吗 
呃那个你帮我 嗯呃 
你好呃我想那个加油包一下那个国内流量 呃太少了我昨天有问了他说今天有一个十 
嗯我要去香港要开通那个什么办唉漫游 嗯那个我要去三天然后是要开四毛套餐 
哎你好因为我的流量不够用号我要申请下半个月的那个就是流量比较多的那个应该怎么做呢 不够 
呃那个就是流量帮我充一下噢 你你你现在一百兆流量是多少钱 
帮我帮我这个来电显示开通了呀 不知道啊 
你好你帮我开一个那个三个g的手机国内流量改 就这个月需要 
诶你好我帮我开通那个香港的那个七天包封顶包邮包流量的那个 好的 
哎你好呃我想查询一下我想办理那个香港港澳那边的流量 有吗 
为您好很高兴为您服务再见嗯诶你帮我看下有什么是流量帮我开一下好的先生您目前要开多少兆流量呢目前您这边如果开流量只有十块一百兆还有一个那个流量活动六十块六个g的请问您需要开多少的有没有帮我查一下什么套餐的流量多一点 半年 
你好那个我想买那个流量 不是你那个有不是有那种六g六十块钱的呃对有的 
诶您好诶你好我想呃也就是我手机呃开通一个呃那个彩铃 噢开通一个彩铃然后就是那个可以自己选择嘛 
呃您好我想开通下流量 呃如果说那个五百兆的话多少钱呐 
喂你好那个帮我开一下那个国际漫游 那个新马泰哎 
啊我想办理那个亲情包我不是四十八元它里面有那个亲情包吗 嗯然后我我以前是那个号码是错的然后我想重新弄 
呃我我那个我想开通那个加油包流量加油包 呃我我好像前天刚开的然后昨天对小孩看一下那个视频然后好像又没多少了是吧 
诶你好帮我加个短号呗 幺三八五零八六 
啊那我我这样我是说等下要去澳门然后要开通一下那个什么 然后真的是打电话表元一百 

帮我办办那个流量 外省的可以 
嗯我想开通两城一家 噢 
你好我想办一个那个流量套餐 啊不是就这个月因为现在要没有流量了然后我想有个有个全国流量 
帮我开通一下那个加油包十块钱一百兆的 诶 
呃喂您好我想问一下噢我要再加那个就是嗯家庭那个套餐就是加一个号码要怎么弄 号码手机号码噢对对都会被你稍等我看一下啊号好好幺三六零七五四然后呢就八七零 
您好请说 
呃流量给我充十块钱 开通马上生效月底自动取消号好谢谢啊不客气您稍等一下 
你好那个我想开通一下福州的两城一家就开通这个月一个月 全国都是一样的价格是这样因为那我这动感地带接听福呃泉州的到福州接听也是免费是吗 
嗯帮我开通十元流 可能哦那能不能帮我把我里面是二十八的对不对嗯对呃帮我换那个话费十八的 
诶你好你帮我开通一下这个月的个十块钱一百兆的流量呢 
诶那六六十块六g的那个流量包给我开呀 嗯你大一点 
啊 我想开通那个国际的嘛就是国际漫游对吗有开过吗 
你好 呃我我马上需要一点流量应该用的 
喂你好我想开通那个十块钱那个流量那个加油包 噢对对对就这个 
喂你好我想让你帮帮我把彩铃开通一下 现在帮我开通吧 
啊喂你好 啊我这个这个流量不够用了可以帮我办个几十块钱流量吗 
哎你好 呃我这个流量你帮我弄一个二十块的吧 
嗯那个流量帮我开通一下 对 
哎你好我这个是省内流量没有了你给我开加开一个什么手量那个省外流量包吧好不好 噢省外的再跟我他他们都有什么包呢给我介绍一下嘞 
我我想再增加十块钱的流量包 诶对 
喂你好帮我办一下两城一家的 那那那那要那个漫游费吗 
喂你好 我是我要添加那个家庭成员你那边能不能能不能帮我添加 
请讲哎你帮我开一下这个月的流量然后发个短信在我手机里面 二 
不要 哎诶帮我把幺三九五九七幺幺九九那个短信看到打开一下 
不然你跟他讲 现在想那种 
诶你好 一下能不能帮我办办一下加油包 
我那个流量用完了再给我办一个那个六十六十块钱那个套餐嗯嗯六十块钱六g还没用啊先生还是用完了我刚才用完了刚才你们给我发个短信用完现在已经那个网络也不能用了 但是你给我发个短信上面已经没有了现在已经成功二g 
嗯你好请说 然后我现在想增加一个成员去哪个电话号码 
呃您好 那个我要分享一下流量加个号 
帮我开一个国际好 呃是啊 
噢你帮我把这个号开通那个六十块钱的流量 对那个应该是 
喂你好用 噢行吧这个取消好谢谢这个月多吗下个月就取消 
噢你把我那个短信给开通一下吧 短信功能 
是你好诶我可以帮我办理这两城一家吗到南京的 怎么资费 
喂你好 噢你帮我添加一个家庭的成员 
我想开通那个 不是他有个套餐 
哎你好就是我我这个流量是不好了是吧 噢那你就帮我帮我再给您加一下 
哎你好我想请你帮我开通一下那种一直到上海可以用那种流量外地 诶你那边好像有一g多少 
你好你帮我帮我开一下加油包 那你给我用那个二十三块九百多兆吗 
啊吗吧 呃 
反正开通那个小东西这个情况 开一下吧 
诶你好就是我想开通那个六十块钱那个六g的那个是吧 就说我马上要他马上扣费是吧那我 
您好请讲喂你好呃您好你那边能不能帮我开一下这个月的那个呃十元一百兆的那个流量嗯可以呀 现在马上生效月底就关了 
刚好登记你好呃请说开帮我开通一下流量吧就是不是六十块钱打幺零零八六六十块钱 我赠送的省内流量最后用 
诶帮我开通十元加油包 可以 
喂然后你帮我给一八二五十块钱就可以了 没有我这十块钱的套餐一个就可以了 
流量 嗯那除了这个还有什么 
呃麻烦你帮我开通那个下个月开通一个就是帮我开通一个安心包吗 哎下个月生效 
诶你好我想这个帮我再增加五块钱那个流量吧好吧包月的 十块的 
你好请讲是吗嗯你好我想看一下套餐 下个月就用三十八的是吗 
这边哎你好我想办个两两城一家我帮他管广东广东省这这边广东的珠海这边来 啊 
你好帮我开通一下那个刚刚那个漫游流量套餐那个在三天的 这边帮我看一下 
我怎么说我那个流量加油包帮我开三十 送八十八就可以了八十八的申请的 
喂你好 呃我这个是四零一四零幺的是号码啊给我办那个套餐一个月幺五八的 
我这个手机想开国际漫游 我已经是 
那个下载那个我很麻烦我能不能直接在你们这边不是那个六g吗呃那个六十元吗流量 嗯嗯嗯嗯 
诶喂你好 诶你你帮我那个办一个那个就是六十六g的那个的流量包 
喂 呃就是呃我刚才不小心取消了我的来电显示 
呃我要买流量 二买十块钱的 
你帮我给我开通一个那个十元的那个 好的 
你好 帮我开通一下那个国际漫游 
晚上好呃喂你好你帮我这个号码办一个那个加油包啊 哎可以啊 
哎你好我想开通那个流量套餐 嗯那有多少嘞 
为您服务那谢谢你你好帮我开通我本机的那个六块钱的短信包 对马上开通谢谢 
呃我我想那个买一份那个就是嗯那个六十元六g的那个流量包嗯那个流量包是有没事了 呃然后现在我现在好像没剩多少我想再再试一下 
喂您好帮我开通国际漫游 嗯 
喂 我想开通那个关机的时候会提醒那个号码的那个是什么那个一个月两块钱的是吧 
哎麻烦你帮我办理一下那个五五块钱的流量多少 噢十块钱一百兆呀 
诶你好那那你帮我开通一下那个加油包 也只能这样子啊还有还有赠送的吗 
你好感谢给我告诉我 啊诶我要办理那个任我享流量半年包那个流量包 
嗯帮我办一下那个飞享十八的套餐 嗯 
你好你好诶我想开通一下国际漫游 呃然后我想问一下 
拜给我 诶你好那个我现在想办理一个那个短信业务手机号码的 
诶你好帮我开通到那个两城一家下个月取消 噢这样好的 
呃喂您好就是我想没有流量我想办一个流量套餐 就刚刚我打电话他说有一种六十块钱六g那个然后半年内可以使用那个套餐 
喂我那手机流量没有了这个月怎么好像查的流量可以可不可以的 卡太少太少了这个一一定联系的 
诶喂你好 那个我现在在外在不在福建那边的我现在我想到这边开那个流量包有没有套餐是吧 
呃那个我要开通那个香港的那个流量套餐八元的呃抱歉国际及港澳台漫游是吧对 你这个是有多少钱的 
哎你好帮我开一个那个厦门的两城一家 直接用噢 
喂你好帮我数据流量买十块钱 好谢谢 
喂你好嗯先生啊我想我想办理一个那个流量的但是五元还是十元的那种 十元一百兆那就办理十元对吧 
嗯 你好我要开通我要开通那个十元钱的补充包 
喂你好 诶我这个号码想开通国际漫游可以就是说直接 
诶 哎你好帮我开通一个流量包 
帮我开了加油包 对 
诶您好我我我想开通一下那个国际长途 就不是我人要去台湾嘛我想这个电话放在台湾也可以接吗 
嗯您好兴您服务那个帮我开通十块钱的流量费套餐 十块钱就一百兆是吗还有什么更优惠的吗 
我 哎你好是这样的我这边要办一个套餐就是流量套餐共享 
哎你好嗯你好帮我这个流量再开十元吧 恩是啊就开这个月五月份生效然后月底到期会自动取消的可以吗啊 
喂您好我想开通一个流量包 帮我这个月这个月因为我我快没流量了 
我想嗯我想开通一下流量 嗯你先开通十元钱的 
喂那个我的流量想买买的流量是 再加 
唉小姐你好我想开通一下日本漫游 知道的 
你好我要开通一下国际漫游 手机密码 
哎你好我想开通一下国际漫游 好好 
喂你好 短信又被你们屏蔽了帮我开通一下吗我的手机短信功能被叫出去了 
您好很高兴服务嗯小姐你好我想用到十月份的话费账单 不是发票 
嗯嗯 喂你好我那我这边流量用了我想我想充一点呃五十块钱的那个取消的恩 
唉你好我这个手机要开通下漫游 他那个去日本 
您好很高兴服务唉你好 我想要你们那个电子发票 
喂你好我想开通一下那个对对 对对对 
唉你好请你帮我加一点流量好吧 就加时候一点吗 
喂你好呃嗯呃我要把那个家庭畅享计划加一个号码你帮我查的 下个月生效 
您好很高兴为您服务呃我充一次拨帮我开国际漫游 额不知道 
喂你好我要开通国际漫游 泰国 
唉你好那个我我今天要出发去那个美国那边然后我想开通一下那边的那个流量包河就是手机漫游 噢是什么 
唉你好我马上要到菲律宾去我给我开通一个国际漫游 密码知道 
你好帮我开通一下短期国际漫游 呃澳大利亚 
高兴服务唉我想请问一下发我这个手机开通一个英国的漫游是吧 你们可以开通是一个月的是吧噢那么 
唉你好麻烦你帮我这个手机开通那个国际漫游 啊没有 
哎你好我想那个加一个流量加油包但是我需要全国通用的那种 呃就无百兆好了但是我刚刚手机回复订阅以后他说只能本地的你可以帮我取消 
哎你好我想开开通一下国际漫游 噢行不行 
好机主姓名帮您这边的话你刚回国是吗才上网你现在上网功能正常呢把手机关机重启一下也是 那这边还有什么可以帮您的嗯嗯好如果对服务满意好祝您生活愉快再见不客气再见 
您好很高兴为您服务唉你好呀你帮我那个这个号码开通那个国际漫游好吧 日本 
很高兴为您服务哎你好我要开通国际漫游 哎 
唉你好 开通国际行 
哎你好我要开通那个国际流量包 对的 
你好我想开通那个韩国漫游 噢知道的 
唉你好我这个我手机流量没有了帮我叠加一下呗 当月用的对吧当月对就本月的嗯嗯好的看一下本月还有什么剩几天有多少 
你好这边这个号要开通国际长途 呃国际长途因为这样我在你们那个就是手机网上营业厅呃办理他这边提示好像是什么信息不够 
您好很高兴为您服务帮我加个到月底流量包 在外地 
呃那个帮我开个国际漫游 身份证号码可以吗 
唉喂唉你好是呃小姐这样的唉我这个手机上还你给我开一下那个呃到美国的漫游国际漫游对对对我去美国的 是本机办理对吧二五密码应该知道的我 
唉你好我这边想办理一个就是说呃把我余额转到我的卡里面去 我告诉我我报身份证吧 
您好很高兴服务喂麻烦你我要买那个十元一点三g的那个流量 我姓唐唐文芳好 
您好很高兴为您服务唉你好那个是这样的就是我想把就是每个月的电子账单电子发票然后发到幺三九邮箱明天可以发一下 呃七月份 
唉你好我我问一下就是g的国际漫游和国际长途帮我打开 到美国 
您好很高兴为您服务稍等喂你好呃您好您说我我钱接听订的包晚上出去支付宝高峰流量流量知道到时段时间呢晚上把那个是他嗯晚上下午点到下午八点八点到十点到 现在先帮我开数据上网你好 
哎你好我想续那个呃漫游就是国际漫游美国的 不知道 
唉喂你好我请问一下爱疯的话爱疯手机怎么设置那个vip呀 原因数据但是我打开了但是我 
你好 喂你好呃你好我开通一下那个国际漫游 
喂你好麻烦你帮我把这个手机号办一个停机保号的业务 三四零八 
唉你好你帮我开通一下那个对我的国际漫游 呃知道了 
唉你好唉我想那个写下流量 呃三十那大概是多少 
唉现在我想把我这个号码升级为五十块钱两个g的流量就立即生效 知道的 
啊你好我想开通开通一下那个澳大利亚漫游手机漫游 唉知道的 
哎你好我想那个加一下那个流量任我翻二十块的那个流量任我们 每月都开 
哎你好我想我那个手机嗯那个就是留号那个停 保留号码停机五块钱一个月的帮我办理一下 
嗯银行在这这个账号下面内将由房子两百多个号码 二十块钱 
为您服务好喂你好 唉你好你帮我把那个呃一个号码那个开通一下国际漫游吧 
唉你好麻烦帮我开通一下国际漫游 呃日本 
你好我想申请流量 啊对 
您好很高兴为您服务哎我想问一下流量 诶查 
啊啊你好唉我想问一下我现在流量没有了然后我想就是这个订订一点流量 对这就这个月用的 
唉喂你好我要激活四g卡 嗯幺五八零零九五二幺二六 
您好很高兴服务唉你好麻烦你帮我开一个那个港澳台三g的那个就是漫游加话费的 又又 
哎你好你能听到吗 唉你帮我加一下那个流量呢就是这个月让我试过了 
哎你好我要开通一下国际漫游 开通过了 
你好我想那个装那个网络电视 这个月 
哎你好我想问这个号码的然后那个想办个国际呃开开下跪长途 啊呃你你知道吧噢你说一下号 
很高兴服务喂你好帮我开通一下那个港澳台漫游 漫游哎 
哎你好我想加一下流量套餐 嗯一g左右吧 
唉你好我的手机号码要申请那个电子发票 我那个幺三九零邮箱从来不用的我之前在四月份的时候在营业厅里面升级那个呃更改过那个邮箱你看一下 
您好很高兴为您服务喂你好我想麻烦你帮我本机密码开通五十块钱两个g流量 知道的 
问一下我本机打的你帮我看看帮我加急块钱的流量 够了 
唉你好那个我想就是呃呃订一下那个每个月的发票和话费详细账单的那个能是否遇到就是的邮箱或者是 幺三九对只能是这个邮箱嘛 
唉你好我流量用完了现在需要再加一点流量 
呃那个需要 移动开通过了下个月自动都转过去了啥啊但是不是打你充了两百块直接返 
喂你好你好我想买一个那个什么半年的流量包六十块 我想问一下这个掌厅上面我它老说我余额不清他是从哪里扣费从话费里扣吗 
唉喂你好你麻烦你给我的网开通一下我网上以前关掉了 二 
唉我我这个手机号明天开始帮我办理去那个俄罗斯的那边那个 三十天的怎么算呢 
啊麻烦你帮我开通一下国际漫游 呃日本 
您好很高兴为您服务帮我开通一下那个日本的漫游吧 嗯不知道 
喂你好我的手机 里面流量啊 
