你好我想把那个卡里面那些那个呃他我要转户然后我想把那个卡里面看看全部都取消掉消掉 家庭户主那个我想取消掉 
哎你说移动公司的啊啊对对对诶短信短信发来怎么要办那个九月九块的套餐还交费是今天这样的话我也没有申请办一个 刚刚收到了我都没申请办九元套餐还交两百换手那个手续费我不需要我不需要那个费用就不要交了不要办 
哎你好我想把这些就是说我们卡本本机那个卡号的那个套餐啊本来是九块钱别的都不要帮我关掉了 嗯嗯对 
请问帮我把那个三十块钱的流量可选包退订吗 他 
你好那个请帮我把呃这个号码的这个家庭网的去给他退出来 对立即退出然后我要加另外一个吧 
诶你好呃是这样子的我这个号码噢有没有就就留一个基本那个套餐费其他的就帮我删掉吧好像流量也没用 嗯那好谢谢啊 
喂你好帮我那个除了套餐以外要收费的帮我取消掉线 如果 
呃帮我查询下现在在用业务取消 啊啊那个到那个就是那个说什么 
诶你好诶你帮我这个家庭号家庭网里面一个一个人取消给我退出去噢 幺五八六零五六七九八七 
的 诶你好请问请你把我那个来电显示给我取消掉吧 
啊你好我想问一下我这个手机本机有 呃能不能帮我把夜间流量十块钱的关掉行吗 
喂你好没看请帮我那个移动梦网的关掉吧结转 对对就是有收费不能小孩子拿手机天天拿拿去乱点播什么东西 
你好帮我那个除了套餐以外多余的不被行没问题取消掉啊 来电显示那就来电提醒留着嘛其他对的收费全部注销掉啊 
喂你帮我这个手机幺三四五九七七九六零五的那个呼叫转到信息的帮我取消掉吗 噢 
你好 呃我取消找呃那个怎么办 
呃我这个号码有跟那个一个号码共享那个流量嘛你那个能不能帮我取消一下 知道是吧 
请问还有什么可以帮到您呃帮我取消八八套餐 最低是多少 
您好请讲喂你好 呃我想麻烦你帮我那个彩铃来去了用 
哎消费喂你好诶你们帮我把那个一百元的套餐费就是那个订购的那个流量流量使用 啊 
呃我想退订一下那个什么彩彩铃的还有咪咕会员 对一个彩印一个 
您好很高兴很高兴为您服务好的 您好您好喂你好 
啊你好我有个号码集团成员能不能帮我退出一下 噢幺三四五九四四三八幺八 
您好诶喂你好诶就是我想把我那个来电提醒的套餐给取消掉 噢诶对了你能不能帮我把那个有一个什么彩印业务费那个尹也帮我取消了吧 
您好很高兴为您服务哎你好当时跟那个那个校讯通啊我现在取消掉 啊没有校讯通了吗诶那知道我原来我都没有帮我取消啊 
麻烦你帮我来电提醒那个彩印拿去取消 诶 
彩铃彩印帮我取消掉吧 呃关掉吧他我一下 
诶你好那个帮我退订一下幺三九那个什么邮箱第二批我这里无法确定 好的现在是不收费不是废话没错不收费的诶好那谢谢啊 
您好喂您好嗯就是说可以帮我那个预约取消这张卡的那个咪咕特惠跟那个来电提醒 就是说这个是两个月后就是赠送两个月噢两个月后可以自动取消对吗嗯嗯 
诶您好诶你好麻烦帮我有一个号码的那个嗯嗯上网开关给关一下好吗 幺三八五零 
啊你帮我把里面有扣费都帮我关掉 好 
那我这边有个彩印帮我关掉 哎那本来里面还有没有另外什么状态可以取消 
主要是想你好那个我这个手机啊经常会他说一些下载东西了怎么这些界面你帮我后台把它关掉因为这里平时都没怎么用 哎好号好谢谢啊 
小姐帮我帮我查一下本机有一个流量包帮我删掉一下 好好 
呃你好那个我这边一个五十元的可选包帮我取消吧 
噢我想请问一下我这个本机这个是不是上网网速吗这个不收短余额会卡这个每个月的话 相伴行那这个可以这个可以就说取消掉 
你好你帮我把我这个手机卡全部所有全部取消掉然后把下个月那个套餐噢改成那个八十多你们那个五五个g流量的然后一千兆一千一一千分钟通话时间那个 稍等 
诶我那个校讯通帮我取消掉下 噢好的 
哎你好你帮我这个号码的那个彩铃关掉去了 对对对 
你帮我把那个二十块钱的无限流量包给取消一下 嗯嗯好 
你好 这个流量三十块帮我取消掉 
哎你好哎诶能帮我查一下我这个手机有一个七十块钱的流量包那个什么下个月取消掉 啊对 
喂你好能不能帮我这个手机有一个换成网的那个那个取消掉 就下个月帮我退掉 
诶我这个帮我取消那种铃声就是说集团的铃声吗 没有开是不是 
哎你好我手机里面有个那个手机视频的功能帮我关闭 哦 
哎你好我想问一下就是我那个幺三七的手机呃转移到这个手机来然后呢就今天明天就帮我取消掉可以吗 呃今天你们不能弄吗 
就这个问题啊 谢谢没有 
可以啊我是说什么三块钱这个信息费是吧我不要不要办那已经不要办那个业务啊 哎给我取消了三十块钱的一个新短信那个费用低啊 
噢您好那个呃我不是上个月开始的话有订那个呃流量的嘛噢流量包的嘛噢那我我想从下个月帮我取消掉可以吗 对对对那我现在这个月的话剩下的还有 
噢直接帮我那五十元套餐关掉吗 噢那女士呃 
喂你好移动嘛那你把我这个手机号码那个校讯通帮我取消掉吧 嗯 
对钱那个退订那个两g四的流量的叫他五二点十五分钟之后再打电话他怎么有十一点都大了 这个要不要退掉嘛然后他跟我说他会给我打电话说什么然后我跟他说他那个已经被就诶第二点我 
我我想把我那个那个三十八元的套餐取消然后办那个五十八元的没到 噢对然后就是那个就是三十八套餐客就是把五十八的套餐是留着然后其他都取消掉 
其他不然就身份证拿拿吧帮你改了要不然你就等到月底那两个月扣那个 
诶你好诶我这个里面有一个什么八块钱的合同什么盒和校园怎么和那个费用能帮我取消嘛一个月八块钱那个 噢不客气 
等一下我想把我这个套餐里面的那个移动四g给它关掉一下 它这个关掉还要密码吗 
嗯把我那像他他也停了 对取消 
诶您好请帮我把把我那个套餐外的那些呃套餐全部那个取消掉 嗯 
你帮我把那个什么来电提醒帮我关掉 那这个流量套餐流量有多少诶帮我 
呃您好帮我套餐里面的增值业务取消一下 嗯 
你你看我那个流量套餐帮我挂掉了 算 
嗯嗯但是 噢喂你好我那个你们不是有一个什么每个月两g分六个月的那个嗯好那知道那个那个流量我想取消掉不要那个 
啊噢 呃帮我上网功能立即关闭了 
诶你好帮我这里面有收费的都帮我取消掉吧 好的谢谢 
麻烦你帮我把那个福建网也取消一下 对什么 
你好那个本机的那个流量是不是三个月到了呀 还没到下个月才到期嘛 
诶你好你帮忙把我手机套餐你我我现在办了一个八十八刚刚换一个八十八的套餐现在就除了八十八之外我钱都其他都帮我取消一下可以吗 嗯嗯嗯 
呃我想问一下帮我把那个夜间流量取消吧 还有办理了什么业务吗 
你帮我那个取消掉什么每个月每天天发那个什么欠费欠费什么余额不足什么那个信绑定的不要给我换噢 呃营业厅去要关闭了不要不要那个 
诶帮我把那个套餐取消掉这个 通话 
呃你好那个噢噢那个我想要把那个什么咪咕嗯还有那个关掉 哎那不是有扣费吗它每个月都给您返还费用抵扣您不用出钱的您放心那那还有一个什么移动数据套餐 
您好很高兴为您服务诶喂你好我想那个关闭那个上网功能的可是我发个五五八过去但是它没有短信提示我成功办理 啊意思就是说我现在这个手机的话上网功能已经全部退掉了就是说呗呃只有开无线网就可以上网其他时间它不会自动上网吧就是一个东西 
晚上好请讲哎麻烦帮我查一个五十元流量包取消呀 那是说 
嗯你好能不能帮我那个三十元五百兆流量取消了 好 
你好帮我取消那个已经流量使用那个十元夜间流量那个 我就是下个月不要不要再扣那个夜间流量的钱的那个吗 
诶您好女士我这边想取消这几个套餐 嗯我现在就等于说先把这个套餐取消掉我想换另外一个套餐 
嗯 喂你好我上次他不是给我开通一个什么流量是五十块每个月送多少的这不是 
您好请说哎你好就是我这个号和另外一个帮我开通了那个流量共享帮我取消 密码知道 
啊你好噢你好小姐你帮我那个家庭网的那个务器帮我退出来可以吧 啊马上退出来 
帮我那个流量帮我关掉一下 嗯有几个 
高兴你好请讲喂我就是我想问一下这个这个手机卡能不能把他那个月费给全部取消掉啊 已经扣每个月是扣八元是吗 
哎你好诶帮我取消下数据业务 哎非常好新馆评价 
您好很高兴您服务诶你好我那下个月那个两g的那个套餐再给我去掉取消掉噢好 对 
哎您好我想就是那个我那个流量三十块钱套餐能帮我取消掉吗 对好的 
诶你好就是我这本机号码的那个家庭网的三月份把它取消掉好吧我都没有使用 呃对 
嗯 查一下我帮我把那些套餐关掉 
喂你好我昨天嗯不是前天开了一个流量共享能帮我关掉吗 嗯 
他本机反正四g上网三十块钱流量给它关掉一下 嗯嗯好 
你好 问一下那个就是我下个月吗下个月准备订那个全家统那个套餐嘛它这个这个但是那个就是就是 
啊我我是那个要那个一个月要不是我一个七十块钱的数字费用我要啊我要取消掉可以吗 噢好的好的 
你好麻烦你帮我把那个什么流量提醒啊套餐提醒套餐语音提醒给我给我关了吧这个提醒类的 要提醒那个都都都都都都都都给我给我关了吧 
诶你好我想取消这个呃移动转要怎么取消嘞 就我本机要取消移动转移啊 
喂哎你好你好诶能帮我这张手机卡的那个流量上网的直接关掉吗但是无法上网功能 呃已经关闭了是吧 
你好帮我看一下本机怎么也有扣费的取消掉 没有什么其他扣费的呀 
喂你好那个我那个开始她不知道她我我因为我老婆她给我开通那个一百三十五那个我要我要把它取消还是以前那个我是五十八那个套餐 好好好好嗯嗯好那行九月想 
嗯嗯嗯嗯嗯嗯 呃帮我把这里面的收费业务取消一下 
呃这个月直接给我这个号码打的那个要话费怎么给我 喂 
啊喂你好请你把我套餐里面的那个咪咕会员还有那个彩印给取消掉 他已经有预约了到期取消了 
哎你好 我想把那个手机上有有有一个套餐是平时的流量包取消了 
您好您好麻烦 呃这这部机子的那个数据移动数据功能帮我关一下 
我那个流量嗯是五十元流量给我关掉 没有的没有没有了 
嗯 不要彩印跟来电提醒帮我取消 
拜拜好的您好你好诶您好请说噢我想取消那个八十八块钱那个套餐然后呃就是呃办那个三十八三十八块钱一个月的套餐是吗 噢对对对对对对那这边如果要改 
哎 我这个五十一g的那个套餐能不能帮我取消掉 
嗯嗯 嗯你那里面费用怎么扣钱的业务全部帮我取消掉 
恩你好我想问一下能不能帮我那些流量啊什么的退订掉 嗯嗯把那个一g那个也原先流量帮我催一下 
请问一下我这个就是幺八八的套餐嘛噢幺八八套餐然后五十块的那个流量给它关掉不用 关闭的话那我这个卡还有没有什么其他的卡比较优惠的按办我上前几个月打的那个分钟数啊都可以帮我看一下吧 
哎你好能不能帮我那个有个专题保健给取消掉 好谢谢 
到 就就给我彩铃的话可以直接取消吗 
请问 关一下 
喂你好 这个这部手机这个慢国际漫游给我关掉的 
噢你帮我把那个彩印和咪咕预约即生效 恢复 
诶你好那个我的这个卡的套餐是八十八的分钟有一百四啊 就是说这个月有一百四十套餐 
还有客服哎那个喂您好请说您好呃那个彩铃呃铃声给我关掉我这个不要了 对这个这个这个彩印是什么东西呀 
问一下关了关闭了就不不要哎你好 请请帮我那个那个那个彩铃帮我取消掉噢 
啊你好就是说我想把一些业务取消掉 这边也不会有什么电话打电话说什么是啊赠送的嘛免费的吗 
喂你好我想问一下我就是这个手机手机号码它有的那个什么增值业务不能退的 什么彩印中级包还有一个那个呀到期了可以关掉了我帮您关吧您不要了是吧嗯不要 
诶请问一下我刚刚收到一个信息什么保支付那个服务费是吗 不要了取消了 
诶我想你帮帮我不要套餐取消掉 你好 
喂你好 请问你帮忙查一下我这个本机号码有你现在什么不能那么多我还有什么事 
噢你那个我这个手机号码然后其他的那个套餐帮我取消掉 因为我昨天晚上办了一个套餐是一百三十八元然后我其他的都不要交 
哎你好呃我那里面有一项什么增值业务帮我去掉 对呀早就没有用了我一直一直放在那里扣扣扣 
诶喂你好诶我刚才微信号被人家全断掉然后呢我想换个号码我想这个套餐就不要再用要八十套套餐呐 我因为我号码上来过来我要去买号码哪个 
喂你好 呃我想取消我这个月取消我的来电铃声 
你帮我彩印跟彩铃预约到期自动取消 他一个月了是吧 
哎你好帮我帮我关掉下个月的三十块的加嗯那个流量包 没问题 
诶你好麻烦你麻烦你帮我的来电提醒这个业务给我取消掉不要 那立即都取消掉那另外套餐现在购买易打进来都是转转短信都转的也都差不多你好我给你 
你好哦那个五十块的贵烟诶您好 诶您好帮我把手机里面没用业务取消掉 
喂你好 那个帮我查一下我这个手机号码上去开一个什么流量安心锁 
啊 嗯 
啊帮我说套餐啊所有的嗯东西就取消掉了 应该保安掉 
你好我想把我这个号码的那个流量给我取消掉 呃其他没有 
喂你好你帮我取消一个那个套餐业务 就是有一个咪咕会员十五块钱包月的那个 
喂你好我想您的预约取消一下那个刚才开通给我幺三九零三元这个活动 恩 
按键关掉诶你好请说帮我取消业务啊是不是有什么报销联系的话 不要回复掉啊 
卡很高兴为您服务哎您好诶您好请讲那个共享流量给取消掉了刚刚重置的密码 啊 
嗯你好帮我查一下那个就是那个校讯通能不能帮我取消掉 对啊每个月扣八块钱的那个校讯通帮我取消掉天它是下个月开始不扣费好 
你好请问就我这个手机那个有开通那个流量然后我都没有用我想把他关掉可以 嗯嗯 
哎你好 那个我这个本机那个诶那个校讯通能不能帮我诶取消掉 
哎你好我之前就是有在你们这边反映过我那个宽带呀一g然后这边没有线路给我添我这个套餐能不能给我退了 啊好 
噢就是帮我这个卡里面要收费的业务帮我登记取消啊 哦哦嗯嗯好再见干嘛 
诶你帮我那个幺三六二六六二三八二八的那个来电转接给我取消一下 二六九二三八二八好吧好吧 
你好我的那个手机铃声是默认的什么天蓝随便什么东西你这个可以给我关掉吗 啊没关系那这个关掉就是都是 
喂 你好我想取消那个校讯通 
噢 那个我想那个取消一下我那个共享流量池 
喂 喂你好麻烦你帮我本机除了一个套餐其他业务帮我全部取消掉为您查询一下行它那边本来我那我想里面除了一个基本套餐其他都不要对不对啊诶对对对 
诶我帮我取消一个我昨天晚上误选错了我要写那个幺三八点成幺八八的那个通话任我用的一个什么下个月生效的 对我要重新写那个幺幺三八的那个因为我原来 
哎你好把我那个三十块那个流量包帮我取消掉 呃你帮我取消了嘛 
喂你好 我那个流量三十元的下个月帮我取消掉 
你好我这个尾数三个零的这个手机号码我现在不是先确定了一个什么八八套餐我就把之前的所有的 取消掉 
您好请讲喂你好麻烦你帮我那个套餐以外的好像也扣一个什么彩印什么东西的那个三块钱给我关闭了 还有一个来电提醒麻烦你帮我关闭了噢 
那个你好帮我那些预约使用的业务帮我取消一下九 有一个 
看我里面不是那个提供一下 那个 
你好我想退订那个四g的那个任我发了五十元套餐那个 好 
喂你好 那个我那个电话可能有彩铃啊能不能把我的彩铃去掉就是用正常的里面的 
诶我想取消那来电提醒还有改成十八块套餐的 对 
幺三六零啊您好请问有什么帮到您的么啊噢噢关机 帮我把那些流量那个流量套餐退掉 
喂你好请讲 你帮我把那个无条件转接给关掉 
哦对不起吗嗯 这个嘿 
嗯关闭国际长途国际长途业务 呃就是啊对 
喂 诶你好我我想叫你帮我取消那个那个三十元五五百兆的那个流量套餐 
喂你好就是帮我把这个手机上除了就是套餐以外的那些功能帮我关了吧 还有来电提醒啊 
啊我刚才办错了一个套餐我现在要退订 就是它每个月八块钱的套餐我不是要办这张卡我刚交咯 
我看护学校应该一样的稍等一下啊它就是说元一个是那个中学的 两个都是是小学有一个它应该有学校名一个工作人员的吧没有 
唉呀但是我那个要等一下诶您好啊你好帮我除了套餐外其他的业务给我取消 绑定了对只有一个我看下只有一个两块钱来电提醒可以取消 
哎你好我想那个下个月把那个十块呃来电显示就是直接打电话预约提醒 
号码 诶你好 
啊我想把那个音乐彩铃取消掉 噢 
诶你好我想我这个手机我想取消掉那个和校园的那个学校的那个它取消掉 等一下 
喂你好呃喂你好帮我把那个有一个来电网给取消掉 对 
帮我把卡上的增值业务预约取消一下 行噢嗯嗯不是 
那个彩铃帮我取消掉吧 啊自动取消是吧 
你好你好请问彩印跟来电提醒帮我取消 还是要哎哦对对哎 
哎麻烦你帮我那个就是嗯校讯通帮我取消掉 啊好诶那先麻烦你帮我另外两个号码的业务也取消一下 
我我那个好像有个包月十五块钱的不知道是什么业务帮我取消掉 吗噢好好好谢谢 
哎你好 你好 
请帮我那个就是您先帮我取消掉是包 
诶喂你好啊我想这个呃我想把那个那个东西加的那个呃在账户里我不用 就关闭了是吗 
喂你好我那个家庭通套餐帮我取消一下 嗯 
你好你帮我那个短信功能关掉 不知道然后那个上网也全部关掉 
呃我有我这个号码有办了一个二二零九尾数是二二零九付费的帮我解除掉 对有两个付费了 
哦 然后本机号码留个八块钱套餐其他的都帮我取消 
喂你好能不能帮我取消本机那个彩铃服务 行可以 
啊喂你好啊我想我想呃我想你帮我查查一下我那个手机里面呃套餐里面有没有那个没必要了付费的那个帮我取消掉 噢噢噢噢等会儿分钟之后再给您回电不好意思了嗯好的 
能不能帮我取消一下那个一个月五十元两g流量那个 对不要了 
呃喂你好那个能帮我取消所有业务吗就留一个那个套餐 噢好 
您好请说 恩好呃那个活动还没到期我看一下稍等然后看一下您这边是已经有登记自动取消了就十二月一号到期自动取消然后其他就一个四十八套餐 
你好我问一下那个校园卡的那个什么亲情包怎么了 好好 
诶喂你好 好的诶那个就是我想取消那个什么家庭流量这样子的那个主号怎么取消呢 
周文 嗯就是这样子我想关闭手机上网流量功能就是就是流量我不要了然后另外那个什么来电提醒啊之类的短信了我都不要了主要是订一个打出去就可以了 
帮我关一下那个流量重新做 多少还有什么可以帮助您 
哎你好能不能帮我把那个呃我那个什么三十块流量包帮我取消掉 噢 
喂你好帮帮我取消一下那个什么校园套餐吧 呃就就是我我我不想用了因为现在流量的话我打算就是另外买的 
诶你好把我那个上网功能关掉一下我流量已经用完了是吧 我的我的手机每个月五百兆流量都用完了是吧好 
喂你好诶麻烦你帮我那个流的其他功能都给我取消一下就留一个八十八元的套套餐 好好好那个那个八十八的套餐噢 
啊你好诶就是期间有一个那个移动的打电话过来噢本地服务的他说要办理那个流量套餐吗噢那之前有答应他就说呃都可以它没有它现在我回回回过去而且他没接那个我我这个套餐呢可以不要 呃它这个好像会会强制性吗还是怎么样 
哎你好 没有收正常 
早上接到一个电话就是零五九三二五八二九五零他说要办理那个流量套餐吗流量套餐我这边他说之前电话录音的我也答应他了啊可以办理现在我就是说不想办理这个套餐就是他说这边的话会被进行生效了 嗯它就是说办理就是一个月一g的要缴十块钱就是到几个月之后就说噢三十块钱 
哎你好 呃我我想取消下我那个这个套餐里面的一个一个套餐啊就是五十元那个流量套餐 
比如 喂你好给我这两城一家的停掉 
啊呃我里面有个彩印拿什么啊营业厅包办一个什么来电提醒正常帮我取消掉吗 的都帮我取消发了八块钱的就可以 
你好我是幺三八五零六五九二六的机主昨天晚上那个是吗你们那个移动营业厅的工作人员打电话向我介绍的那个应该是新新飞享五八的套餐吧 啊就就是那个呃那个那个四百分钟还有三个g流量的这 
噢我那个想取消五十五十元的那个流量 噢 
你好 嗯我想取消一个那个什么上个月还是取消我那个以前的三十八块钱的套餐的 
您好帮我除了套餐以外呢额外开通的东西帮我 帮我取消掉吧 
哎喂你好哎你好帮我里面有个什么三块九毛九的那个什么东西帮我关掉什么 对 
没再见 增值业务都取消 
嗯嗯 那个幺三九邮箱那个飞信帮我预约取消掉 
那个能不能帮我那个八十八块钱的套餐也取消掉 那帮我改成三十八的 
你帮我把那些我们移动梦网开关还有游戏点播功能了这些都帮我把它关掉 很多怎么会扣费的都帮我把它关掉就 
那我想问一下如果到时候反正套餐 诶那就是说就看一下那个移动有没有卡那个只要用户扣保现在扣够六十块一百分钟这个费用 
您好请讲帮我里面有一个那个上网的流量套餐关一下 呃六块钱的然后立即失效吧 
你好是这样子的我想删除一个家庭网的号码然后我现在不在你这边联系吗 五九幺二 
噢 吧你好麻烦你帮我除了九元的月租其他的给我关掉 
啊你好啊我订了一个那个九块钱的那个餐不要视频呢 诶对对vip的 
为您服务 喂你好呃我现在这张卡里面套餐我想取消只要主套餐去其他的帮我取消吧 
帮我把那个除了五十八的套餐其他的费用全部删掉 要 
喂你好噢呃可以把那个加应该给我取消掉吧 这个月马上请稍等 
嗯 
怎么就没有你好帮我套餐以外有取消一下 嗯嗯 
更改知道 你好我问一下这台 
诶帮我那个流流量安心包取消掉吧 那个 
你好你帮我把那个短信接收服务关闭一下 噢没关系你帮我关掉吧 
你好麻烦你帮我取消那个 诶我想问一下我这个号码可以申请那个嗯嗯说什么新飞享吗 
噢你好那个我又开通了一个那个十块钱的那个流量套餐帮我关掉一下 
您好请说喂你好 把那个新闻早晚报和返回生活取消掉 
我想请问一下我昨天晚上嘛那个不小心订了一个那个什么 
呃我前几天不是改了一个套餐嘛然后能不能帮我取消掉 就是我本来是八十八元的套餐然后我上次申请了一个五十块钱的套餐然后现在不是下个月才生效的能不能把那五十元的套餐取消掉我就用那个八十八元套餐 
噢您好是这样子稍等一下我看一下呃呃取消集团成员信息诶喂你好 二他说帮我取消一下集团成员信息 
啊 你好请帮我取消一下那个家庭网 
谢谢 呃喂您好嗯你能帮我查一下我 
呃您好帮我取消那个增值业务显 对本机的好 
喂你好 我那个 
您好请讲诶你帮我另外一个号码里面有一些功能取消掉噢恩号码您请讲幺八八然后呢五零九三然后呢四九八六 对啊 
你好我想预约取消了一个呃信息业务来电提醒咪咕特级还有彩印这些 嗯嗯 
喂你好我这手手机突然间不能上网了你这边帮我把四g功能关闭一下然后再重新开起来的 零九零幺幺七六位的 
诶你好那个就是你帮我取消一下那个ip专享流量的业务吧 行行 
诶你好你帮我那个上个月的那个嗯什么上网流量那个五块钱的套餐给我取消掉吧 噢 
诶我想问你一下我就说我如果说我这个本机就是说那个手机是那阅读它是它是本机就是保底消费九十块就可以就可以那个噢就是就就是一个月九十块噢 我知道就是说就是本机就保底消费九十块就可以了其他都不要了噢 
你好麻烦你帮我本机的那个无线音乐跟来电提醒给我关了是吧好那我帮您登记一下帮您关闭掉哈稍等一下就是说有一个基本套餐费就可以彩铃那些都关掉去 一般一个月十八块钱扣十块钱才一百分钟数的 
您好喂你好帮忙联系先生把那个彩彩铃取消掉 哎帮您 
哎你好那个我以前这个就是手机号码有跟别人办那个家庭 呃马上退出 
您好请讲 好请稍等哈 
喂你好 我想问一下我里面那个 
喂你好请帮我查一下本机没营销活动取消那些 啊 
噢帮我查查不是每个月也是五十块钱的流量包什么 我是我对是有是吧你能帮我取消 
呃你你好请帮我那个校校讯通关掉吧 噢上面谢谢 
怎么也帮我退掉当前的亲情号码 好 
一直在今年说那个就原来就是高高高 一年的那个一g包帮我取消掉 
喂您好 噢你你你帮我那个那那那几个把它退订掉了 
你好麻烦帮我这个手机号码里面一个动漫包给我关掉好不好 除了这个账单包里面还有什么消费什么 
你好帮我上网功能给我关掉呀 呃不知道诶 
四二我请问一下可不可以把我的那个三十元流量包给去取消掉 噢好谢谢因为它那个是省内 
啊你好我这边有之前有登记一个中原国际份有限公司那个什么微片的那个帮我取消掉 呃我现在 
你好你帮我取消那个流量包了吗 好谢谢啊 
喂 我那个流流量这个月帮我 
哎 哎请问一下我我要帮我取消那个十块钱的流量包那个取消掉我我的办个呃同城包吧那个叫叫什么啊 
咱们呼叫转移取消掉 当时转转到我手机来今天打电话 
八十八元套餐给我取消掉 麻烦你给我改成那个十八元的那个套餐不是有一个十八元的吗 
哎你好我是说可以行呃前几天他说打个电话过来说那个是上个月办办理那个五十元的一个月月租的然后我的那 我知道他说下个月啊哎下它下个月呃你帮你帮我帮我取消它现在是那个我那个不小心说他说现在是用六十块八六十块一个月应该改不了 
兆 您好你好那个我上次办了一个那个流量套餐好像三十块还是多少片想把它取消了就是从下个月开始不要 
你好好 听得到的 
呃我想把那个呃自动加油话费 喂 
哎你好 呃我我想把我手机里面那些嗯套餐之类的就把它取消掉你可以帮我们 
呃那个请帮我把那些流量流量包给我清掉一下 三十五十块钱到贵呀 
呃我想取消那个流量包 好 
嗯麻烦你帮我手机上的那个咪咕然后反正要收费的业务都帮我关掉吧噢 在嗯 
哎你好我我这个就是这个移动卡现在用的是五十八元的那个套餐你能不能帮我取消掉啦 是吧 
嗯我想那个确定那个彩铃业务还有咪咕四百元谢谢啊 就都取消 
喂 二十九兆那你给我关闭一下不然我开机了不然我要开起来是使用超过里面 
请讲喂你好不好意思打扰你帮我把那个我刚刚你们一个一年包月的一个月也要嗯是我看一下稍等一下一号键谢谢谢谢二零九八其他其他我状态 对对对对对来电提醒帮音乐过了然后那个彩铃再帮我预约取消 
呃你好我想取消掉一些套餐服务 卡呃我现在这个的话就是说呃我想把它改成最低的套餐可以吗 
把我那个点播功能关掉一下 一百分钟对尊享 
呃你好帮我把套餐外的业务帮我取消一下 忙死服务区外的话你们在福建这边的话在外地去的话打电话要两毛五一分钟忙的时候要三毛一一在本地这边打全国的话第一分钟两毛第二分钟一毛然后还有一个忙的时候是一分钟两毛六第二分钟一毛 
好的 好嘞诶你好 
嗯那个我在那个手就是流量秘书买的那个号码嘛然后呃我没有快递单号然后你你这边能帮我查一下吗 对它可以帮助不客气再见 嗯嗯 诶你好我想取消一下那个四g流量那个五十元套餐那个 
喂你好帮我上网功能关掉 现在有没有点播功能帮我关闭掉 
付款 对您好 
诶我这个话费太太高了现在有目前你跟我说一下这个关注一下跟来电提醒就可以了来电显示改过其他给我关掉噢 我这个不是三十八块套餐吗 
您好很高兴为您服务哎你好你那个帮我是手机有收费的东西帮我关掉 还要关掉路营业厅 
幺那个我把我想把这个手机里面就是套餐外的所有业务都关掉可以吗 家庭网不要吗对那就把家庭网关掉然后你把我这个套餐关那个换成少那个比较少的嘛 
麻烦你帮我那个集团业务那个取消一下吧 啊没错 
刚刚你帮我那个五十元一个g的流量帮我取消掉 嗯这样 
喂你好诶那个原来 元卡的时候就只能换手机吗 
诶不是啊我有一个那个预订了一个那个流量包嘛然后能不能这个月月满了然后帮我取消掉 
你好 我我这个什么嗯嗯嗯国阅读业务帮我取消掉咪咕阅读 
哎你好能不能帮我加通取消一下 嗯 
您好那个我想取取消掉我原来那个三八套餐要怎么弄 改改套餐吧在最便宜的套餐因为我这款手用 
哎噢你好噢那个十块流量包想把它取消掉我现在改成八十八块那那那那是什么 这样我刚才刚才刚刚登记办好了 
之前版的套餐我先看一下哈稍等您说的是五十八这个嘛还是三十元的 六十的是没看到我只看到的是三十元的下个月改成是五十八的要取消 
我有个号码有个共享功能帮我关掉一下 的套餐吗多少幺五幺五九九零二九二八 
啊诶你帮我里面把那些不需要的套餐帮我取消掉好像那个什么十五块钱的什么保障服务啊还有买的流量流量好的啊三十元流量要不要噢那个不要也要帮我取消掉 啊 
好好这都不买呀 哎这个到帮我把那个手机的套餐除了他固定收费的其他东西都取消了一下吧 
就这一个 呃您好你帮我把来电提醒取消一下咯 
那个咪咕那个什么什么什么什么彩彩彩铃用那个什么 为您 
哦 一些赠送的业务 
好的 诶你帮我看下我这手机那个什么咪咕音乐什么乱七八糟要开通来干嘛 
喂你好嗯那个我这个手机号码呃那个短信一号呢就是说我这个流量是两个号码不能再共享噢那你能不能帮我那个解除掉 呃解除共享 
这边的话我说哎麻烦帮我那个业务取消一下 他有没被八八的业务给它取消 
哎 我想把我想把我这我现在套餐也取消掉 
你好 诶我我这个手机号码噢 
啊你好呃我我想麻烦你帮我把那个新闻早晚报取消掉 噢 
哦你能不能帮我一些增值业务给它取消 如果 
哎你好你帮现在帮我查一下我这个手机彩铃现在是决定了行行行的像还是取消 三个 
喂 喂我我要取消那个手机的所有什么七七八八的主要套餐以外不同 
喂麻烦你帮我把这个卡里面那些业务什么东西给我取消掉 这样子啊就那个套餐三十八元那个不能取消那个那别的都给我取消掉 
哎你好能帮我把本机的那个 那个取消然后嗯我看到我这边还有一个什么来电显示费五块钱是吗那个是要收费的吗 
嗯能不能帮我这个手机那个彩铃给删掉那个订掉 从下个月开始是吧 
诶喂你好哎你好 不客气 
喂你好我那个帮我帮我取消一下那个七十块钱两g流量包那个能不能取消帮我看一下 到下个月一号是 
你好把我手机上面的办什么业务全部停掉 对啊基本费就可以其他什么套餐全部取消掉 
哎你好我想取消一下我那个手机里面什么家庭网那个套餐是 刚对啊要立即取消我这边要转回的呀 
要不然那来电提醒关掉 噢没有了 
你好把我那个流量那个十块钱的给他关掉流量包 噢好好好好好好 
嗯 喂你好我想我想把我那个家庭网有一个号码那个给我弄出来然后换一个号码行吗 
呃你好帮我看一下我我就我就这个号码的那个套餐我这亲情通我想再取消掉 亲情通了然后其他我这个其他我这个每个月二十要交多少钱啦什么桂圆 
