嗯 嗯 你好   喂 您好 我 想 反映 一下 要是 你们 这 你们 这个 移动 的 网络 信号 在 我们 这边 村里 怎么 就 不能 使用 了   有 不能 使用 是 在 这个 呃查 它 写 村 对 吧   作为   诶 我 帮 您 看 一下 您 稍 等   短信 信息 好好 嗯
很 高兴 为您服务   唉 你好 我 那个 信息 发 不 出去 了 帮 我 处理 一下 呗   噢 好 的 原因 是 跟 您 说 一下 根据 广大 用户 不变   对 您 说   呃 就是 流量 就 帮 您 发 商业性 的 广告 信息 我 现在 恢复 您 稍等一下 就 现在 目前 已经 停掉 多少 暂时 不能 恢复 的 我 可以 帮 您 转到 专席 给 您 反映 一下 或者 帮 您 受理 下来 由 专人 给 您 处理 的   那 我 昨天 你好
您好 很 高兴 为您服务   喂 你好 呃 我 现在 我 现在 这个 在 这个 位置 有时候 打电话 打 不 出去 的 时候 能 打 的 出去 它 是不是 这里 是不是 已经 做 了 屏蔽器   嗯 您 周围 其他 移动 号码 都 有 这个 问题 吗   都 有 这个 问题   的 问题 的话 可能 是 信号 问题 的 其他 问题 的话 我们 有 您 大概 问题 有 多久 了 呢   有 这个 问题 好长时间 了 但是 不是 的 他 有时候 可以 打 出去 是 肯定 是 有 人工 的 屏蔽器 应该 是
很 高兴 为您服务   喂 你好 中国移动 是 吧   恩 上海 移动 您好 有 什么 可以 帮 您 哎   我 的 手机号码 为什么 老是 电话 打 过来 打 不 进去 什么 道理 啊 这个 信号 这个 卡 打电话 是 吧 我 再 充 一千块 钱   因为 其他 移动 号码 都 有 腾讯 号 问题 是 吧 还是 也 就是 什么 道理 啊 那 信号 问题 的话 就 可能 是 指 但 不 太 稳定   那 这样的话 我们 要换 其他 了 最低 差不多 了 百分之一 呃
您好 兴 为您服务   小姐 我 想 帮 你 帮 我查 一下 我 这个 是 废话 手机 打 过去 永远 都 一下 就是 正在 通话 中 这 是 手机 关心 的 不是 应该 要 提示 关机 的 对 吧   这个 手机 上 是不是 开通 了 模式 啊   啊   流量 是不是 开过 了 模式 了 呀   我 不 知道 呀 你 你 帮 我 看 一下 这个 我 说 您 手机 上 都 开 了
您好 很 高兴 为您服务   喂 你好 我 想 咨询 一下 你们 移动电话 如果 是 没有 信号 是 怎样 反映 的   没有 信号 吗   对   想 问 一下 这种 情况 出现 多久 了 呢 是 最近 出现 还是 中国 的 意思 就是 我 打 一个 电话号码 我 打打 了 一 下午 然后 他查 一下 他 跟 我 说 呃 账 怎么 尽快 通知 对包   就是 没 信号 的 反映 吗
高兴 为您服务   啊 唉 那个 你好 小姐 我 我 的 那个 iphone 六 手机 啊 我 怎么 会 打电话 老是 打 了 大概 一分钟 不到 老是 会 断断 了 以后 我 同样 是 我 为什么 老是 会断   断 的话 您 那个 sim 卡 的话 是 是不是 剪卡想 换 了 有 信用卡 吗 呃 我 听 我 听不懂 是 什么 意思 他 的 手机卡 是   换成 卡 呢 还是 东西 我 都 没有 没 换卡 呀 就是 新卡新 卡新卡 呀 现在 也 没用 了 那 我 以前 我 我 以前 没有 这种 问题 的 呀 我 以前 没 这个 问题 呀 我 就是 这 段时间 老是 打打 的 唉 到 了 后来 人家 说 我 现在 说 你 你 大概 打电话 的 时候 是 碰到 屏幕 了 可能 会断 啦 但是 我 现在 没有 我用 耳机 我 在 公司 用 耳机 也 是 打打 打 打断 了 断 了 我 就 重新 按   老子 那 那个 sim 卡 放到 其他 的 手机 上 试一下 如果 有 其他 的 问题 的话 可能 是 确认 好 的 问题   你 我 这里 边 的 信息 现在 小卡有 问题 的 对 不 对 对 有 可能 是 这样 的 先输 那 那 是不是 这个 小卡要 到 移动 去 那个 王要 去 换 一下
您好 预处理 专席 代表 很 高兴 为您服务 就 手   无法 拨打 的 二十元 左右 电话 不进 不出 了 是 这个 意思 是 是 这样 的 就是说 我 刚才 五个 人 打 我 电话 就 三个 打 的 通 两个 打 不通 然后 我 打电话 时间 也 会 出现 就 不分 打通 后面 就 这样 是 这样   对方 的 号码 有 什么 更新 吗 比如说 都 都 是 联通 的 电信 的 还是 都   这个 业务 啊 呃 移动 也 有 联通 有线 请元   请问 什么 时候 发生 的 开始 有 的   应该 是 我 没 记住 的话 是 昨天 因为 昨天 我 又 有人 打电话 给 我 然后 他 就是 发了 那种 像 和 语音 的 那个 留言 吗 说 你 在 几点钟 就 有人 打 您 的 电话 看到 去 恢复 但是 那个 今天 我 朋友 正好 打 我 电话 也 是 出现 这个 情况 然后 我 一 开始 打 移动 问 他们 说 这个 是 iphone 的 一个 什么 让 我 关闭 后面 我 也 是 关闭 了 然后 那条 短信 来 关闭 了 好 了 以后 然后 毅然 就是 打 不 通电话 就是 就是 那条 短信 没有 提示 的 短信 没有 了 然后 后面 我 去 移动 营业厅 跟 他们 说 这个 你 帮 我 想 是不是 卡坏 了 需要 换卡 他 跟 我 说 不 需要 清楚 一下 里面 的 数据 就行了 因为
兴 为您服务   你好   而且   我 想 我 想 问 一下 我 那个 手机 啊 联网 联联 不 上 原来 没 这样 的 情况 今天 发现   是 用 家里 的 宽带 无线网络 连接 连 不 上去   我 这边 是 路由器 吧
您好 很 高兴 为您服务   噢 先生 你好 我 是 这样 的 我 今天 出国 了 号 几个 电话 都 是 重要 电话 我 在 家里 呀 一点 信号 都 没有 不 知道 移动 怎么 了   您 现在 是 在 什么 地方   我 现在 在 宝山区   帮 您 看 一下 啊 嗯 出来 那个 一二八 七年 路 吗   不是 要 办 几元 我 在 这个 顾村 这里 是 电台 路
您好 很 高兴 为 您   唉 喂 你好 那个 我 有 一个 问题 就是 我们 我 这个 小区 我 在 那个 一楼 啊 没有 信号   手机信号 吗   对 手机信号 没有 信号 一点 都 没有 现在 您 的   家人 都 需要 吗 嗯 现在 还 在 吗 您好 您好
很 高兴 为您服务   唉 你好 我 电话 现在 可以 打 出去 电话 但是 接 不 进来 然后 你们 刚才 告诉 我 打 进点 二 幺 井 然后 再 重启 我试 过 了 还是 不行   呃 您 不好意思 之后 它 上面 会 显示 什么 什么 取消 的 这种 标识 上面 之前 有 跳 出来 过 吗   啊 什么   你 按井二 幺 井 按 一下 拨打 上面 跳 什么 这样 出来 的   什么 设置 什么 呼叫转移 怎么 取消 你们 所有 成功 是 吧
您好 高兴 服务   你好 我 的 怎么 没 网络 呀 没 网络 了   没有 网络 了 对 啊   五五 微信 就 无法 连接 上面 网络   嗯 可以 呃 您好 先生 感谢 耐心 等待 我 看 您 这边 手机 上 的 上网 功能 的话 是 有 的 呀 正常 的 呀 手机 关机 重启 试过 吗   哦 没有 我 就是 我 怎么 在 我 一看 那个 网络 没有 了 我 现在 这个 套餐 是不是 有 那个 五十 g 流量 五十 基本 的 本地 流量 是 吧
那 你 很 高兴 为您服务 唉 为什么 我 现在 手机 好像 不能 接听 短信   不能 接 短信 了 吗   对 很 奇怪   那 您 发短信 可以 发了 两毛   我 没 去过 因为 我要 呃 登陆 一些 网站 然后 有没有 短信 确认 但是 就 有 短信 一直 收不到   呃 您 是 说 那个 那个 服务 的 验证码 是 吧
很 高兴 为您服务   唉 你好   请 说   短消息 发 不 出去   就 这个 号码 对 吧   对
很 高兴 为您服务   您好 有 什么 可以 帮 您 嗯 我 我 不是 我 的 这个 小区 啊 不 知道 恩 移动 的 信号 差 的 是 一 差不多 啊 打电话 太 不 方便   呃 不好意思 给 您 添麻烦 是 周围 其他 的 移动 号码 都 有 其他 的 问题 吗   对 所有 的 移动 号码 都 都 是 号码 都 是 麻烦 反正 我们 在 家里 就是 别人 在 我 手机 没 信号   就是 电话 不能 打 流量 能 上 吗   流 流量 我们 家有 那个 宽带 的 应该 余额 发 的 都 都 不用 了 就是 手机信号 一大 我 打电话 都 打打 不 出去
很 高兴 为您服务   哎 麻烦 你 帮 我 转接 一下 这个 维修 维修部 好 吧   宽带 吗   不是 那个 电 电话 的 信号   手机信号 不好 对 吗   对 我们 我们 整个 公司 这里 就是 所有 电话 都 打 过去 都 是 五 暂时 无法 接通 一直 都 是 移动
为您服务   唉 你好 我 的 身份证 上面 的话 还有 另外 一张 电话卡 然后 我 一回 上海 就 显示 无 服务 但 我 回到 杭州 的话 它 就是 正常 的 使用 帮 我 能查 一下 吗   呃 您 报 一下 号码 给 我   呃 幺 三八 六七 幺 六零 七四 幺   呃 您 幺 三八 六七 幺 六零 七二 这个 号码 是 上海 移动 的 号码 吗   嗯 不是 我 现在 拨打 给 你 的 这个 是 上海 号码 我 给 我 给 你 这个 杭州 号码
您好 很 高兴 为您服务   你好 唉 我 问 一下 我 这个 地方 为什么 今天 都 没有 信号 呢   信号 您 说 您 这个 地方 没有 信号 那边 移动 号码 都 没有 啊 办理 我们 办 不了   移动 移动 的 就是   什么 时候 发生 的 这个 情况   最近 呢 又 一个 礼拜 的
您好 很 高兴 为您服务   唉 你好   唉 那个 我 这个 短信 发出 去 了 然后 刚刚 打 客服 说 他 帮 我 解封 了 怎么 到 现在 还是 发票 呢 稍 等 我 查询 八 零零 您 现在 短信 功能 已 被 停机 多次 现在 没有 办法 恢复 了 这个 月 你 平均 三次   是否 恢复 不了 的 这个 月 对 呀 您 是 八月 三号 回复 了 已 是 八月 四号 回去   然后 是 在 一月 十八号 就 可以 了   但是
您好 很 高兴 服务   噢 是 这 样子 我 的 我 的 那个 电话 就 就是 呃 没 打 出去 但是 呢 就是 好像 打接 不到 吗   就是说 算 这种 在 手机 上去 一下 井井 二幺井 拨号键 然后 再 帮 您 手机 关机 重启 一下   就是 昨天 让 我 试一下 你 稍等一下 嗯 你 等 一下 那个 说 什么   在 您 手机 上 操作 井号 井 号 二 幺 井 号 再 按 拨号键   呃 井 号 井 号 二 幺 井 号
您好 很 高兴 为您服务   呃 我 有 一个 手机号码 没 信号 了   呃 微 信号 报 一下 号码 多少   幺 三四 九七 二七 二三 幺 幺 三   幺 三四 七 二七 二三 幺 幺 三 对 吧   三 幺 幺 三三对
您好 很 高兴 为您服务   喂 你好 先生 我 想 请问 一下 我 这个 这个 手机 怎么 现在 数据 怎么 怎么 那个 上 网上 不去 了 吗   这 上网 功能 是 正常 的 您 处理 数据 开关 打开 也 不能 上 对 吧   对 呀   月初 的 时候 停过机 的 停机 之后 要 关机 重启 一下 是不是 没有 重启 手机   噢 要 归要 关机 也 重置 这 是 啊
您好 很 高兴 为您服务   喂 你好 呃 我 想 咨询 一下 就是 我 的 手机号码 就是 几天 好像 是 说 很 不 容易 打 进来 现在 有时候 手机 正常 但是 他 又 说 电话 打 不通   是 打 过来 什么 提示 一年 不到 吗   是 要么 就是 就是 是 断线 电话 是 无法 接通   您 是 上面 是不是 开 我 老婆 是 吧 你 看 一下   我 检查 过 了 没有
您好 很 高兴 为您服务   唉 我 加个 移动 信号 越来越 差 了 怎么办 呢   就 家里 其他 移动 号码 都 有 同样 的 信号 计算   唉 我 我 家里 现在 我 用作 自己 的 座机 打 自己 的 手机 在 你 这里 可以 的 我 靠近 窗户 可以 的 我 到 厨房 接 就 没有 了 打 都 打 不 进去 来电显示 来电显示 是   那个 南京 西路 那个 地方 吗   唉 对 呀
您好 兴 为您服务   唉 你好 我 刚刚 查 就是说 你们 这边 打电话 说 我 我 昨天晚上 就 反映 给 我 就 上 不了 网 然后 他 跟 我 说 这个 修好 了 但是 我 反映 一下 就是说 没有 啊 这边 根本 就 没有 有 呃 有时候 我 这个 打电话 打 过去 不会 畅谈 王   您 手机 是 不能 上网 吗 之前   对 他 打 你们 这边 打电话 给 我 反映 一下 这个 卡 但是 没有 好 啦 让 我 关机 然后 我 重新启动 有没有 好 啊   先 把 那个 手机号 能报 给 我 一下 是 哪 一个 反映 的   幺 三 六
为您服务   喂 您好   您好 您 说   我 在 北京 东路 没 信号 啊 过 了 好几个 月 了   噢 附近 其他人 有 信号 吗   没有 啊
为您服务 喂 你好 请稍等 是 呃 我们 办公室 就是 那个 信号 信号 老是 显示 满格 老 是 断线 就是 把 惠惠新 呃 反正 信号 部门 啊 这个 这个 怎么 怎么 那个 线 呃 在 那个 呃 浦东新区 周浦 这边   浦东新区 啊 问题 出现 有 多久 了   号 起来 一直 一直 没 搞 也 不是 一两年 了 有 是 的   这个 帮 您 转到 我们 信号 部门 反映 一下 请 您 不要 挂机 周围 其他 号码 都 一样 对 吧   呃 什么 其他 号码 移动 号码 都 有 这个 情况 呢 对 就是 我们 我们 公司 里面 所有 的 同事 打电话 就是 老是 断 或者 打 不通 请 按 两个   嗯 好 那 好 解决问题 我 将 电话 转 专席 处理 请稍等
您好 很 高兴 为您服务   喂 你好 我 想 问 一下 我 现在 使用 这个 卡 只能 接电话 不能 打电话 是 什么 原因 呢   稍 等 我 看 一下 啊 小姐 他 是 一张 那个 mpm 的 无线 上网卡 它 这个 网卡 的话 只能 是 用来 上网 和 接听电话 短信 和 语音 功能 都 没   噢   就 买 的 时候 就是 定死 的 这个 功能   他 他 上网 这是 怎么 使用 呢
很 高兴 为您服务   唉 你好 你 看 我 现在 所处 的 公司 为什么 信号 移动 信号 一 一直 很 不 稳定 吗 然后 然后 在 在 楼上 办公会 少 一点 楼下 办公 就是 无 服务   周围 其他人 都 有 这个 情况 吗   对 的   好 的 稍等一下   喂
谢谢 啊   唉 喂 你好 我要 投诉 这个 信号 其他 问题 我 这边 是 嘉定区 外冈 西路 一百号 当地 厅 系统 我们 手机信号 移动 信号 在 这个 意思 说好 你 稍等一下 我 今天   需要 办 五块 月租 我 刚刚 受理 一个 那个 地方 的 投诉   啊 对 就是 我们 同事   啊 对 已经 帮 您 转过 去 受理 了   可是 你 这里 我 这 已经 有 一段时间 了 你们 好像 没有 任何 改变 最近
您好 很 高兴 为您服务   唉 我 加个 移动 信号 越来越 差 了 怎么办 呢   就 家里 其他 移动 号码 都 有 同样 的 信号 计算   唉 我 我 家里 现在 我 用作 自己 的 座机 打 自己 的 手机 在 你 这里 可以 的 我 靠近 窗户 可以 的 我 到 厨房 接 就 没有 了 打 都 打 不 进去 来电显示 来电显示 是   那个 南京 西路 那个 地方 吗   唉 对 呀
您好 很 高兴 为您服务   喂 唉 你好 我 我 就是 那个 想 问 一下 呃 我们 这边 是不是 宽带 和 有线 都 不好 啊 今天 早上 都 没有 信号 吗   现在 是 跟 宽带 都 不能 用 吗   对 都 没有   是 来电 号 办 的 这个 地址 宽带   对 的 对 的
很 高兴 服务   喂 你好 您好 请 讲 哎 我 想 考试 一下 那个 呃 安顺 路 长宁区 广顺 路 嗯 呃 九十六 号 话费 市场 这 里面 没 信号   周围 人 都 一样 吗   呃 对 我 已经 打 到 去年 从 去年 的 九月份 来到 现在 到 一年 了 他们 过来 啊 没 过来 呃   侬 的 问题 没有 解决 是 吗   没 解决
高兴 服务   喂 你好 我 的 网络 已经 费用 已经 发短信 两个 小时 了 为什么 还是 不能 用   停止 是 宽带 还是 手机 流量   手机 流量   手机 流量 是因为 您 今天   欠费 过 了
您好 很 高兴 为您服务   嗯 就是 我 刚才 已经 报修 过 了 就是 龙江路 三百 七十 号 的 那个 网络 没 信号 然后 也 有人 给 我 打电话 了 呃 它 说 了 一大堆 好像 不是 他 嗯 他 没有 必要 好像 来修 的 是 我们 这边 的 问题 因为 我 也 搞不清楚 啊 因为 他 也 没来 修过 他 就 跟 我 说 您 应该 这样 那样 那样 那样 我 全部 弄 好 了 但是 现在 是 没有 没有 信号 好像 他 是 不 太 愿意 来修 这种 感觉 啊 呃 我 也 不 知道 怎么办   你 这边 有 他 联系电话 吗   有 的   那 你 直接 打 过去 你 说 这个 问题 我 打 过去 了   我 打 过去 了 它 说 了 一大堆 理由 他 说 他 不是 他 的 原因 我 真的 很 奇怪 他 也 没来 他 怎么 知道 一百
为您服务 喂 你好 请稍等 是 呃 我们 办公室 就是 那个 信号 信号 老是 显示 满格 老 是 断线 就是 把 惠惠新 呃 反正 信号 部门 啊 这个 这个 怎么 怎么 那个 线 呃 在 那个 呃 浦东新区 周浦 这边   浦东新区 啊 问题 出现 有 多久 了   号 起来 一直 一直 没 搞 也 不是 一两年 了 有 是 的   这个 帮 您 转到 我们 信号 部门 反映 一下 请 您 不要 挂机 周围 其他 号码 都 一样 对 吧   呃 什么 其他 号码 移动 号码 都 有 这个 情况 呢 对 就是 我们 我们 公司 里面 所有 的 同事 打电话 就是 老是 断 或者 打 不通 请 按 两个   嗯 好 那 好 解决问题 我 将 电话 转 专席 处理 请稍等
您好 很 高兴 为您服务   一共 呃 我 今天 的 时候 开始 我 怎么 不能 上网 了   呃 您 的 不能 上网 您 稍 等 我 帮 您 看 功能 都 正常 的 今天 因为 是 欠费 停机 过 了 因为 扣 月租 了 吗 因为 每次 欠费 停机 就 不能 就 上网 功能 会 被 关掉 您 只要 手机 关机 十分钟 再 开机 就 能 上 您 试一下 好 吗   因为 我们 关机 再 开机 是 吧   对 关个 十分钟 到 五分钟 长时间 看 一下 再开 就 可以 了 啊 好 的 好 的 谢谢 啊 好 没关系 祝您 生活 愉快 再见
您好 很 高兴 为您服务   哎 你好 你 能 帮 我 看 一下 就是 我 那个 这个 手机 吗 就是 他们 专门 说会 打 不 进来 打 进来 说 就是 没 留言 啊 什么 什么 的 但是 我 明明 就是 手机 就 开 的 就 没有 任何 问题 的   打 进来 留言 来电 提醒 打 进来 呃 这边 的话 打 出去 可以 吧 这个 状态 打 出去   的 钱 就 别人 打进去 有 一次 我 自己 也 看到 吧 就是 别人 打 给 我 他 想 了 一下 我 还 没 来得及 接 然后 就 断掉 了   打多 手机 是 吧 爱 疯 手机 是 吧 转 语音信箱 对 吗 对 的 对 我 教授 的 那个 什么 和 流言 好像 核对 是 爱 疯 手机 是 吧 对 的 也 就是 手机 的 那个 就是 以 自带 的 一个 语音信箱 功能 这边 要 把 它 关掉 的 我 帮 您 转接 到 那个 就是 爱 疯 专席 您 问 一下 怎么 把 它 关掉 您 本身 这个 卡上 没 订过 这个 业务 好 那 您 稍 等 啊 不要 挂机 为了 更好 听 你 再 把 电话 转 专席 处理 请稍等
您好 很 高兴 为您服务   哎 你好 我 想 问 一下 怎么回事 现在 我 打电话 声音 哎 你 把 这个 按 的 呃 短信 就 说 现在 一个 信息 都 收不到 是 什么 情况   您 说 您 短信 收不到 啊 所有 信息 都 收不到 吗   不是 就是 我 跑 到 银行 要发 不了   幺 零 幺 零零 八六 信息 收不到 话费 形式 没有 啊   对
您好 很 高兴 为您服务   啊   哎 您好 能 听到 吗 您 请 说   那 现在 今天 这 手机 怎么 老是 网络 没有 的 呀   有 什么 提示 网络 没有 上 网上 不去 是 吧   对 对 对 对 对
您好 很 高兴 为您服务 喂 请问 还有 什么 可以 帮 您 你 先 把 你 的 那个 副 号 是 多少   幺 零三 幺 三   幺 幺 三 幺 三号   对   我 现在 有 一件 事额 女儿 现在 在 国外 他 哪里 用 的 手机 现在 人流量 所有 的 信息 什么 都 收不到   嗯
您好 很 高兴 为您服务   哎 你好 我 想 问 一下 我 的 数据 流量 为什么 打 不了 视频 嘛 你 那个 可以 查 得到 吗   您 说 上 网上 不去 吗   呃 对 上网 视频 打 不了 就是 上网 可以 查 然后 就是 视频 大不了   什么 叫 视频 打 不了 不 懂 嗯 上网 可以 上网 什么 视频 打 不了   什么 时候 就是 对面 看不到 人 的
您好 很 高兴 服务   哎 你好 我 想 问 一下 那个 共康六村 一百六十六 号 这里 这个 移动 信号 很差 的   电话 都 不能 打 了 是 靠近 一二八 纪念 路 吗   嗯 靠近 更好 没有 分成 路 这里   好 这边 的话 就是 因为 您 所在区域 正在 进行 网络 升级 你 提供 更好 了 一个 通讯 服务 请 您 稍后 再试 进行 两天 您 这个 区域 都 是 一样 的 现在 目前 在 网络 网络 升级   什么 时候 好 呢
您好 很 高兴 为您服务   噢 你 是 丹东 还是 上海 的   上海 移动 这边 噢 好 的   哎 麻烦 你好 吧 我 现在 那个 手机号码 什么 情况 的 就 无法 接通 一直 无法 接通 哪个 号 帮 我 查查 一下 幺 幺 幺 三 六七 在 老家 幺 八七 二 五六 一 六一   二 五六 一是 吧   二
您好 很 高兴 为您服务   唉 小姐 你好 为什么 我 的 这个 手机 它 这个 网络 吗 必须 有时候 就 没有 啊 像 现在 我 就是 没有 网络 什么 事情 都 做不了 啊 怎么 有 疑问   还是 上 网上 不去 现在   对 的 对 的 就是说 我 上 不了 呀   什么 时候 能 上 网上 不去 的   有时候 经常 会 但是 现在
您好 很 高兴 为您服务   唉 你好 我 那个 数据 不能 打电话 了   不能 打电话 您 稍 等 啊 您 这 因为 是 实名制 关系 啊 您 这个 要 去 做 一下 实名制 的 带 好 您 的 身份证 原件 到 移动 营业厅 做 一下 实名制   嗯 这卡 应该 是 老人 在 路边 买 的   对 现在 因为 国家 规定 很 严谨 的 必须 要 做 实名制 的 不管 在 哪里 面都 是 要 去 做 一下 实名制 的 好 吧   嗯 对 就 我 知道 就是 老是 在 路边 买 它 这个 不是 用 自己 身份证 实名 的
您好 请 讲   唉 先生 你好 我 问 一下 你 我 我 那个 就是 电话 发 信息 为什么 总是 发 不 出去 啊   是 本 机号码 发短信 发 不 出去 吗   对发 不 出去   这边 看到 您 目前 的话 功能 是 正常 的 之前 的话 可能 因为 欠费 所以 没有 办法 发   现在 是 那样 这个 我 没有 去 付费 我 如果 没有 回复 电话 到 营业厅 的
您好 很 高兴 为您服务   唉 你好 麻烦 我 想 问 一下   嗯 嗯   那个 我 这个 手机 的 号码 那个 今天 为什么 再见 是 这样 的 抱歉 然后 就 他 电话费 还给 我证码 我 都 收不到 知道 为什么 刚才 为 您 接通   就是 收不到 一些 验证码 短信 是 吧   对 对 对 对 对 对
公司   喂 您好 很 高兴 为您服务 我们 这个 这个 地方 那个 信号 比较 差要 怎么 给 你们 反馈   嗯 信号 比较 差是 移动 信号 是 吗   移动 信号 对 他 是 新 小区   辖区   先生 的 电信 的 现在 小区 新 的 小区
您好 很 高兴 服务 喂 你好 您好 请 讲 那个 我 这个 号码 呢 我 最近 是 应该 清 七六 星期天 吧 但 香 香港 嗯 一趟 香港 的 然后 呢 呃 当时 他 就是说 就是 因为 我 开通 了 漫游 服务 吗 再 开过 了 开通 以后 呢 呃 就 显示 什么 什么 到 香港 三十块 钱 一整天 的 上网 到 封顶 的 这个 信息 这个 信息 这个 我 是 接受 了 一半   然后 另外 一半 的 它 也 没有 发过来   短信 我 这边 把 这个 提示 短信 方式 相当于 您 注意 查看 一下 香港 的 资费 也 会 短信 方式 发给您 的   呃 没 你 不 知道 是 那个 什么 情况 然后 他 那个 短信 发了 一半 那 现在 他 手机 老是 显示 是 吗   信息 没有 发送   然后 什么 出没 重新 发送 然后 每次 点 这个 东西 就 会 弹出来 那个
您好 很 高兴 为您服务   唉 你好 是 这样 的 我 想 咨询 一下 就是 我 这个 月 唉 不好意思 那个 为什么 我 我 这个 电话 里 听到 我 的 回音 啊   没事 话筒 的 问题 吧 我 这边 听 您 声音 很 清楚 啊   怎么回事 啊 算了 我 客服 一下 这个 我 问 一下 我 现在 就是 我家 人 跑 到 非洲 去 了 他们 是 非洲 里边 然后 出去 的 时候 没有 开通 漫游 这个 样 啊 对 对 对 对 对 短信 电话 都 他 这个 可能 是 国外 需要 办 一个 业务 可能 需要 收 短信 验证码 呢 他 现在 这个 应该 怎么 操作   他们 就是 密码 您 有 吗   呃 密码 我 还 没有 问 我 先 打电话 过来
您好 兴 为您服务 唉 你好 有 什么 可以 帮 您   我 这边 手机信号 为什么 老是 不行 啊   手机信号 您 周围 其他 号码 都 有 同样 情况 吗 您好   看看   我 说 你 周围 其他 的 号码 的 都 都 有 同样 的 问题 是 吧   周围 的话 就 有些 不太好
为您服务 喂 你好 我 的 手 机务员 经常 打 不 出来 没有 反应   嗯 打 进来 听到 提示音 什么 他们 对方 听到 提示音 是 什么 打 您 电话   呃 稍后 用 短信 通知   来电 提醒 我 看 一下 啊 您 打 出去 可以 了 打 出去 有 问题 吗   打 出去 没 问题   好 的 打打 不 进来 对 吧 您 这样 稍后 用本机 编辑 一下 井号 井 号 二 一井号 然后 按 一个 打电话 那个 绿色 键 把 它 拨出去
您好 很 高兴 为您服务   呃 我 的 那个 网络 突然 没有 了 是 三点钟 就 出来 网络 没有 了   网络 没有 了   对   地址 是 哪里 呢   呃 常州 路 幺 四 三 六号 二十九 一 四
你好 您好 很 高兴 为您服务   喂 你好 我 的 手机 怎么 挂 不出 四 g 网络   嗯 先生 您 网络 都 正常 的 请问 您 那个 手机 是 支持 移动 四 g 的 吗   啊 就是   你 手机 那个 是 什么 牌子 呢   不用 我 时间
您好 很 高兴 为您服务   呃 我 的 手机信号 不好 可以 投诉 一下 了   呃 您 周围 其他 移动 号码 就 家里 的 其他 移动 号码 都 有 这个 同样 的 问题 是 吧   是 的   我 帮 您 转到 我们 的 信号 部门 给 您 反映 一下 大概 问题 有 多久 了   就 就是 这样 了 上次 投诉 啦 现在 保障
您好 很 高兴 为您服务   唉 你好 小姐 我 想 问 一下 我 这个 网 怎么 连接 不 上去 我 想 问 一下 就是 用 我 是 去 移动 开 了 但是 无法 连接   四 g 网络 才能 发给 接入 我 看 一下   开 其他 快递 我 已经 关机 了 关机 了 按次 了 你 看 是不是 就 但是 我加 的 是 一个 那个 叫 什么 流量 的 那个 地方 吗   叠加 包嘛 看 一下 您 上网 功能 也 都 正常 的 要 不 我 这边 帮 您 后台 数据网络 刷新 一下 北京 西路 块 过 一会 关机 开机 试一下   好 的 好 的 好 的 行 麻烦 您
您好 很 高兴 为您服务   呃 你好 我 是 浦东 益江 这边 还是 一样 的 我们 这个 小区 的话 呢 的 一个 信号 都 没有 然后 出 了 小区 的话 呢 就 信号 了 我 想 这个 手机 是 你们 装机 办 了   您 说 那边 没有 信号 是 吧   啊 对 的   好 请稍等 我 看 一下   知道 恩
您好 很 高兴 为您服务   喂 你好 我 刚才 给 你们 打 过 电话 我 那个 卡 昨天 我 换成 四 g 的 然后 昨天 回来 我 看 手机 上 显示 是 四 g 今天 一看 现在 还是 二 g 的   那边 网络 设置 为 四 g 网页 现在 您 看 一下 条 那个 设置 嘛 对 不 对   后来 说 名字 这是 怎么 设置 我 里面 查不到 有 什么 设置 是 四 g 网络 的 呀   你 手机 是 什么 牌子   多少
您好 很 高兴 为您服务   那 现在 这个 电话 怎么回事 啊 老 是 打 打电话 这边 听 不到 或者 是 我 这边 听 不到 别人 说话 信号 怎么回事 啊   呃 总是 出现 就是 要么 听 不到 别人 别人 听 不到 你 的 声音 对 吧 您 周围 其他 移动用户 也 是 同样 情况 吗   都 是 啊 大家 都 现在 好多 人 都 反映 那种 情况 现在   上海 什么 区 啊   我 在 浦东 啊
您好 很 高兴 为您服务 您好   你好 我 想 问 一下 我 手机 为什么 突然 今天 早上 没有 最低 信号 了 呀   没有 四 g 信号 比如说 没有 觉得 你 也 不 知道 四 g 标识 的 对 吧 是   而且 网 也 上 不了   网络 这边 没有 帮 您 关闭 过要 不 我 帮 您 设置 一下 您 稍后 重启 一下 再试一下 网络 没 没有 没有 听过 呀 您 用 的 是 安卓 的 手机号   好 的
您好 很 高兴 为您服务 唉 你好 您好   是 呃 机主 本人 现在 正在 那个 美国 然后 他 的 电话 突然 之间 拨 不 出来 但是 可以 接到 电话 是 为什么   哦 好 我 看 一下 就 您 刚 说 的 那个 幺 三八 那个 号码 对 对 对 哎 显示 都 是 正常 的 然后 那个 它 都 正常 是 吧 我 帮 他 刷新 一下 他 的 那个 状态 您 用 他 手 机关 五分钟 重新 开机 试一下 好好 好 谢谢 啊 不 客气 请问 还有 什么 可以 帮 您   不用 了 谢谢
您好 兴 为您服务   喂 你好 我 想 问 一下 这边 信号 不好 零一   嗯 嗯 您 是 周围 其他 的 号码 都 一样 的 情况 吗 金额 不好 在 哪个 区 啊   松江区 新加 的   就 办理 了 信号 部门 给 您 报修 大概 问题 有 多久 了 嗯   嗯 嗯 五月 十七号 到 现在 一直 都 是 这样
