嗯 嗯 你好   喂 您好 我 想 反映 一下 要是 你们 这 你们 这个 移动 的 网络 信号 在 我们 这边 村里 怎么 就 不能 使用 了   有 不能 使用 是 在 这个 呃查 它 写 村 对 吧   作为
很 高兴 服务   喂 你好 您好 请 讲 哎 我 想 考试 一下 那个 呃 安顺 路 长宁区 广顺 路 嗯 呃 九十六 号 话费 市场 这 里面 没 信号   周围 人 都 一样 吗   呃 对 我 已经 打 到 去年 从 去年 的 九月份 来到 现在 到 一年 了 他们 过来 啊 没 过来 呃
高兴 服务   喂 你好 我 的 网络 已经 费用 已经 发短信 两个 小时 了 为什么 还是 不能 用   停止 是 宽带 还是 手机 流量   手机 流量
您好 很 高兴 为您服务   嗯 就是 我 刚才 已经 报修 过 了 就是 龙江路 三百 七十 号 的 那个 网络 没 信号 然后 也 有人 给 我 打电话 了 呃 它 说 了 一大堆 好像 不是 他 嗯 他 没有 必要 好像 来修 的 是 我们 这边 的 问题 因为 我 也 搞不清楚 啊 因为 他 也 没来 修过 他 就 跟 我 说 您 应该 这样 那样 那样 那样 我 全部 弄 好 了 但是 现在 是 没有 没有 信号 好像 他 是 不 太 愿意 来修 这种 感觉 啊 呃 我 也 不 知道 怎么办   你 这边 有 他 联系电话 吗   有 的
为您服务 喂 你好 请稍等 是 呃 我们 办公室 就是 那个 信号 信号 老是 显示 满格 老 是 断线 就是 把 惠惠新 呃 反正 信号 部门 啊 这个 这个 怎么 怎么 那个 线 呃 在 那个 呃 浦东新区 周浦 这边   浦东新区 啊 问题 出现 有 多久 了   号 起来 一直 一直 没 搞 也 不是 一两年 了 有 是 的   这个 帮 您 转到 我们 信号 部门 反映 一下 请 您 不要 挂机 周围 其他 号码 都 一样 对 吧
您好 很 高兴 为您服务   一共 呃 我 今天 的 时候 开始 我 怎么 不能 上网 了   呃 您 的 不能 上网 您 稍 等 我 帮 您 看 功能 都 正常 的 今天 因为 是 欠费 停机 过 了 因为 扣 月租 了 吗 因为 每次 欠费 停机 就 不能 就 上网 功能 会 被 关掉 您 只要 手机 关机 十分钟 再 开机 就 能 上 您 试一下 好 吗   因为 我们 关机 再 开机 是 吧
您好 很 高兴 为您服务   哎 你好 你 能 帮 我 看 一下 就是 我 那个 这个 手机 吗 就是 他们 专门 说会 打 不 进来 打 进来 说 就是 没 留言 啊 什么 什么 的 但是 我 明明 就是 手机 就 开 的 就 没有 任何 问题 的   打 进来 留言 来电 提醒 打 进来 呃 这边 的话 打 出去 可以 吧 这个 状态 打 出去   的 钱 就 别人 打进去 有 一次 我 自己 也 看到 吧 就是 别人 打 给 我 他 想 了 一下 我 还 没 来得及 接 然后 就 断掉 了
您好 很 高兴 为您服务   哎 你好 我 想 问 一下 怎么回事 现在 我 打电话 声音 哎 你 把 这个 按 的 呃 短信 就 说 现在 一个 信息 都 收不到 是 什么 情况   您 说 您 短信 收不到 啊 所有 信息 都 收不到 吗   不是 就是 我 跑 到 银行 要发 不了
您好 很 高兴 为您服务   啊   哎 您好 能 听到 吗 您 请 说   那 现在 今天 这 手机 怎么 老是 网络 没有 的 呀
您好 很 高兴 为您服务 喂 请问 还有 什么 可以 帮 您 你 先 把 你 的 那个 副 号 是 多少   幺 零三 幺 三   幺 幺 三 幺 三号   对
您好 很 高兴 为您服务   哎 你好 我 想 问 一下 我 的 数据 流量 为什么 打 不了 视频 嘛 你 那个 可以 查 得到 吗   您 说 上 网上 不去 吗   呃 对 上网 视频 打 不了 就是 上网 可以 查 然后 就是 视频 大不了
您好 很 高兴 服务   哎 你好 我 想 问 一下 那个 共康六村 一百六十六 号 这里 这个 移动 信号 很差 的   电话 都 不能 打 了 是 靠近 一二八 纪念 路 吗   嗯 靠近 更好 没有 分成 路 这里
您好 很 高兴 为您服务   噢 你 是 丹东 还是 上海 的   上海 移动 这边 噢 好 的   哎 麻烦 你好 吧 我 现在 那个 手机号码 什么 情况 的 就 无法 接通 一直 无法 接通 哪个 号 帮 我 查查 一下 幺 幺 幺 三 六七 在 老家 幺 八七 二 五六 一 六一
您好 很 高兴 为您服务   唉 小姐 你好 为什么 我 的 这个 手机 它 这个 网络 吗 必须 有时候 就 没有 啊 像 现在 我 就是 没有 网络 什么 事情 都 做不了 啊 怎么 有 疑问   还是 上 网上 不去 现在   对 的 对 的 就是说 我 上 不了 呀
您好 很 高兴 为您服务   唉 你好 我 那个 数据 不能 打电话 了   不能 打电话 您 稍 等 啊 您 这 因为 是 实名制 关系 啊 您 这个 要 去 做 一下 实名制 的 带 好 您 的 身份证 原件 到 移动 营业厅 做 一下 实名制   嗯 这卡 应该 是 老人 在 路边 买 的
您好 请 讲   唉 先生 你好 我 问 一下 你 我 我 那个 就是 电话 发 信息 为什么 总是 发 不 出去 啊   是 本 机号码 发短信 发 不 出去 吗   对发 不 出去
您好 很 高兴 为您服务   唉 你好 麻烦 我 想 问 一下   嗯 嗯   那个 我 这个 手机 的 号码 那个 今天 为什么 再见 是 这样 的 抱歉 然后 就 他 电话费 还给 我证码 我 都 收不到 知道 为什么 刚才 为 您 接通
公司   喂 您好 很 高兴 为您服务 我们 这个 这个 地方 那个 信号 比较 差要 怎么 给 你们 反馈   嗯 信号 比较 差是 移动 信号 是 吗   移动 信号 对 他 是 新 小区
您好 很 高兴 服务 喂 你好 您好 请 讲 那个 我 这个 号码 呢 我 最近 是 应该 清 七六 星期天 吧 但 香 香港 嗯 一趟 香港 的 然后 呢 呃 当时 他 就是说 就是 因为 我 开通 了 漫游 服务 吗 再 开过 了 开通 以后 呢 呃 就 显示 什么 什么 到 香港 三十块 钱 一整天 的 上网 到 封顶 的 这个 信息 这个 信息 这个 我 是 接受 了 一半   然后 另外 一半 的 它 也 没有 发过来   短信 我 这边 把 这个 提示 短信 方式 相当于 您 注意 查看 一下 香港 的 资费 也 会 短信 方式 发给您 的   呃 没 你 不 知道 是 那个 什么 情况 然后 他 那个 短信 发了 一半 那 现在 他 手机 老是 显示 是 吗
您好 很 高兴 为您服务   唉 你好 是 这样 的 我 想 咨询 一下 就是 我 这个 月 唉 不好意思 那个 为什么 我 我 这个 电话 里 听到 我 的 回音 啊   没事 话筒 的 问题 吧 我 这边 听 您 声音 很 清楚 啊   怎么回事 啊 算了 我 客服 一下 这个 我 问 一下 我 现在 就是 我家 人 跑 到 非洲 去 了 他们 是 非洲 里边 然后 出去 的 时候 没有 开通 漫游 这个 样 啊 对 对 对 对 对 短信 电话 都 他 这个 可能 是 国外 需要 办 一个 业务 可能 需要 收 短信 验证码 呢 他 现在 这个 应该 怎么 操作
您好 兴 为您服务 唉 你好 有 什么 可以 帮 您   我 这边 手机信号 为什么 老是 不行 啊   手机信号 您 周围 其他 号码 都 有 同样 情况 吗 您好   看看
为您服务 喂 你好 我 的 手 机务员 经常 打 不 出来 没有 反应   嗯 打 进来 听到 提示音 什么 他们 对方 听到 提示音 是 什么 打 您 电话   呃 稍后 用 短信 通知   来电 提醒 我 看 一下 啊 您 打 出去 可以 了 打 出去 有 问题 吗
您好 很 高兴 为您服务   呃 我 的 那个 网络 突然 没有 了 是 三点钟 就 出来 网络 没有 了   网络 没有 了   对
你好 您好 很 高兴 为您服务   喂 你好 我 的 手机 怎么 挂 不出 四 g 网络   嗯 先生 您 网络 都 正常 的 请问 您 那个 手机 是 支持 移动 四 g 的 吗   啊 就是
您好 很 高兴 为您服务   呃 我 的 手机信号 不好 可以 投诉 一下 了   呃 您 周围 其他 移动 号码 就 家里 的 其他 移动 号码 都 有 这个 同样 的 问题 是 吧   是 的
您好 很 高兴 为您服务   唉 你好 小姐 我 想 问 一下 我 这个 网 怎么 连接 不 上去 我 想 问 一下 就是 用 我 是 去 移动 开 了 但是 无法 连接   四 g 网络 才能 发给 接入 我 看 一下   开 其他 快递 我 已经 关机 了 关机 了 按次 了 你 看 是不是 就 但是 我加 的 是 一个 那个 叫 什么 流量 的 那个 地方 吗
您好 很 高兴 为您服务   呃 你好 我 是 浦东 益江 这边 还是 一样 的 我们 这个 小区 的话 呢 的 一个 信号 都 没有 然后 出 了 小区 的话 呢 就 信号 了 我 想 这个 手机 是 你们 装机 办 了   您 说 那边 没有 信号 是 吧   啊 对 的
您好 很 高兴 为您服务   喂 你好 我 刚才 给 你们 打 过 电话 我 那个 卡 昨天 我 换成 四 g 的 然后 昨天 回来 我 看 手机 上 显示 是 四 g 今天 一看 现在 还是 二 g 的   那边 网络 设置 为 四 g 网页 现在 您 看 一下 条 那个 设置 嘛 对 不 对   后来 说 名字 这是 怎么 设置 我 里面 查不到 有 什么 设置 是 四 g 网络 的 呀
您好 很 高兴 为您服务   那 现在 这个 电话 怎么回事 啊 老 是 打 打电话 这边 听 不到 或者 是 我 这边 听 不到 别人 说话 信号 怎么回事 啊   呃 总是 出现 就是 要么 听 不到 别人 别人 听 不到 你 的 声音 对 吧 您 周围 其他 移动用户 也 是 同样 情况 吗   都 是 啊 大家 都 现在 好多 人 都 反映 那种 情况 现在
您好 很 高兴 为您服务 您好   你好 我 想 问 一下 我 手机 为什么 突然 今天 早上 没有 最低 信号 了 呀   没有 四 g 信号 比如说 没有 觉得 你 也 不 知道 四 g 标识 的 对 吧 是   而且 网 也 上 不了
您好 很 高兴 为您服务 唉 你好 您好   是 呃 机主 本人 现在 正在 那个 美国 然后 他 的 电话 突然 之间 拨 不 出来 但是 可以 接到 电话 是 为什么   哦 好 我 看 一下 就 您 刚 说 的 那个 幺 三八 那个 号码 对 对 对 哎 显示 都 是 正常 的 然后 那个 它 都 正常 是 吧 我 帮 他 刷新 一下 他 的 那个 状态 您 用 他 手 机关 五分钟 重新 开机 试一下 好好 好 谢谢 啊 不 客气 请问 还有 什么 可以 帮 您   不用 了 谢谢
您好 兴 为您服务   喂 你好 我 想 问 一下 这边 信号 不好 零一   嗯 嗯 您 是 周围 其他 的 号码 都 一样 的 情况 吗 金额 不好 在 哪个 区 啊   松江区 新加 的
您好 很 高兴 为您服务 为您服务   唉 喂 你好 我 想 请问 一下 为什么 最近 的 就是说 我们 家 所有 的 手机 的 网络 都 不行   呃 呃 就是说 您 现在 所在区 所有 的 移动 号码 上网 都 上 不了 啊   对 的 就 您
您好 很 高兴 为您服务   喂 你好 我 那个 银行卡 怎么 到 现在 还 没 信号 啊 昨天 没 给 我 更新 吗 那个 什么 网络 升级 啊 什么 东西   哪个 省 手机号码 报 一下   幺 三四 八 六五 五五 三 三
您好 很 高兴 为您服务   呃 我 我 我 前面 打 过 电话 然后 说 这个 我们 这 上班 这 一片 地方 信号 很差 呀   嗯 嗯   然后 现在 信号 更差 嘞
五二   你好   请 说   我 想 给 你 反映 一下
您好 很 高兴 为您服务   唉 你 这个 唉 小姐 我 想 问 一下 您 您 这边 那个 那个 大 呃 业务 在 处理 这边 有没有 有没有 客服 那个 那个 客 客服 人员 呀 您 您 是 反映 什么 问题 呢   是 我们 后台 吗   唉 对 因为 我 现在 这个 那 就是 那个 我们 公司 这边 的 这个 这个 信号 不行 啊
您好 我 是 预处理 专席 代表 很 高兴 为您服务 这边   客服 是 吗 投诉 的 是 吗   是 的   我 想 问 一下 我 现在 这个 片区 是 属于 静安区 南京 西路 居然 家里 中心 商场 这块 那 我们 现在 整个 商场 这块 的 收益 系统 全部都是 瘫痪 的
您好 很 高兴 为您服务   唉 先生 我 想 问 一下 啊   嗯   我 的 手机 啊 这个 号码 对 吧 嗯 嗯 在 家里 的 是 原来 信号 还 可以 现在 怎么 信号 都 没 了 什么 意思
