您好 啊啊那呃移动公司是有一个活动是文旁充话费流量的 门旁充话费的流量您是不是在那个微信息上面的 然后是营业厅那边的 就是那个手机营业厅那边的嘛嗯那个活动上面有看到这边是可以啊 噢我昨天充的是呃不在我是那天赠送五百兆流量还没送过来你帮我这样办理一下吧 我那个我这边流量用完了还有人人工台办不了啊它这个是就是就它那里面是系统这边到期会自动给您赠送的就我们人工台没办法给您办这个里面的这个业务啊你等等啊 那我这边有没有快用完啊 
诶您好很高兴服务 喂你好呃喂请问一下就是我这个手机这张卡里面就是办两g送一g的那个邻居它送过来没有流量 我帮您看一下啊 啊麻烦了 有它是这是赠送给您的就是赠送给您本地两个g的一个流量啊已经赠送了呀呃已经用完了么这我看不到您要查看的话要发送短信查询发送短信发幺零九幺发送到幺零零八六查 嗯不好意思我没听清楚发送什么什么东西 如果说您这边要发送短信查查发送短信发送幺零九幺发送到幺零零八六查询 噢行知道了麻烦幺零九幺噢 
您好很高兴为您服务 唉先生你好我想申请一下那个就是三十天是免费吗 那个那个视频流量是吧 嗯嗯我看一下单位地址告诉你们具体那个继续咨询吗gps我看先生 等一下我看了一下您这个是副号码您办理的话不会免费只要四g资费的话呢它会免费嗯 他这样子办了送我上上个月送我的就回复那个是怎么 我是说您打过来的号码是副号码 我不重新申请的那个呢空是那个套餐吗 
您好我是预处理专席代表很高兴为您服务 你好我要做一下机卡匹配的补返因为我上个月呃没没返钱给我这个月 服务反映了那您把那个手机账号给我核对一下 账号啊 对 呃刚刚我这边忘记了 手机在身边吗可以直接查的 手机不在怎么我因为我也这个月我已经呃片过了 
您好很高兴为您服务 唉喂唉你好你帮我查一下我的手机号码是幺八二二 嗯嗯 幺九二幺 嗯嗯 六五三 好的请问下密码知道吗 诶密码不知道 
好请讲 喂你好就是那个我现在上个月的那个话费啊然后有一个二十四块的不是那个零元三十g看就是定向的那个视频的那个东西吗然后我发现上个月还是扣费了这个是什么时候返还 我帮您查一下请稍等 对 对吧噢您上个月是九月七号的时候那个时候办理的这个活动您当时办的时候他已经帮您抵扣这样是使用了先生它不会扣您这个费用账单上面的话它只不过是显示给您显示出来有这样的 啊 嗯 然后然后你看我那个功能里面有一个什么就是家庭畅想包怎么那个八元也收钱了那我帮您看一下请稍等啊因为上个月话费有一百五十块 
您好很高兴为您服务 喂你好我想问一下因为我家以前办的是那个承诺消费送宽带的然后的就东方有线来装的那个时候说移动自己的每次呀就是装东方有线的然后我现在弄下来觉得慢然后他们移动说了过一段时间他们移动会反过来 的 四g的什么移动资源对一遍过来然后我看我们小区里他们说已经可以办了那我想我这个宽带能不能短信移动的那个对啊 现在您所办的这个地址嘛 对 哦地址的话这边查询资源到是有不过的话您现在之前办理的那个协议时间还没有到期中途是不能变更套餐类型的 那我上回去营业厅他们说可以转成四g的呀 
您好很高兴为您服务唉你好 呃是这样的啊我之前接到那个你们移动的电话说有一个呃三十兆到年底有一个三十兆的一个流量的一个套餐 办这个办理腾讯视频是吧 啊对对对不是可以免费的但是为什么我现在查我这个月的账单是有一个二十四块钱的那个这个费用 他是账单上面有显示但实际上费用是不扣的这个业务到明天才开始收费今年都是免掉的噢 那我因为他说我那个这个月的那个叫费用反正就是他二十四号二十四块已经在上面了就到时候实际上是不需要的吗对但是我的那个我的话费总额是已经把这个数据加进去嘞 那这边 已经显示但是 
您好你好 唉你好我刚刚收到一条短信就是我那个手机不是呃下个月你们打电话来让我加四块钱那个叫什么来的增加五百兆流量吗嗯嗯呃现在他说我每个月让我交一百零八块钱那个话费到五号的时候他返还我十六块钱我刚刚短信上也收了收到了你们返还我十六块钱问题我到那个余额查询那个余额的时候你们只返了我八块钱 这个意思那么按照这个以前的话目前应该是用打到您的账户上面他们跟我说手机登陆到掌上营业厅 你看一下 请留下通过那个同事那些记录啊可以看得到 对啊就是说呀我那个短信说的是呃退还十六块钱那你给我查询余额是收了八块钱 那么这个十六块钱电话用的一些是普通的这个话费余额因为这个他会把的一个相当于一个系统专款我这边帮您抵扣符合要求七 不是的他当时跟我说的时候他说就说是那个十六块钱退到我那个话费里面的谢谢 
很高兴您服务 唉你好是这样的我上个月就是参加了那个噢有一个呃宽带就是半价的那个优惠活动然后我当时是订的就是一年就九百六然后骨折的话就四百八然后当时就是你们告诉我知道在月初再我的手机费里面扣费就是说要求就是说四百八然后让我再就是怎么付了六百八就是到那个五号之前会把那个两百块钱退给我当时就是存了就是怎么话费是七百多块钱但是刚刚我收到一条短信说我欠费就你们对这我了解了 因为这个情况的话我们已经是有很多用户来电反映过是由于我们这边的返还他一个专款的系统延迟而且他没有把那笔费用返还给您所以导致您有欠费就还有你建议女士再耐心等待一下我们这个情况的话已经了解了 噢也就是说那基本上到噢你们今天可以处理完吗 呃这个我们已经不是他们处理没有办法得知具体时间但是其实您这情况的话我们很多用户都已经来电反映过所以说我们已经知晓这个情况了已经在紧急处理当中建议您需要耐心等待 噢也就是会把多扣的钱还给我 对应该是他会把那个打进你专款会帮您抵扣掉宽带费用的他现在只是这个专款没有到账儿噢 那我现在手机还是要多充钱吗 
您好很高兴为您服务 唉喂你好我我之前就是预约的一个那个iphonexj七想问一下大概什么时候能到货呀 这个不清楚他是按照道理是三号发送您等我们电话吧有后会通知您的 噢但是具体什么时候能 就是比如说是一个月之内或者什么时候这种时间都不确定是吗都不退进去的 我们 这边就是有货通知您到时候会赶紧预约 的话好吗好那我知道了好谢谢恩恩拜拜恩 您好很高兴为您服务 喂你好不在那个九月份的时候接到的电话嘛然后他说那个说价值二十四块钱的任我看然后那个什么噢噢这视频app了然后我看到他就是九月份十月份就是还是点二十四块钱 啊我知道是那这样的这个功能它原价是二十四块一个视频流量三十个g您是看优酷视频的然后这个业务今年是有活动只有专款做做抵扣的不客气从明天开始才会正常扣费所以这个只是在账单上您看的部分它要体现办了因为它只提现在本身的功能办理所以它实际上也不扣费的有一个专款抵扣不用去管它了然后这边直接退掉就可以 嗯这个就是呃账单上看到的是然后是 那个三百的就是它的功能的对实际上有专款做抵扣的不扣话费要到明天再收费你说你到时候就退的它不会退的 噢他不会自己退掉是吧 这边自己退一下到时 嗯嗯好的好的 
您好很高兴为您服务 哎你好我想问一下因为昨天就是你们那个客户代表打打电话过来说我有一个就是就是一个免费的三十三十个g的视频流量 噢我知道然后要办理吗 不是看那个通了吗 没有办理关 唉他不是说有送我三十个g的就是那个那个视频流量 是吧 反正你们是一个是幺零零八五的那个客服那边 您好高兴服务 麻烦你给我查一查我这个上海本地流量每个月送一个g的怎么还没到账呀 上海本地流量那您请稍等一下帮您查看一下那感谢耐心等待先生您说的本地流量已经赠送给你们需要您自己的流量资源佣金以后才能使用只能在上海本地使用 是呀我这个里面还有多少流量啊你给我查一查 您还有多少流量的一个免费进入人工这里查看不了就需要您自己查询可以什么藤苑所以建议您关注中国移动幺零零八六官方微信号您可以在这个厂上面查看到您的一个使用的情况稍后呢也会把这个查询方式下发到您的手机上今天早上呢您拨打幺零零八六幺幺的话只能是查看到您自己套餐元的流量他说您当时套餐里面流量还有一百七十四点八九兆您要使用完这个流量才能使用到本地赠送的流量 噢 只能在上海本地使用不是原来不是几个一 一条就是这个本地流量就到账了吧 
您好很高兴为您服务 唉喂你好我想问一下我这手机号码不是签那个返还话费的活动的嘛他现在好像几个月都没收到过 嗯我看一下 那行 您看一下确实没有反您是不是没有使用机卡匹配产生一次国内四g流量啊他一定要有机卡匹配的 上次去营业厅那个那个那个那个那个营业员帮我他说帮我改到另外一个手机上面的呀 嗯是上次是什么时候来啊 这个套餐开始前面去办的是办这个套餐的时候他就帮我换了设置的 
您好请讲 你好哎我想问一下本来不是说这个月流量加倍的吗我怎么显示没有欠费吗 流量加倍的话因为您这个套餐不符合要求呀您要换套餐才能加呗 换套餐那我打电话来了说我这个套餐可以改什么 一定要套餐没有消费的有一个五十八一个月送您五十分钟国内主叫然后两个g的流量再额外加送两个g国内流量送到一八年六月底 噢那你帮我换这个套餐好密码知道吗知道了 根据语音提示输入好本月流量到月底自动清零下月开始就是五十八块一个月打国内电话一毛九一分钟流量超出两毛九一兆全国接听免费下月一号生效的啊 不是哎有五十分钟的就是按什么充话费啊 
高兴您服务 唉先生你好我想问一下就是说我现在一直收到一条消息说我那个前面手机四g流量还没有开这个月还没有产生过我记得我上两个星期产生过四g流量的 就发短信给您对吧 g的 等一下您买手机是上海消费那种吗 对的消费是的 呃这样是把它卡插的卡槽一里面使用 对他的卡查询里面然后我上过网的呀上过网 
您好很高兴为您服务唉你好就是我看到有那个和包支付嘛 你知道哇 发信息满六十送三十是吧啊对立减三十嗯嗯 噢对这个是呃我看到我就下载那个和包支付宝这个移机机上面好像没有显示这个活动什么 是上海地区活动 噢对我就上海的呀 和包是全国都可以用但这个活动是上海必须的 对啊我就是上海的呀但是我在ap手机没有看到过 
您好很高兴为您服务 唉你好就是我公司名下有一个号码呗人工用的然后再员工离职了那欠欠了一个两年的协议啊就是最低消费加到那个宽带的我想问一下这个现在员工也不承认这个事啊我们要怎么弄呀 阳光不承认另外这个活动 因为他当时说你们幺零零八六打电话给他是免费的他就说一百五十八最低套餐现在还要付一个一百零八的宽带费吗 它宽带办理是有最低消费要求的后面的话他当时嗯套餐已经符合条件的呀宽带是免费赠送只是因为他后面再办了一个一百五十八的手机活动所以它还需要叠加消费的 是的呀所以现在我们就是说现在这个话费加宽带都因为是他个人名义办的现在是他人走了咯到公司名下了你能不能帮我解决掉呀 因为这个号码那您如果是对他这个号码后续参加了什么幺五八的签约两年活动有问题的我们帮您转投诉预处理您要么去反映一下 啊我我跟谁反应呢 
您好很高兴为您服务 你好我网上下单买手机的时候办的那个套餐说叫雁失败你帮我查一下什么原因吗 您您您是您这个号码吗还是哪个号码 另外一个号 我帮您看一下号码告诉我 幺三七六幺四四 嗯 九二八零 
关键人物 您好很高兴为您服务 这个不送 唉 唉我我我去年办的套套餐啊然后免费送的一个宽带然后今天去交费怎么已经开始帮我重重新再算了受理宽带对啊呃号码是幺三六七幺六八七四零嗯 今天又开始请稍等 哦没事谢谢你们这个套餐不是应该往后续的吗不是四五 怎么会每月宽带还是五十兆的您之前是二十兆升级到五十兆对吧 
您好很高兴为您服务 喂你好你好我问一下我上次办的套餐嗯是是是九八然后哦下个月欠费返还二十元但是我说我也没收到啊 我看一下先生您哪个号码的先生 嗯幺三六嗯三幺噢幺八八 幺三六幺幺八八 六六八吗 六六八六我查一下号码的密码知道吗 我叫刘 
您好很高兴为您服务 唉你好呃我是想问一下我前面呃上海移动那个app送了我一个生日的五佰兆的流量但是一直没有到账我六月五号的时候领过的六月五号的时候我也不知道 其他有啊当天大概只有二十四小时它这一天的时间 噢他就是说一天的时候用用这个五百兆是吧是的没错不是一直有的是吧噢好的我知道嗯嗯那还有什么可以帮您没有了没有了好的那感谢来电再见再见 
您好很高兴为您服务 喂 你好 听得见吗 嗯能听到您说 你这边能帮我转一个处理就是把我这个问题就存在老是搞不好的 不行您是什么问题 这个月我就说我点不要说什么就是每天签到还有什么合家欢老师给不出来的他老是没有反应的 
您好很高兴为您服务 唉先生侬好然后本来这四g反正这个这个这个这个大概四g四g的吗 嗯 呃我认为到wifi块零八返返十块钱的吗 噢噢 呃现在怎么没有换没没扣我的这个账户里面了 是哪个手机号码能提供一下吗 啊那你可以啊幺三九六 
您好预处理专席代表很高兴为您服务 你好我想问一下我六月三十号通过那个和教授和教授那个和包支付就是随便没费那么就是你们六月三十号应该还有这个活动就是呃交那个手上吗搜狐水电煤费满二十元以上的话那个是会收到十块钱的和包电子券吗那我是昨天六月三十号交过的那怎么今天没有收到呢我就想问一下 我帮您先看一下这个活动稍等一下啊因为今天还没过吗他有时候一号月底呀参加活动的话收到的一些比如说优惠的什么电子券啊等等这些都会有延迟的 噢因为我就是六月份我是六月三十号付的那等于是月底付的吗六月三十号月底说那你们一号应该给我的老师傅多 今天就是一号今天还没过来您是说那个成员是哪个活动啊是 教授或者支付因为我前面那个人也讲了他又给我转接转转转转我真搞搞不懂这样我就是看看那个和包就是和教授登上去那个荷包通过和包付水电煤说呀超过二十块手段不是有什么十块钱电子券嘛那我记得我六月份是六月三十号付的那你能帮我查一下我六月份还有付公司的吗我都不大记得你们这边有记录给我查一下 我们这边没有付款记录的我给您看一下活动您稍等一下是通过哪个那个就是通过那个和教授的客户端吗还是通过其他方式 就是和教授那个里面不是缴费点进去点进去之后就是就通过和包去缴费吗 
您好很高兴为您服务对的 哎 您好 好是这样的我我那个手机不是说发了一个消息给我说用到幺幺零八元就可以就是免费的这个宽带吗然后回复了以后你们客服来了个电话他说你已经用这个宽带的我说刚刚你们没有人联系过我你上面说有客服会联系我你们谁也没联系过我我这边根本就没有宽带什么叫我用宽带了 噢我这帮您转到宽带部门给您查一下好吧 好的 我帮您转到专专席处理请您不要挂机不要挂机解决问题我将您电话转接专席处理请稍等 
您好很高兴为您服务 问一下唉我那个手机啊那个一个g送买那个流量有没有到账啊你帮我看一下 好的帮您看一下呃您好您把这三百兆对吧已经到账了今天早上十点四十五分到账的 七点四十五分到账的是吧 对的 好的唉第二件事情的话你帮我看一下就是说上次我投诉的就是说我这个呃上次你们那个打电话我问过你们那个就是呃那个一个服务人员那么他说他七十块钱扣板两个g的然后我就好你十块钱两个g然后ok他把我的七十块钱两个g那个给改那个这样提供一块五毛钱吗然后后来我使用以后他还让我上面去再去加钱我也不知道是怎么回事花了一百多块钱 嗯嗯看一下感谢耐心等待看一下确实产生流量费那如果说您呃在这个本本机的这个流量费有疑问的话我帮您反映上去了稍等一下呃因为我看看您加流量是今天早上十点四十五分加的这个产生流量费应该十点四十五分之前产生的 对我知道那就流量费的话为什么那个原来我可能那个现在使用了十几块钱的时候我们讲完你充那个七十块钱是套餐哦不是这样的那个怎么错了然后他也打印了还十块钱是二十那个两个g然后开然后具体了解然后他怎么会来是两个g前边一百多块钱呢 
您好预处理专席代表很高兴为您服务你好是这样的我在你们营业厅办理的时候说我这个现在参加的这个活动就是跟我这个手机十六块的套餐没有影响的不变的 好谢谢 我这父辈主号是我我你应该看得电话呃我应该还有一个幺三呃幺三八的对吧 嗯嗯 是幺三八统一付费的我这个手机的套餐还是应该是是原来十六块了十六块的 嗯嗯 那你怎么会给我改了我在营业厅去办的时候我不给我改的 就您在营业厅办的时候它是跟您说不会有什么变动的但是你先发给我想改掉了 
再见 您好很高兴服务 你好我想问一下我想办下一个月就是现在不是有一个活动吗叫随你翻还是这样 任我翻 反正任我翻 对 我上个月申请过了然后这个月没申请然后这个月不是流量呃那个叫什么他也不结存吗我想问一下那个叫什么呃如果说我现在看下来像他这样子而且我现在这个为什么不能申请的呢 现在因为你系统提示余额不够呀您要充值过之后再来电吧您这个加的是五十块钱加七个g的流量您要余额大于五十元之后才能办 
您好很高兴为您服务 喂你好 恩你好 你帮我查一下那个松江这边那个营业厅是哪一个 您要查松江哪里的营业厅 荣乐中路一次两号这边荣乐 中路 对如何中路一次电话 
您好很高兴服务 唉你好那个我有一个号码就是幺呃他那个我因为我看流量快不够了嘛它里面是那个全国流量和本地流量呃但是我已经购买流量加油包以后我发现那个流量加油包的流量只能先用了 对它是一个月优先使用您这张国际流量送的流量都是本地的它是建立在您套餐里面流量用完之后才能用到送的它是优先级是在后面的 送的东西其实就是最后用呢在都营业厅能不能调呀因为我这个号码为什么就这个 套餐都是系统自动的调不了的 噢行吧那那行我明白了好谢谢啊 
对您好很高兴为您服务 在我这个本机上五月份参加你们怎么和送宽带它是啊我说有五百分积分动的到现在还没到账嘛五百 您参加什么活动有五百积分赠送 他就合同错了你要测试家里的这个呃这个宽带的这个这样有一个有一个测试啊有一个特殊的app的吗 您是收到这个短信提醒了呢还是什么情况 短信也提示要我下载你们怎么合同这个它是怎么 付款给他什么时候收到这个短信提示的 也就是五月份的 
很高兴服务 喂你好就是我刚刚呃给那个和包打过电话怎么走的问题他他他让我给你打电话说是反馈到后台去 反映什么问题女士就是 呃咱们每个记录不是都有一个使用号码我把我的活动吗就是 之前一直都是每周 三十二都都会返的然后 现在四月十号呃呃最新的 一个记录的活动要改 
您好兴为您服务 唉你好我我有我有一个套餐 嗯嗯 就是现在参加的一个套餐八十八块八然后每月只扣二十四十一返还二十因为之前这个是话费是三百分钟然后流量是一千七啊 流量流量是七百兆不是一千七百兆一百两百二十分钟七百兆流量对 没有我现在这个短信发过来我每就是原来是但是现在发过来的时候流量变成村去了然后电话两百 分钟它那个网上累计的吗上面一个月基本上没用完转过来的这样当月的七百兆这样这一千四 那那电话呢 
很高兴为您服务 你好我这边刚刚那个在那个手机营业厅里面办了一个充一百送改的那个港湾活动充值成功但是送的业务失败是什么情况 呃请问您说的是本机号码吗 对对对对 本机不是上海的我帮您转回当地幺零零八六咨询 噢好的 嗯如果转接失败请重新拨打零五七六幺零零八六 
您好很高兴丰 喂小姐你好唉你好我是这个手机是我的我自己的手机号本机啊我想我上面上个月打过一个电话我我这个机器不是办了一个协议期吗协议期每个月返还的钱它说我每个月的流量上个月没有留所以这个钱没返还返还回来这个上个月那我已经使用过好几次了他说你到月初的时候再打个电话再来问一下这个我帮你查一下这个流量用的没有 嗯现在要查七月份有没有匹配对吗 哎平台这个东西它哎它这个上个月三十都没匹配 嗯嗯好这边看了一下目前的话只能查到一七年的四月份 噢一十八月 七月份已经没有匹配七月份 七月份也没匹配呀 
您好很高兴为您服务 嗯 您好 喂你好哎请问你工号是多少 幺零六五九 幺零六五九是吧对我我是这样的我说我是在一月份的时候参加你们一个活动买手机返还话费这个活动然后手机现在出现质量问题了这里面钱开关钱他管还是后台管吗 呃当时是在哪里购买的手机啊 就在你们有没有心思北路的营业厅 
高兴您服务 唉你好就是我这个月月底上个月月底不是变成六十八套餐我为什么我本地一个g的流量还没过来 本地一个g是吗 对对对呀 这边稍等我看一下 你看一下 您本地赠送流量确实有一个g的月租的时候已经给您赠送到账的然后这个是只能让您在上海本地使用的他是要等到您打套餐内流量使用完毕之后才能使用到这个流量 噢不允许了呢 
您好预处理专席代表很高兴为您服务 啊啊是这样的就是那个谁打电话过来我想换套餐嗯嗯然后他给我说什么我我在五月份的时候有开一个什么最低消费一百五十八的一个消费嗯我现在不明白我我当初就是去换个套餐怎么没一个什么最低消费出来 就您在营业厅当时是有换过套餐的对吧但是说最低消费这一项并不是并不知晓 对啊他就跟我说每个月消费二百 条烟呢对因为 我现在是这样子的因为我跟我现在是两个人二然后呢我我平时流量用的啥我想找我这个套餐就兑换到最低档把他套餐换上来然后然后然后然后就扣不了他给我说你你你一百五十八最低消费就我跟你说你们移动就是跟我说已经叫搞这种事情上次也是这样子我不知道情况就跟我说什么 最低消费是什么情况我搞不懂你们了现在是他当时也没有跟您在柜台上面确认这个活动的一些具体详情吗 他跟我跟我说呀每个月返还二十三块钱 
您好很高兴为您服务的喂喂哎你好请讲 那个你帮我转一下你们投诉的 转投诉了是哪方面的投诉的 办了个活动但是现在是不给退 噢那您稍等诶办了一个活动是吧唉再见三 四八 网上不客气您好我要打的客户先生啊您稍等正在为您转接对再见跟你 说二八上海你好嗯嗯嗯嗯就是刚刚提业务肯定发这种 
好吧 您好预处理专席代表很高兴为您服务 对啊我我这个套餐吗我这个套餐唉呀就现在我刚才我之前在你们的客服说不能改什么的必须得用一年我想想弄一下呃换一个别的 哪里办的 还有办了我在只能在那个那个手机店里办了啊 哪里办的哪里取消 可以取消是吧 什么原因不需要如果是那种真的没办法用了那您那边会考虑您实际情况帮您处理的 
嗯嗯您好很高兴为您服务你好请问下我这个手机因为那就是每个月赠送八元话费他怎么老是不赠送呢 八块钱话费稍等 就是说每个月返还八元他怎么老是扣了一个六元的什么意思一个六元的一个两元的什么东西呀 这不是扣的是给到您的先生从零八块啊承诺消费就一样的呀就是八块呀加在一起 哎哟知道吗 什么 就是每个月返还 对就是返还对就是这个返还的应该送了两笔谁整天到账十八块零六十二月订的呀返还的就只有这一个呀 
您好很高兴为您服务 哎你好我想问一下我不是以前不是买那个手机说买那个买的那个呃红米手机掉了现在是每个月是返还我的话费话费也不返还我的那个流量也不送了我想问问是怎么回事 对呀它有个机卡匹配的呀您这边每个月要用您那个当时办理活动手机号码或者手机在一起走一下四g网络的要放在一起走一下网络的您没有了那肯定是没有办法匹配到啊那就没有返还条件的呀我主要是手机掉了手机就有违规的掉了那您要到移动营业厅带好您证件到移动厅重新进行匹配的 嗯什么你说我喂你好就是我问一下就是我如果我现在我之前那个手机掉了 然后我现在我换一部手机就说我去营业厅重新催厉害对要改一下串号重新绑下的 就说比如我现在我就去营业厅匹配的时候就是说之前的话费还会返回来吗 之前的没有办法它这个是之前很早以前他没有匹配当时后上面写的很清楚的机卡匹配本身就是有条件话费返还要做机卡匹配但但之前就已经掉的话他当时掉的时候就应该去营业厅了 我知道了就是说之前那个手机就是说之前它他那张卡就是先用这张卡片暂停计费了这个就是说这个这个合约到底是什么合约 
您好很高兴服务 哎我想咨询一下就是我不是用那个那个上海移动营业厅充值到时候九五折不是今天礼拜三有那个活动嘛那我充值为啥享受不了这个活动通过什么渠道充值呢 喂你通过什么渠道进行充值的 支付宝呀 它是一个上海移动掌上营业厅客户端每周三客户通过客户端充值三十五十一百三百五百五个档次可以获赠五百分钟五的一个话费但是你这必须要登录上海掌上营业厅 工商银行 但你支付宝充可能不行啊 那我不是我就是客户端登录的呀 
您好很高兴为您服务 嗯是这样的我不是刚订了这个新的这个套餐吗 然后 这个套餐应该是套餐内两个g流量然后赠送我三个g流量但是我这边上上我那个叫什么就是掌上营业厅吗然后我发现我这顶上显示是八月一号七月底为什么会发个g 您好先生您说一下套餐您是八十八的这里面套餐里面包两g的流量然后是五十分通话这套餐里面给到的另外我们活动是送您送您两个g的一个本地流量和一个g的夜间流量加起来的话就是五个g对不对另外的话还有一个视频定向流量是咪咕视频定向流量就是给到三个g但它这个只能在app专属的是咪咕视频app要在那个下载那个gp上面上面看视频的总共加起来就八个g 那也就是那三个g我可能用不了就用不了通用的话就是您就 对是所以通用的话就能用到的也就是如果夜间流量不算那就是四个g以上夜间流量嘛就是五个g用夜间流量时间段吗晚上十一点到您的七点才能用 嗯对晚上十一点到早上七点 
您好很高兴为您服务 唉你好你好那个我嗯我那个手机是那个一百 呃 月租一百零八了然后他说送三百兆流量怎么没送啊 送三百兆流量 对我我上个月是八十八的然后他说加二十块钱然后送三百兆流量 然后没送加二十块钱三百兆您加了呀不是有吗三百兆没有呀幺零九幺八零八六您查一下这个套餐里面每个月固定是七百兆然后 我以前八十八的二十八的就是一千兆的呀 
您好很高兴为您服务 唉喂你好就是我之前这个手机号啊就是有办宽带吗但是自动到期以后就续约没有任何的提醒然后我的信用卡因为是捆绑的所以就被划帐那我想问一下为什么还要就是我承担这个一个月的那个费用因为我并没有得到我的允许怎么可以随便确认我续了呢好的 因为您之前宽带办理的是到期自动续约的所以才会出现这种情况 大概东西因为你们说过是会发消息过来的但是我没有收到你把那个记录给我查出来如果查不出来就是你们的责任干嘛要我承担一个月的费用呢 嗯嗯我知道您的意思那您的情况前期昨天已经来反映过了我们已经帮您提交反应上去了后续的话呢会有处理人员给您回复 看您这个最晚你们说是四十八小时之内但是昨天到今天已经过了二十四小时了吧还有就是说我到你们这里我想问一下你们宽带那个机器是需要退的吗嗯 嗯嗯您这个没有设备吗 没有设备设备可以用不用但是您这个宽带密码宽带有没有设备的宽带吗 
您好请讲 我想问一下啊我那个充话费送手机嘛然后这个月怎么还我还这些都是这种 每个月返对吧它是返还时间是每个月五号返还没到返还时间呢 唉那我这个上海移动 就是送给您五块钱是一个和多号的一个专款这是免费额外送的您返还金额四十五块的话它是在五号返还没到返的时间 噢 行还有什么帮您的 再见 
您好很高兴为您服务 哎你好我想查一下我这个电话吗两个月已经没有没有收到啊前面那个给我一百一百五十八块钱那个钱呢 噢请稍等我看一下对 服务 呃您这号码上我参加签约正常的它是有一个你这号码是有个机卡匹配的您是没有什么其他匹配所以才没有话费返还 不对啊因为我你们那里她给我买的时候就说了就半个月半年了我已经半年都已经八的有没有办过了 一个月要十个月的机卡匹配 你们那个过无月费是说的是半年知道吧 
您好很高兴为您服务呃你帮我查一下吧我这个号码为什么会有一百多块钱的宽带费用因为我不是我记得我那个都给我那个房子不是办那个承诺消费的吗对 两百多块钱 为什么会有这个费用我问一下 您宽带现在到期按天收费的 一天三块五那你们没有任何人通知过我 看一下 这个是什么原因呢我以为我这个是承诺消费一直做下子的呀 没有它这个宽带是有最低消费要求有协议时间的 
您好很高兴服务 那是这样我手机上就是呃上个月在上个月呢买了一个就是承诺承诺的就是转那个话费的三十二块一个月我上个月呢他那个你那个账单来了以后呢我就去付掉了就这个三十二块钱没有扣那么这个月呢我看了一下是扣了那么上个月的三十二块怎么办呢 他会系统自动帮您取消掉的 我怎么销掉了那么我 又不是万一的掉了您在七月呃您这边的话返还的一个金额的的是七月份账单已经帮您停掉了 那我那也不能用 六月份的话还都是自动帮您取消掉像七月五号返还的这个金额 六月份六月份因为我这个是后付费的吗现在六月份的它不是来了一个一个单子嘛我到邮局进去付掉了关掉以后他他又发了个信息说你这个三十二块呢可以抵扣的怎么我唉那么这个后来我就打了你们的那个客服电话他说那这个钱会放在了 
您好很高兴服务 唉你好是这样的那个呃我上个月已经去你们移动营业厅然后做了一个激活但是本月没有返还我返话费 也就是说您每个月机卡匹配产生四g网络流量他才会返还您话费的 对的 嗯嗯这个 它没有返还完 对的这边没有办法的话上个月已经没有复开呢这边可以帮您做一下不返但是您余额要g的机卡匹配下个月返还 没上个月去了移动营业厅了好吧你这个好像收到这个是我的问题一样是你们营业厅没有帮我匹配好了那么怪我们 
您好兴为您服务 唉喂你好我刚看了我帮忙我参加了你们那个什么一百五十八的他返二十三的时候对知道然后我刚都没有了 是说什么 那个二十三五号返还以后只能仅限于当月当月什么数什么流量什么只用四月作废那我这个月套餐已经用我已经买好了我这个当月还怎么用啊 那么套餐月租费呢您月租已经扣掉了那么接下来的话您可以用按照你自己套餐外的那个流量费用它可以办二十三块钱可以抵扣 我套餐外我没有费用了呀我平时不会超过套餐的呀而且你们现在帮我定了一百五十八的套餐我根本就用不掉的我还怎么可能会产生套餐外的费用啊你们当时你们当时跟我说的时候就是说会返二十三没说要当月使用当月当月儿对因为当月用的啊套餐大大还能用啊你们根本就没说次月要作废只不过是说返返返二十三元元呀返了你说可以抵扣下次那个月租费 那这样帮您记录反馈去后台部门帮您查证处理您这边不要挂机我帮您情况转到后台啊 好 
您好很高兴为您服务 你好我办了一个这个两年这个宽带八百块钱然后说是确定要办理的话就是一个月之后就会返还两百那个话费我怎么没收到啊而且我这个手机号一直停机 您办的是两年八百八的对对对就 两年八百八的是吧 对它没有返两百块钱话费的嗯 什么呢 我说八百八两年没有返话费的您是参加什么活动吗还是什么 我不知道当时办的时候是返还确定一个月之后我就就用就是办理后一个月返还两百话费 
很高兴服务 唉你好你好我就是问一下我是我开通了一个定向就是看视频定向流量包你们这边跟我说到八月底都是免费的为什么每个月还扣我 账单上面写的话费上面显示有个二十块钱但是没扣话费啊您可以在话费里面查一下里面有个二十块钱反映掉了没扣您费用你手机这个月一号对充了五十块钱手机目前还欠费了 对我知道手机欠费了我这个月已经扣了我一号已经扣了我一百六十总共消费了一百六我是想说我这个套餐我这个现在发现里面都有什么收费的 手机里面等一下吧因为现在我好像是一百一百二十八套餐一百三十八套餐 嗯百二十 办法一百二十八我还有什么扣费的一个彩铃 还有卡 
