您好 什么 可以 帮 您   我 帮 您 检查一下 您 稍等一下 其实 是 那个 三十块 五百 兆 嘛 我 看 了 一下 这个 比较 早 开通 了 如果 这个 不要 可以 取消   现在 最少 三十块 钱 一个 g 了
这个 是 送给 您 的 高清 通话 就是 如果 手机 支持 的话 可以 用 这个 高清 的 您 是 什么 手机 啊   没 没 插 九 对 吧 那 您 稍 等 为了 更好 解决问题 啊 先生 我 帮 您 电话 转 到 终端 专席 您 问 一下 您 的 手机 能 不能 用 怎么 用 您 问 他 一下 您 稍 等 不要 挂会 有 专人 服务 您 稍 等 不要 挂 您 稍 等
您好 很 高兴 为您服务   噢 彩铃 的话 这个 功能 是 我 看 一下 这个 是 在 八月 s 今天 刚定 的   上面 显示 手机 上 客户端 电量 不是 我们 帮 您 订 的
您好 很 高兴 为您服务   恩   是 哪个 手机号码 办理 移动 宽带
您好 预处理 专席 代表 很 高兴 为您服务   原 套餐 的 但是 说 没 编号 它 给 你 钱 扣掉 了   下面 就是 他 那个 扣款 的 原因 一点 那个 服务 密码 知道 吗 帮 您 把 开关 关掉 再 帮 您 处理 吧
您好 很 高兴 为您服务   这个 号码 上 我 看 一下 啊   搞不懂 什么 意思 或者 打 您 电话 时间 目前 的 转移 没有 看到 您 那个 手机 上 转移 呀
对 啊   谢谢 游戏 我 看 一下 啊 对 确实 有 的 它 上面 您 对 收到 短信 的 一个 小时 之内 回复 可以 不 收费 的 因为 我 看到 下个月 扣费 打 过来 反映   刚才 我 现在 这边 如果 您
您好 很 高兴 为您服务   你好   我 这边 联系 您 这边 下个月 换 了 一个 十八元 的 飞享 套餐 带 一 百兆 流量
您好 很 高兴 为您服务   额 我们 这边 显示 您 这边 是不是 之前 手机 上 是不是 有 按 到 了 那 这边 的话 是 有 发短信 给 您 了 不过 它 这个 都 是 一次性 的 不是 每个 月 都 有 的 您 只要 不 点播 就 不会 再 产生 啊 这个 不是 包月 的 业务   是 的 那 您 这边 看 一下 您 当时 是不是 手机 上 按照 过 了 如果 您 确定 您 那边 的话 您 看 一下 手机 上面 有 恶意 的 软件 进行 扣费
您好 很 高兴 为您服务 您好   二十七 元 是 那个 任 我 看 那个 事情 看 视频 那个 业务 是 vip 现在 是 优惠期 优惠 现在 是 三个 月 三个 月 以后 自动 关闭 这个 应该 营业厅 帮 您 办 的 对 吧 知道   它 是 先是 用 办好 以后 直接 在 那个 十八号 已经 返还 给 你 明天 登录 那个 掌上 营业厅 或者 关注 一下 中国移动 幺 零零 八六微信 公众 号 都 可以 查询 到 现在 在 十八号 十点 四十一 分 返还 给 你 的 你 可以 通过 那个 app 里面 有个 话费 利息 可以 查 到 这笔 返还 的 记录
您好 很 高兴 为您服务   那 您 这个 宽带 的话 后面 是 不用 了 吗 还是 我 不用   我 看 一下 到期 时间 啊 您 这个 是 到 营业厅 号院
您好 很 高兴 为您服务   您 看 一下 就是 这个 就是 另外 再 加 五十块 一个 g 的 是 在 那个 上个月 七月 一号 加 的 就 一直 没有 取消 过   是 的
您好 很 高兴 为您服务   怎么 怎么 出来 的   我 看 一下 手机号码 您 现在 目前 的话 有个 流量 共享 的 吗 主 号码 的 流量 密码 的话 应该 是 有 活动 送 的 这个 流量
您好 请 讲   今天   对 您 每天 都 会 下 发短信 到 幺 零零 八六 幺 零零 八六 每天 给 您 回复 短信 呢 这样 的 情况 是 您 通过 手机 的 三方 软件 自动 设置 的 您 什么 品牌 的 手机 要用 呢
很 高兴 为您服务   没有 因为 您 不是 有个 一带 一路 的 五天 的 一个多 国包 多天 的 流量 包 吗 那 您 这个 的话 因为 有 这个 所以 他 这边 的话 国际漫游 就 帮 您 延期 了 不然 您 一旦 您 就 用 不了 了 呀 到时候 没关系 的 到时候 取消 就 好 了 啊   五天 它 只是 失效 的 那个 时间 您 这个 不用 理会 它 不会 收 您 费用 在 今天 它 不 产生 任何 资料 您 现在 是不是 已经 回来 了 对 不 对
很 高兴 为您服务   留言 什么 稍等一下   我 帮 您 转 手机 专席 教 您 怎么 取消 掉 您 稍等一下 啊 不要 挂机
高兴 您 服务   我先 看看 短信 您 不要 挂 已经 通过 短信 办 的 吗 还是 什么 问题   等 一下 啊 我 看 一下 有没有 办法 噢 对 他 现在 已经 帮 您 办理 上去 了
您好 很 高兴 服务   你好   这个 宽带 是 吗
您好 兴 您 服务 您好   是 什么 问题   行 今天 是 什么 里面 有个 副 号码
服务 唉 你好   你 手机 是不是 中毒 了 呀 乱 那点 了 一些 业务 对 吧   套餐 跟 您 说 要 下载 东西 对 吗
您好 很 高兴 为您服务   我 看 一下 信息 十块钱 呃 我 看到 了 那 这样 吧 您 这边 没有 用 是 没有 因为 我 帮 您 申请 退 退费 资费 五天 可以 到 账 这样 好 吧   完 了 呢 到 账 了 会 收到 短信 呢 到时候 注意 注意 生 其他 还有 什么 可以 帮 您 呢
您好 很 高兴 为您服务 您好   您 的 月租 是 七十八 的 噢 五十八 的 不好意思 五十八 的 再 加上 那个 二十四块 钱 的 用户 的 那个 服务   有空
您好 很 高兴 为您服务   什么   好 的 您 要 咨询 什么 问题
服务   流量 是 免费送 的 一个 活动 上面 可能 写 清楚 就是 九十 十一 三个 月 每月 是 两个 g 的 本地 流量 对 免费 的 在 上面 使用 的 流量   三十 之后 自动 做 取消 的
上海 移动   现在 是 欠 了 五十块 钱 怎么   您 套餐 是 五十八 的 呀 哪里 告诉您 是 吧
您好 很 高兴 为您服务   这里 并 没有 订 只是 说 现在 订 可以 就是说 这个 三个 月 的 不收 功能 费 这个 业务 您 并 没有 订 上去 那 这个 手机 sim   就是 可以 在 优酷 腾讯 今天 给 您 爱奇艺 然后 是 咪 咕 视频 咪咕 直播 呃 六个 app 当中 任选 一个 可以 看 视频 的 每个 月 有 三十个 g 的 免费视频 可以 咯 但是 不是 所有 的 视频 都 在 三十 g 里面 比如说 在 客户端 的 登录 启动 客户端 内 图片 文字 视频 那有 插播 广告 或者 大木 或者 第三方 广告 还有 属 波利 视频 还有 在线 观看 或者 下载 或者 换成 第三方 视频 呃 这些 都 不 在 这个 三十天 里面 的 所以 您 看 的 时候 要 注意 下 一般 都 会 有 移动 流量 包 使用 标识 或者 是 免 流量 的 使用 就是 这种 使用 标识 才 可以 在 这 三十天 里面 用
您好 很 高兴 为您服务   那 我 想 问 一下 对 对 是 实物 充 还是 应该 是 天猫 的 天猫 充值   呃 这个 返还 的话 也 是 也 也 应该 是从 下个月 开始 对 可以 开始 从 下个月 月初 五号 到 账
