你好 请 讲 其他   喂 您好   先生 嗯 请 讲   你 帮 我查 一下 我 这个 手机 呃订 了 哪些 套餐 能 看得出来 吗   这边 帮 您 看 了 一下 有 收费 的 业务 套餐 费 一个月 八十八 然后 这边 有 一个 来电 提醒 一个月 三块 钱 然后 有 一个 彩铃 六块 彩印 三块 手机 阅读 六块 没有 其他 扣费 了   彩铃 六块 六块 是 什么 东西 啊   彩铃 六块钱 手机 阅读 六块 彩印 三块 这些 业务 要 取消 吗   什么 阅读
早上好 请 说 诶 那个 你们 那个 机场   是 我 这个 这个 我 这个 号码 噢 他 现在 有没有 流量 包 的   有 您 是 三十八 本身 是 有 带 五百 兆 的 上网 流量   啊   本身 有带 五百 兆 的 流量 那 不够 用 我 也 没 流量 包 的 单独 买 的 吧 有 如果 您 不够 的话 我们 现在 有个 特享 流量 包 六十块 钱 六 gp 的 有效期 是 一百八十 天 就 相当于 半年 半年 的 时间 之内 都 可以 使用 嗯 我 我 没 东西 你 这个 李先生 您 花 六十块 钱 买 一下 流量 包它 有 六 千兆 的 流量 在 这个 一百八十 天 就 相当于 半年 的 时间 之内 都 可以 使用   噢 噢 半年 的 时间 内有 多少 多少 流量   六 千兆   呃 六千
您好 请 说   喂   您好   诶 你好 之前 我 现在 这个 这 这 号码 有 有 什么 业务 啊   您 现在 就是 我们 一个 八十八 元 套餐 然后 下个月 改成 我们 和 家庭 九十九 的 了 然后 之前 有 一个 两块钱 的 来电 提醒 和 一个 流量 活动 就是 每个 月 收 您 二十块 钱 有 两个 g 的 其他 的 业务 帮 您 看到 就 只 剩下 龙岩 政府 的 系统 网 还有 一个 小时 惠农 网 然后 就 没有 了   就 没有 了 吗   没错   可能 有 什么 没什么 用 的 帮 我 取消 掉
您好 请 讲   你好 帮 我查 一下 本机 的 那个 通话 的 是 用 什么 套餐 好像 小孩子 再用 都 没什么 打电话 怎么 话费 就 用 的 很快 呢   因为 您 套餐 当中 包含 本地 打 国内 电话 一百 分钟 您 这边 打 了 四十九 分钟 还 剩下 五十 一分钟 我 帮 您 查看 您 这边 到 现在 为止 是 短信 发 得 比较 多 短信 发了 二十 几块钱 短信 就 花 了 二十四块 钱 是 收到 短信 花 了 二十六 块 七 毛 接收 短信 是 没有 钱 它 发出 去 的 短信 比较 多 的 钱 跟 他 说 一下 嗯 电话 没打 超过 还有 什么 可以 帮 您 呢   那 它 现在 是 没有 其他 什么 套餐 吧   只有 来电 提醒 跟 彩印 这 两个 业务 如果 不要 的话 可以 帮 您 关闭 掉 这个 要 关闭 掉 吗   来电 提醒 要 还有 另外 一个 是 什么 彩印 反映 那个 不要   好 的 帮 您 做 登记 取消 这边 已经 帮 您 做 取消 好 了 下个月 的 三个 月 每个 月 再 扣 三块 钱   噢 好行 那 其他 就 没有 了 吗
好 您好 请 讲   喂 你好 请问 一下 我 现在 这 手机 有办 什么 套餐 你 给 我 说 一下   好 的 您 这边 有办 了 基本 套餐 十八块 钱 的 一百 分钟 通话 一 百兆 流量   嗯 还 还有 一个 嘞   我 帮 您 看 一下 您 稍 等   卡   嗯 您 这边 其他 的 业务 就 没有 帮 您 查看 到 了   还有 一个 就是 有个 那个 什么 你 那个 小 wifi 那种
呃   你好 请 讲 诶 上午 过来 我 就   呃 喂 你好 请问 一下 我本机 里面 那些 消费 的 业务   好 就 您 的 月租费 在 加上 您 的 宽带 还有 一个 彩印 功能 状况 是 给 您   呃 套餐 出 了 什么 套餐 的   三十八 元 套餐 宽带 三十 一块钱 这边 就 六十九 了 彩铃 三块 我 这 彩印 没什么 用 帮 你 取消 吧 好 吗   套餐 是 八十八 的   三十八
您好   哎 你好 我 想 请问 一下 一台 手机 有 什么 套餐 了 因为 那个 上面 有发 一个 什么 飞享 套餐 八元 套餐 我 这个 我 他 这个 老人 机 有没有 影响 他 他 想 取消 掉   这个 就是 他 这个 号码 的 一个 收费 标准 已经 是 最低 的 了 这 没 办法 在 取消 了   噢 就 一定 要 有 这个 套餐 是 吧   对 啊 套餐 就是 这个 号码 的 收费 标准 呐   噢 明白 明白 噢 那 不好意思 好 谢谢 啊 问题 还有 其他 要 不 买 的 吗 没有 没有 没有 谢谢 哈
啊 你好 很 高兴 为您服务   诶 你好 帮 我查 一下 我 这个 手机 有没有 开通 了 全球通   噢 您 这个 是 全 开通 了   已经 开通 啦 因为 我要 去 日本 可以 用 吗   您 要 去 哪里 用   啊 日本 可以 用 吧   哎 日本 日本 这个 叫 国际漫游 我 帮 您 看 一下 稍 等 嗯 嗯 呃 您 这个 国际漫游 也 开通 了 到 日本 可以 用 的   噢 对 啊 那 我 那个 流量 包月 生效 的 吧 我 记得 我 开通 了 一个 手机 上网 流量
好   哎 你好 帮 我 呃 现在 诶 你 帮 我查 一下 我 这个 现在 套餐 是 多少   嗯 八块钱 套餐   不是 就是 还有 我 还有 另外 一个 号码   号码 多少   你 是 那边 没 办法 改过 啊   呃 没 显示   把 那个 幺 三五 五九 六二 幺 五八 零
您好 您 请 说   诶 你好 喂 你好 我 想 问 一下 我 这个 套餐 里面 怎么 还有 什么 哎 呃 什么 家庭 什么 哎 那个 亲情 网是 吧 对 啊 怎么 还有 三块 二零 幺 幺 零 的   对 家庭网 是 您 在 二 零 一二年 的 四月 二十 号 办理 的 呃 因为 现在 都 没 取消 过   二零一 七年 的 还 帮 我 取消 掉 六五   不是 我们 这边 帮 您 取消 了 就 需要 您 当时 比如说 您 不用 了 您 打 我们 电话 我们 给 您 办 取消   如果 您   不 取消 的话 它会 一直 保留 下来 的 呀   诶 不用 了 我 那个 是 那个 那个 手机 都 登登到 哪里 去 了 还有 办理 这个
你好   嗯 请问 我 这个 月 那个 十八 每个 月 给 给 哪个 东西 呃 给 十八块   套餐 您 的 月 套餐 费 就是 十八块 了   什么 套餐   神州行 的 畅聊 套餐 啊 月 头 扣 十八块 然后 它 是 有 两百 呃 一百 分钟 国内 通话 然后 那个 就是说 有 包含 来电显示 全国 接听 免费 超过 是 一毛 五一 分钟 这 样子 就 这个 套餐 费 就是 十八块 了   哎能 不能取消 掉 噢 哦 哦   我们 目前 的话 您 都 在 手里 用 吗   嗯
您好 很 高兴 为您服务 行   喂 你好   你好   我 现在 咨询 一下 我 这个 套餐 是 里面 什么 套餐 呐   本 机 现在 这个 号码 是 十八块 钱 的 飞享 套餐   噢 那 就是 昨天 发 的 信息 我 怎么 又 给 我 改改 那个 什么 密码 怎么 信息 啊 嗯   您 是 说 有 发短信 让 您 改 密码 吗   不是 啊 我 这里 边 呢 是 那个 他 说 扣 那个 三元 那个 什么 密码 怎么 我 刚才 开 一下
您好 很 高兴 您 服务 您好   噢 麻烦 你 帮 我查 下 我 这卡 什么 套餐   恩好 的 您 这 号码 的话 现在 用 的 是 我们 八元 的 飞享 的 套餐 剩下 的话 是 有 一个 来电 提醒 还有 咪咕 特级 我 就 说 那个 咪咕 特级 会员 还有 彩印 功能 都 是 到期 会 自动 取消 掉 您 不用 管它 那 其他 的话 没有 额外收费 业务   就是 一百五十 八是 吗   您 现在 是 八块钱 的 飞享 套餐   发给 我们 呀   对 我们 送 您 来电 提醒 彩铃 和 彩印 这些 都 是 到期 自动 取消 掉 的 所以 您 自己 出 的 钱 就是 八块钱 一个月   噢 跟 他 怎么 说 一百块 进去 没 几天 就 没 了
您好 请 讲   诶 你好 我 想 问 一下 这个 号码 的 套餐 是 什么   套餐 是 吗 说 一下 我 看 一下 这边 是 办理 神州行 大众 呃 神州行 创业 卡 套餐 套餐 费 一个月 五块 每个 月 通话 最低 消费 十块钱   他 保底 消费 十块 是 吧   对 打电话 要 打 十块 套餐 费 五块   打电话 每分钟 多少 钱 啊   稍等一下 我 看 一下   比如说 你 这个 你 把 我 那夜 都 有
您好 请 讲   你好 再 帮 我 查询 一下 我 的 那个 流量 开始 生效 了 吗   稍等一下   哼   您 是 今天 的 一 g 流量 吗 还是 吗   对 啊 我 这个 号码 可以 刚买 的 就 我 可以 用 流量 吗   可以 啊   可以 就 会 生效 了 是 吧
您好 很 高兴 为您服务   呃 喂 您好 我 想 问 一下 我 这个 手机 目前 有 哪些 业务   我 帮 您 查 一下 稍 等   嗯   目前 是 基本 的 月租费 十八块 然后 你 还有 一个 来电 提醒 彩铃 彩印 这 三个 是 免费 体验 免费 到 下个 月底 结束 也 就是 您 不要 的话 记得 下个月 打 过来 取消 就 可以 了   下个月 还要 打电话 过去 取消 吗   对 没错   稍后 会 自动 取消
呃 您好 请 说 噢 你 帮 我 看 一下 我 的 宽带 到底 取消 了 没有   啊 好 的 我 马上 帮 您 看 一下   呃 您好 已经 取消 了   噢 那 好恩好 的   还有 什么 可以 帮 您 的   没错 啊 嗯 好
您好 请 说 您好   喂 您好 我 这 手机 是不是 有办 一个 那个 那个 多少 元 的 流量 包来 的   有个 三十元 的 到期 要 取消 掉 是 吧   对 那个 什么 时候 到期   噢 这个 月 到期 了 十月 一号 到期   那 你 帮 我 取消 掉   可以 下个月 就 没 了 流量 只能 用 帮 您 取消 好 了 噢   就是 就是 下个月 就 没有 那个 流量 是 吧
啊 您好 很 高兴 服务   呃 你好 你 帮 我查 一下 就是 我 这个 卡 除了 五十八 套餐 以外 还有 其他 什么 套餐 吗   诶 好 的 请 稍等一下 哈   就   呃 您好 帮 您 查询 一下 噢 现在 也 就 除了 五十八 其他 都 没 了   其他 都 没有 是 吧   对 没错 它 有 赠送 您 一个 五十块 一 g 的 省内 流量 是 免费送 的 送到 下个月 就 会 自动 取消 了 其他 没有 什么 收费   呃 就 会 自动 取消 是 吧
您好 很 高兴 为您服务   诶 你好 呃 我 想 问 一下 我 现在 这个 号码 呢 是 什么 套餐 呢   呃 您 这个 号码 是 十八块 钱 一个月 的 套餐 除了 这个 十八 套餐 之外 您 有 一个 手机 阅读 手机 阅读 可以 取消 了 还有 一个 手机游戏 也 可以 取消 了 没有 用   呃 那 帮 我 取消 掉 吧 谢谢   诶 不 客气 女士 那 我 这 两个 增值 业务 帮 您 退 完 之后 女士 您 以后 一个月 固定 扣费 就 十八块 钱 没有 别的 什么 要 收费 的 业务 了 女士 您 可以 放心 用 了   好 的   好 还有 没有 其他 什么 需要 我 为您服务 的   没有 啦 谢谢
嗯 嗯 啊   您好 请 讲   喂 你好 帮 我查 一下 我 这 手机 里面 那个 你们 你们 流量 套餐   没有 流量 套餐 就 自带 的 有 个 一 百兆   噢 噢 没 流量 那个 套餐 最低 一百块 钱 是 啊   就是 十八块 里面 自带 的 一 百兆   是 啊 噢 那 我 知道 噢   还有 其他 疑问 吗
不 客气 您好 请 说   你好 帮 我 查询 一下 这 张卡 对 了 你好   呃 我 有 在 听 请 说   你 帮 我 查询 这 张卡 流量 计算 话费 了   好 的 这卡 月租费 八块 包括 三十分钟 全国 通话 还有 来电显示 然后 超过 之后 一分钟 一毛 九 就是 您 的 套餐 那 其他 的话 这边 有 那个 无线 音乐 幺 二 五八 零 会员 包 彩印 这些 可以 帮 您 关闭 掉   这些 是 送 的 到期 了 我 帮 您 关 了 吧   那 现在 我 对 它 这个 吧 一个月 八块 几分钟 啊   那 超过 了
嗯 谢谢   您好 请 讲   诶 你好 那个 你 能 帮 我查 一下 我 这个 号码 有没有 开通 那个 就是 港澳台 漫游   我 看 一下   嗯 嗯   有 的 有 的 有 开 了   就是 港澳台 都 有 是 吧   对 没错 国际 及 港澳台 都 有
嗯 您好 高兴 您 服务   喂 你好 呃 你 帮 我 看 一下 我 我 是 什么 业务 吗 怎么 每个 月 电话费 欠 了 那么 多   稍 等 我 看 一下 这 张卡 的话 基础 月租 一个月 三十八 来电 提醒 功能 三块 钱 其他 方面 的话 您 这里 一个 三块 钱 的 三块 钱 的 彩印   彩印 什么 东西 啊   反映 的话 比如说 您 可以 设置 一些 祝福语 文字 那 别人 打 您 电话 这个 文字 会 在 他 屏幕 上 显示 出来   你 帮 我 关掉 吧   嗯 行 嗯   那 没有 其他费用 了 是 吧 噢 没有 其他 其他 的 那个 订 制服 了 是 吧
哎 你好 你 帮 我查 一下 我 这个 卡上 都 有 什么 业务 啊   嗯 稍等一下 我 先 看 一下 好 吗   嗯   呃 这 张卡 除了 套餐 费 了 一百八十 八块钱 有 一个 彩铃 跟 来电 提醒   是 那个 呃 就是 那个 幺 八八 的 套餐 是 它 有 送 话费 两千四百 分钟 是 吧   哎 对 啊 两千四百 分钟   那 它 这 两千四百 分钟 是 还有 分 漫游 不算 吧 漫游 的   从 九月份 开始 就 没有 去 登 了 在 国内 都 可以 用
很 高兴 为您服务 您好 请 讲   呃 您好 我 这个 卡是 厦门 办 的 然后 他 不是 说 这个 月 再 那个 泉州 下个月 用 吗 流量 啊   嗯 嗯 噢 抱歉 您 没有 办理 那个 厦漳泉 同城包 的 所以 现在 流量 还是 只能 在 厦门 用 的   我 那 时候 买 的 时候 就 有 办 吗   嗯 没有 办理 抱歉   没有 办理 那 现在 能 帮 我 办理 吗   可以 呀 呃 办理 下个月 生效 可以 吗   噢 可以 可以
你好 请 讲   包   您好 诶 你好 请 说   呃 我 想查 一下 我 那个 套餐 里面 是不是 有 一个 集团 业务 的 那个 我 想 取消 掉   其他 业务 我 看 一下   噢 就是 那个 公司 的 那个 什么 深圳市 区城 物业公司 的 那个   不 知道 哇 噢 深圳 新洲 城 物业公司 的 集团 网帮 您 下个月 取消 是 吗 还是 马上 取消   呃 我 想 请问 一下 那个 是 每个 月 要 交 多少 钱
哎   您好 请 说   诶 你 能 帮 我查 一下 我办 了 什么 业务 吗   首先 您 套餐 是 三十 八块钱 的 套餐 除了 这个 套餐 以外 额外 有 扣费 业务 有 一个 是 五十块 钱 一个 流量 包 的 活动 这个 是 到 十二月 一号 到期 到期 以后 自动 关 另外 的话 有 一个 是 两块钱 一个 来电 提醒 这个 是 有 扣费 的 那 那 没有 安心 我 这边 登记 目前 是 没有 啦 嗯 您 说   那 没有 什么 三 g 国际 流量 够 吧   根据 国际 流量 够 我 帮 您 看 一下 稍 等 还有   嗯 对 省内 可以 帮 我 看看   哪 一种 看 您 这边 有 一个 是 免费 领了 一个 三个 g 的 一个 福建省 内 流量 保 的 活动 啊
您好 请 说 下午 好   诶 你好   呃 您好 请 说   诶 请问 一下 我 里面 有没有 订 什么 什么 东西 啊   您 知道 目前 的话 除了 那个 基本 套餐 以外 还有 呃 来电 提醒 包月 三块 钱 然后 有个 三十块 钱 的 流量 套餐 那个 已经 是 下个月 一号 取消 了 还有 来电显示 包月 六块钱 呃 还有 一个 彩印 三块 钱 也 是 下个月 一号 取消 其他 的 的 用 了   嗯 其他 没有 了 诶 不是 还有 个 什么 短信 提醒 就 就 说 那个 幺 二三 那个 什么   呃 幺 零六 五八 幺 二三 这个 吗   呃 那个 是 什么
您好 请 讲   你好 你 帮 我查 一下 我 有没有 一些 什么 扣费 的 业务 没   那 您 请稍等 您 除了 三十八 套餐 以外 有 一个 是 人民网 手机 电视 的 还有 个华 帷 支付 不通 会员 包 华纳 电影 包月   都 帮 我 关掉 就是 里面 只有 六个 套餐 就 可以 扣钱 都 帮 我 关掉   好 的 那 请稍等   然后 点播 功能 什么 都 帮 我 关掉   嗯 请 稍等一下 哎 你好   好
那个 你好 请 说   哎 你好 你 帮 我 看 一下 有 什么 要 收费 的 业务 帮 我 取消 一下   好 请 您 稍 等 女士 那帮 您 看 了 一下 您 这边 的话 也 就 基本 的话 就 八块钱 的 基本 套餐 里头 的话 我查 了 一下 没有 任何 的 业务 请 您 放心   诶 我 想 问 一下 呃 我 这个 是不是 要 保底 用 多少 钱 的 吗   没有 啊 您 这个 的话 就是 八块 基本 套餐 吗 然后 您 这边 有开 了 就 一个 家庭网 有 一个 三块 钱 三百 分钟 那个 其他 的话 我查 了 您 这 里面 确实 没 东西 噢   噢 噢 跟 他 那个 八块钱 是 家园 八元 吗 还是 飞享 八元   八块钱 的话 是 飞享 套餐 全球通 的 恩   噢 那 我 知道 了 其他 的 了
很 高兴 服务   诶 我 想查 一下 我 现在 的 套餐 是 怎么样 的   好 我 看 一下 啊 目前 使用 的 是 全球通 八十八 套餐 里面 是 七百 兆 流量 跟 二百 二十分钟   还有 没 别的 那个 套餐 可以 那个 大供 我 选择 条 嗯   您 是 哪 方面 不够 用 分钟 数 吗 呃   好像 赠送 流量 都 有点 不够   平时 有 离开 南平 吗   呃 比较 少
嗯 您好 请 讲   哎 你好 那个 请问 一下 我 这个 本地 取消 那个 一百 分钟 完 是不是 还有 两百 分钟 吗   我 看 一下 稍 等 呃 您 这个 是 套餐 里面 自动 自带 的 是 各 一百 分钟 然后 另外 的话 有 噢 没有 另外 只有 一百 分钟 另外 的 这 一百 分钟 是 只能 打 给 国内 移动网 内 的 打 联通 电信 的 都 不能 用   联通 电信 不能 再 打 移动 就 可以 本地 啊 在外 或者 就 可以 噢   就是 人 在 南平 然后 打 国内 移动网 内 的   噢 是 这 样子 那 一百 分钟 三百 分钟 吗   就是 他 原先 三十八 套餐 就 一百 分钟 这 一百 分钟 是 打 移动 联通 电信 都 可以 用 吗 然后 额外 赠送 那个 叫 促销 套餐 六档 的 注销 六档 是 一百 分钟 的 只能 是 打 给 移动网 内 的 然后 这 一百 分钟 您 已经 打 完 了   那 现在 不是 还有 亲人 再说 说明 现在 还有 一百 还有 一百 分钟 是 吧
您好 请 讲   喂 你好 帮 我查 一下 我 这 部手机 有没有 开通 国际漫游 啊   好 您 稍 等 帮 您 查看 一下 二   嗯 您好 您 有 开 你 看 我 那个 这个 到 美国 这 部手机 能用 吗   可以 呀 呃 开 国际漫游 就 可以 用 了   开 漫游 就 可以 了 等于 不用 含 什么 的 我 具体 什么 那个 那个 不用 是 吧 直接 手机 都 可以 用 是 吧   他 一般 就 日本 那边 是 有 那个 就 有 看 手机 那个 制式 那 其他 的 其他 的 国家 的话 基本上 都 可以 用   那 那个 wifi 的
您好 请 讲   呃 您好 我 看 帮 我 查询 一下 我 手机 里面 包月 的 都 都 有 什么 东西 啊   好 请稍等 基本 包 的话 是 三十八 然后 有 开个 三十元 钱 的 上网 流量 套餐   噢 办个 流量 套餐 我能 取消 吗   呃 可以 取消 的 取消 了 下个月 开始 不再 计费 要 帮 您 取消 吗   还有 个 宽带 的 活动   嗯   我 宽带 活动 是 多少 呀
您好 请 讲   可以 帮 我查 一下 我 这 部手机 开通 了 那个 国际漫游 吗   我 看 一下 您 稍 等 感谢您 的 耐心 等待 有开 了 您 到 哪里 啊   哎 呦 估计 又   泰国 嘛   有 邮 美国 旅游   美国 是 吧 哦 美国 的话 它 就是 就要 三频 手机 要 支持 那种 自然 是 m 幺 九 零零 屏蔽 的 手机 才 可以 在 美国 漫游   好
您好 请 讲   你好 我 想 请问 一下 这个 嗯 这个 手机号码 的 就是 它 的 一个 套餐 是 哪 一种 吗   套餐 的话 您 这边 是 五十分钟 全国 通话 还有 三百 兆 全国 流量 的 三十 八块钱 的 套餐   三十 八块钱 嗯 噢 三十 八块钱 有 三百 兆 是 啊   嗯 对 三百 兆 然后 全国 五十分钟   哦 没有 那 现在 目前 流量 用 多少 兆 是 吗   好 稍 等 我 帮 您 看 一下   嗯
对 您好 很 高兴 服务   喂 你好 请问 一下 我 这 张卡 里面 那个 业务 有 多少   稍 等 马上 看 一下 这边 帮 您 看 了 您 就是 这个 基本 套餐 费 其他 没有 包月 收费 业务   噢 基本 套餐 是 多少   九块 钱   呃 就是 那个 流 流量 卡是 啊   您 这边 是 那个 呃 就是 日租卡 套餐 基本 套餐 九块 那 如果 您 是 有 上网 的 情况 下 一天 扣 一块钱 有 五百 兆 的 省内 流量   那 什么 嗯 扣 了 这么 厉害 啊 这个 月
您好 很 高兴 您 服务   喂 你好 你 帮 我查 一下 我 现在 是 什么 套餐   啊 您 现在 是 一个月 三十八 元 的 嗯 嗯 然后 另外 有办 了 一个 五十元 流量 包 活动 是 到 十二月 一号 会 自动 取 自动 结束 取消 其他 的 收费 业务 帮 您 查询 暂时 是 没有 嗯   暂时 没有 哈 呃 那 我 我 要 改个 套餐   可以 您 想 换 什么 套餐   我 呃 现在 有个 什么 东西 的 是 多少   最低 一个月 八元   呃 一个月 八元 的 啊 是 的 呃 三八 呢
啊 您好 请 讲行   哎 你好   诶 您好   问 一下 我 的 这个 号码 是 是 四六 六五 这个 号码 这个 宽带 有没有 被 停掉 啊 你 帮 我 看看   您 说 您 办 的 移动 宽带 不能 用 现在 对 吗 嗯 对 你 看 一下 有没有 您 不要 挂机 噢 我 帮 您 转 宽带 专席   好 你 这个 我 这个 手机 有没有 欠费   您 说 哪个 号码 是 您 本机 还是 另外 一个 号码   本 机 这个 号码 是不是 四六 六五
就是 想   诶 你好 诶 请问 一下 我 这个 手机号码 好像 有 那个 姐姐 那个 宽带 噢   嗯 嗯 然后 是 出现 什么 问题 了 吗   它 是 这 样子 我 问 你 一下 就是说 我 这个 宽带 的话 大概 是 到 什么 时候 到期 呢   嗯 我 帮 您 看 一下 您 稍等一下 噢 宽带 的话 是 到 十一月 一号 到期   哪里 我 那 时候 是 买 的话 是 两年 送 一年 的 怎么 现在 是 这么 快 两年 时间 还有 一年 怎么 那 这个 这个 有点 骗人 啊   我 这边 帮 您 看 了 一下 当时 办 的 是 两年 的 时间 不是   不是 他 拿 你 听 我 讲 啊 它 当时 我们 去 营业厅 办 这个 的 时候 到 营业厅 那边 进来 就 跟 我们 讲 他 说 你 就是说 交 两年 就 有 送 一年 的 宽带
您好 请 说   呃 我 想 问 一下 我 现在 手机 有 什么 套餐   您好 您 的 基本 套餐 是 超级 流量 王 的 流量 王 的话 它 是 一天 一个 g 那 每个 月 的 套餐 费是 月初 一次性 扣除 了 这个 基本 套餐 以外 来电 提醒 三块 彩印 三块 然后 彩铃 六块 幺 三七   比如说 好   我们 这边 帮 您 查询 您 办理 的 固定 费用 就是 这些 啊   噢 那 我 刚刚 跟 你 弄 了 一个 呃 就是 宽带 的 一个 套餐 现在 还 没 吗   宽带 您 稍 等 这个 号码 申请 了 噢   对版
您好 请 讲   你好 我 想 请问 一下 我 这个 号码 有 开通 什么 流量 套餐 吗   我 帮 您 查 一下 呃 那 您 这边 就是 八十八 套餐 七百 兆 额外 有 一个 五十元 一个 g 流量 每个 月 有 返还 二十元 话费 的 活动 现在 已经 结束 就是 每个 月 五十块 钱 一个 g   噢 那个 可以 取消 吗 帮 我 取消 掉 五十块 钱 的   可以 这个 您 不要 我 帮 您 取消 一 下下个月 就 不要 了 限 当月 用   那 那个 八十八 元 的 是 每个 月 的 就是 包月 套餐 是 吗 对 对 这个 取消 不了 吧 就是 通话 的 吧 不用 改 一下   这个 是 但是 你 有 一个 手机 活动 绑定 的 所以 取消 不了   噢 噢 好 那 你 帮 我 取消 掉 五十元 一 g 的 套餐
您好 请 讲   哎 你好   你好   呃 帮 我查 一个 电话号码 的 套餐 看看 是 什么 套餐 好 吗   好 可以 你 说   幺 五零   嗯 嗯   六零 二七
您好 很 高兴 为您服务   喂 你好   您好   诶 我 这个 手机 是 那个 时间 有没有 开通 了 什么 东西 帮 我查 一下 消费 怎么 这么 高 嘞 等 一下 啊   您 目前 就 一个 三十八 的 套餐 您 有 开 了 一个 三十块 的 流量 有 一个 来电 提醒 有个 手机游戏 有个 手机 视频 有个 手机 阅读 还有 一个 彩印   那 你 噢 哎 就 这 一种   就 这些 了 没有 其他 的 了   这些 这 样子 那 你 可以 帮 我 关掉 去 吧
您好 很 高兴 为您服务   哎 你好 我 问 一下 为什么 我 这个 有 有 定制 了 什么 什么 什么 套餐 之类 的   您 现在 是 幺 二八 零 会员 彩铃 还有 彩印 还有 来电 提醒 啊 这些 我 都 帮 您 登记 活动 到期 自动 取消 掉   是 这个 是 活动 到 活动 到期 因为 我 我   支付宝 联系 这个 号码 卡是 新 买 的 吗 就 一个 九块 钱 的 套餐 吗   啊   对 啊   然后 这些 然后 因为 我 刚才 说 的 那些 信息 这些 是 什么 情况
您好 请 讲   喂   您好 请 讲 不 客气   你 帮 我查 一下 我 那个 嗯 嗯 前 一段时间 嘛 就是说 有人 要求 我 做 那个 七十九 的 那个 包含 宽带 的 那个 套餐 嘛 然后 你 然后 你 帮 我 查查 我 现在 哎 嗯 还 是不是 那个 全球通 吧   套餐 还是 说 您 现在 是 一百二十八 套餐 用 不了 七十九   为什么 啊   因为 这边 有 参加 一个 叫做 剩 八八 套餐 送 一千 分钟 和 四 g 流量 的 活动 活动 从 是从 今年 的 七月 一号 开始 到 明年 的 七月 一号 结束 在 一周 一年 的 一个 套餐 不能 低于 七十八 嗯 不能 低于 八十八 噢   这个 就 不能取消 是 吧
很 高兴 为您服务 您好   呃 您好 你好 我 我 那个 手机 好像 没有 开 那个 全球通 你 帮 我 看 一下 全球通 好不好   啊 跟 我 通话 这个 号码 吗 已经 是 全球通 的 了 全国 接听 免费 的   那 我 为什么 我 我 我 这 手机 必须 地区 打电话 还要 那么 多   g 那 如果说 您 出 了 厦门 打电话 就是 一分钟 一毛 九 就 好 了 呀   那 不 呃 就是说 不能 呃 那个 呃 一 厦门 在 哪里 用 啊 您 在 哪里 用 是 在 我 是 好 这个 时候 能用 的 但是 我 去 泉州 的话 转 泉州 那 我 帮 您 开个 厦漳泉 同城 包好 吗   那 一百 分钟 就 在 厦漳泉 都 可以 用 了 下个月 一号 生效 哈 噢 嗯 嗯 好 开好 了 免费 的 还有 什么 可以 帮到 您 的   噢 我 呃 看 呃 问 一下 有没有 那个 什么 那个 呃 什么 流量 呃 那个 加油 包 呢
您好   你好 我 这个 号码 除了 套餐 外 还有 什么 其他   嗯 正在 帮 您 看 一下 有 开通 来电 提醒 两块 还有 个 六块钱 的 短信 套餐 呃 没有 其他 收费 的   噢 来电 提醒 那个 给 我 取消 掉   嗯 请稍等 恩好 的 提醒 帮 您 取消   那个 六元 那个 可兆   短信 套餐 要 取消 是 吗   对
您好 请 讲   那帮 我 看 一下 我 这边 有没有 开通 那个 呼叫转移 呀   上海 稍 等 我 看 一下 对 对 呃 您 您 没有 没有 办理 电话 出价 转接 没有 吗 那 我 怎么 打 过去 都 打 不通 啊 打 打电话 打 回 原因 呢   对 呀 就是 那个 卡 就是   您 打 进来 嘛   她 在   郑州 不是 含 多少 钱 呐能 正常 接电话 吗 接电话 可以 啊 打电话 他 不是 给 我 就是 就是 有 一个 就是 我们 家庭成员 有没有 录音 吗   打 不 通电话 电话
哎 您好 请 讲   诶 你好 诶 帮 我查 一下 我 那个 我 这个 手机 那个 号码 里面 还有 没有 在校 通 了   好 的 马上 为 您 检查 噢 不要 要 关掉 吗   呃 对 有 几个   一个   那个 啊   恩好 的 那 我 帮 您 把 这 一个 给 您 关掉 了 还有 什么 要 咨询 的 吗   诶 还有 什么 要 还有 什么 什么 要 关掉 你 帮 我 看 下 还有 什么
阖家幸福 您好 请 讲   哦 我 问 一下 我 这个 呃 这个 手机号码 然后 现在 是 包括 几个 业务   套餐 是 几个 什么 套餐 噢 好 的 首先 您 现在 来电 的 这 张卡 就是 您 的 月租费 三十 八块钱 除了 十八块 外 的 对 是   嗯   除了 这个 以外 的话 您 并 没有 再 订购 其他 需要 您 收费 的 项目 了   那 三十 八块钱 的 里面 包括 机是 吗 有 流量 套餐 吗   一百 分钟 本地 通话 和 五百 兆 的 流量 跟 详细 的 收费 我会 发短信 给 您   噢 有 五百 兆 流量 有 噢
