请 您好 请 说   诶 你好 我 问 一下 我 这个 号码 的话 办理 宽带 的话 怎么 个 办理   本 机要 申请 宽带 呃 先 新装 的 吗 是 吗   嗯   您 不用 挂 电话 我 帮 您 转到 宽带 专家 这边 给 您 做 申请 一下 我们 专家 为您服务
哎 您好 请 说 呃 您好 我 想 问 一下 国内 流量 怎么 申请 呃 国内 流量 的话 这边 可以 直接 帮 您 办理 的 国内 流量 有 一个 那个 活动 的   活动 有 一个 那个   六十块 钱 六个 g 的   有没有 早 一点 呐 因为 我 省内 还有 很多 就 国内 省外 里面   请问 不够 的话 您 开通 一个 那个 流量 包吧 流量 包 比较 优惠 我 给 您 看看 算 一下 多少 钱 嗯 比如 您 开通 一个 三十块 钱 一个 g 的 吗 那 今天 已经 是 二十 号 了 那 今天 折算 一下 只要 收 您 十多块 钱 十一块 八毛 四有 一个 四百 零三 兆 的 国内 流量   购买 那 可以 可以
您好 请 说   喂 您好 嗯 请问 一下 我 那个 就是 服务 密码 就是 一年 上面 密码 给 忘记 了 那 怎么 充值 啊   呃 您 说 的 就是 这个 手机号 的 服务 密码 忘记 了 那 这边 的话 要用 您 登记 的 身份证 号码 进行 重置 了 您 登记 的 身份证号 现在 会 知道 吧   身份证 号码 对 吧   呃 对 这个 会 知道 吗 要 用 这个 身份证号 去 设置 一下 密码 的   我 知道
您好 请 讲 喂 你好   有   没   可以 了   啊 有 什么 问题 可以 帮 您 呢   哎 一家 对 对
您好 请 说 喂 你好 诶 你好   请问 一下 我要 那个 积分 兑换 话费 要 怎么 换   呃 直接 通过 我们 幺 零零 八六 ipp 就 可以 兑换 我 马上 把 这个 链接 发给您 一下 好 吧   要 要 下载 那个 htc 啊   嗯 对 或者 是 发送 短信 兑换 也 行 啊 您 看 一下 短信 也 不 知道 也 发给您 是 吗   噢 短信 用 短信
恩好   您好 很 高兴 为您服务   哎 喂 你好 我 这个 呃 八十八 的 套餐 然后 现在 怎么 把 它 改成 三十八   请稍等 三十八 它 是 赠送 本地 打 国内 一百 分钟 五百 兆 流量 还有 来电显示 可以 吗   再见 可以   那 就 改成 三十八 是 赠送给 您 本地 打 国内 一百 分钟 五百 兆 流量 还 来电显示 啊 但是 改 的话 以后 就 不能 改为 您 这种 一 六版 的 飞享 新飞 享 八十八 了 好 吗
您好 请 讲   我们 流量 怎么 买 呀   呃 流量 是 您 用 完 了 是 吧 先生 您好 您 可以 办 那个 我们 要求 是 六十块 钱 六个 g 的 流量 有效期 一百八十 天有 六个 g 的 流量 不过 我 看 了 一下 您 这 流量 不是 还有 很多 吗 流量 还有 一千 一千零七 十兆 诶 还有 一个 g 啊 先生   还有 啊   还有 一个 g 的 流量 吗 先生 您 这里 还 很多 不用 办   噢
很 高兴 为您服务   你好 我 那个 十一月份 的 那个 宽带 那个 盗 了 然后 用要 要 用 什么 方式 交交 啊   您 是 说 宽带 续费 是不是 对 对 对 对 对 对 对 要 到 移动 营业厅 续费 我们 这边 是 不了   是 充 入手   工作人员 手机 你 要是 你 要 接到 移动 营业厅 去 办理 续费 的 一些 活动 之类 的 您 不要 直接 充 进去 直接 充 进去 的话 它 没 办法 给 您 自己 宽带 的 要 去 移动 前台 办 如果说 您 没有 去 续费 它 就 会 按 包月 来 扣 下个月 开始 一个月 六十块 钱 那 是 提前 办 的 是 什么 下个月 十几分钟 的 它 这个 月 月底 之前 就要 去 办 续费 了 要 办 续费 了 噢 对 要 去 移动 前台 办   哦 哦 号 好好 好好
你好 您好 很 高兴 为您服务 您好   你好 我要 办理 那个 流量 套餐 是 怎么办   先生 您 到 月底 的话 我 给 您 加 一个 比较 实惠 一点 的 流量 啊 就是 我们 有个 三十块 钱 有 一个 g 的 那 今天 开通 的话 我们 不收 您 三十块 只收 您 十五块 七毛八 流量 有 五百三十 八兆 用到 月底 我 帮 您 取消 好 吗   十五块   对 十五块 多 然后 流量 有 五百多 兆 这 样子 啊   那 现在 开通 可以 吧
您好 请 说   诶 你好 我想查 一下 就是 我 现在 那个 服务 密码 忘记 了 我 现在 怎么 可以 找回 啊   本 机号码 的 吗   本 机号码 的   嗯 我发 一个 短信 给 您 您 要 严格 按照 发给您 的 短信 方式 它 里面 有 告诉您 的 格式 要 怎么 发报 到 按 了 一个 是 发短信 到 幺 零零 八六 可以 把 您 的 密码 重新 设置 一下   噢 好 这个 没有 时间 限制 的 吧
您好 有 什么 可以 帮助 您   喂 你好 噢 就是 那个 噢 手机号码 这边 现在 这 手机号码 不是 我 本人 的 身份证 包要 在 十一月份 的话 需要 怎么办 了   先生 很 抱歉 您 那边 是 有用 免提 吗 我 这边 听 不 太 清楚 您 讲话 如果 有 的话 麻烦 您 免提 关掉 一下   好 的 不是 说 我 今天 实名 认证 噢 身份证 不是 我 本人 了 然后 要 改 改成 我 本人 的 身份证 那边 的话 要 需要 什么 卡   那 您 要 两个 人 带上 各自 的 身份证 原件 然后 到 当地 移动 营业厅 去 办理 过户 啊   个人 不行 哈
您好 很 高兴 为您服务   现在 现在 那个 要 去 香港 的 那个 接听 免费 的 那个 办要 怎么办 呢   香港 接听 免费 套餐 没有 了   啊   没有 了 没有 了 对 您 是 就 两块 九 一天 接听 免费 的 这个 是 吧   呃 不 知道 反正 就是 七点 九块 的
哎 您好 请 说   诶 你好 我 我 那个 服务 密码   嗯 手机卡 的 服务 密码 就是 业务 密码 这个 您 如果说 密码 不 记得 的话 我 给 您 发 一个 设置 密码 的 方式 您 根据 短信 操作 就 可以 设置 一个 新 的 密码   怎么 怎么 操作   呃 我 将 操作 方式 给 您 发 过去 了   呃 要 下载 东西 要 下载 那个 mp 吗
你好 请 说   哎 你好 我 想 问 一下 我 现在 这个 流量 不够 用 了 然后 我 想 那个 我 那个 流量 要 怎么弄   流量 不够 用 了 稍等一下 女士 我 给 您 看 一下   嗯 好 噢 哎   您 现在 是 不 您 现在 是 没有 在 那个 三明 是不是 在 在 在 厦门   对 我 在 厦门
您好 您 说   哎 不是 各国 你好 那个 我 问 一下 我 有 个 朋友 噢   嗯 嗯   他 他 要 去 那个 菲律宾 吗 他 手机 噢 手机 你 要 转来 我 这个 打 关机 的 时候 呼叫转移 来 我 这个 手机 什么 要 要 我 这个 手机 的 密码 我 都 忘记 的 打 都 没 怎么办 呐   嗯 那 您 现在 您 是 您 这 部手机 的 密码 忘记 了 是 吗   对
你好 很 高 的 我 如果 去 泰国 漫游 开通 的话 要 怎么 开通   泰国 漫游 先 把 那个 国际漫游 功能 先 打开 我 这边 帮 您 开通 一下   可以 开通 那要 押金 吗   不用 的 就 您 这个 本机 是 吧   啊 现在 不用 了 是 吧   不用 啊
淘宝网 您好 请 讲 请问 那个 什么 业务 初始密码 那个 怎么弄 啊 您 说 什么 业务 初始密码   就是 那个 手机号码 那个 充值 业务 密码   噢 初始密码 忘记 了 是 吗 我 给 您 看 一下   好像   我 这个 月 到 这个 您 现在 人 在 福建省 内 吗 对 啊 打 那个 幺 二五 九零 幺 七 这个 电话 打 出去 然后 它会 自动 挂机 过 完 之后 就 会 把 密码 发到 您 手机 上 我 给 您 把 号码 发给您 您 去 拨打 一下   幺 二五 九零 六七 对 吧
您好 请 说   你好 诶 喂 你好 我 现在 我 这个 手机 密码 忘记 了 他 要 怎么 找 回来 呀   好 的 请稍等 我 帮 您 看 一下 噢   噢   呃 密码 如果 忘 了 您 本机 这边 是 可以 拿 身份证件 到 龙岩 营业厅 去 密码 重新 设置 一下   还要 去 营业厅 设置 啊
您好 很 高兴 为您服务 您好   喂 你好 你好 问 一下 就是 那个 人家 打电话 那个 可以 下载 彩铃 那 是 要 打 什么 你 报 给 我 一下   彩铃 的 那个 电话 是 吗 啊 那个 幺 二五 三零   幺 二五 三零二   哎 幺 二五 三零对 彩铃 电话 嗯   好 谢谢 啊 哎 好 不 客气
嗯 您好 请 讲   诶 你好 我 想 啊 我 想 问 一下 就是说 我 现在 就是 这个 宽带 然后 我要 移到 其他 地方 去 我 要 怎么 一   呃 移机 稍等一下 我 帮 您 转 我们 宽带 客服 那边 登记 一下 噢
嗯 那 您好 很 高兴 服务 哎 你好 那个 我 这个 手机 嗯 手机号码 的 那个 服务 密码 忘 了 怎么 改   诶 好 的 请 稍等一下 先生 帮 您 查询 一下 噢 这 张卡 登记 过 身份证 嘛 噢 可以 通过 身份证 来 找回 密码 我 待会儿 把 怎么 找回 的 方式 发 过去 您 按照 短信 操作 一下 就 可以 转 回来 了   哎 好 的 好 的   行 我发 过去 哈 还有 其他 需要 帮助 吗   嗯 没有 谢谢 诶
您好 请 讲   呃 你好 我 想 问 一下 我 那个 一下 我 这 手机号 的 那个 缴费 发票 该 怎么 去 来 呀   缴费 发票 应该 是 您 是 要 改 比如说 呃 像 九月份 的 发票 这种 是 吗 要 报销 这种 是 吗   噢 对 因为 我 是 自己 要 绑定 网站 需要 他 说 需要 提供 缴费 发票   缴费 发票 那 我们 只有 是 说 电子 比如说 我们 是 只有 一种 比如说 我 十月份 了 我 可以 去 打 您 九月份 的 消费 发票 那 您 说 的 他 的 缴费 发票 是 指 什么 呀 只是 说 您 缴费 记录 还是 什么 您 是 在 什么 什么 网站 上面 可以 问 一下 那个 网站 客服 需要 的 是 什么 内容   他 就 说 是 就是 缴费 的 发票
您好 很 高兴 为您服务 请问 您 现在 本 机号码 新装 移动 宽带 吗   呃 是 另外 一个 号码 然后 就是说 那个 就是 以前 是 装 在 这边 然后 它 现在 要 移走 但 那 现在 怎么弄   麻烦 您 提供 一下 手机号码 还有 密码 我们 这边 帮 您 做 登记 呃 幺 八二 幺 五九   二   幺 零 五九 幺 零零 八   密码 应该 是 嗯 你 说
嗯 嗯 呃 您好 请 讲   啊 你好 我 这 这个 手机 的 卡 是 二 g 的 我 想 升 四 g 是 是 怎么办   呃 您 要 升成 四 g 卡是 吗   对 对   呃 如果 要 升成 四 g 卡 的话 您 需要 去 营业厅 更换 卡 把 这 张卡 更换 成四 g 卡   我要 去 营业厅 才能 更换 是 吧
你好 请 说   喂 你好 有 什么 可以 帮 您 麻烦 请问 一下 我 比如说 我 手机 直接 查话费 还有 剩余 说 话费 再 我 直接 按 什么 号码   幺 零零 八六 幺 幺   幺 幺 它 没有 提示 剩 多少 钱 啊 只是 说 这个 月话费 多少 啊   就是 您 要 查话费 余额 是 吧   呃 余额 要查 比如 这个 月话费 包月 套餐 通 通知 查 一下 常常 就 好 了
没 您好 请 说   你好 我 想 那个 套餐 改为 五十八 的 套餐 是 要 怎么 改   干是 吗   就 说 我 我 现在 是 呃 一个月 嗯 包月 三 十八块 的 然后 不够 用 然后 要 改回来 改 五十三 号键 可以 直接 给 您 改   他 是 这样 的 是 五十八 有 现在 有 一种 新飞 享 五八 套餐 有 四百 分钟 通话 然后 三个 g 流量 其中 一百 分钟 的话 可以 在 全国 打 全国 电话 三百 分钟 只能 在 本地 打 全国 然后 流量 有 三个 g 二点五 g 可以 在 福建省 内用 限 当月 用 另外 五百 兆 可以 全国 通用   ok 可以
您好   诶 我 问 一下 我 这个 现在 用 的 是 七九 的 那个 套餐 嘛 噢   然后 那个 宽带 是 好像   也 是 免费 的 噢 然后 就是说   里面 包含   就是说 那个 到时候 如果说 网络 不想 用 了 那 这个
您好 请 说   看 我 这个 号码 取消 掉 要 到 营业厅 去 吗   要 号码 销户 要 去 营业厅   号码 销户 要 去 营业厅 是 吧   但是 的   那 平均 号码 停机 保都 没用
您好 请 讲   哎 你好 我 那个 彩铃 啊 要 怎么 呃 那个 比如说 不 想要 彩铃要 怎么 删掉 啊   本 机号码 的 彩铃 功能 吗   对 对 对   助 稍 等 我 帮 您 看 一下   嗯 嗯 好
对 您好 高兴 为您服务   诶 请问 我办 那个 呃 用 那个 宽带 怎么 都 还要 去 哪里 办   噢 我 这边 也 帮 您 直接 转接 宽带 这边 问 一下 您 不要 挂机 哈 啊 嗯 正在 为 您 转接
您好 请 说 嗯   哎 这边 想 问 一下 就是 知道 那个 嗯 电话号码 跟 那个 服务 密码 的话 可不可以 改成 电子 的 要 出来 啊   电子 发票 是 吗 可以 了 电子 发票 这个 号码 的 服务 密码 的 吗 它 有 个 那个 短信 随机码 我们 有 获取 的 网站 我 把 这个 电子 发票 或者 网站 发给您   嗯 可以 可以 啊   我 把 这个 电话 过去 电子 发票 的 网站 网 网址 发给您   就 不 知道 那个 就是 只 知道 服务 密码 可以 吗 就 验证码 收不到 接打 一下 吗
您好 很 高兴 为您服务   喂 你好   诶 您好   我 想 问 一下 那个 铁通 那个 啊 那个 那个   资费 怎么 交   现在 的话 到 哪里 去 交费
您好 请 说   哎 你好 我 想 咨询 一下 恩好 那个 由 他人 代付 的 那个 电话费 那个 发票 是 怎么 怎么 打 的   由 他们 代付 发票 是 体现 在 付费 的 那个 号码 上   那 我 怎么 体现 是 是 我 这个 号码 用   您 在 打印发票 的 时候 它 上面 就 会 有 显示 显示 了 就是 主号 去 打印发票   主号 去 打印发票 那能 不能 我 十五号 去 打 的话 能 不能 单独 打 它 这个 付费 的 这个 客户 号 的 这个 号 号码 的 报表
你好 你好 您 说   呃 我 问 一下 下午 好像 是 外省 的 卡 在 厦门 掉掉 了 我 就要 补办 补办 如果 没有 那个 服务 密码 可以 补办 吗   您 是 说 哪里 的 号码 厦门 的 号码   不是 外 外省 的 两千   块钱 然后 呃 就是 国内 的 省外 的 一个 号码 然后 要 在 这个 福建省 不是 是 哪里 去 厦门 咱们 有 然后 想 补卡 然后 您 是 呃 都 有 身份证 然后 密码 都 知道 是 吧   服务 密码 不 知道
您好 很 高兴 为您服务   喂 您好 我 有 一个 手机卡 上 然后 再 欠费 了 然后 我 不 知道 然后 现在 空号 了 要 怎么办   号码 多少 我 帮 您 报 你 报 给 我 一下   幺 三八 六零 八三   嗯 嗯   七七 幺 八
你好   喂 你好   你好   问 一下 那个 我 这个 手机 办 一个 宽带 的话 就 说 呃 怎么办 呢   我 帮 您 转接 宽带 客服 他会 跟 您 介绍 然后 再 帮 您 登记 您 不要 挂机 好 吗   好 的
您好 请 说   喂   你好 喂 您 说 先生   诶 我 想 问 一下 你 那个 一百块 钱 就 五个 g 的 那个 套餐 是 怎么弄 的   一百块 钱 五个 g 流量 昂   它 不是 有
嗯 哦 中午 好 您 说   嗯 您好 我 这边 是 嗯 我 这个 号码 打 过去 的 时候 有 标记 这个 什么 顺丰 快递 这个 人 去掉 吗   这个 是 集团 的 那个 显示 如果 是 这种 的话 通过 营业网点 取消 我们 电话 上 也 没 办法 做 这个   噢 那 那 怎么 取消 呢 我 这边 是   您 身份证 原件 您 到 营业厅 把 这个 情况 跟 工作人员 说 一下 他会 帮 您 直接 取消 这个 是 集团 方面 的 一个 显示 问题   噢 好 的 好 的 谢谢 噢
您好 您 请 说   喂   您好 什么 可以 帮 您 的 吗   对 帮 我 看 一下 那个 校园网 的 那个 登录 密码 怎么 改掉   噢 就是 那种 异地 业务 的 没有 密码 是 吗   嗯
您好 请 讲   我 想 问 这个 手机 办理 那个 国际漫游 要 怎么 操作   我 给 您 看 稍等一下 呃 漫游 功能 已经 开 了 先生   然后 漫游 功能 的 几栋 几栋 就 办理 了 是 吗   呃 国际漫游 功能 开通 就 能 在 国际漫游 使用 的 号码 卡 啊 号码 卡 漫游 功能 开 了 就 可以 使用 了   那 我们 这个 带到 国外 去 可以 用
你好   啊 喂 你好 我 想 请问 一下 我 今天 早上 还要 有领 的 那个 什么 卡来 着   四主卡 吗   呃 就 那个 什么 三 g 定向 视频 然后 一天 送 五百 兆 的   噢 一天 五百 兆 一块钱 的 是 吗   呃 对 对 对 那个 我 需要 自己 操作 吗 还是 你 帮 我 操作
您好 很 高兴 为您服务   诶 你好 诶 我 想 请问 一下 就 说 办 几排 玩 的 那个 电话 老是 漫游 是 吧   呃 对 你 要 到 台湾 去 漫游 对 吗 先生   诶 对 对 对 我 是 想 问下 这个 漫游 是 怎么 怎么 开通 然后 是 费用 怎么 算 的 呢   国漫 功能 的 这个 基础 功能 可以 帮 您 免费 开 这个 是 不 需要 钱 的 要 开 吗   就是 开 了 费用 他 是 怎么 算是 打 多少 算 多少 吗
您好 请 讲   嗯 就是 这个 那 电话 转接 怎么弄   电话 转接 呃 是 您 这边 手机 要 呼叫转移 到 别的 号码 上 是 吗   对 的   呃 这个 直接 在 手机 上 设置 就行了 我 把 设置 方式 发给您 所有 电话 都 转接 是 吧   我 知道 对 就 说 电话 都 是 软件 但是 它 一直 自动 的 时候 它 一直 显示 网络 异常 这四 g 的 时候 用 然后 一 g 就 变成 二 g
您好 请 说   诶 你们 移动 的 那个 宽带 是 怎么弄 啊   您 是 要 新装 移动 宽带 吗   对 啊 就 反正 手机 上 是 吗   对要 捆绑 在 本地 的 移动 号码 上 请问 是 要 用本 机办 吗   对本机 啊
您好 很 高兴 为您服务   你好 我 这个 要 撤销 这个 宽带 是 打 这个 电话 吗   取消 宽带 的话 需要 到 营业厅 进行 取消 的   去 哪里   到 当地 的 营业厅 我 看 一下 您 是 在 厦门 的 岛内 还是 岛外   岛内 那个 厦大 这边
您好 很 高兴 为您服务   喂 你好 我 想 问 一下 那个 就是 我 的 那个 发票 的 人工 台 检测 了 那 我 后面 重新 开 怎么样   您 是 说 发票 开错 了   但是 我 发票 从 多 短信 出来 了 你 现在 没有 那个 抬头 的 我 那个 它 都 填错 了 然后 我 现在 要 重新 开 那个 话费 的 那个 发票 要 怎么 改   嗯 那 您 说 的 这个 情况 我们 这边 前台 没 办法 直接 操作 我 把 您 的 这个 问题 反映 到 上级部门 去 让 我们 后台 工作人员 看能 不能 给 您 进行 处理 到时候 会 有 专人 跟 您 联系 好 吗   你 这边 不能 就 不 知道 怎么办 是 吗
您好 请 说   我 那个 手机号码 那个 服务 密码 忘 了 怎么 可以 改 吗   您 稍 等 跟 您 现在 人 是 在 福建省 内 吗   噢   您 这 密码 还 没 获取 过 呀 我家 那个 获取 初始密码 的 方式 发给您 您 去 获取 一下 您 的 初始密码 去   噢 行 好好
您好 请 讲   嗯 就是 你 那个 移动 的 那个 厦门 的 那 一点 打   兆 了 电话 呃 一样 的 我们 全 全省 电话 的 先生 您 是 要 咨询 号码 在 厦门 号码 的 这个 问题 是 吗   噢 这样   呃 那 是 呃 什么 问题 呢   他 那个 手机 掉 了 嘛 然后 现在 我人 在 东莞 嗯 嗯 他 怎么 什么 什么 挂失
很 高兴 为您服务 我要 解绑 这个 宽带 怎么 怎么 处理 完   解绑 这个 宽带 请稍等 我 看 一下 您 的 宽带 是 两年 时间 现在 一年 都还没 到   如果说 电话   嗯   中途 解绑 怎么样 我 现在 有 几个 月 不能 用 啊 宽带 反映 了 几百次 了 噢 上次 我 中国 经济 钱 给 你 打电话 是 三天 业务 三天 给 我 弄 才能 用到 今天 我 已经 打电话 还 不能 用 啊 你 我 说 不解 绑 干嘛   那 我 这边 要 不要 噢 马上 帮 您 转到 这个 宽带 部门 去 处理 一下 您 的 宽带 问题
您好 请 讲   哎 你好 你 把 那个 飞享 八块钱 套餐 的 那个 办理 方式 发给 我 一下   好 的 没 问题 给 您 发送 了 稍后 留意 产生 恩 那 还有 什么 可以 帮 您 的 没有 了 诶 好 的 感谢 来电 再见
您好 请 讲   噢 呃 就是 本 机号码 如果 装 宽带 是 怎么 装 的   您 要 办理 我们 移动 宽带 是 吗   诶
您好 请 说   你好 诶 我 刚刚 办 了 一个 那 三十元 买 那个 一 g 的 那个 wifi 的 那个 流量 的 流量 包 的 噢 我 就 只用 这个 月 下个月 不用 那 怎么 处理 啊   好 的 那 我 这边 直接 给 您 取消 取消 完 之后 这个 月 剩余 的 流量 月底 之前 就要 用 完 噢   这个 这个 月 用 了 我 就 不要 了   好 的 那 这边 已经 取消 好 了 下个月 没有   收费 好好
您好 请 说   嗯 我 这个 手机 要 取消 那个 来电 转接 是 怎么弄 啊   噢 我 帮 您 办 我 先 帮 您 查 一下 您 稍 等   啊 我 来电 转接 了 帮 我 取消 了 去   我查 一下 您 是不是 就 这个 手机号 转到 幺 八 零 电信 号码 上 把 这个 取消 掉 是 吗   啊 对 对 对 取消 来电 转接 谢谢 噢
您好 请 讲 呃 我 那个 我 现在 不是 停机 保号 然后 我 这个 那个 密码 服务 密码 忘记 了 我 怎么 可以 恢复 啊   那 这种 要 那 这种 要 机主 带 身份证 到 营业厅 那边 恢复 了   我要 这 样子 啊   现   没 办法 不是 我 这个 绑定 我 绑定 的 东西 它 现在 要 验证 号码 变成 手 手机 给 我 那个 就 没 办法 是 吧   是 很 抱歉 给 您 添麻烦 了 那 要 带 身份证 到 营业厅 那边 处理 一下
您好 高兴 为您服务   哎 你好 请问 那个 就是 手机 要发 什么 什么 那个 代码 然后 修改 那个 重置 那个 宽带 密码 您 发 一个 给 我 看 一下   呃 是 您 本 机号码 申请 的 宽带 密码 吗   呃 对 没有 错 另外 一个 手机 的   噢 那 我 把 那个 密码 设置 方式 发给你 你 看 一下   号 好 谢谢 啊
您好 请 讲   诶 问 一下 那个 问 一下 要是 密码 忘 了 要 怎么 修改 呢   如果 密码 您 本机 的 手机 服务 密码 是 吧 嗯   啊 对   如果 不 记得 可以 通过 身份证 重置 一个 新 的 我 把 重置 密码 方式 发给您 您 可以 发短信 重新 设置 一个 吧 哈   如果说 有要 收费 那个 来来来 来 修改
嗯 好 请 讲   喂 你好   您好 请 说   喂   您好 请 讲   噢 问 一下 我们 我 这个 短信 那个 校 讯通 而且 已经 没有 在 那边 读书 了 为什么 老是 哎呀 我 没收 啊 要 怎么 解除 啊
你好 您好 跟 您 讲 诶 你好   诶 我 这个 电话 开机 的 时候 要 转 短信 要发 什么 短信 我 忘 了   就是 所有人 打 您 电话 都 转 短信 提醒 是 吧   嗯 对   我 把 设置 方式 发短信 给 您 吗   嗯 好 谢谢
您好 请 讲   那个 之前 买 的 这 一部 手机卡 的话 然后 就是 忘记 那个 业务 密码 了 嗯 现在 要 怎么 取消 业务 密码   噢 好 的 如果 您 不 记得 的话 我 这边 呃 就是 需要 这个 女士 您 呀 但是 您 自己 的 身份证 原件 然后 找 一个 漳州 移动 呃 去 处理 一下 银行 就 移动 为准   你 这边 不 可以 处理 吗   我 这边 直接 查是 查不到 的 女士 如果 能够 查 得到 的话 我 给 您 解决 就 告诉您 了   那 我 直接 给 你 身份证 号码 呀
您好 请 讲   诶 你好 呃 我 想 问 一下 就是 噢 我 在 本地 想要 打 国际 电话 现在 是 怎么 办理 呢   呃 国际 电话 是 吗 好 那 我 现在 帮 您 开通 一下 国际 长途 的 可是 不是 不是 我 的 号码 我 就是 想 问 一下 吧   要 咨询 一下   先生 您 要 叫 他 自己 本 机号码 打 幺 零零 八六 开通 下 就 可以 打电话 了 你 这边 开通 就行 不用 营业厅 嗯 对 是 的 那 要 不 自己 的 吗 没有 它 是 按照 每分钟 多少 钱 那 是 要 打 哪个 国家 电话 吗   那 我 不 清楚 诶 是 怎么 算 呢
您好 请 讲   诶 你好 我 想 问 一下 我 这个 手机 的 手机 的 手机卡 的 服务 密码 怎么 查   服务 密码 被 那个 是 查不到 的 那个 身份证 号码 记得 吗   呃 记得 记得 g 的   那 现在 只 需要 听到 语音 提示 后 输入 一下 身份证 号码 然后 进行 重置 您 的 服务 密码 您 现在 的话 不要 挂机 好 吗   可以 可以 可以
您好 请 说   呃 麻烦 请问 一下 就 说 我 这个 我 是 重庆 的 嘛 我 现在 回老家 重庆 了 噢   嗯 嗯   然后 怎么 就是 我 嗯 就是说 这 不 打算 去 福建 那边 的 那 我 这个 卡要 注销 怎么弄 啊   这个 注销 的话 只能 您 在 重新 只能 叫 家里人 帮 您 代办 了 代办 它 要 有 您 的 身份证 原件 还有 他 自己 的 身份证 原件 跟 服务 密码 到 泉州 本地 的 营业厅 帮 您 代 注销 噢 现是   要不然 像 我 现在 就是 要 把 这个 身份证 原件 寄过去 噢
您好 很 高兴 为您服务   啊 请问 怎么 设置 那个 呼叫转移 呀   是 本机 转 他机 还是 他机 转本机   本机 转 他机   无条件 转接 是 吗   恩
您好 请 讲   喂 你好   你好   你 帮 我查 一下 幺 八八   七 幺 八七 一六 幺 八七 零五 零六 是 吗   二 二四 幺 八
您好 请 讲   嗯 你好 我 手机 不能 超 了 然后 去 补卡 的 密码 忘掉 要 现在 要 怎么弄 诶   您 卡 是 哪里 的 呀   啊 就 南平 啊   那 您 现在 在 南平 是 吗   最好 在 福州 在 福州
您好 很 高兴 为您服务   诶 你好 请问 下 我 这个 手机号码 装 的 那个 宽带 的话 我 那个 密码 忘记 了 加有 什么 办法   你 说 宽带 密码 忘记 了 我 这边 可以 帮 您 去 重新 设置 一个 新 的   噢 好 谢谢 啊   稍后 给 您 重置 吗 先生   嗯 可以
您好 请 讲   哎 你好 我 想 问 一下 就是 如果 我 的 手机号 和 那个 手机 的 掉 的话 那 这个 号码 怎么弄 啊   那 就 补卡   呃 补卡 那 我 现在 交了 能 不能 呃 先 那个 帮 我 停掉 啊 还是 怎么样 啊   我们 暂时 停掉 停机 保号 停完 之后 一天 扣一毛 六 那 张卡 密码 知道 吗   不 知道 最 原始 的 密码 没有 动过 的
嗯 嗯 您好 请 讲   喂   你好   我 想 另外 一个 电话 号   呃 想   激活 一个 电话 号
谢谢   您好 嗯 就是 你 帮 我查 一下 我 的 那个 宽带 要 那个   就是   改 地方 的话 要 怎么弄   呃 您 说 一下 宽带 移机 那 您 可以 提供 一下 新 的 移到 的 地址 我们 给 您 登记 上去 先 安排 工作人员 帮 您 确认 这个 地址 能 不能 进行 这个 申请 操作 是 新 地址 吗 还是 对 对 对 新 地址   呃 就是 东西 自动 短信 手机 一号 楼
您好 请 讲   所以 我 都 没有 我 这个 没有 开通 什么 嗯 嗯 那个 业务 密码 的 吗   每张 卡 其实 都 有 业务 密码 只是 说 您 可能 之前 自己 没有 获取 过 或者说 没有 找过 密码   那 那个 那 这个 要 怎么弄 啊   呃 那 您 这 样子 的话 要 带 身份证 原件 到 营业厅 现场 进行 重新 设置 密码   然后
嗯 嗯   您好 很 高兴 为您服务   呃 我 想 咨询 一下 要说 我 有 一个 号码 噢 也 是 不 知道 密码 那 我 要 办 停机 保号 可以 给 五个 号 对 吗   您 可以 提供 身份证 还有 五个 拨打 过 电话 进行 办理 停机 保号 那要 提醒您 一下 这种 停机 保号 如果 通过 这种 方式 办理 的话 呃 以后 如果 要 复机 一定 要 到 营业厅 去 重置 密码 以后 才 能够 复机 而且 这种 一般 手机卡 丢失 了 才 会 这样 办 的   嗯 我 知道 那 因为 我 是 现在 身份证 在 省外 没 办法 马上 寄过来 我先 停机 保号   您 这边 的话 只 需要 提供 身份证 号码 就 可以 了 您 这边 声 您 是 哪个 号码 要 办
您好 请 讲   那个 我 怎么 流量 那 打 什么 电话 都 查 不了   您 要查 流量 剩下 多少 是 吗   哎   我 给 您 直接 查询 不好意思 稍等一下 您 的 流量 现在 是 还有 剩下 二十八 兆 给 您 充值 的 这个 流量 剩下 二十八 兆   那 我 想 我 流量 是 二十八 兆 是 吧
你好 请 讲   喂 赔付   唉 你 说 呀 这里 是 幺 零零 八六 客服热线   噢 没有 我 刚才 有 一个 那个 有 打 一个 电话 好像 什么 又 后面 有 的 时候 什么 评价 服务 那个 余额 满意 的 问题 那个 我 刚才 啊   按错 了   怎么办 我们 是 请 按 一键 然后 手 我 不 小心 按到 三 了
哎 您好 请 说   你好 我 想 问 一下 呃 国际漫游 怎么 开通 啊 噢   啊 本 机要 开是 吗   没有 我 想 问 一下 是 什么 资费 的   呃 我 这边 可以 帮 您 开 只要 您 符合条件 的话 我们 这边 系统 可以 直接 开 那 漫游 到 每个 国家 价格 可能 内容 不同 您 是 在 哪里 漫游 呢   呃 日本
