您好很高兴为您服务 啊你你那个套餐就是你们现在那个什么三十八套餐为什么人家现在都每个月送到一一点五g我这用这么久了还还在五百兆啊 啊那个的话是移动刚推出来的还不稳定所以说是针对部分客户体验的所以暂时的话您这边改不了如果您现在可以如果说想要体验的话可以改那个五十八元的是三个g的流量也非常划算的 五个五十八块三个g是吗 对没错 噢它那个流量会累积到下个月吗 
可以您好预处理专席代表很高兴为您服务 你好是这样的就是说我刚刚收到了我六月份的那个话费的发票但是我是您的话费有点少 是有应该是按照电子发票订的话应该看到消费折扣了对吧 对 就消费折扣的话它这个是我看一下是上个月的吗 可以在下个月每个月 
您好很高兴为您服务 喂 您好机号码 我问一下那个叫什么呃现在也是话费的什么那个我一百消费一百零八幺三三百分钟的那个通话时间的是吧 对流量一个g签约一年每个月送十六块钱 每个月送十六块钱的等于是一百零八减去十十六块一四九就就九十多块了是吧 
可以您好预处理专席代表很高兴为您服务 你好是这样的就是说我刚刚收到了我六月份的那个话费的发票但是我是您的话费有点少 是有应该是按照电子发票订的话应该看到消费折扣了对吧 对 就消费折扣的话它这个是我看一下是上个月的吗 可以在下个月每个月 
您好很高兴服务 唉你好那个我有一个号码就是幺呃他那个我因为我看流量快不够了嘛它里面是那个全国流量和本地流量呃但是我已经购买流量加油包以后我发现那个流量加油包的流量只能先用了 对它是一个月优先使用您这张国际流量送的流量都是本地的它是建立在您套餐里面流量用完之后才能用到送的它是优先级是在后面的 送的东西其实就是最后用呢在都营业厅能不能调呀因为我这个号码为什么就这个 套餐都是系统自动的调不了的 噢行吧那那行我明白了好谢谢啊 
不客气 您好很高兴为您服务 你好你帮我查一下我的这个手机 是什么是 是什么信息登录都不提醒 呃您这个手机号码吗 
您好很高兴为您服务 哎你好我想问一下就是说我现在套餐里边它不是每个月赠送两g的那个流量吗 对 好啊然后我现在怎么就是他累积累积流量怎么现在才一千八百多mm是什么个单位的这个东西他怎么正常我都感觉一个流量用的不多是想什么什么 呃目前是兆呀 m六兆那这个呢 
您好很高兴为您服务 喂你好就是我想问一下我那个发票幺三九的我的本机号的套餐还没发给我吗 幺三什么幺三九幺三九邮箱对吧几月份的是五月份幺三五的呃幺三五二幺三五零八票对吧 嗯这个本机的号码 那你手机密码知道吗 我知道 
您好很高兴为您服务 你好小姐这边在查你们那个幺三九邮箱里面的电信发票然后我现在就只看到有七月份的一张发票五月份的发票嗯嗯 六月份没有是吧四月份没有哎好我看一下嗯那这样吧我帮您马上把六月份再重新发一份过来 然后我就想问一下七月份的发票为什么就只有二十几块钱是什么意思 恩好的我看一下啊嗯我看到您七月呃六月六号用积分兑换过三百元所以就是不能开条怪不得您六月份 因为 
您好很高兴服务喂你好刚刚我那个你说上个月的账单呢发票上面我有一个三十多块钱不能为什么不能打出来 三十块钱什么 为什么我总共消费是一百八十四怎么只能打一百五 全球通赠送的一个话费现在打不了发票的因为您这边有一个三十块钱是赠送给您的他会系统自动帮您取消掉的 啊就是说那个套餐活动噢那个是不算在里面的 对不算噢还有什么帮您的先生恩好如对服务满意请十分评价祝您生活愉快再见 
您好很高兴服务 喂你好我这个有套餐充幺五八别的幺二八然后送了一个套餐那个流量接没用完流量怎么没转过来的 因为更改套餐之后的话当月套餐里面流量是不结转的所以全部清零掉的 是改了套餐以后它就就清零了 当月不结转对 好啊这么很不合理啊 
啊 很高兴为您服务 你好为什么我我名下的那个手机手机卡能不能转给我的家人呢 过户呀可以过的就是说如果上面没有任何家庭套餐或者是合约的话双方取消方式身份证原件到上海移动营业厅办理 啊那个恩就是我本人要来吗对本人又 刚刚多少来收身份证都要提供而且上面不能绑定任何的业务包括家庭套餐或者是合约如果有这种业务的话是不能过户的好的谢谢啊再办理不客气唉 
高兴为您服务 喂你好这个三g卡换四g卡在营业厅办就可以了是吧 嗯可以换的您这边到您的身份证效证件已经当前还是正常三g的卡然后前往营业厅让他帮您换就可以了 噢要收费吗 嗯这个首次更换四g卡的话呢是免费的噢好的谢谢嗯对不客气还有什么可以帮您吗 没有 
您好很高兴服务 你好谢谢啊我以前我买了一个这个号码他那我也是营业厅那肯定登记今天交了以前话费大概因为这个号码我一直没用我现在大概解决这几个月前的事情了现在在打电话的钱空号 嗯你多久没用啦先生 有半年多了 那就销户销户成功了就没有没有这个号码了对您欠费就最后帮您保留是六十天您六十天之内不交费的话就是号回收掉了这个号码就不再收您了 噢那就给我 
可以您好很高兴服务 唉你好 啊是这样 就是嗯就是那麻烦不过去的那个网上吧我办了一个七十元智能可选包吗wifi我好像老是订购了我我他说策划我好像手机上而且随便订购了它好像一直没有转到是过来吗 七十块七十元智能流量包的话已经下线了现在办不了的 那你们在网上干嘛给四减出来了 
您好很高兴为您服务 喂你好我想问一下我这个套餐怎么加不了呀 降不了您降到十八块的但是因为您参加过一个活动到十月底结束的最低消费是一百二十八的所以说您等于每个月最低消费一百二十八但是它会还给您六十几块钱的呀蛮划算的啊五十几块钱 消费一百三十八元是一百五十八呀 没有啊您可以这样我看您套餐不是降到十八了吗已经 对啊我套餐是降到十八呀他怎么没想到了 
您好兴为您服务您好 是我这个宽带呃我是东方有线跟你们这个原来到了八十八块这个宽带吗 嗯嗯 宽这个月这个钱到现在没扣什么意思啊 那这边帮您转到宽带专席帮您查一下您这边不要挂机我帮您转到后台啊 噢 
好谢谢什么多少喂唉现在我的手机这个就是套餐到上个月月底结束了这个月这个月你帮我改成五十块的情况不行啦 跟这个就是五十块钱呢 啊 现在这个套餐就是五十元的以前这个套餐就是五十元档次的套餐 这个月套餐就是五十元的套餐 对 
您好很高兴为您服务 唉你好我这个现在这个号码我在上海没有扣掉它怎么还有全国那个有有本地流量它怎么会用全国流量呢还有这是一个第二个呃我感觉就是说因为有时间m全国呃流量吗里面显示的突然用完了以后说提示我用完了那个费用也增加了我也没有呃我感觉就是应该先扣本地流量吗 那么按照您这边之前是换了一张四g卡让我们说了有一个本地流量两个g那么这两个之前需要在四g网络才能够使用上海本地那么如果您这边那边信号如果当时没有四g信号那就也是不算的也是扣您这边自己套餐本身的流量来进行 唉这个你要这么说要我还有想法嘞你上海你不改不了我都在上海你不改不了有问题 那如果您这边现在什么地铁或者试一下应该是这种信号如果本身就不是很好的话那么去用他肯定就是没有这个四g网络的 因为 
您好很高兴为您服务 喂你好 就是 我那个话费是五十八块钱的套餐我现在大厦有五十三块多钱我说十块钱你为什么现在帮我停机 嗯我看一下啊哎我看一下因为昨天是一号嘛一次性要扣除您套餐月租费啊 可是我套餐费你我我现在刚开始我上面有五十多块钱你现在就帮我停机你这一户客户理由吗 
您好很高兴为您服务 喂你好我想问一下我这个手机里面有四个g的本地上网流量但是我发现我用了一直都是我那个套餐里面那个就是全国通用流量呢是上面在这个本地流量然后就一直都没有用是 是什么原因本地流量一定要在你自己套餐内全国流量用完之后才能使用那个优先级是最低的 优先只是最低的等于说就是说我刚刚又叠加了一个g然后这四个g还得等我那个g用完了然后才用的这个这三个g是吧 是的 它是不能应该没用是是 
高兴服务 唉你好我上个月的时候充了一g的流量为什么在我的账单上面没有贴出来 通过第三方平台充值的话肯定是提现不出来的你通过淘宝买的吗还有微信呀 是你们官网那个 帮我买了一些买买的直充包对吧其中包不在账单里面体现呢这样子嗯嗯它是属于直接充的还有什么帮您呢 好吧 
您好很高兴为您服务 唉你好我这个手机怎么手机上怎么回事啊我都没有是不错的 这一部分非订打进来停机还是一定要去营业厅实名登记好之后才能使用 那就搞笑了我还随意提前我还可以去营业厅去是已经登记过了 恩好的我看一下请按再见呃是十月十四号对吧南方营业厅 然后十月四号了我试试月租 
您好很高兴为您服务 唉你好老师那个呃因为我收到就是八月份的那个账单呃呃我看我的那个集就是那个那个上个月的消费总额是三百零九元然后但是我今天刚刚收到这边就是说移动发过来的电子发票到这个发票金额是二百零九元所以我就不知道 对看一下可能您有一百元的呃就是说活动专款看一下我的您是在八月七号用积分兑换一百元话费所以这个一百元是不能开票的积分兑换的话费是不能开发票 噢是这么回事是吧哦那就是说那那其实我这个月等于说还是三百零九元的一个交费对吗 对的 噢好的就说只有积分的不能开然后其他的如果说比如说我没有接到的话这个月就是三百零九元的消费就是开三百零九是吧唉对的实际的消费这个 
好很高兴为您服务 唉你好是这样的我我就我这个我这个手机办的套餐是五十八块的那个手机流量是一百的现在但是就是说上个月呃你们这个发给我短消息说我的流量是一个月是六百多这个月变成五百多了我不知道是怎么回事啊 好我知道我只是给您听那您套餐是五十八飞享套餐每个月送一百分钟通话只要五五百兆流量然后您认为七百兆是因为之前有个活动只要四g飞享套餐特惠活动再见活动每个月另外送五十分钟通话两百兆流量送到今年六月底结束也就是说今年七月份开始就不送了所以您本来就五百兆就是一个还有一个就是您上个月认为是六百多兆是因为在上个月套餐内流量用完了到了第二个月 我上个月剩余的部分 是六百 不噢是这样的马然后 
