您好很高兴为您服务 啊你你那个套餐就是你们现在那个什么三十八套餐为什么人家现在都每个月送到一一点五g我这用这么久了还还在五百兆啊 啊那个的话是移动刚推出来的还不稳定所以说是针对部分客户体验的所以暂时的话您这边改不了如果您现在可以如果说想要体验的话可以改那个五十八元的是三个g的流量也非常划算的 五个五十八块三个g是吗 对没错 噢它那个流量会累积到下个月吗 这个流量的话里面是有五百兆是可以累积的剩下两千块钱收到不累积 噢那那它是那个两百两g多是先优先用然后那个五百兆然后是还是怎么样 
您好我是预处理专席代表很高兴为您服务 呃先生你好就是我跟你反映一个情况我到现在才知道手机欠费的也就是我不是上个月因为流量超出怎么工作加了一个三十块钱那个量多嗯怎么这个月还有呢 我看一下好啊从记录上看您订的是包月的三十元流量可选包您如果只是办了这个业务它就是每个月都会有的它不能加油包是一次性我说您办的是那种包月的每个月都会有这个业务的除非您当时办好之后就自动取消 我让我说我刚刚讲的我跟那个小姑娘假如说下个月不要就这个 但我看到您的一个并不是自己并不是我们人工帮您办的呀就是您自己操作的是通过ipip上面去操作的是语音平台操作的并不是通过我们人工操作 那现在这个取消不了了 取消下月一号生效 噢就是噢那你帮我取消了吧 
您好很高兴为您服务 喂唉你好是这样的 你好请讲 呃我那这边呃要反映一个问题我前两天了到你们移动营业厅交了一次性交了一年的宽带年费是是一个企业宽带年费我是说开成立的公司然后呢但是当时我说要她提供发票然后营业厅的人说呃你有没有移动号码然后我就给它他一个我个人现在打过来这个号码幺三六的移动号码然后他就把电子发票推送到我这个有一个幺三九邮箱了然后我打开邮箱看看这张发票金额是一千零六十二但是我实际当时刷卡付费付是一千零八十那这样的话我不是暂停不了财务这边没办法平常 一千零那你看一下这个宽带您是因为是办公司的宽带吗呃然后你问一下这个宽带它是不是有一些促销活动优惠 那问题是他发票上是显示有一个消费折扣什么东西十块钱但问题是我实际付的是一千零八十但是你发票上面一千零八十去掉一个四g的最后时间显示金额是一千零六你把那个账号报给我一下是多少钱哪个账号 客户账号 我是公司呀那我把公司名字报给你噢 
您好很高兴为您服务 唉你好你这边是集团服务的对吧 啊什么可以帮您呢 唉我想那个就是这样子的我们公司也是你以及彩铃在那个移动登记的然后呢以前呢是老的那个营业执照的证件号现在呢要换订的证件号问题是现在你们那边就是资费了就是非常换人吗然后帮人以前去年的时候我就已经把所有要换的东西就是在哪个资料我全部都交到你们那联系过了然后呢他现在的你们换了新的工作人员他现在告诉我说我们还是根据是老的然后还让我提供东西我就在想你这个东西让我随便提供又一遍提供那你们没有改过来是你们那边的四g的不是我的责任啊 呃是公司业务是吧 对的 哪个集团集团编号有吗 您其他电话没有集团名称是有的呀 
很高兴为您服务 哎呀我那个不能呗你没有给我换掉了我想帮我重新打开一下 嗯您稍等给您看一下那感谢您耐心等待 呃是这样子 那这个为了进一步呃建议做加强不良信息治理力度保障客户利益电话通讯程序四二零一七年九月四五七呃之内被举报发现不了信息可以被暂停短信功能客户必须通过网上营业厅签署承诺说确保之后不再发送类似信息返回复机 你的意思那个现在不行了 对现在都是需要去网上营业厅去欠钱诺菲的 网网上支付按照营业厅大概最近营业厅就这样办理了 
您好很高兴为您服务 噢那个您好我这边是孙普资讯呃就是说呃我这边就是上个月的你们那边的账单吗然后就是是一百二显示的是我们这边公司里面的员工然后但开出来的发票只有九十八 呃您是集团的是吧 嗯应该是的 好那我帮您转接到其它专席您问一下好吗 嗯行那好那你们这边有那个移动经理嘛可以直接给我转到经理吗 集团经理是吧品牌的对这个帮您转接到专席您问一下那边行好的好您稍等不要挂机为了更好这问题再把你电话转专席处理请稍等 
您好我是预处理专席代表很高兴为您服务您好 唉您好我想咨询一下就是 唉 我我想咨询一下就是我这个套餐里边就是有两个呃套餐业务一个是我的校园区域流量修还有一个就是 一个定向视频免费每个月三十g的腾讯视频 然后是这样然后我就发现我现在就是在用我的那个呃 你 肯定是你在看的时候按到它应该是扣三十g的但是他现在扣我的就是先扣我的这个十五g的流量 
喂你好就是我在那个和国内流量后面那个的那个三月什么派单双的不说然后我看他那个流量那个在我扣我的那个套餐的流量我想你们是不是可以消费 噢那个您那边声音的话就是一点的套餐呃没 没 你那边声音不太能听的清楚是嗯是聊大就是 一万块钱的工行就是刚才我说的话您听到吗 没太听到那边的话回应比较大 呃就是说我这边今天上午办理了一个那个再和博世上边办理了一个三元然后还跟双十一的那个套餐吗然后他说这个就是一千一百一十一有呃兆的那个流量他说这个流量是高于套餐流量但是我这边今天上午办好了之后它现在一直在扣的是我套餐里面的流量 噢您说的是我们一个双十一的一个活动一元送一千一百一十一兆那个 
您好很高兴为您服务 喂你好前面有一个积分人不是很清楚情况然后他打那个电话转给你了是这样子就是我想再呃七月份你们给我发的电子发票上面添加一个纳税人识别号和一个开户银行结账好这两个在现在发票上是空着的然后我们公司控制的不能报要把这两个项目加上去然后重新给我发一张电就您自己这个号码的吗恩对的 名字身份证嗯密码有吗或者公司开头户名 就是有吗公司抬头那个是二十元括号中国投资有限公司 公司证件号呢 你好公司什么号身份证号码啊行好嘞噢是还是九幺三幺零零零零七幺七八八幺八八八幺九幺三幺四个零七幺七八八幺幺三个八的二十八对的 好谢谢纳税识别号就这个对吧 嗯就这个然后开户银行是花旗银行拨号生活有限公司 
您好很高兴为您服务 哎你好我想请问一下就是我这个设置的这个数据费啊呃七月十八层是还是十六但是为什么我有个其他的手机的话资费它只有三块钱 您这个是十八块钱的那个八块钱的套餐是老的那个手机套餐现在已经不能办 我现在已经不能办是吧对的噢那好那好我我说了因为我家里好几个绑定的手机我是什么套餐不一样恩那行好的好谢谢啊 拜拜祝您生活愉快再见 我想我还想问一下移动这边的话有办什么附属之类的这种的吗就是座机费便宜点的 那就办一个是新要办新号码的就是有个和家国家副卡的套餐就绑定在主号码上面不过主号码的套餐是有要求必须是五十八以上套餐才能办 嗯嗯主号码那那这个套餐呃副号的这个座机是怎么算的呢 
您好很高兴为您服务 喂你好我想查询一下就是呃我另外一个手机号码它就是上个月是五十块钱一个g流量咱那个升级之后不是五十块钱是的g嘛怎么现在是五十块钱两个g的我刚查了 噢我清楚您的意思了您先把这个号码报一下我帮您确定 噢好的幺三八 幺三八 幺八五五 幺八五 三三七六 
您好很高兴为您服务 哎你好我想咨询一下我现在不是在你们这里上面打印那个上海增值税电子合同发票吗然后我那个六月份的发票全部对啊你们上面帮我原先是八十块五角积分一共用了然后再你应该是你们会减免五块钱的那个什么一个包的然后可是你这手机上面减免了三十六块的是怎么回事啊 恩好的我帮您看一下请稍等 恩对 三十六块一呃您这个号码六月份有一点三十块钱的一个呃积分兑换的话费这个就是呃帮您做一个就是就等于是开票的话这个积分兑换呢这个是不能开票的 可是我已经有用钱我是积分加钱啊 嗯您是用呃自己用钱兑换过积分是吧 对 
您好很高兴服务 你帮我看一下我不是加了一个二十四块钱那个有三三十兆的流量你看看 三个g的流量 我怎么显示一个短信他说还有两百两百三百了 这个三十个g的流量您要下载一个客户端下载优酷视频客户端在客户端里面使用的一个流量不是移动数据流量 要怎么下载了我我当时不是 因为下载优酷视频客户端他会有相关提示给您的您要装一个客户端在客户端里面使用那个流量 就是在那个优酷你们就说看这用户客户端登呃我是点那个那个流量在这里面看一下看视频啊怎么但流量扣是四g的 
目前您好请讲 唉你好是这样我那个来电那个手机我是有一个宽带绑定的在用的那么到今天到到今天再到期最后一天到期了那我昨天打过电话我昨天打过电话咨询我要停机我昨天打过电话跟我说到营业厅带上身份证去营业厅就可以了啊但是我因为我现在正好人在这个是斜土路这边我就在你们这个大门桥路这个营业厅办然后它说我一定要回查询去办但是昨天那个幺零零八六打过来那个那个现在没够没有跟我说要指定营业厅的就是指定区域的它是只是跟我说带上身份证到营业厅所有营业厅都可以办 他们跟您讲要去指定因为按照规则是要去安装地属地营业厅的 昨天没有跟我说应该静安德普陀的都可以长城这样繁都可以可以询问 看就行对因为这三个地方属于一个区嗯 嗯那跟我你能帮我再你能帮我这个电话你先处理掉然后我再去营业厅吗 啊 因为我今天我不一定有时间再再再跑到这个我这边电话确定不了因为 
您好预处理专席代表很高兴为您服务 唉小姐你好 嗯嗯 我想问一下就是说我改那个套餐没有改掉刚才我打这个幺零零八六他说这个套餐就是说必须要捆绑一个流量才能再聊他之前跟我说过我也不知道 一直捆绑一个流量您现在改多少钱套餐陷 就说我通过手机信息吗改吗改的那个昨天在就是说昨天最后一天嘛我改的那个就是五百五百分钟吗 恩对 就当月的五百分钟要升结果今天那个我充话费他有扣除显示那个扣我不知道充一百五十元吗然后它显示还有余额应 
您好很高兴为您服务 唉你好是这样的我的手机号码是幺三六五幺九一八幺三幺 幺三六五幺九七八幺三幺 对的 好的什么问题啊 唉是这样的就是你们那个上个月无缘无故把我的手机停掉了就是说那个身份证那个 五恩对对因为实名制对实名制不完上的 不送网上你们你们说没有一次先打到时候就无缘无故给我办了一个手机那个算的是什么意思呢你这个号码要充值比如说我通知你帮我我到营业厅来办理对吧如果有充值现在换成了有或者什么的就无以后把手机上了 
您好很高兴为您服务 哎你好我想问一下就是我的手机上下了那个就是移动的app然后在里面可以查自己的就是账单详情里面有那个就是呃六千六个月的明细吗详细明细但是在网之前查就查不到了所以我想问一下是不是就是在那个移动官网也好一批也好都只保留六个月的 啊您说的没错因为账单只能查前六个月再前面的话没有地方查的就算是营业厅啊也好他也是插流量 噢那我想问一下就是如果我想要以前就是说以前已经查不到的大厦那现在如果有一些需要做一些把那个证据呃呃有什么办法吗是需要到你们这查完以后操作公章吗还是怎么样 那么分两个不多说如果您要呃一些凭证作为其他用途的话您先问一下这个地方就比如说法院他就是说怎么样才能做为还需要做到什么程度然后再跟你沟通到营业厅能不能举报那他如果能提供那么最好了我不能提供吗您要后面再看了怎么样方式能够得到这个您需要的所以它这个功能是首先您确认下您需要什么然后再去营业厅再去找他提供对吧到营业厅办理带身份证就可以啊你说 噢我就是想说因为现在就是没有就是说刚刚有立案吗但是也不知道返还需要什么但是因为我看看半年以之内就会保存半年以后就会就是取消了吗那我只是想再还没有他就是说还没有具体进入司法程序步骤之前看有没有机会保留但是如果去做公证的话就是费用比较贵所以我想问一下就是如果是要求营业厅打出这个明细然后超过公章这种可行了请问 所以我了解营业厅没有这个业务就是说您看您首先先确认下您需要什么如果您自己都不知道得需要什么那您可以六十这种问一下什么时间嗯这边就说自己算一下需要什么然后再加那边提供你直接问营业厅他不知道您需要什么 怎么嗯嗯嗯好的我就是觉得这些信息以前我不知道手机保留半年的现在知道的我想要尽量能够多的能够保留下来就是这样那行了那我知道我要是有就是说进进要是带身份证去营业厅问他们就行了是吧 
可以您好预处理专席代表很高兴为您服务 你好是这样的就是说我刚刚收到了我六月份的那个话费的发票但是我是您的话费有点少 是有应该是按照电子发票订的话应该看到消费折扣了对吧 对 就消费折扣的话它这个是我看一下是上个月的吗 可以在下个月每个月 是他就是因为您手机上我看到有那个活动的嘛你到那折扣是十九元对吧 嗯对的 
您好很高兴为您服务 喂 您好机号码 我问一下那个叫什么呃现在也是话费的什么那个我一百消费一百零八幺三三百分钟的那个通话时间的是吧 对流量一个g签约一年每个月送十六块钱 每个月送十六块钱的等于是一百零八减去十十六块一四九就就九十多块了是吧 对没错 噢那那我问一下我现在是用的是五零套餐这个登记好像根据我现在目前来消费好像我正常合算了 
可以您好预处理专席代表很高兴为您服务 你好是这样的就是说我刚刚收到了我六月份的那个话费的发票但是我是您的话费有点少 是有应该是按照电子发票订的话应该看到消费折扣了对吧 对 就消费折扣的话它这个是我看一下是上个月的吗 可以在下个月每个月 是他就是因为您手机上我看到有那个活动的嘛你到那折扣是十九元对吧 嗯对的 
您好很高兴服务 唉你好那个我有一个号码就是幺呃他那个我因为我看流量快不够了嘛它里面是那个全国流量和本地流量呃但是我已经购买流量加油包以后我发现那个流量加油包的流量只能先用了 对它是一个月优先使用您这张国际流量送的流量都是本地的它是建立在您套餐里面流量用完之后才能用到送的它是优先级是在后面的 送的东西其实就是最后用呢在都营业厅能不能调呀因为我这个号码为什么就这个 套餐都是系统自动的调不了的 噢行吧那那行我明白了好谢谢啊 
不客气 您好很高兴为您服务 你好你帮我查一下我的这个手机 是什么是 是什么信息登录都不提醒 呃您这个手机号码吗 对对对刚刚这个就问你能给我发信息说我的这个手机这个群 嗯是 
您好很高兴为您服务 哎你好我想问一下就是说我现在套餐里边它不是每个月赠送两g的那个流量吗 对 好啊然后我现在怎么就是他累积累积流量怎么现在才一千八百多mm是什么个单位的这个东西他怎么正常我都感觉一个流量用的不多是想什么什么 呃目前是兆呀 m六兆那这个呢 低的话就是一千零二十一g等于一千零二十四兆呀 那现在累积的感觉不对劲呢他现在那里流量它是只要是你手机里就每个月赠送流量都是那个月出账对不对 
您好很高兴为您服务 喂你好就是我想问一下我那个发票幺三九的我的本机号的套餐还没发给我吗 幺三什么幺三九幺三九邮箱对吧几月份的是五月份幺三五的呃幺三五二幺三五零八票对吧 嗯这个本机的号码 那你手机密码知道吗 我知道 让您输入一下 嗯嗯你好先生丢了呀爱辉帮您 
您好很高兴为您服务 你好小姐这边在查你们那个幺三九邮箱里面的电信发票然后我现在就只看到有七月份的一张发票五月份的发票嗯嗯 六月份没有是吧四月份没有哎好我看一下嗯那这样吧我帮您马上把六月份再重新发一份过来 然后我就想问一下七月份的发票为什么就只有二十几块钱是什么意思 恩好的我看一下啊嗯我看到您七月呃六月六号用积分兑换过三百元所以就是不能开条怪不得您六月份 因为 这边电话的话是属于赠款所以就是呃会有提醒您的折扣金额就不能开票 还有这种事情的 
您好很高兴服务喂你好刚刚我那个你说上个月的账单呢发票上面我有一个三十多块钱不能为什么不能打出来 三十块钱什么 为什么我总共消费是一百八十四怎么只能打一百五 全球通赠送的一个话费现在打不了发票的因为您这边有一个三十块钱是赠送给您的他会系统自动帮您取消掉的 啊就是说那个套餐活动噢那个是不算在里面的 对不算噢还有什么帮您的先生恩好如对服务满意请十分评价祝您生活愉快再见 
您好很高兴服务 喂你好我这个有套餐充幺五八别的幺二八然后送了一个套餐那个流量接没用完流量怎么没转过来的 因为更改套餐之后的话当月套餐里面流量是不结转的所以全部清零掉的 是改了套餐以后它就就清零了 当月不结转对 好啊这么很不合理啊 改套餐的当月流量是不结转的先生噢 就下个月开始才能转是吧噢好嘞 
啊 很高兴为您服务 你好为什么我我名下的那个手机手机卡能不能转给我的家人呢 过户呀可以过的就是说如果上面没有任何家庭套餐或者是合约的话双方取消方式身份证原件到上海移动营业厅办理 啊那个恩就是我本人要来吗对本人又 刚刚多少来收身份证都要提供而且上面不能绑定任何的业务包括家庭套餐或者是合约如果有这种业务的话是不能过户的好的谢谢啊再办理不客气唉 喂 哎你好 
高兴为您服务 喂你好这个三g卡换四g卡在营业厅办就可以了是吧 嗯可以换的您这边到您的身份证效证件已经当前还是正常三g的卡然后前往营业厅让他帮您换就可以了 噢要收费吗 嗯这个首次更换四g卡的话呢是免费的噢好的谢谢嗯对不客气还有什么可以帮您吗 没有 
您好很高兴服务 你好谢谢啊我以前我买了一个这个号码他那我也是营业厅那肯定登记今天交了以前话费大概因为这个号码我一直没用我现在大概解决这几个月前的事情了现在在打电话的钱空号 嗯你多久没用啦先生 有半年多了 那就销户销户成功了就没有没有这个号码了对您欠费就最后帮您保留是六十天您六十天之内不交费的话就是号回收掉了这个号码就不再收您了 噢那就给我 就没有了这个号您要买的话要到营业厅吗其他别的号码带好带身份证原件过去 好好好我知道了 
可以您好很高兴服务 唉你好 啊是这样 就是嗯就是那麻烦不过去的那个网上吧我办了一个七十元智能可选包吗wifi我好像老是订购了我我他说策划我好像手机上而且随便订购了它好像一直没有转到是过来吗 七十块七十元智能流量包的话已经下线了现在办不了的 那你们在网上干嘛给四减出来了 智能流量套餐已经下线了您可以看一下它是下线业务 没有你看那个一个手机上面它没有下线那么你这样你现在我是你现在不要跟我说这么多你先帮我看你们领导由于我取消了别的套餐本来要订这个套餐的现在这个套餐没有了这个怎么处理 
您好很高兴为您服务 喂你好我想问一下我这个套餐怎么加不了呀 降不了您降到十八块的但是因为您参加过一个活动到十月底结束的最低消费是一百二十八的所以说您等于每个月最低消费一百二十八但是它会还给您六十几块钱的呀蛮划算的啊五十几块钱 消费一百三十八元是一百五十八呀 没有啊您可以这样我看您套餐不是降到十八了吗已经 对啊我套餐是降到十八呀他怎么没想到了 加好了呀您下个月套餐就是十八块我帮您看过了呀 已经看过了是吧 
您好兴为您服务您好 是我这个宽带呃我是东方有线跟你们这个原来到了八十八块这个宽带吗 嗯嗯 宽这个月这个钱到现在没扣什么意思啊 那这边帮您转到宽带专席帮您查一下您这边不要挂机我帮您转到后台啊 噢 
好谢谢什么多少喂唉现在我的手机这个就是套餐到上个月月底结束了这个月这个月你帮我改成五十块的情况不行啦 跟这个就是五十块钱呢 啊 现在这个套餐就是五十元的以前这个套餐就是五十元档次的套餐 这个月套餐就是五十元的套餐 对 那怎么流量有点两千多 这个套餐本身就自带两个g流量 
您好很高兴为您服务 唉你好我这个现在这个号码我在上海没有扣掉它怎么还有全国那个有有本地流量它怎么会用全国流量呢还有这是一个第二个呃我感觉就是说因为有时间m全国呃流量吗里面显示的突然用完了以后说提示我用完了那个费用也增加了我也没有呃我感觉就是应该先扣本地流量吗 那么按照您这边之前是换了一张四g卡让我们说了有一个本地流量两个g那么这两个之前需要在四g网络才能够使用上海本地那么如果您这边那边信号如果当时没有四g信号那就也是不算的也是扣您这边自己套餐本身的流量来进行 唉这个你要这么说要我还有想法嘞你上海你不改不了我都在上海你不改不了有问题 那如果您这边现在什么地铁或者试一下应该是这种信号如果本身就不是很好的话那么去用他肯定就是没有这个四g网络的 因为 您手机上自己留意就是您手机屏蔽一个四g信号标志显示那您在上海本地才能上我们那个赠送的流量如果您屏幕没有四g信号标志显示的那么这个肯定是扣您自己套餐本身的流量的 噢明白明白好的 
您好很高兴为您服务 喂你好 就是 我那个话费是五十八块钱的套餐我现在大厦有五十三块多钱我说十块钱你为什么现在帮我停机 嗯我看一下啊哎我看一下因为昨天是一号嘛一次性要扣除您套餐月租费啊 可是我套餐费你我我现在刚开始我上面有五十多块钱你现在就帮我停机你这一户客户理由吗 因为您这个号码余额不足五十八块他扣了五十八的所以才会欠费停机 我想你们这是是你们是都相信你我想你这个这样子办的但是不投了我是现在先生 
您好很高兴为您服务 喂你好我想问一下我这个手机里面有四个g的本地上网流量但是我发现我用了一直都是我那个套餐里面那个就是全国通用流量呢是上面在这个本地流量然后就一直都没有用是 是什么原因本地流量一定要在你自己套餐内全国流量用完之后才能使用那个优先级是最低的 优先只是最低的等于说就是说我刚刚又叠加了一个g然后这四个g还得等我那个g用完了然后才用的这个这三个g是吧 是的 它是不能应该没用是是 三天以后如果说够用的吗套餐没有流量呢建议您不要另外再加了 噢是这样的是吧 
高兴服务 唉你好我上个月的时候充了一g的流量为什么在我的账单上面没有贴出来 通过第三方平台充值的话肯定是提现不出来的你通过淘宝买的吗还有微信呀 是你们官网那个 帮我买了一些买买的直充包对吧其中包不在账单里面体现呢这样子嗯嗯它是属于直接充的还有什么帮您呢 好吧 
您好很高兴为您服务 唉你好我这个手机怎么手机上怎么回事啊我都没有是不错的 这一部分非订打进来停机还是一定要去营业厅实名登记好之后才能使用 那就搞笑了我还随意提前我还可以去营业厅去是已经登记过了 恩好的我看一下请按再见呃是十月十四号对吧南方营业厅 然后十月四号了我试试月租 十一月三号没有没有这个登记的记录啊就是十月十四号的一个营业厅的一个变更记录 啊带身份证的那你们这个南方营业厅 
您好很高兴为您服务 唉你好老师那个呃因为我收到就是八月份的那个账单呃呃我看我的那个集就是那个那个上个月的消费总额是三百零九元然后但是我今天刚刚收到这边就是说移动发过来的电子发票到这个发票金额是二百零九元所以我就不知道 对看一下可能您有一百元的呃就是说活动专款看一下我的您是在八月七号用积分兑换一百元话费所以这个一百元是不能开票的积分兑换的话费是不能开发票 噢是这么回事是吧哦那就是说那那其实我这个月等于说还是三百零九元的一个交费对吗 对的 噢好的就说只有积分的不能开然后其他的如果说比如说我没有接到的话这个月就是三百零九元的消费就是开三百零九是吧唉对的实际的消费这个 是可以开的 噢好的行行行好的我知道了啊好谢谢还有什么可以帮您不客气嗯那个那我今天早晨又充值了就是呃有给手机充值了两百那我想请问一下目前的话我这个还需要再缴费嘛你能帮我看到不需要了看到您账单都结清了噢好的谢谢 
好很高兴为您服务 唉你好是这样的我我就我这个我这个手机办的套餐是五十八块的那个手机流量是一百的现在但是就是说上个月呃你们这个发给我短消息说我的流量是一个月是六百多这个月变成五百多了我不知道是怎么回事啊 好我知道我只是给您听那您套餐是五十八飞享套餐每个月送一百分钟通话只要五五百兆流量然后您认为七百兆是因为之前有个活动只要四g飞享套餐特惠活动再见活动每个月另外送五十分钟通话两百兆流量送到今年六月底结束也就是说今年七月份开始就不送了所以您本来就五百兆就是一个还有一个就是您上个月认为是六百多兆是因为在上个月套餐内流量用完了到了第二个月 我上个月剩余的部分 是六百 不噢是这样的马然后 如果您要不过您可以改一下但现在流量每个月就五百兆 的 
