嗯 嗯 你好   有 不能 使用 是 在 这个 呃查 它 写 村 对 吧   诶 我 帮 您 看 一下 您 稍 等   噢 那 这个 问题 的话 我 再 帮 您 报上去 那 其他 还有 什么 可以 帮助 您 的
您好 请 讲   是 本 机号码 发短信 发 不 出去 吗   这边 看到 您 目前 的话 功能 是 正常 的 之前 的话 可能 因为 欠费 所以 没有 办法 发   因为 我 这边 看到 您 月初 的话 是 呃 有 欠费 停机 的 一个 记录 然后 之前 的话 您 可能 是 有 垃圾 短信 嗯 垃圾 短信 停 的 机 就是 您 可能 发送 商业 类 广告 但是 目前 的话 已经 恢复 了 您 现在 的话 短信 功能 是 正常 是 可以 办理 哎
您好 很 高兴 为您服务   嗯 嗯   就是 收不到 一些 验证码 短信 是 吧   好 的 那 我 这边 可以 帮 您 看 一下 短消息 功能 都 正常 的 呃 我 帮 您 刷新 一下 您 的 短消息 状态 请 您 稍后 和 十五分钟 之后 关机 重新 开机 呃 让 他们 要么 看看 能 不能 帮 您 重新 发 一下
公司   嗯 信号 比较 差是 移动 信号 是 吗   辖区   新 的 小区 呃 是 大概 在 哪个 区域 呢
您好 很 高兴 服务 喂 你好 您好 请 讲 那个 我 这个 号码 呢 我 最近 是 应该 清 七六 星期天 吧 但 香 香港 嗯 一趟 香港 的 然后 呢 呃 当时 他 就是说 就是 因为 我 开通 了 漫游 服务 吗 再 开过 了 开通 以后 呢 呃 就 显示 什么 什么 到 香港 三十块 钱 一整天 的 上网 到 封顶 的 这个 信息 这个 信息 这个 我 是 接受 了 一半   短信 我 这边 把 这个 提示 短信 方式 相当于 您 注意 查看 一下 香港 的 资费 也 会 短信 方式 发给您 的   信息 没有 发送   本 手机 设置 问题 啊 您 什么 牌子 的 手机 啊 先生
您好 很 高兴 为您服务   没事 话筒 的 问题 吧 我 这边 听 您 声音 很 清楚 啊   他们 就是 密码 您 有 吗   应该 您 先 这样 您 现在 要 问 一下 他们 密码 有 吗 没有 的话 让 他们 提供 就 两个 月 之内 一周 之前 打 过 三个 电话号码 然后 加上 他们 的 身份证 号码 姓名 就 登 这 张卡 的 身份证 号码 姓名 就 可以 您 可以 办理 然后 呢 然后 就 可以 办 了
您好 兴 为您服务 唉 你好 有 什么 可以 帮 您   手机信号 您 周围 其他 号码 都 有 同样 情况 吗 您好   我 说 你 周围 其他 的 号码 的 都 都 有 同样 的 问题 是 吧   呃 您 是 什么 时候 开始 出现 的 呢 是 很 久 了 还是 今天 两天 才 出现 的
嗯 打 进来 听到 提示音 什么 他们 对方 听到 提示音 是 什么 打 您 电话   来电 提醒 我 看 一下 啊 您 打 出去 可以 了 打 出去 有 问题 吗   好 的 打打 不 进来 对 吧 您 这样 稍后 用本机 编辑 一下 井号 井 号 二 一井号 然后 按 一个 打电话 那个 绿色 键 把 它 拨出去   那 您 这边 的话 就 这个 情况 多久 了
您好 很 高兴 为您服务   网络 没有 了   地址 是 哪里 呢   网络 没有 设备 有 亮红灯 或者 什么 异常 显示 吗
你好 您好 很 高兴 为您服务   嗯 先生 您 网络 都 正常 的 请问 您 那个 手机 是 支持 移动 四 g 的 吗   你 手机 那个 是 什么 牌子 呢   然后 那个 我 帮 您 刷新 一下 数据网络 您 再试一下 手机 之前 可以 用 的 对 吗 就 今天 嘛 噢 对 他 马上 刷新 一下 啊 一共 是 四十五分钟 之后 关机 开机 一下 啊 那 很 抱歉 请问 还有 什么 可以 帮 您 唉 其他 没有 了 好 祝您 生活 愉快 再见
您好 很 高兴 为您服务   呃 您 周围 其他 移动 号码 就 家里 的 其他 移动 号码 都 有 这个 同样 的 问题 是 吧   我 帮 您 转到 我们 的 信号 部门 给 您 反映 一下 大概 问题 有 多久 了   密码
您好 很 高兴 为您服务   四 g 网络 才能 发给 接入 我 看 一下   叠加 包嘛 看 一下 您 上网 功能 也 都 正常 的 要 不 我 这边 帮 您 后台 数据网络 刷新 一下 北京 西路 块 过 一会 关机 开机 试一下   不 客气 请问 什么 可以 帮 您
您好 很 高兴 为您服务   您 说 那边 没有 信号 是 吧   好 请稍等 我 看 一下   嗯 这个 情况 发生 多久 了
您好 很 高兴 为您服务   那边 网络 设置 为 四 g 网页 现在 您 看 一下 条 那个 设置 嘛 对 不 对   你 手机 是 什么 牌子   后面 设置 里面 有 那个 网络 设置 嘛 里面 有个 四 g 网 一些 你好
您好 很 高兴 为您服务   呃 总是 出现 就是 要么 听 不到 别人 别人 听 不到 你 的 声音 对 吧 您 周围 其他 移动用户 也 是 同样 情况 吗   上海 什么 区 啊   东西 多少 什么 路上
您好 很 高兴 为您服务 您好   没有 四 g 信号 比如说 没有 觉得 你 也 不 知道 四 g 标识 的 对 吧 是   网络 这边 没有 帮 您 关闭 过要 不 我 帮 您 设置 一下 您 稍后 重启 一下 再试一下 网络 没 没有 没有 听过 呀 您 用 的 是 安卓 的 手机号   应该 不会 啊 您 要么 稍后 我 帮 您 说 一下 重启 一下 再试一下 我 现在 办 那个 唉 唉 苹果 的 手机 的 网络 设置 发给您 看 一下 好 吧
您好 很 高兴 为您服务 唉 你好 您好   哦 好 我 看 一下 就 您 刚 说 的 那个 幺 三八 那个 号码 对 对 对 哎 显示 都 是 正常 的 然后 那个 它 都 正常 是 吧 我 帮 他 刷新 一下 他 的 那个 状态 您 用 他 手 机关 五分钟 重新 开机 试一下 好好 好 谢谢 啊 不 客气 请问 还有 什么 可以 帮 您
您好 兴 为您服务   嗯 嗯 您 是 周围 其他 的 号码 都 一样 的 情况 吗 金额 不好 在 哪个 区 啊   就 办理 了 信号 部门 给 您 报修 大概 问题 有 多久 了 嗯   五月份
您好 很 高兴 为您服务 为您服务   呃 呃 就是说 您 现在 所在区 所有 的 移动 号码 上网 都 上 不了 啊   办理 信息 啊 现在   什么 时候 发生 这个 情况 呢
您好 很 高兴 为您服务   哪个 省 手机号码 报 一下   八 二六五   我 明天 在 哪个 区 啊 是 哪个 区 的
您好 很 高兴 为您服务   嗯 嗯   好 的 我 帮 您 看 一下 请稍等 我 已经 打 过 电话 了 但是 现在 反映 过 呢 在 祝桥 镇 对 吧 对 的 身份证 调整 这个   噢 好 一千 分钟 一百六十多 块钱
五二   请 说   嗯 嗯   民政 六
您好 很 高兴 为您服务   是 我们 后台 吗   信号 问题 啊 那 现在 有 多久 了 您 只要 手机 都 一样 吗   打电话 的 信号 吗
您好 我 是 预处理 专席 代表 很 高兴 为您服务 这边   是 的   嗯   就行
您好 很 高兴 为您服务   嗯   手机 关机 重启 试过 吗   嗯 那 周围 其他 的 移动用户 他们 信号 吗
