您好请问需要办理新装宽带吗嗯是 嗯 噢好的那麻烦您告诉我一下您安装的地址在哪里我帮您查查一下地址是在那个呃将军大的 将军大道二百一十八号 
您好很高兴为您服务 你好要申请一个宽带 好的请问您什么地方申请呢 呃上海市杨浦区永杭路四百七十楼 
您服务哎你好我想我我想问我怎么这么高啊 嗯请讲先生 我想问一下如果现在家里装的他那个宽带的话怎么说 他为了更好为您解决问题我将您电话转专席处理取消的啊 
您好很高兴为您服务 唉你好呃我这边本来上个月那个就是申请的宽带嘛然后他那个七月一号来装但是他来了以后呢呃说那个外面什么线什么什么不好什么有问题说今天来的但是今天还没来我不知道它什么时候来能帮我查一下是呃什么时候来吧 嗯嗯 下午打宝山 
您好很高兴为您服务 喂你好你好我这边是想装一个宽带噢 那我应该这个嗯 有装 
您好很高兴为您服务 喂你好是这样的我我这个装的移动的宽带嘛然后想把这个盒子移到房间里面但是移动房的话它那个遥控器不需要冲重新条吗我那我那个调不来电城让师傅上门帮我那个弄下来 聊空气 二重新对一下然后就是我看了一下就是我我们操作有那个呃就是有线电视那个现有但是他那个接头好像没有吧 
您好很高兴为您服务 我想唉我就是想我那个以前在住的这个地方啊是在那个孙桥这边然后吗我那边办的是那个东方有线然后送的是那个二十兆的那个那个那个宽带现在我办过去了吗放到你们移动公司去把那个做那个移机处理但是我想问我想问一下就是说因为我那边电视我想搞呃那个申请开通这个电视的话怎么怎么怎么做啊因为我这边那边是我应该东方也是有线的话那边他没有这个线我想我想把那个一般那个移动的这个这个这个电视怎么怎么操作 嗯嗯您稍等不要挂机啊为了更好的为您解决问题我将您电话转接专席处理有专人为您解答请稍等 
很高兴为您服务 那先生是这样的我这边是爱博两兄弟二六一零五零五一号的一百四四二幺零二然后有申请过那个你们的移动今年用的是 宽带是吧 对 
您好很高兴为您服务你好我想办理那个宽带移机呃是这个号码绑定的宽带移机对吗 对 好您稍等一下 多了 
您好很高兴为您服务 你好我想我想想我之前不是你们打电话说要送我什么啊家庭宽带的那拜拜 您是想办个移动家庭宽带是这意思吗 对对对 
很高兴为您服务您好 啊您好就是我这边订手机号码开通那个宽带非常抱歉 家里地址报一下 闵行嗯青春路嗯嗯幺三六六弄幺零零幺室 
您好很高兴服务 喂你好 您好请讲 你帮我把我你绑定的那个宽带就是签到那个 
您好很高兴为您服务 我想那个装移动宽带好不好 您的地址报一下 地址那个嗯嗯六兆有人报录音吗都是从 
您好很高兴为您服务 喂你好我想装了一个你们移动的一个宽带 现在 就就是人家不上能帮我看一下 
您好很高兴服务 唉你好是这样子的嗯嗯这个去年移动是有送给我一年的免费的这个移动移动宽带然后今年到期了然后我也不准备续然后上次好像是有人打电话过来跟我说要版什么东西还掉 
您好请讲 你好我想就是催一下那个家庭消费一百零八然后送二十兆宽带的那个业务嗯 家庭消费的话这个是要主号码是上海户籍的要办家庭统付活动您这边是上海户籍吗不然它这个要担保的 对要上海户籍的 
您好很高兴为您服务哎你好我想就是办一下那个家庭宽带那个业务请家庭宽带 就是满一百一百多少满一百零八就送什么二十兆宽带的这种 嗯那您什么地方装吗 呃你可以帮我查一下吗就是这个是嘉定区北和公路一千六百五十号 
啊您好请讲 唉小姐我想问一下我的电话好像是可以申请就是申请一个地址免费的有宽带的你帮我看一下 嗯活动我们是有的您是什么地方需要安装的我们可以帮您查一下资源 上海二五区微路的 
很高兴为您服务 呃我想问一下就是我以前用的那个宽带是别的公司的那我现在想用移动的那个什么那个网点什么都还要再重新布吗 嗯要重新安装的您是什么地方要装宽带 呃家里 
您好很高兴为您服务 唉喂你好我今天那个宽带业务就是说那个不是满一百二十八块钱送的那个宽带吗现在到期了对现在是可以重新办理其他业务吗今天还可以续 您是哪个号码办的到期啦 嗯幺三八幺八九二二七三四 
您好很高兴为您服务唉你好是这样的我那个宽带就是好像是到期了我想再办理一个 哪个号码 噢工呃一三六四一八嗯嗯六二七八二可以 对幺三六四幺八六二七八六二六二三二三二 
唉喂您好请讲 哎就刚才打电话过来是这样的就是想问一下就刚刚不知道那个取消的话是不能取消那个我能天吗他那边新的房子那边吗 移机可以您是什么地方一点我们可以帮您查一下这边 遇到那个外高桥那边 
您好很高兴为您服务 喂你好我收到一个信息说我订购的一大通那个套餐到期一下就转为按日收费我那边这个套餐我已经呃半年多没有用了我现在要取消他要搬家了 那您直接带好那个身份证设备去长宁区的移动营业厅办理下注销就可以了 呃必须去长宁区 
您好很高兴为您服务 呃我宽带要移 呃那请问是这个手机号码办理的宽带和地址吗就移机那移机的话是这样的先生您要查一下呃那个一个地址新地址要有移动和东方有线的线路覆盖新的地址能报一下 那边东方有线有的 
您好很高兴为您服务 唉喂你好我刚才咨询过那个宽带的事情了 嗯嗯 你那个就是那个龙住院呢那个我这个加那个一百零八的套餐你给我弄一个吧 
您好很高兴为您服务诶 我的手机号我告诉幺三六 嗯嗯 七幺九二七六零幺 
您好很高兴为您服务 喂你好就是那个呃我我之前申请的宽带然后我想要预约的时间上门安装 嗯嗯您是什么地方呢预约安装啊不是我就是说 对就是之前我预约了一次说因为我们家没有按那个线所以就取消了现在我重新约一下 
您好很高兴为您服务 反正我我我名下有一个有一个那个宽带吗没有呃要要退掉退掉然后呢我上次好像不需要就在在这两个什么设备要还给你们这边的 一个是机顶盒魔百合互联网看电视那个机顶盒还有个是装宽带的一个光猫设备身份证带好 不是不用是吗我还有一个一个魔百天就这个对噢好的好的我知道了谢谢 
您好兴您服务您好 喂您好我想那个就是在这个流量说咱们那个手机那个宽带怎么搞的嗯 宿舍里面安装一个宽带嘛诶宿舍安装一个宽带是吗啊对啊那我帮您转到宽带专席进一步问一下您这边不要挂我帮您转到后台啊嗯请稍等块钱的问题的话产生是 这手机手机绑定现在手机绑定的话怎么一个月是多少钱 
差不多你你你 您好很高兴为您服务 喂你好唉我这个卡想要迁移从三泉路那里千一到惠南好的 是来电号办的宽带要移机对吧 
您好很高兴为您服务 唉你好这样我原来预约了一个宽带在那个徐汇的荣路这边准备装一个那个移动宽带现在这边有点变动所以我那边暂时可能不不需要安装地在不能装 啊就不不办了要取消订单是是吧 对你帮我取消一下吧好吧 
您好请讲 唉喂你好我这边想办理一个那个移动宽带的 办移动宽带是吧 对 
您好很高兴为您服务啊您好很高兴为您服务你好 喂那个我想问一下就是说我我这边之前是办理过一个宽带的然后我现在要移机需要再申请 呃是这个手机号码办理的宽带有热线移机知道 没错 
您好很高兴为您服务 唉你好 恩您好请讲 啊这边办理的宽带 
现在也不 您好很高兴为您服务 你好我想办理一下那个宽带业务 再见办理宽带对吧您是什么地址呢 
您好很高兴为您服务 唉你好我本来说他是农村装那个噢移动宽带的但是我现在家人就想疯了我要取消掉了 宽带不装了 对 
您好很高兴为您服务 呃我这个手机号码办了一个宽带对吧 呃我看一下对有一个移动宽带承诺消费的 城南路三百六十四弄六号一零一的对吧 
很高兴为您服务 你好我要装宽带 装宽带啊什么地方装呢 就是就是上海宝山区农科院王字 
您好很高兴为您服务唉你好嗯我想办一下宽带就是宽带是吧移动宽带对吧啊好的我帮您转接到宽带专席您详细咨询一下好嘛不是就是十五的问题我家里没有宽带 这样我帮您转接到这个东西为什么呀 噢好好好好知道这 为什么现在 
您好高兴为您服务 你好我我我想咨询一下我我想那个那个那个叫什么移动宽带嘛我想装宽带嗯 就帮您的宽带专席嗯您说 啊 
您好很高兴为您服务 喂你好 你好请讲 唉我要想把那个宽带想那个有线电视取消掉捆绑在一起的那个套餐交 
您好很高兴为您服务 唉你好小姐我想问我现在呢原来办那个一零八套套餐嘛那个上网吗 恩 对吧现在我现在这个房子要办的办了那我想那个办那个网络一到我那个办呃那个新地址这个地方 
您好很高兴为您服务 嗯你好那个是这样的就是我现在想要办理一个那个宽带的业务噢 是宽带申请什么服务请问一下 呃是那个七十八元那个嗯就是再加二十块的那个二十兆的那个六 
您好很高兴为您服务 想申请你们企业的移动宽带 申请公司宽带对吧您地址哪里我给您先查一下资源情况 砖兴东路 
现在 没有了谢谢 啊哎你好我想问一下啊就是说那个宽带嘛然后我现在换手机号码也是相同的那个月之前的号码 就宽带就是找到另外一个手机上对吗小姐 
您好很高兴为您服务 喂你好有听到声音吗 能听到请讲 噢那个我宽带的话我要已经从丰苑移动附院就是我办移机的手续 
您好兴为您服务 唉你好是这样子的唉我是那个幺三八幺七七五六二六六的用户我想问一下我今天不是跟你们签了一个协议就是又满一百二十八块不是免费装一个宽带嘛 嗯 我想问这个宽带是不是你一g啊 
您好很高兴为您服务 他号码幺五七我已经嗯嗯零二幺 嗯 五零零八六 
为您服务 唉你好嗯我想把我以前这个幺三九的号码上面送的呃兆的宽带现在接上去我办我现在不是搬家了嘛 恩 我办的违法之前这边来了 
喂 你好 哎您好小姐我我是金山那个零拨打楼的呢嗯嗯幺七零二四的那个安宽带呃那哪个号码 装宽带 
您好很高兴服务 喂你好那个我昨天在网上预约前天了昨天约宽带嗯装了吗还没装是吧 
您好很高兴为您服务 噢你好是这样子我刚刚收到一个电话然后 就是我之前申请办理那个宽带业务 嗯但是好像刚刚打电话没有接 
为您服务 唉你好嗯我想把我以前这个幺三九的号码上面送的呃兆的宽带现在接上去我办我现在不是搬家了嘛 恩 我办的违法之前这边来了 
宽带业务怎么您好很高兴为您服务喂你好我想问一下就是我我们刚才是移动宽带嘛然后现在不是装修的时候把现在减掉了然后要现在要重新接线嘛然后再装然后就等于说是你这个东西需要人叫你们来安排那个帮我们接一下的 您哪个号码办理的宽带啊您是已经办了宽带还是要办理的 谢谢啊 一个什么客户您是家里已经有移动宽带的话 
不客气您好很高兴为您服务 唉你好唉今天本来约好了是今天下午我家里装宽带那么我早上我这手机可能是资费不够了我已经充好了有什么事情赶紧跟我联系因为家里现在有人的他说一点到六点 您是有预约宽带的 她说宽带的因为今天给我装的因为我正好搬家了搬到新的地方去那个宽带装你那个号码预约的宽带呢不是幺三九幺幺七 
您好很高兴为您服务 喂你好 恩你好 呃我就想问一下我想装一个宽带 
好很高兴为您服务 唉你好这个我的那个宽带呀我要我要移机 您要以什么一个g哪个手机号码 嗯应该是这个吧幺八六二幺打过来让我去了吗 
诶 您好很高兴为您服务 啊我想取消这个承诺消费然后送宽带这个业务需要在原来合适吗 不用带合同您就登记机主本人带好身份证原件还有之前安装的光猫设备去青浦区的营业厅在这个月底之前去办理注销就可以了 
您好很高兴为您服务 喂 喂你好 唉你好你帮我一下那个连这个手机号的那个宽带给我取消掉 
喂 您好 唉那个我我原来不是用的你们那个移动宽带嘛 对吧 
您好很高兴为您服务 唉我现在是吧我上次办理的那个东方有线 嗯嗯 绑定绑定手机吗恩对吧 
很高兴为您服务喂你好 呃你好 唉我想请问我想宽带一下机 宽带已经是哪个手机号码办的宽带要办一下移机 
很高兴为您服务 兆我有一个宽带业务麻烦你帮我关掉好吧 您这个宽带活动到月底到期如果您不续约了那您就在这个月底之前带好身份证光猫设备去杨浦区的移动营业厅办理注销就可以了 身份证到营业厅办 
对您好很高兴为您服务 啊你好打不了嗯是这样的就是我有约那个呃周周六然后我们家那个装宽带的我想改一下时间 噢那这个我可以帮您转到我们宽带专席我们宽带已经帮您看一下 噢好谢谢 
您好很高兴为您服务 啊喂你好我请问一下就是说因为我这边不是要办理这个宽带业务吗 嗯嗯 他的业务的话就是那就是我这里四百二十八就是说说话都一样的就他的是五百兆但是就是说他好像是十八的有一个就是空下来的到时候就是我是其他的问题他就是说户头的那个黄浦办牌号的话就是说来装还是下面之后不出来装 
您好很高兴为您服务 喂你好我想把是宽带出取消呃是怎么样撤销取消一百八十八可以取消吗 您这个宽带有一年协议时间还没到期啊 还没到期啊还要多少流量啊 
您好很高兴为您服务 唉小姐你好我是想装一个wifi如果我要装划算现在你们自己的一个就是说因为我不太用我就是呃呃呃我不是我不可用我是在家里装移动wifi我不玩游戏的就十兆最低好了五兆可以吧就最低的 一个你们是资费是多少呢我们最低的是二十兆一年的话七百六十块钱现在办一年送两百元的话费等于一年五百六十块 不是十兆没有啊 
您好很高兴为您服务 唉是这样就是我们就是办了那个就是你们那个不是送的宽带嘛就是那个套餐买两百块对吧我现在如果要就是要呃呃换一个地方就是我这边房子呃就是要换一个地方那怎么办理呀这个 和一个呃那你办理宽带是哪个手机吗我帮您查一下协议 呃幺三六 
您好请讲 唉你好我这边手机绑定宽带业务是吧好的 宽带业务要取消吗 嗯对 
您好很高兴为您服务 喂你好我要办一个宽带 办理宽带 对啊 
您好很高兴为您服务 喂你好就是我想问一下我现在我现在我现在就是我现在就是办理用的那个套餐嘛我现在两个手机是然后你们说我移动宽带线吗我想问一下我这个宽带现在我可以吗宽带移移到别的地方 之后我会帮您转到宽带专席您可以去咨询一下 好谢谢 
那不知道你满意那个兴服务我我就是就是开通门面店乡装个宽带可以吗 公司宽带是吧那您地址是哪里呢我帮您看一下 门面不是公司呀 国家店铺呀商铺宽带那您的地址是哪里看一下 
您好很高兴为您服务 唉你好就是呃我之前不是订了一个就是每个月呃消费满多少然后那个可以送宽带的吗然后现在我这块唉对我这个到期了然后我现在不想退订怎么退啊 带好您的身份证和那个上网的猫是宽带所在区的营业厅做推荐您尽快过去徐汇的随便哪家营业厅都可以 噢好的好的嗯嗯好那祝您生活愉快再见没关系再见 
您好很高兴为您服务 呃喂你好 啊你好 噢就是我想咨询一下我之前是办了校园的那个宽带对 
您好请讲 喂你好是这样的就是我在去年的话十月份左右吧然后这边幺零零八六工作人员的话跟我说就是要一百零八块钱的一个消费 你说 宽带吗开通一天但是上个就是家里面要卖房子然后在那个再过户然后这边的话要我把那个我的那个宽带给取消了我名下那个宽带停掉确认和办理吗 
您好很高兴服务 喂你好 你好 我想申请一下就是免费装宽带家里面装宽带好像 
哎您好很高兴为您服务 哎你好我想办一下移机业务输入想查一下我那个新的那个地址 可不可以 办 
您好很高兴为您服务 唉你好我之前预约过一个那个宽带移机的服务然后我想查一下这个是怎么样了 呃是哪个号码申请移机的本机吗 对的 
您好很高兴为您服务 唉你好我我是刚才刚刚打电话那女儿然后我刚才跟那个就是装有线那边联系过了他说我们这个是可以的就可以跟您这个预约申请 噢您是前面有线去查过地址说可以装的对吗对可以装的啊那现在要办的话您把地址报给我 噢就是刚才那个兰平北路九十九弄然后二零一个花园然后二百零六号五零二 
您好很高兴为您服务 你好 你好我问一下就是 我我想办一个那个手机宽带的业务 
很高兴服务 喂你好我的这个手机哦哦里面有那个东西的有那个叫什么宽带就是装那个网络的呀 对有的还有什么问题呢呢还有什么问题先生 呃我的问题就是说我就原来我就在那个宝山那边 
您好兴您服务喂你好 我想想办那个宽带 地址报一下好嘛 绿嘉定区的南路五十五弄二十八号二零二 
您好很高兴为您服务 四你好我我我这边想安装一条宽带了 好的那您这边就是说本机号码对吗 对 
为您服务 唉你好那是这样的就是我我在那个就是闵行区有一个那个就是那个东方有线不是有一个捆绑的和移动捆绑一个那个宽带这边我想停掉因为好像十一月份到期了吧我不要那种 我帮您转宽带专席可以帮您问一下您稍等一下啊不要挂机再见 
您好很高兴为您服务 你好我手机申请宽带 嗯请问地方要申请呢 嗯嗯嗯嗯说卢红的路路二百五十九弄说卢路每个月月亮的月 
高兴您服务 唉你好那个我这边那个刚刚去办理了一下那个宽带的一个移机然后然后那个你看看能安排师傅上门帮忙操作一下吧 不是女士已经到移动厅办法移机手续了吗 唉对已经办好了告诉你 
您好兴您服务您好 唉你好那是这样子的我原来这个手机不是送了有一个那个二十兆的流量吗刚用那个东方有线对吧那个机顶盒掌上营业厅啊我现在搬家了能不能帮我帮我确认一下 噢那这边帮您转到宽带专席您问一下您这边不要挂机我帮您转到后台啊不客气请稍等为了更好解决问题电话转专席处理请稍等 
您好很高兴为您 唉喂你好小姐我想问一下我上次到那个电脑现在是出问题了嘛现在我要把它退掉现在我现在现在是通上网网络网络因为我充的是一两百兆的他给我充了一百兆的 我想 问一下就是哎然后他现在我现在我想我要超两百兆我们家反正就是一百兆通过这个退掉他两百兆还有然后又给我送了一个一百兆的然后我就投诉了哎但是它现在帮我退了那个他现在呢已经两百兆已经给我装好了充到我一百兆就退掉哎对吧 
为您服务哎多少时间呃我那个只要你们有个业务员打过电话就是我这个手机是绑定这个套餐现在就是家庭的话宽带而且不知道是吗 您的宽带是到月底到期了您是后面要续约的吗还是 呃我是这样的我想换一个套餐内容我们呃是这样的我不是二十您好来往上是二十兆我想办一个就兆的家庭宽带吗 五十兆的 
您好很高兴为您服务 噢你好我想要在这个手机号码上面装一个宽带 好的首先您把地址报一下我看一下应该写 呃闵行区真北路 
很高兴为您服务 唉你好 嗯你好 就是我现在用的这个移动宽带然后我现在想 
您好很高兴为您服务 唉你好这样子的我是呃就是说这个号如果有一个号就那个就是说呃申请一个宽带然后他现在就是说呃续费手续费到明年五月份的他说但是那个合适它就是说没有了然后我想就是说如果说你能帮我就是重新把盒子装一下的话我还能用这样子 盒子没有了 对就是一个应该是想包把那个这个移动 
您好很高兴为您服务 喂你好我这边是那个 区唐 那个区城路那个区唐路富苑小区我想转宽带 
您好很高兴为您服务 哎小姐你好我手机号是幺三六 幺三六 四幺九三嗯嗯三五九三嗯噢那个就是我就是原来办过一个移动的和家宽带我想把这个宽带取消了 
您好很高兴为您服务 唉你好我想问一下噢因为我本来是在五百三十移动的呃我不是办了一百零八块的套餐不是送了有宽带嘛对吧但是我现在搬到芷江中路六百呃六十八的呃我想转过来我想把那个网转过来 然后那您新的地址因为它是跟原来东方有线绑定您新的地址有没有东方有线有没有办过啦东方有线 我这里有有有限的有有线网的有招商有线的 
您好很高兴为您服务 喂你好就是我办理手机业务的时候呢送了一个宽带然后就是原来在五楼的现在想把它移到一楼 您是家庭宽带吗 唉对的 
您好很高兴为您服务 呃就是原来呃我这边这个手机号码绑定的康另外一个密码 您这宽带要办什么 就是转转到另外一个地址知道 
