你好 请 讲 其他   先生 嗯 请 讲   这边 帮 您 看 了 一下 有 收费 的 业务 套餐 费 一个月 八十八 然后 这边 有 一个 来电 提醒 一个月 三块 钱 然后 有 一个 彩铃 六块 彩印 三块 手机 阅读 六块 没有 其他 扣费 了   彩铃 六块钱 手机 阅读 六块 彩印 三块 这些 业务 要 取消 吗
你好   不 客气 您好 感谢 耐心 等待 除了 基本 套餐 外有 订购 了 来电 提醒 有 彩印 的 咪 咕 音乐 的 这些 如果 不 需要 使用 可以 帮 您 取消 掉   恩好 的 那 关闭 之后 里面 的 这个 彩铃 功能 歌曲 自动 没掉 呃 来电 提醒 关闭 来电显示 功能 还是 有 的 您 套餐 还是 有 包含 的   十八块 钱 的
您好 请 说   我 帮 您 查询 请 您 稍等一下   那 感谢 耐心 等待 您 的 业务 这边 查 了 一下 这个 月 您 用 的 是 五八 套餐 下个月 您 改成 十八 一个月 的 了 有 开 一个 十元 夜间 流量 促销 包 就是 活动 到期 自己 关有 个 来电 提醒 彩印 中级 包咪咕 特级 会员 彩铃 就 这些   要 付费 的 我 看 一下 那 您 要 付费 的 像 刚刚 介绍 都 是 收费 的 十八块 来电 提醒 三块 夜间 流量 包 那个 要 付 十块
您好 请 讲   呃 除了 那个 基本 月租 三十八 还有 开通 了 就 来电 提醒   另外 有 来电 提醒 在 有 来电 提醒 彩铃 和 彩印 功能 您 看 这些 业务 要 帮 您 关掉 吗   恩好 的 那 就 只要 月租 跟 来电 提醒 噢 其他 的 那 就 帮 您 取消 掉
您好 请 讲   做 八块钱 套餐 八块 三 呃 唉 对 没错 是 的 嗯   其他 有 一个 来电 提醒 三块 现在 帮 您 查 一下 稍 等   现在 目前 的话 就是 呃 一个 的话 现一星 职业 有限公司 集团 网 一块钱 那 其他 没有 什么 了 恩 对
您好 请 讲   对 没错 下个月 生效 新飞 享 三八 套餐   那有 给 您 你 如果 你 要 改回 原来 的 套餐 呢   好 那 因为 您 这个 原来 十二元 套餐 停办 的话 这个 我 帮 您 报上去 申请 这个 取消 次 月 生效 的 三八 套餐 恢复 原来 的 套餐 到时候 处理 好 以后 会 有 工作人员 跟 你 电话 联系 您 注意 接 一下 电话
您好   我 看 一下 您 套餐 现在 是 三十八 套餐   他   三十八 套餐 以外 您 有 办个 流量 套餐 五十块 来电 提醒 功能 费 就 三块 钱
您好   我 看 一下   你 是 立主卡 套餐 有办 一个 来电 提醒 增强版 彩印 才 还有 个 咪 咕 特级 会员 里头 有 包含 彩铃 功能   给 他 有 两个 是 彩印 彩铃 是 参加 活动 这 我 可以 帮 您 预约 一下
很 高兴 为您服务   我 看 一下 您 稍 等 啊 唉呀   呃 您好 先生 这边 我 帮 您 查询 一下 您 这边 没有 看到 您 这个 号码 有 登记 宽带 啊   对 套餐 是 一百二十八 的
很大 它   您 现在 这个 是 二十八 元 的 飞享 套餐   好 的 三百 兆 就   那 我 帮 您 转接 安排 一 下下个月 开始 生效 稍微 等待 一下
您好 请 讲   请问 有 什么 可以 帮 您   您 现在 除了 一个 八块钱 的 基本 套餐 以外 呢 还有 一个 来电 提醒 的 功能 一个月 收 您 两块钱 其他 没有 了   呃 对 没有 开 流量 套餐
您好 请 说   你好 请 说   噢 好 请稍等 我 看 一下 先生 您 这 号码 有 绑定 宽带   账号 就是 您 的 手机号码 如果 密码 不 知道 的话 我 这边 可以 给 您 去 重置 下 密码 要 给 您 重置 一下 吗
您 本机 是 三十八 元 的 套餐 就是 有 五百 兆 流量 一百 分钟 本地 通话 是 这种 然后 另外 就是 有个 彩铃 功能 五块 钱 别的 没有 什么   流量 五百 兆 嗯   话费 我 看 一下 您 本机 现在 的 余额 还 剩下 一百五十 六块 七毛   积分 吗 积分 我查 一下 噢 呃 积分 的话 是 这 样子 要 异性 级 或者 一星级 以上 的 用户 才 会 有 积分 您 现在 还是 准 星级 的 等 下次 如果 有 被 评为 一星级 的话 然后 有 积分 会 自动 累积
您好 请 说   好 稍等一下 本 机 现在 是 还有 设置 就是 关机 无 信号 转移 到 一个 幺 七八 的 号码   没错   我 这边 可以 直接 帮 您 取消 好 吗
嗯 嗯 啊 您好 请 讲   嗯 查询 本 机 目前 的话 所 办理 的 是 呃 九元 的 优酷 流量 卡 套餐 套餐 费 九块 钱 里面 包括 三 g 的 流量 用来 登录 优酷 ap 软件 播放 视频 用 的 其他 不能 使用 然后 没有 订购 什么 其他 收费 的 了   对 是 的   嗯 当前 的 话费 余额 目前 剩下 三毛
您好 很 高兴 为您服务   本 机号码 吗 对 请稍等 我查 一下   感谢您 的 耐心 等待 没有 办理 宽带   嗯 还有 还有 就是
您好 请 讲   本 机号码 的话 您 目前 是 八十八 元 套餐 那 除了 八十八 元 套餐 给 您 参与 的 流量 活动 到 十二月 一号 自动 取消 然后 有 一个 来电 提醒 其他 收费 的话 就 没有 楼 一个 家庭网   嗯 家庭网 我 帮 您 看 一下 有没有 家庭成员 请 稍等一下 噢   有 添加 了 三明 成员 家庭网
什么 了   本 机 三十八 元 套餐   三十块 钱 的 还有 流量   没有 流量
您好 请 说   稍 等 套餐 的话 是 五十八 的 然后 的话 三块 钱 的 来电 提醒 那个 是 活动 的 有 收费 的话 就 套餐 五十八   稍 等 可以 帮 您 设置 一下 到期 自动 取消   它 到期 会 自动 取消 的
嗯 嗯 您好 下午 好   嗯 我 看 一下 您 目前 呢 除了 您 一百二十八 的 套餐 之外 就是 一个 一百块 钱 的 一个 流量 套餐 其他 收费 的 就 没有 了   这边   一般 是 一 是 一百块 的 那个 流量 套餐 关掉 是 吗
您好 请 说   噢 好 的 请稍等 我 看 一下 呃 是 的 您 这边 有 开通 彩铃 功能   嗯 它 就是 要 登录 移动 的 彩铃网 站 去 设置 就是 叫 有 个 咪 咕 音乐网 我 把 网址 发给您 可以 吗 噢 噢 我 这边 先 发给您 有空 先 登上 去 看 一下   非常 抱歉 彩铃 那边 歌曲 我 这边 看不到 这个 要 您 登陆 咪咕 音乐网站 上 看 一下 我先 发给您 看 一下 好 嘛 噢 好好 好 还有 没 其他 需要 咨询 呢
您好 什么 可以 帮 您   噢 那 我 这边 帮 您 转 我们 的 宽带 专席 这个 会 有 专门 处理 宽带 好 吗 好 的 行 谢谢 好 不 客气 您 不要 挂机 马上 帮 您 转接
您好 请 说   您 这个 月 的话 当月 代收费 有 扣 您 三十二块 钱   这个 就是 只能 通过 手机 上 按 到 那个 消费 的 软件 产生 的 扣收   可以 稍等一下
嗯 您好 请 讲 你好 您好 请 讲 诶 您好   呃 您 现在 开通 的话 是 新 的 一个五十 八块钱 的 套餐 除了 这个 以外 有 一个 来电 提醒 还有 一个 彩铃 跟 彩印 那彩铃 跟 彩印 它 活动 下个月 到期 了 帮 您 取消 掉 吗   那个 是 您 八月份 当时 有 参加 活动 送 三个 月 的 这个 月 还是 免费 的   您 的 套餐 是 五十八 来电 提醒 两块 这边 是 六十 另外 那个 九块 就是 彩铃 跟 彩印 的 业务 了 九块 的 上个月 是 有 给 您 返还 的 所以 没有 收 您 自己 的 钱
您好 请 说   您 这 三十八 套餐 了   一百 分钟 的 本地 通话 流量 五百 兆   行
您好 很 高兴 为您服务   稍等一下 您好 短信 功能 正常 没 问题   短信 接收 接收 不到 是 吧 能 不能 发 得 出去 呢   那 您 把 您 看 您 手机 上面 有没有 设置 什么 软件 把 短信 拦截 掉 了
您好 请问 什么 帮助 您   那 剩下 这边 目前 还有 来电 提醒 跟 彩印   那 我 帮 您 都 取消 只留 一个 三十八 元 的 月租 请 您 先 稍等一下   这 两个 有 帮 您 取消 了 您 放心 还有 什么 其他 需要 帮助 您
您好 请 讲   零零 零六 九   您 是 说 您 宽带 用 了 多久 吗 还是 什么 对 我 帮 您 看 一下 就 本机 现在 跟 我 通话 这个 号码 吗 对 对 对 我 帮 您 看 一下 宽带 您 是从 一 六年 七月份 开始 用 的 一 六年 七月份 另 找回 然后 您 之后 有 办理 一个 宽带 活动 就是 宽带 融合 套餐 两年 的 是从 一 七年 四月份 开始 的 一 七年 十月份 开始 对 就 宽带 办 一年 送 一年 那个 活动   行
我 您好 有 什么 可以 帮到 您   恩好 的 对 有 流量 安心 包有 的   对 还 会 继续 用   不 客气 还 别的 问题 吗
您好 请问 什么 可以 帮助 您   您 是 说 给 您 打电话   流量 上网 还是 说   什么 号码 给 您 打电话 了
您好 请 说   这边 给 您 查询 您 手机 这边 的话 除了 您 的 基本 套餐 套餐 费三是 三十 八块钱 以外 您 有 一个 十块钱 一 g 的 一个 夜间 流量 包 跟 一个 三元 钱 的 一个 来电 提醒 还有 一个 是 无线 音乐 俱乐部 特级 会员 六元 钱 跟 彩印 三元 钱   稍等一下 目前 给 您 核实 是 六十元   行好 的 夜间 流量 取消 次 月 关闭 然后 一个 是 咪 咕 音乐 俱乐部 取消 也 是 一样 确实 关闭 好 吗
您好 请 说 您好   请稍等 您 现在 用 的 是 四 g 飞享 三十八 的 套餐   也就是说 您 现在 改 五十八 的 新飞 享是 吗   可以 啊 这个 月 更改 下个月 生效 它 里面 是 有 四百 分钟 加 三个 g 流量 四百 分钟 其中 三百 是 本地 用 一百 是 全国 流量 是 省内 都 可以 用 如果 去 外省 只能 用 五百 兆 大概 是 这 样子 的 可以 吗 呃 您好 这 款 可以 吗
您好 请 说   诶 您好   噢 好 稍 等 我 帮 您 查看 一下   噢 对 张卡 因为 您 有 设置 呼转 到 一个 是 幺 七八 零二 幺 四 二五 二六 的 号码 上
中午 好 请 讲   噢 我 看 一下 您 稍 等   噢 本 机号码 除了 您 的 六十九 套餐 之外 额外 有 一个 来电 提醒 还有 个 三块 钱 的 短信 套餐 还有 个 咪 咕 特级 会员 也 就是 这个 彩铃 功能 还有 个 彩印 就 这些 业务 其他 没有 其他 没有 吗 那 就 但是 您 这 号码 之前 有 参加 一个 保底 八十块 钱 送 手机 的 这个 活动 噢 那 您 每个 月 保底 消费 要 达到 八十块   那 就 刚才 所说 这些 业务 您 是 结 了 保留 还是 取消 呢 嗯 取消 一些 吧 那 来电 提醒 要 不要 取消
您好 很 高兴 为您服务   其他 来电 提醒 来电 提醒 功能 费 一个 十三块 钱 别的 话 我 给 您 看 一下 稍 等   别的 话 我 帮 您 看 了 一下 您 这边 还有 个 是 飞信 的 会员 五块 钱 还有 个 是 幺 三九 邮箱 幺 三九 三是 当时 做 活动 给 您 开通 的   呃 可以 帮 您 登记 这 两个 都 帮 您 预约 登记 取消 掉 其他 的话 给 您 查 一下 稍等一下 别的 业务 就 没有 了 先生 您 先 稍等一下 我 帮 您 预约 登记 取消 一下 飞信 会员 跟 幺 三九 邮箱 稍 等
您好 请 讲   噢 流量 包有   有 但是 如果 是 活动 的 现在 取消 不了 到 十二月 一号 了 就 会 自动 取消   这个 您 现在 是 流量 包 已经 用 完 了 而且 超出 流量 用 的 是 安心 包了 安心 包 您 现在 是 扣 了 二十块 钱
嗯 嗯 嗯 你好 很 高兴 您 服务   啊 这 里面 的 套餐 是 三十八 元 的 然后 呢 您 是 说 说   包含 了 什么 什么 项目 包含 这些 三百 分钟 通话 一点 五 g 的 省内 流量 和 来电显示 办法 再 上线   这个 每个 月 关掉
您好 很 高兴 为您服务   变更 掉 了 下个月 改 的 是 新 版本 的 三十八 套餐   新办 的 套餐 里面 的话 有 一 百兆 国内 流量 一点 四 g 省内 通用 的 那个 流量 限 当月 使用 的 总共 加 起来 流量 有 一点 五 g 然后 呢 这个 月 的 是 五百 兆 的 国内 流量   嗯 价格 没 变 还是 三十八
哎 请 说   有 一个 集团 彩铃 这个 有 有 集团 来 帮 您 付费 的 另外 是 有 一个 个人 彩铃   可以 啊   噢 请 您 稍等一下 嗯 女士 您 是不是 已经 取消 掉 了 本月 已经 没有 这个 业务 了
您好 请 讲   基本 套餐   一百 分钟 本地 通话 一 百兆 全国 流量 跟 来电显示   这 就是 基本 套餐 啊
您好 请 讲   一天 一个 g 没有 啊 本机 是 十八块 钱 套餐 只有 一 百兆 流量 您 是 帮 另外 一个 号码 付费 的 另外 一个 幺 八八 那个 号码 才 是 流量 王 的 对 对 对 对 对 对   对 您 本机 这个 是 主号   要 取消 付费 关系 我们 这边 取消 不了 啊 要 要 去 柜台 是 吗 对 要 营业厅 取消 比如说 您 要 消除 那 张卡要 到 柜台 才能 办凭 身份证 还有 密码 一起 带 过去 密码 对 可是 那 张卡 密码 不 知道 的话 也 可以 手机 一起 带 过去 可以 重置
对 您好 很 高兴 您 服务   昨天 开 几个 是 吗   我查 一下 昨天 开 两个   昨天 两个 今天 一条 是 这 样子
您好 您 说   呃 您好 您 说   对 是 的   呃 两个 都 取消 是 吗
您好 请 讲   你好   诶 您好 可以 听到 您 说   帮 您 马上 查 一下 请 您 稍等一下
您好 很 高兴 为您服务   呃 您 本 机号码 目前 除了 您 的 月租费 用 三十八 还有 一个 宽带 业务 以外 那 其他 的 业务 我 帮 您 查询 就 没有 再 额外 开通 了   提示 不 在 呃 您 能 说 详细 的 吗   就 就 没有 啦
您好 请 讲   请稍等 这边 核实 一下 就 基本 套餐 以外 的话 有个 两块钱 的 来电 提醒   套餐 费是 三十 八块钱 然后 的话 有个 六块钱 的 彩铃 其他 就 没有 了   请稍等
你好 什么 需要 帮 您   帮 您 看 一下 除了 您 的 月租费 十八块 钱 以外 呢 有 开通 一个 来电 提醒 两块钱 其他 的话 您 都 取消 掉 了 别的 没有 什么 业务 收费 了   不 客气 还 什么 需要 帮助 您
啊 您好 请 讲   三十 八块钱 的 套餐   目前 就 只有 这个   每张 卡 都 有 个 基本 套餐 的
嗯 下午 好 很 高兴 为您服务   好 的 请 没有   好 不用 客气 还有 什么 可以 帮 您
那空 号 请 讲   嗯 好 是 的 现在 就 只有 几兆 了 要 开 一个 流量 包 吗   没有   是 这个 月 就 只有 一百五十 兆 再加 上个月 的 一百 四十八 兆 全都 用 完 了 现在 还有 还有 九兆
您好 请 说   好 的 请稍等 目前 帮 您 查询 这 号码 这个 三十 八块钱 的 套餐 跟 一个 三块 钱 的 来电 提醒 功能 其他 收费 目前 帮 您 查询 都 没有 就 三十八 跟 来电 提醒   全国 打 全国 三百 分钟 在 整个 福建省 流量 一千五百 兆 的 三八 套餐   去 外地 的话 你们 打 的话 还是 收费 的话 是 免费 的 这 三百 分钟 全国 都 可以 打 那个 流量 是 省内 流量 分钟 数是 全国 用 的
您好 请 讲   有 八十八 套餐 呢 您 想 改 八十八 的 是 吗   三十八 的   三十八 的 是 一百 分钟 加上 额外 送 五百 分钟 有 六百 分钟 本地 打 全国 免费
您好 很 高兴 为您服务   您 这边 有放 其他 业务 有充 一个 pd 区 mp 微 的 一个 手机 视频 还有 一个 华谊 央视 还有 一个 咪咕 阅读 女生 的 读包 跟 一个 呃 咪 咕 阅读 婚恋 精选 包 这 三个 一个 几个 业务 要 不要 帮 您 取消 呢   有 四 g 增值 业务 有 一个 咪咕 阅读 包月 的 两个 还有 一个 手机 视频 两个 要 不要 取消 哪个 四个   这个 月 的话 总共 是 三十五块 这 两个 三十五 这 四个 三十五块
嗯 您好 请 说   本 机 除了 套餐 费 二十八 有办 了 一个 精品 漫赏 尊享 包 跟 彩印 这 两个 要 关掉 吗   那 就 把 刚才 说 的 这 两个 先给 您 关掉 您 稍 等   那 其他 给 您 查询 的话 本 机 目前 就 没有 开通 什么 业务 了
你好 请 讲   噢 好 的 稍 等 啊   呃 您好 那 您 这边 我查 了 一下 除了 您 的 基本 包 套餐 之外 然后 呢 就是 还有 还有 一个 那个 叫 来电 提醒 跟 一个 彩铃 会员 已经 彩印 那 目前 给 您 查看 了 一下 就 这些 了   噢 那 等 一下 我 号码 先给 您 做 一下 应急 开机 再 给 您 取消 哈
您好 请 讲   没有 您 这边 的话 如果说 是 三十元 五百 兆 省内 流量 保 那个 是 活动 赠送 的 它 赠送 期间 的 话费 我们 是 有 返还 没收 您 自己 的 费用   没有 收费 用 的 是 吧 啊 没有 没有 我们 话费 是 有 返还 的 我 待会儿 帮 您 把 话费 返还 的 记录 同意 给 您 下发 一个 短信 嘛 你 帮 我 看 一下 好 吗 噢 好 的 好 的 还有 什么 可以 帮助 您 啊 那 不用 了 好好 好 感谢 来电 再见
喂 你好   诶 请 说   办理 好 了 下个月 生效   来电 提醒 两块钱 这个 要 不要 关掉 呃 来电 提醒 不用 关掉 然后 现在
您好 很 高兴 您 服务   这个 目前 帮 您 看 就是 幺 八八 的 套餐 有个 夜间 流量 包 十块 啊 这个 要 取消 吗   然后 来电 提醒 留着 吗   来电显示 是 送 的 来电 提醒 两块 另外 收 的 还有 一个 彩铃 六块
您好 请 说   好 的 我 马上 帮 您 看 一下 套餐 费 三十八 元 的 它 里面 是 五百 兆 流量 本地 打 全国 一百 分钟   对 国内 流量 五百 兆   有 一个 五十元 一 g 的 流量 现在 每个 月 有 给 您 赠送 四十元 赠送 六个月 相当于 您 每个 月 只要 花 十块钱 就 可以 了 然后 六个月 到期 会 自动 取消
您好 请 说   诶 你好   乱开 起来 给 您 看 一下 噢 先生 您 是 五 十八块 的 那个 全球通 的 商旅 套餐 那 除了 这个 基本 套餐 以外 稍 等 别的 没有 了 没 其他 业务 啊   没有 都 没有 它 就 一个 五十八 套餐 没 其他 的
什么 您好 请 讲   呃 好 我 看 一下   这样   刚才 就是 有个 咪 咕 视频 的 会员 这个 没有 自动 取消 的 那 我 帮 您 设置 一下
您好 嗯   您 现在 使用 的 是 七十九 的 套餐   我 看 一下 请稍等   不 客气 这个 七十九 套餐 另外 有订 了 一个 五十块 钱 流量 这个 是 有 参加 活动 的 活动 还 没有 结束 其他 业务 就 没有 定制 了 就 这 两个
哦 您好 请 说   好 我 帮 您 看 一下 其他 收费 的 套餐 费 五十块 还有 一个 流量 套餐 三十 别的 就 没有 了   噢 可以 那 我 帮 您 下个月 关掉 流量 就 本月 用 完   谢谢 啊 帮 您 取消 了 不 客气
您好 很 高兴 您 服务   呃 现在 是 三十 八块钱 的 基本 套餐   一百三十八 的 套餐 本地 流量 不 限量   对 这个 是 一百三十八 块钱 的 但是 这 款 套餐 要 去 营业厅 改 我们 人工 台开 不了
您好 很 高兴 为您服务   您 这 里面 一个 四十八 校园 套餐 还有 个 二十块 钱 的 任 我 用 流量 包   您 这个 任 我 用 的话 是 只能 在 三明市 区内 流量 无限量 使用   我 看 一下
您好 很 高兴 您 服务 您好   您 这 号码 的话 现在 是 我们 十八 的 一个 飞享 的 套餐 下个月 一号 您 改成 新飞 享 五十八 的 套餐 了 然后 除了 基本 套餐 以外 现在 就是 来电 提醒 还有 您 之前 买 的 六十元 六个 g 的 流量 然后 其他 的话 就 没有 额外收费 业务   对 没错
你好   请 您 稍 等 我 帮 您 查询 一下   您 除了 这个 套餐 三十八 元 以外 还有 一个 三十元 的 一个 流量 套餐 还有 个 三块 钱 的 一个 彩印 还有 一个 两块钱 的 一个 来电 提醒 再见   您 套餐 本身 是 三百五百 兆 吗 然后 再 加 这个 三十元 五百 兆 就 合 起来 有 一 千兆 了
您好 高兴 服务   您 稍等一下 现在 套餐 一个月 五十八 一百 分钟 五百 兆 流量 加 来电显示   是 什么 网   比如说 保底 消费 送 手机 的 一个 活动
你好 有 什么 可以 帮 您   可以 您 的 套餐 一个月 是 三十 八块钱 那 里面 是 您 在 宁德 打 全国 一百 分钟 五百 兆 流量 也 包含 来电显示   没有 这个 套餐 费   您 本月 这边 我 帮 您 看 进去 您 除了 套餐 费是 套餐 外 打电话 打 了 四十 那 总共 就是 七十 八块钱 好 就是 打 打电话 的 时候 嗯 套餐 没用 完 之后 就要 额外收费 了
您好 请 说   稍等一下 嗯 是 有 一个 七十块 两个 g 的 流量 需要 取消 掉 对 吗   到 您 是 七月份 开始 的 到 十月 一号 到期   到 十月 一号 到期 的
你好 什么 可以 帮 您   流量 套餐 我 帮 您 看 一下 噢 噢   用 下个月 是 新飞 享 三十 八块钱 的 套餐   三十 八块钱 的 里面 的话 是 有 送 您 三百 分钟 一千五百 兆 的 这个 流量
您好 兴 您 服务   噢 好 您 稍等一下 对 您 这边 现在 基本 套餐 是 三十 八块钱 然后 另外 包月 的 有 一个 宽带 宽带 您 这个 是 买 一年 送 买 一年 送 一年 的 其他 的话 我 看 一下 有 一个 价值 三十块 钱 五百 兆 的 流量 包 这个 是 免费送 的 您 自己 的话 就是   这个 是 有效期 到 二零一 七年 十一月 一号 就 到 这个 月 为止 下个月 就 失效 了   自动 取消 掉 不用 自己 操作
您好 请 讲   嗯 您好   您 账单 这边 的话 呢 就是 五十 八块钱 一个月 的 这个 是 基本 套餐 然后 另外 呢 还有 一个 咪咕 特惠 尊享 包 这个 一个月 六块 另外 有 一个 五十元 一 g 的 省内 流量 这个 是 送 的 这个 的话 呢 到 一 八年 二月 一号 的 时候 到期 呢 是 会 自动 取消 掉 的 其他 的 收费 业务 的话 就 没有 了   六块钱 的 一个 彩铃 功能 要 帮 您 关掉 吗
您好 您 说   共享 的 流量 共享 流量 五 g 是 的   嗯 办理 您 如果 没有 取消 就是 永久 的   其他
您好 请 说 你好   嗯 女士 您 现在 这 号码 的话 就是 那个 九十九 的 一个 套餐 九十九   然后 有个 四十块 钱 的 短信 套餐 还有 个 五十块 钱 的 流量 包 这个 活动 是 到 这个 月底 就 到期 了 您 已经 取消 掉 了 下个月 就 没有 了   对 您 已经 取消 了 下个月 就 没有 了
好 的 请 您 稍 等   感谢 耐心 等待 您 现在 来电 的 这个 号码 的话 就是 呃 首先 您 自己 的 月租 这 张卡 是 每个 月 语音 通话 保底 消费 需要 打到 十 十元 的 另外 呃 月租费 是 九块 钱 对 您 这 张卡 月租费 十九块 钱 的 然后 月份 开通 彩铃 的 功能 对 是 的 另外 的话 其他 的 业务 需要 收费 的 就 一个 来电显示 的 功能 每个 月 六块 有 一个 手机 的话 我 看 没什么 用 这个 我 帮 您 取消 掉 吧 好 吗   就 只有 月租 和 来电 了 要不然 余额 三江口 镇 的 六加网 这个 业务 的话 每个 月 收 您 一块钱   这个 月 单单 打电话 就 打 了 三十四块
嗯 您好 很 高兴 为您服务   恩 您好   呃 您 现在 用 的 是 三十八 的   噢 下个月 噢 没有 改 您 要 改 五十八 的 吗
您好 请 讲   您好 您好 您 是 说 什么 问题   我 这边 帮 您 查看 本 机 目前 有 一个 九十九 块钱 的 套餐 三块 钱 的 短信 包 和 来电 提醒 还有 五十块 流量   哦 哦 有 一个 五十块 钱 的 流量 有 一个 来电 提醒 和 三块 钱 的 短信 套餐
您好 请 说   啊 兄弟 诶 您好 感谢您 耐心 等待 这边 的话 您 这个 除了 基本 套餐 八块钱 以外 没有 其他 的 收费 了   哇   这个 那个 是 上个月 的 现在 这个 月 已经 没有 了 您 已经 有 取消 了 噢 已经 取消 啦 噢 诶 对
嗯 您好 很 高兴 为您服务 嗯 等 一下   呃 您好 女士 我   没错 是 的   八十八 您 这 是 二百 二十分钟 的 二百二
您好 到 为您服务   呃 您 三十八 套餐 没有 变 两个 套餐 啊 下个月 改 八十八 套餐 了   对 没错 噢 噢 那 那 那 零点 的 时候 就 下个月 一号 有 三十八 和 八十八 做 一个 交接 包   只有 下个月 办理 的 有 一个 六元 的 短信 包 还有 五十元 的 流量 包 这 两个 要 不要 关掉
你好   我 帮 您 看 一下 月租 三十八 有 有 一些 增值 业务 是 什么 彩铃 来电 提醒 彩印 还有 什么 幺 二 会员 的 一个 业务 要 帮 您 都 取消 吗   嗯 稍等一下 您 这边 主要 是 活动 给 您 送 的 我 帮 您 看 一下   呃 只要 您 这些 您 这 业务 就 一个 来电 提醒 可以 帮 您 取消 然后 剩下 一个 彩铃 彩印 还有 个 那个 呃 呃 幺 二 五八 零 的 一个 会员 这 三个 业务 都 是 活动 给 您 送 的 送到 嗯 十二月 底 的 但 这 麻烦 您 十二月 才能 取消 了 现在 都 是 免费 的
您好 很 高兴 为您服务   那 就 这个 基本 套餐 的 然后 这边 还有 个 大厦 这边 还有 一个 来电 提醒 已经 帮 您 预约 下个月 取消 的   对 来电 提醒 哎 还 这边 一个 咪咕 阅读 这边 您 都 已经 有 预约 下个月 取消 了 然后 别的 就 没有 了 就是 一个 基本 套餐 了   上个月 一百四十 五 主要 有 帮 您 看到 这边 是 上个月 宽带 安装 这些 有 扣费 的 您 这边 宽带 安装 扣 了 五十八 然后 互联网 电视 二十 这边 扣 到 这个 安装费 就 扣 了 七十 八块钱 的 噢 现在 没有 没有 掉 主要 是 扣 了 宽带 安装费 的 嗯 行好 的 好 的 现在 为 您 查询 还恩好 那 还有 什么 可以 帮到 您 噢 不用 了 嗯 嗯 好 的 那 祝 先生 阖家幸福 不客
您好 很 高兴 为您服务   您 现在 是 十八块 的 套餐 下个月 就 改 七十九 的 了   对   您 现在 给 您 看 了 一下 除了 您 接 呃 基本 套餐 之外 的话 没有 其他 的 了
您好 很 高兴 为您服务   套餐 不能取消 只能 修改 那 您 是 要 改成 什么 套餐 呢   对 您 您 的 这个 五十元 流量 套餐 是 您 的 基础 包 啊 不是 可选包 啊 只能 进行 修改 您 是 想 往 高 钙 还是 上网 的 大   啊 那 我 帮 您 改成 三十八 套餐 一百 分钟 福州 本地 打 国内 电话 五百 兆 流量 和 这个 来电显示 您 看 一下 可以 吗
呃 中午 好   现在 是 十八块 的 先生 呃 十八 十八块 的 噢 就是 打电话 有 一百 分钟 然后 呢 接 是 免费 的 流量 一 百兆   呃 我 看 一下 其他 就是 它 里头 有包 来电显示 噢 没有 别的 费用 啦   嗯 嗯 不 客气 还有 什么 问题 吗
对 您好 请 讲   哎 我 给 您 看 一下 上面 确实 有 一些 像 活动 给 您 优惠 赠送 的 一些 彩铃 啊 彩印 啊 来电 提醒 幺 二 五八 零 会员 啊 这些 您 都 不要 是 吗 感谢 来电   他 现在 暂时 不 扣钱 我 都 帮 您 设置 一下 自动 关掉 吧 哈 稍等一下   稍等一下 换 可以 我 这边 都 已经 帮 您 设置 好 自动 关掉 了 可以 了 噢
您好 中午 好   嗯 我 看 一下 您 现在 固定 的 就是 一个 五十块 钱 的 基本 的 一个 套餐 一个 来电 提醒 呃 一个 彩铃 彩印 还有 个 集团 网 目前 没有 再 收费 的 就是 这 一些 其他 的 就 没有 啦   彩铃 跟 彩印 这 两个 我 都 给 您 关掉 吧 好 吗   您 手机 的 这个 彩铃 彩印 和 来电 提醒 这 三个 业务 是 它 免费 给 您 送 的 送到 下个月 的 月底 为止 呃 如果 您 不要 的话 您 下个月 的 时候 打 我们 电话 取消 就 可以 了 现在 是 免费 的 就 不用 扣 您 的 钱 啊
您好 很 高兴 为您服务   我查 一下 您 稍 等   嗯 感谢您 耐心 等待 我查 一下 您 目前 是 我们 飞享 十八元 套餐 其他 额外 的 业务 就 您 就 办 了 一个 来电 提醒 功能   对 就 这 两种
您好 很 高兴 为您服务   好 的 请 您 稍 等 感谢您 耐心 等待 那 我 这边 帮 您 看 了 一下   下个月 改 八块 了   好 请 您 稍 等 好 的 先生 那 已经 取消 掉 了
您好 请 讲   嗯 您 本机 是 十八块 钱 的 套餐 就是 本地 打 国内 一百 分钟 流量 一 百兆   有个 家庭 亲情 网 还有 呢 其他 就 没有 了   对
您好 请 讲   您 现在 用 的 是 三十八 套餐 套餐 费三 十八块 下个月 改为 新飞 享 的 三十八   对 下个月 生效   这边 帮 您 看 了 一下 您 这边 更改 的 十月 十七号 登记 您 现在 最近 有 接到 什么 外呼 电话 给 您 推荐 之类 的
您好 很 高兴 为您服务   好 基本 套餐 三十八 其他 正在 核实 您 稍 等 通过 系统 核实 除了 套餐 费 三十八 以外 您 本 机号码 上 目前 没有 其他 任何 收费 业务   包括 本地 打 全国 一百 分钟 五百 兆 流量 加 来电显示   谢谢 那
您好   就 这样   很 抱歉 这个 套餐 宽带 是 跟 您 的 这个 十八元 套餐 捆绑 在 一起 的   对 而且 您 还有 购机 的 活动 它 也 是 要 捆绑 业务 十八元 以上 套餐 所以 您 现在 最低 的 月租费 就是 十八块
