你好 请 讲 其他   先生 嗯 请 讲
您好 请 说   嗯 您 这边 订 的 三十块 流量 已经 成功 了 可以 用 的
您好   恩 你好 什么 可以 帮到 您 的 不 客气 笔 但是
你好   您 这边 是 一个 来电 提醒 三块 钱 嗯 嗯 阅读 还有 个 六块 彩铃 还有 个 六块 彩印 三块
嗯 您好 请 说   呃 本 机号码 的话 现在 套餐 是 九块 钱 套餐 除了 这个 九元 套餐 之外 其他 扣费 业务 的话 就 都 没有 了 然后 是 有 个 来电 提醒 还有 个 咪 咕 音乐 还有 个 彩印 都 是 到期 自动 关就 这些
您好 很 高兴 为您服务   呃 您 现在 这 张卡 的话 就是 一个 九块 钱 的 优酷 视频 流量 包 月租 来电 提醒 的话 呢 三块 钱 一个月 有个 彩印 三块
您好 请 说   这 里面 的话 您 就 一个 八元 的 固定 费用 跟 来电 提醒 还有 一个 彩铃 那 其他 我 看 一下 一个 单位 的 未 见 网 嗯
您好 很 高兴 为您服务   您 稍等一下 感谢 耐心 等待 这边 查 了 一下 您 就 一个 八块钱 的 基本 套餐 没有 其他 业务
您好 请 说   好 的 马上 为 您 查询
您好 很 高兴 为您服务   开通 什么 先生
您好 请 说   呃 对 下个月 变更 的 是 一个 三十八 飞享 套餐
啊 您 手机 的话 每天 的话 的 一 g 流量 可以 在 本地 用   没有 通话时间 啊 有 啊 您 这 早期 办 的 有 三十分钟 国内 通话
您好 请 讲   您 本 机号码 是 吗 您 本 机号码 我 帮 您 查看 了 一下 目前 的话 是 我们 的 这个 神州行 畅听卡
你好 很 高兴 为您服务 您好   呃 好 我 查询 一下 噢 您好 我查 了 有 其他 倒 是 没有 开通 就 只有 本身 基本 套餐 和 来电显示 就 没有 开 别的 业务 了
好 您好 很 高兴 为您服务   稍 等 我 马上 为 您 查询 您 这 张卡 现在 办理 的 是 三十八 套餐 还有 个 来电 提醒 三块 彩铃 六块 还有 彩印 三块
噢 您好 请 讲   恩好 您 用 的 是 动感地带 的 十八块 钱 的 套餐
您好 很 高兴 您 服务   可以 的 那 我 首先 说 下 第一个 本机 办 的 是 月租 十八 的 套餐 然后 其次 的话 就是 有个 月 十元 的 夜间 流量 另外 还开 了 一个 被 被 的 一个 九元 的 视频 定向 流量 包
您好 请 讲   我 看 一下 稍 等
你好 请 说   呃 有 的
你好   嗯 流量 王 套餐 一天 一 g 的
您好 请 讲   现在 是 三十八 元 的 套餐
您好 请 讲   对
呃 您好 很 高兴 您 服务   不能 是 吗 我 看 一下 已经 关掉 了 啊 好 的 谢谢 不 客气 的 还 需要 别的 查询 吗 嗯 没有 了 噢 好 祝您 生活 愉快 再见
很 高兴 为您服务   十块钱 一个 g 我们 没有 十块钱 一个 g 的 流量 加油 包 啊
您好 请 说   您好 请 说
你好 需要 什么 帮助 诶   好 稍等一下 您 下个月 改 的 是 三十八 的 这个 新飞 享 套餐 就 三百 分钟 本地 打 全国 电话 一点 五个 g 的 省内 流量 还有 来电显示
您好 请 说   您
您好 请 讲   您 这个 是 十八块 的 套餐
您好 很 高兴 服务   呃 请 说
您好 请问 什么 可以 帮助 您   流量 套餐 是 吗 您 说 剩余 的 是 吗
您好 请 讲 你好   本机 吗 没有 啊 您 现在 是 新飞 享 五十八 噢
您好 请 讲 你好   诶 请 说
哎 是 您好 请 说   请稍等 帮 您 查询 套餐 是 飞享 三十八 元 套餐
您好 请 讲   你好
您好 请 说   您 这 张卡用 的 是 那个 八十八 套餐 流量 提供 三百 兆 另外 开通 一个 五十块 钱 一个 g 的 流量
您好 很 高兴 为您服务   我 看 一下 稍 等 祝您
您好 什么 可以 帮 您   好 的 我 帮 您 查 您好 我 这边 帮 您 查有 收费 的 业务 就是 三十八 元 的 这个 基础 套餐 没有 别的 收费 啊
您好 请 讲   您 的 套餐 基本 费 三十 八块钱 那 套餐 以外 我 看 一下 套餐 外 没有 多订 其他 服务 您 这个 月 费用 是因为 流量 用 完 超出 了 产生 的 扣费
您好 很 高兴 为您服务   对 您 现在 是 咱们 飞享 十八块 钱 的 套餐 没错 那 怎么 短信 一直 发来
对 您好 请 讲   好 啊 您 稍 等 帮 您 查 一下 噢 您好 目前 您 的 基本 包 的话 是 一百三十八 块钱 的 套餐 额外 这边 有 一个 两块钱 的 来电 提醒 还有 一个 两块钱 的 闲时 通话 优惠 套餐 还有 一个 是 十块钱 一个 g 的 夜间 流量 然后 平时 有个 家庭 宽带 还有 个 三块 钱 的 手机 彩印 其他 功能 暂时 就 没有 开通 了
您好 请问 什么 可以 帮助 您   您 这个 十八元 套餐 主要 是 这个 月 打电话 打 的 比较 多 就是 分钟 数打 完 之后 还 打 了 二十三 块 多 的 费用
您好 很 高兴 为您服务   的 这么 多 宽带 到 什么 时候 到期 宽带 什么 时候 到期 啊 稍 等 嗯 先生 您 这个 月 最后 一个月 了 下个月 就 没 了
您好 请 说   呃 您好
您好 您 请 说   好 的 您 稍 等 您好 您 这个 是 新飞 享 的 八十八 套餐 每个 月 是 五个 g 的 省内 流量
你好 很 高兴 为您服务   没有
您好 有 什么 可以 帮助 您   嗯 您好 嗯 嗯
二十 您好 什么 帮助 您   套餐 是 五十 您 下个月 是 八十八 套餐 这个 月 是 五十 兆
很 高兴 晚上 好 请 讲   我 看 一下 噢 您 稍 等 噢 没错 您 下个月 是 有 改 了 这个 新飞 享 的 八十八 套餐
您好 有 什么 可以 帮 您   嗯 您 现在 是 八十八 元 的 套餐 然后 是 满 五个 g 的 流量 呃 您 是 另外 办理 一个 四十元 上 呃 四十 呃 呃 五 五十元 的 上网 流量 套餐 这个 要 不要 帮 您 取消 掉 吗
您好   套餐 是 最低 月租 八块 的 那种
您好 请问 什么 可以 帮 您   啊
您好 很 高兴 为您服务   呃 我 这个 卡 它 是 什么 什么 什么 套餐 吗 七十九 套餐 噢 七十九 套餐 对 噢 七十九 套餐 然后
嗯 您好   好 请 稍等一下 嗯 有 的 除了 g 一百三十八 套餐 发现 您 这边 还订 了 一个 五十元 流量 包 一下 如果 不 需要 的 我 可以 帮 您 取消 的
您好 您好 请 讲   吧 要 您 稍 等 噢 我查 一下 呃 这个 可以 啊 活动 就 到 这个 月 了 那 我 帮 您 登记 月底 关 那 流量 只限 这个 月 用 不 累积 下个月 噢
您好 请 说   是 其他 收费 的 一些 包月 业务 对 吗
呃 您 本 机号码 现在 用 的 是 一个五十 八块钱 的 套餐   一百五十 兆 跟 一百五十 分钟 啦
您好 请 讲   这个 是 一个 动感地带 的 一个 网聊 套餐 十二块 钱
您好 很 高兴 为您服务   嗯 嗯 好 的 诶 您好 所以 您 这边 手机 就是 基本 的 套餐 还有 那个 还有 那个 来电显示 没有 其他 的 另外 就是 流量 平常 流量 用 的 比较 多 好像 流量 费扣 的 多
你好 什么 可以 帮 您   您 是 三十 八块钱 的 全球通 套餐
你好 什么 可以 帮 您   您 本机 吗
您好 请 讲 喂 你好 诶 请 讲   呃 您 现在 的话 基本 套餐 是 那个 五十八 的 那 嗯 嗯 我 看 一下 啊 除了 基本 套餐 五十 八块钱 之外 的话 有 一个 三十块 钱 五百 兆 的 流量 套餐 那 这 三十块 流量 是 送 的 到期 的话 自动 关 现在 没有 扣钱 的 那 就 说 您 消费 业务 就 五十八 的
嗯 好 您好 很 高兴 为您服务   哦 好 请稍等
很 高兴 你好 请 说 对   月加 一个 是 和 教育 沟通 包 跟 一个 名师 微 课堂
嗯 拜拜 您好 很 高兴 为您服务   我 看 一下
您好 请 说   您 现在 这个 是 八块钱 的 月租 套餐 那 除了 这个 套餐 之外 没有 申请 其他 业务
您好 什么 帮 您 哎 你好 诶 我 昨天晚上 申请 的 那个 呃 十元 六 g 的   呃 加油 包有 开通 就 十块钱 一 百兆 已经 有 开通 好 了 可以 使用 了 费 十八 十块钱 不是 四 g 吗 呃 不是 啊 他 是 我 明天 叫做 四 g 流量 加油 包 十块钱 里面 只有 一 百兆 五十 二十元 一 百兆 诶 对 加油 包都 是 十块钱 一 百兆 的
见   嗯 来电 提醒 吗 我 看 一下
您好 请 讲 喂 你好 你好   您 现在 九十九 套餐 嗯
您好 请 讲   您 是 是 四 g 飞享 十八块 钱 的 套餐 然后 还开 了 一个 十块钱 一 百兆 的 上网 流量 包
你好   嗯 您 这张 号码 您 的 基本 套餐 五十八 本身 每个 月 有 三个 g 的 流量
您好 请 讲   呃 增值 业务
您好 请 讲   您 现在 用 的 是 一个 八十八 的 套餐
您好 请 讲   您 这个 号码 的 是 一百八十 八 的 套餐 这个 套餐 里面 的话 包 的 两千四百 分钟 还有 两个 g 全国 流量 还有 三十八个 g 的 省内 流量
您好 高兴 您 服务   有 有 是 有 其他 套餐 优惠 可是 您 这边 更改 不了 啊 为什么 因为 您 这边 原先 有个 宽带 要 更改 的话 只能 到 营业厅 更改
您好 请 讲   宽带 的话 呢 这个 是 两年 的 时间 我查 了 一下 到 一 八年 的 十月 一号 的 时候 到期 十月 一号 到期 二零一 八年 十月 一号 对 还有 什么 问题 吗
你好 请 讲   无线网 的 分钟 数 请稍等 我 帮 您 查 一下
您好 很 高兴 为您服务   我 看 一下 套餐 的话 您 这个 月 是 十八元 套餐 的 基本 月租 一个月 十八块 钱 的 它 是 除了 十八 以外 的话 就 一个 家庭网 的 三块 钱 还有 个 集团 网 呃 正常 噢 其他 没什么 异常 收费 的 都 正常 的 还有 个校 讯通 八块钱 校 讯通 就 这么 多
您好 请 讲   呃 目前 帮 您 查询 有个 手机 保障 您 只是 这个 吧 这边 是 您
喂 您好 请 讲   它 办理 了 哪些 业务 嗯 好 的 您 稍 等 我 帮 您 看 一下
你好   我 看 这边 显示 是 您 的 十八元 套餐 额外 的 没有
您好 很 高兴 为您服务   您 稍 等 我 看 一下 您 这本 机 的话 您 是 一个 十八块 钱 的 套餐 然后 我 给 您 查 了 一下 您 除了 十八块 钱 的 套餐 以外 呢 这边 没有 其他 的 收费 业务 只 剩下 一个 三块 钱 的 家庭网 呀
你好 您好 请 说   啊
您好 请 讲   二十八
再见 你好 请 说   我 看 一下 您 稍 等 宽带 您 这个 是 家庭网 的 套餐 啊 和 家庭 套餐 这个 套餐 本身 就 有 送 宽带 的
您好 高兴 您 服务   帮 您 看 一下 嗯 嗯 对 如果 不要 就 先 给 您 取消 掉 月底 前 使用 呃 下个月 就 没有 了 好 吗 哎
您好 请 讲   嗯 请稍等 没有 十块 一 百兆 加油 包有 开通 了 可以 用 了
您好 请 说   嗯 嗯 对 是 的 然后 呢
请 说   没 收费 的话 目前 是 三十八 一个月 的 套餐 其他 的话 给 您 看 过去
您好 很 高兴 为您服务   这 张卡 是 吧 呃 对 对 张卡 现在 是 五十八 元 套餐 然后 下个月 换成 新飞 享 八十八 了 新飞 享 新飞 享 八十八 对
您好 请 讲   噢 它 这边 有 办理 的
您好 请 说   手机 套餐 是 吧 您 稍等一下 我 给 您 查 一下 理解 您好 先生 这个 现在 办 的 是 五十八 的 全球通 飞享 套餐 五百 兆 的 国内 流量 然后 一百 分钟 本地 打 呃 就是 全国 通话 加个 来电显示 一个月 五十八
下午 好 请 讲   呃 您 的 套餐 的话 就是 一个 五八 套餐 另外 的话 呢 还有 一个 彩铃 六块 噢 还有 一个 是 吗 和 娱乐 包 两块 这 两个 没什么 用 我 帮 您 取消 一下 呗
您好 您 说   您 幺 八八 套餐 您 额外 有 一个 来电 提醒 两块钱 还有 五十块 钱 一个 g 的 流量 包 就 这些
幺 幺 您好 很 高兴 为您服务   你 好好
您好 请 说   嗯
您好 请 说 您好   诶 您好 请问
您好 您 请 说   呃 对 上网 功能 是 关着 的 那 短信 功能 没 有关 正常 开着
您好 请 讲   噢 您 这个 是 属于 一个 二十八 元 套餐 里面 的话 没有 其他 增值 业务 只有 一个 二十八 元 套餐
您好 您 说   呃 爱奇艺 的 这个 是 四 g 流量 包嘛 是 吧
的 帮助 吗 你好   宽带 是 吗 那 您 有 他 的 宽带 账号 跟 密码 吗
嗯 嗯 嗯 嗯 嗯 嗯 你好   请 您 稍等一下 现在 是 八十八 的 商旅 套餐
您好 请问 什么 可以 帮助 您   它 每天 扣 的 是 之前 不是 有办 了 一个 宽带 的 活动 买 一年 送 一年 的 活动 吗 就 查 一个 费用
嗯 您好 很 高兴 为您服务   您 用 的 是 五十块 钱 的 流量 卡 套餐
您好 请 讲   你好
您好 请 讲   改 多少 的 呀
诶 您好 请 说   您 这个 是 八块钱 的 套餐 了
您好 很 高兴 为您服务   噢 好 的 请稍等 我查 一下 目前 就 一个 基本 套餐 三十 八块钱 还有 两块钱 来电 提醒
您好 请 讲   宽带 停掉 没有 是 吗
您好 请 讲   好 的 给 您 查询 到 您 套餐 基本 费 三十八 元 钱 的 其他 时候 有 一个 九块 钱 的 手机 保障 服务 费用 这个 您 要 取消 吗
您好 很 高兴 为您服务   呃 十八块 钱 套餐 没错 就 这 一个 其他 的 我 看 一下 呃 都 关 了 送 的 业务 专线 彩铃 呢 彩铃 的 来电 提醒 的 这些 都 关 了 就 只有 十八 套餐
您好 请 讲   呃 您 是 说 有 预约 什么
你好   您 现在 用 的 是 我们 的 那种 三十八 套餐 三百 分钟 国内 通话 流量 一点 五个 g 省内 流量 我们 还有 额外 送 您 一百 分钟 国内 通话 送到 明年 二月 一号 那 我们 现在 数据 现在 够用 吗 你 看 一下 流量 啊 我 看 一下
你好 早上好   嗯 您 说
您好 请 讲   嗯 嗯
嗯 没 您好 请 说   哎 你好
你好 中午 好   校园 套餐 我 看 一下 不是 没有 啊 您 现在 用 的 是 三十 八块钱 套餐 不是 校园 的
您好 有 什么 帮到 您 的 吗   三十 八块钱 的 就是 在 安溪 拨打 电话 有 一百 分钟 流量 有 五百 兆 这个 够 短信 也 发 一份 给 您 可以 可以 看 一下 三十 八块钱 一个月 套餐
您好 请 讲   现在 当前 开 的话 同城包 就是 你 呃 接电 接 打电话 就 跟 在 本地 价格 是 一样 的 然后 您 这 有 划分 服务区 那 就是 在 呃 漳州 或者 泉州 打算 服务区 外 的 收费 笑 了 接 是 不用 钱 的 呀
您好 请 讲   港澳台 漫游 吗
嗯 你好   诶 请 说
您好   好 您 稍等一下 我 帮 您 看 一下 咱们 都 有 哪些 收费 类 的 业务
高兴 为您服务   我 看 一下 稍等一下 噢 您 本 机号码 上网 功能 有 开通 了
您好 请 讲 零行 吧 哎 你好 有 什么 可以 帮 您   我 给 您 看 一下
您好 什 帮助 您   噢 套餐 里 就是 那个 畅聊卡 月租 二十 八块钱 的 这 一款 的
很 高兴 为您服务 您好 很 高兴 为您服务   您 现在 是 五十元 的 流量 卡 套餐 里面 有 两 g 流量 还有 个 来电显示 打电话 是 两 毛钱 一分钟 的 下个月 改成 了 八十八 的 八十八 元 一千两百 分钟 打电话 我 看 一下 嗯 然后 流量 是 有 五 g 流量 的
您好 请 讲   套餐 之外 有 一个 来电 提醒 还有 一个 彩印 还有 个彩铃 其他 的 就 没有 了 再见
您好 请 说 您好   噢 您 这边 就是 我们 动感地带 三十 八块钱 套餐 三十八
你好 请 讲 您好 您好 可以 听到 吗   我 帮 您 看 一下 已经 开通 成功 了 呀 可以 用 了 一 百兆 可以 用 啊
您好 请 说   您 稍 等 我 看 一下 噢 来电 提醒
您好 请 讲   啊 本机 的话 查询 是 我们 的 三十八 元 套餐 一百 分钟 流量 五百 兆 这 样子 的
您好 请 说   我 这边 帮 您 看 了 一下 您 这 张卡 就 三十 八块钱 套餐 一百 分钟 本地 拨打 国内 电话 分钟 数 五百 兆 流量 还有 就是 宽带 还有 一个 五十块 钱 流量 套餐 两块钱 来电 提醒
您好 请 讲   嗯 它 下个月 改了 一个 五十八 套餐 那就是说 五十八 不要 改 了 是 吗
您好 什么 可以 帮 您   八十 八块钱 的
啊 您好 请 说   哎 噢 好 的 我 看 一下
呃 您好 请 说   流量 要 取消 是 吗 我 稍等一下 哈
您好 请 讲   你好
本 您好 请 讲   好 的 马上 帮 您 确认 请 您 稍 等 呃 您 现在 来电 的 这个 号码 就是 您 自己 本身 的 月租费 每个 月 是 收取 您 一百二十八 块钱 除了 这个 以外 的话 其他 需要 您 个人 收取
您好 请 说   您 这边 我 帮 您 看 一下 您 这边 下个月 改成 那个 二零一七版 的 八十八 套餐 下个月 生效 了
您好 很 高兴 为您服务   您好 请 讲
您好 请 讲   我 看 一下 噢 您 稍 等
您好 很 高兴 为您服务   送 宽带 您 稍 等 我 看 一下
您好 请 讲   呃 流量 活动 啊 它 说 到 明年 二月 一号 会 自动 关掉 实际 只扣 到 十块 每个 月
您 是 三十 八块钱 的 呃 叫 飞享 套餐
您好 请 讲 哎 喂 你好   那 您 稍等一下
你好 请 讲   噢 您 本地 的话 我 帮 您 看 了 一下 就 基本 的 飞享 八八 套餐 八十 八块钱 一个月 另外 的话 有 来电 提醒 彩铃 没有 收费 的 业务 我 帮 您 看 了 一下 就 这 三个
您好 很 高兴 为您服务   恩 你好
中午 好 请 讲   呃 有
您好 请 说   您 帮 他 付费 的 是 吗
您好 很 高兴 为您服务   我 看 一下 存 还给 我妈 又 又 又 又 跟 那个
服务 其他 什么 可以 帮到 您 咱们   但是 有 另外 一个 五十块 流量 包 您 看 有没有 需要 不 需要 可以 把 它 关闭 掉
您好 请 说 听到 诶 您好   完 之后 它 目前 是 有 开通 一个 就 基本 月租 八十八 十八 套餐 以外 有 开通 一个 手机 动漫 六块 有 开通 一个 手机 动漫 六块 还有 一个 手机 彩铃 手机 阅读 跟 彩印 的 服务 这些 您 需要 给 您 关闭 掉 吗
您好 请 讲   有 五十 八块钱 套餐 是 下个月 一号 才 生效
哎 你好 诶 您好 很 高兴 您 服务 您好   呃 是 的 没错 对 三十八 的
嗯 嗯 现在 用 的 这个 是 十八 套餐 嘞   恩 他 这个 套餐 每个 号码 都 要 有 的 你 提交 的 号码 就 取消 掉 了
您好 很 高兴 为您服务   恩好 的 您 稍 等 我 帮 您 马上 查 一下 您 这个 是 十八元 套餐 然后 有 一个 来电 提醒 三块 钱 嗯 还有 一个 是 彩铃 幺 二 五八 零 会员 包 还有 彩印 这些 业务 其他 就 没有 了
你好 您好 请问 什么 可以 帮助 您   对 四十八 元 校园 套餐 然后 归属 地是 福州 的 是 吧 对 是 的
您好 高兴 服务   哦 稍等一下 呃 这个 月 最后 一个月 下个月 会 自动 取消
您好 请 讲   诶 您好 请 说
请稍等   我 也 有 转接 那个 幺 八五 号码 上 取消 掉 是 吗
好 的 请 稍等一下   那 感谢 耐心 等待 呃 您 这边 的话 就 基本 套餐 十八块 钱 的 来电 提醒 两块钱 彩印 三块 钱 的 那 这个 如果 彩印 不用 的话 可以 帮 您 取消 掉 一下
你好 请 说   对 那个 好像 我 看到 一种 什么 新飞 享 三八 套餐 二零一七版 这个 我 可以 办理 吗 可以 我 这边 可以 帮 您 直接 改 下个月 生效 它 是 一 g 零 五百 一十二 兆 流量 是 吧 一点 五 g 的 流量 三百 兆 一点 五 g 三百 分钟 嗯 就是 三十 八块钱 这个 我 好像 自己 在 微信 上 也 可以 改 吧 好像 是 可以 啊
您好 请 说   您 用 的 是 一个 八十八 的 一个 信 那个 什么 飞享 的 八十八 套餐 就是 有 两百 二十分钟 七百 兆 流量 的 这 一种
您好 请 讲   我 看 一下 您 现在 用 的 是 五十八 元 套餐
您好 请 说   您 稍 等 我 帮 您 查 一下 哈 女士
那 您 是 有 是 您 讲合   您 现在 您 的 八十八 的 套餐 然后 您 的 流量 套餐 来电 提醒 功能 啊 您 其他 的话 这边 帮 您 查看 一下 没有
恩   嗯 正在 帮 您 查询 一下 有 什么 东西 啊 请 不要 挂机 好 的
您好 请 讲   您 现在 用 的 是 二十八 元 的 套餐
您好 请 讲   对 啊 项 业务 目前 就 基本 套餐 包是 三十 八块钱 的 然后 还开 了 一个 流量 包 二十块 钱 的
您好 很 高兴 为您服务   你好
哎 再见 您好 很 高兴 您 服务   您 这 张卡 的 流量 套餐 已经 有 登记 取消 过 了
您好 请 说 喂 你好 请问 你好   我 帮 您 看 一下 您 稍 等
您好 请 说   我 看 一下 没有 噢 来电显示 有 啊 那 这个 是 包含 在 上 您 套餐 里面 的 一个 业务 并 没有 另外 收费
您好 请 讲   就是 您 的 动感地带 三十八 套餐 外加 一个 两块钱 来电 提醒
您好 请 说   诶 您好
您好 请 讲   诶 三十八 元 干嘛
哎 您好 您 请 讲   您好 您 说
您好 什么 需要 帮助   可以 没 问题 您 在 本卡 收费 的 就是 十三块 钱 的 套餐 另外 的话 是 里面 送 省内 流量 三百 兆 然后 您 有 办 一个 七十块 钱 两个 g 的 流量 包 还有 两块钱 的 来电 提醒 六块钱 的 来电显示 一块钱 的 短信回执 三块 钱 的 家庭网
不是 您好 很 高兴 为您服务   呃 目前 是 新飞 享 三十八 元 套餐 哎
还有 什么 可以 帮 您   嗯
您好 请 讲 喂 你好   除了 一下 这个 七十九 套餐 以外 有个 五十元 的 流量 包 然后 有个 来电 提醒 还有 彩铃
您好 请 讲   五十 八块钱 的 飞享 套餐 它 是 新版 的 四百 分钟 三个 g 的 这样 我 都 没 噢 好好 好 谢谢 可以 不 客气 那 还有 什么 可以 帮助 您 吗
您好 请 说   游戏 你 上车 您 自己 三十八 元 的 套餐 然后 有个 五块 钱 的 游戏 我 帮 您 取消 了 还有 什么 疑问 取消
您好 什么 可以 帮助 您 早上好   您 稍等一下 噢 我 冒昧 的 问 一下 您 您 的 手机 平常 是不是 有 玩游戏 啊
您好 请 说   五十 g 的
你好 有 什么 可以 帮 您   您 现在 是 商旅 的 八十八 元 的 套餐
您好 请 讲   对
其他 您好 请 说   您 这个 是 五十八 的 新飞 享 套餐
嗯 您好 很 高兴 为您服务   你好
您好 很 高兴 为您服务   流量 稍 等 我 看 一下 给 您 看 了 您 这边 是 有 一个 夜间 流量 包要 取消 吗 取消 之后 剩余 的 不能 累积 下个月
您好 请 说   没有 呀 现在 两城 一家 已经 停办 了 不 需要 两城 一家 了
您好 您 说   这个 卡号 是 吗
嗯 流量 是 吧   有 啊 你 除了 月租 五十元 两 g 之外 之前 有开 一个 三十元 那个 五百 兆 流量 啊
嗯 嗯 您好 请 说   嗯 嗯 呃 您 手机 除了 一个 三十八 套餐 然后 我 帮 您 再 确认 一下 嗯 恩 除了 三十八 套餐 还有 一个 呃 那个 房地产 的 那个 啊 vip 集团 网 每个 月 收 您 两块钱
嗯 啊 您好 请 说   我 帮 您 看 一下
您好 请 讲 吗   彩铃 这些 业务 要 取消 是 吧 对 就 彩铃 嘛 嗯 稍 等 哈 我 看 您 这边 没有 彩铃 的 业务 呀 没有 吗 对 这边 上面 查 了 一下 没有 彩铃 的 业务
你好 请 说   我 给 您 发 过去 的 你好 先生 改好 了 下个月 生效
本机用 的 是 商旅 五十八 套餐   新飞 享 五八 针对 五十块 以下 客户 办理 您 要 改 就 改 新飞 享 八十八
您好 很 高兴 为您服务   诶 先生 您好 请问 咨询 什么 问题
中午 好   它
你好   基本 的话 一个 是 月租费 十八块
您好 请 讲   套餐 三十八 除此之外 您 有 的 业务 就是 一个 噢 三十块 钱 流量 包 来电 提醒 以及 有彩铃 然后 有 一个 流量 活动 其他 就 没有 了
您好 请 说   八十八 的
您好 很 高兴 为您服务 那   喂 你好 请问 有 什么 可以 帮 您
呃 您好 什么 帮到 您   我 想 问 一下 我 在 现在 手机 里 帮 我 办 一下 那个
很 高兴 为您服务   不好意思 这个 暂时 无法 取消 您 这个 是 有 做 活动 只要 扣 您 十块钱 有 三 g 本地 流量 活动 到 明年 的 六月 一号 才 结束 对 他 是 结束 之后 会 自动 关掉 您 放心
您好 请 讲 喂 您好 请问 一下 我 现在 办理 的 这个 是 什么 套餐 呐好 八十八 的 这个 全球通 套餐   八十八 的 我 刚才 不是 有 重新 办 了 一个 噢 下个月
您 稍 等 我查 一下   下个月 改 月租 八块 的 已经 有 登记 了 您 放心 然后 五十八 的 就 会 取消 看 一下 有没有 其他 的 稍等一下
中行   我们 这边 除了 这个 基本 套餐 之外 这边 有个 来电 提醒 呃 手机 动漫 呃 彩印 呃 这些 功能 的话 平时 是 没什么 用 的 我 这个 帮 您 都 取消 掉
啊 您好 请 讲   请稍等
您好 请 说   呃 目前 帮 您 查询 了 一下 没有 您 这 套餐 的话 是 没有 带 流量 的 上网 功能 你 也 没有 开通
您好 请 说   和 家庭 七十九 元 套餐
您好 请 讲   我 看 一下
嗯 嗯 嗯 嗯 好 的 您好 很 高兴 您 服务   您 目前 就 基本 套餐 套餐 费 十块钱 的 然后 还有 六块钱 来电显示 噢 然后 十六块 的
请问 什么 可以 帮 您   本机 是 一个 任 我 用 套餐 另外 还有 一个 来电 提醒 流量 包有 一个 一个 g 的 流量 包 这个 是 目前 活动 每个 月 只要 十块 呃 我 帮 您 看 一下 只要 十块钱 一个 g 全国 流量 这个 活动 是 到 今年底 什么
您好 请 说   您 的 基本 套餐 的话 十八块 钱 然后 还有 个 来电 提醒 其他 暂时 的话
噢 套餐 用 的 是 一个 三十八 套餐   从 今年 到 现在 我 帮 您 把 卡里 来电 到 现在 一直 用 三十八 没有 变 过
您好 请 说   嗯 改 一个 套餐 您 现在 的 套餐 是 五十八 的 飞享 请问 现在 想改 多少
呃 您好 请 讲   好 您 稍等一下 帮 您 查询 一下
您好 请 讲   的 呃 除了 月租 八十八 以外 就 一个 来电 提醒 还有 一个 流量 的 一个 活动 那个 流量 活动 是 免 十个月 免费 的 那个 活动 是 到 那个 一月 一号 我 帮 您 活动 到期 预约 取消 掉 吧 避免 调到 次 还是 正常 收费
你好   嗯 那 我 帮 您 看 一下 你 这边 都 开通 什么 业务 啊
嗯 嗯 嗯 嗯 您好 请 讲   恩好 我 给 您 看 一下
您好 请 说   恩 你好
您好 您 说   嗯 您 讲
什么 您好 请 讲 您好   基本 套餐 是 五十八 元 的 飞享 套餐 五百 兆 一百 分钟 和 来电显示 的 这种
您好 听 得到 吗   诶 您好 请 说
发送 您好 请 说 哎 你好 我 想 问 一下 就是   我 这个 号码 不是 改成 八十八 元 的 套餐 吗 对
呼叫 保持 吗   是 呼叫 等待 吗 还是 什么
您好 请 讲   嗯 女士 嗯
您好 高兴 为您服务   呃 我 帮 您 查询 一下 稍 等 我 看 了 一下 目前 来说 的话 您 这个 号码 只 剩 呃 是 开 了 一个 来电 提醒 两块钱 的 然后 没有 什么 其他 收费 的 业务 了
你好 请 说 哎   请 您 稍 等 好 的 您 这 张卡 套餐 是 三十 八块钱 的 我 帮 您 看 一下
那 就是 帮助 您   一百五十 八 的
您好 很 高兴 为您服务   请 您 稍 等 我 帮 您 查询 一下 来电显示 是 您 套餐 里面 赠送 您 的 这个 不用 取消 没有 开通 一个 来电 提醒 我 这边 帮 您 约定 到 活动 到期 自动 取消 还有 个 十块钱 的 流量 套餐 我 帮 您 设定 下个月 一号 取消
你好   恩好 的 我 看 一下 有 开通 来电 提醒 三元 彩铃 六元 彩印 三元 哎 嗯 就 这些 嘛 这 几个 对
您好 请 讲   诶 好 的 您 固定 的 现在 就是 自己 一个 三十八 元 的 基本 套餐 六 g 的 一个 用 完 了 会 自动 取消 或者 时间 到 了 也 会 自动 取消 现在 每个 月 扣费 的 就 咱们 自己 一个 三十八 的 套餐
你好 您好 高兴 您 服务   呃 您 打 那个 幺 二五 三零 这个 彩铃 专线 去 帮 你 查询 一下
你好 请 讲   您 现在 办理 的 是 五十八 套餐 还有 一个 三十元 的 流量 包
您好 请 说   诶 好 的 马上 为 您 查询 用 的 是 三十 八块钱 套餐 额外 我 看 一下
您好 请 讲 呃 诶 你好   嗯 嗯
嗯 早上好   呃 基础 套餐 就 一个 啊 你 原来 办 的 是 五十八 它 到 月底 就 会 关闭 掉 了 然后 下个月 就 剩下 五十 八块钱 的
好 请 讲   嗯 你好 请 说
您好 请 讲   好 您 稍 等 呃 您 是 说 是 视频 定向 流量 包 吗
