你好请讲其他 先生嗯请讲 这边帮您看了一下有收费的业务套餐费一个月八十八然后这边有一个来电提醒一个月三块钱然后有一个彩铃六块彩印三块手机阅读六块没有其他扣费了 
您好请讲 港澳台漫游吗 没有本机没有开港澳台漫游 
嗯你好 诶请说 我看一下没有啊 
您好 好您稍等一下我帮您看一下咱们都有哪些收费类的业务 恩套餐是三十八的 
高兴为您服务 我看一下稍等一下噢您本机号码上网功能有开通了 我帮您看什么原因稍等一下啊您本机目前状态正常的移动数据上网功能正常开通的我看一下您上网被限速了噢请稍等帮您看一下噢您上网的话目前的话没有限速您现在这个月的用户可以正常上网您上网上不去是吧对请问您什么手机苹果手机安卓手机啊 
您好请讲零行吧哎你好有什么可以帮您 我给您看一下 对是有加入家庭网没错的 
您好什帮助您 噢套餐里就是那个畅聊卡月租二十八块钱的这一款的 其他这张卡换一下噢学校有开一个八块钱的 
很高兴为您服务您好很高兴为您服务 您现在是五十元的流量卡套餐里面有两g流量还有个来电显示打电话是两毛钱一分钟的下个月改成了八十八的八十八元一千两百分钟打电话我看一下嗯然后流量是有五g流量的 不是对五g的其中省内的是有四点六g 
您好请讲 套餐之外有一个来电提醒还有一个彩印还有个彩铃其他的就没有了再见 对就这些没有其他的了嗯 
您好请说您好 噢您这边就是我们动感地带三十八块钱套餐三十八 那个我要取消掉不可以它就会自动取消您原来三十八套餐包括了这三十元五百兆流量下个月会自动取消 
你好请讲您好您好可以听到吗 我帮您看一下已经开通成功了呀可以用了一百兆可以用啊 我帮您转到您这边都还没有用呢您现在流量我帮您看一下目前我帮您看一下请稍等一下好嘛您还剩下一百零五兆还没用您现在可以用的呀 
您好请说 您稍等我看一下噢来电提醒 您稍等一下 
您好请讲 啊本机的话查询是我们的三十八元套餐一百分钟流量五百兆这样子的 那您可以考虑我们五十八元套餐五十八元的话有一款三十 
您好请说 我这边帮您看了一下您这张卡就三十八块钱套餐一百分钟本地拨打国内电话分钟数五百兆流量还有就是宽带还有一个五十块钱流量套餐两块钱来电提醒 宽带取消不了因为您这个必须得开的 
您好请讲 嗯它下个月改了一个五十八套餐那就是说五十八不要改了是吗 当天就给她改那个十八块十八块钱就是打电话一百分钟流量一百兆然后送她来电显示不要改成完 
您好什么可以帮您 八十八块钱的 您三百五十分钟三百兆的流量 
啊您好请说 哎噢好的我看一下 对您现在办的这个套餐是五十八元的商旅套餐另外呢还办了一个是五十块钱两g的流量包 
呃您好请说 流量要取消是吗我稍等一下哈 我 
您好请讲 你好 开通的业务您是说下个月您生效那种套餐是吗 
本您好请讲 好的马上帮您确认请您稍等呃您现在来电的这个号码就是您自己本身的月租费每个月是收取您一百二十八块钱除了这个以外的话其他需要您个人收取 智能提示音江就南平教育局的集团网还有一个宣传财政局的业务 
您好请说 您这边我帮您看一下您这边下个月改成那个二零一七版的八十八套餐下个月生效了 哎对没错已经更改了 
您好很高兴为您服务 您好请讲 那这个三十块钱的流量套餐我就帮您做了取消下个月就没有了里面的流量当月使用已经帮您取消好了女士 
您好请讲 我看一下噢您稍等 国际漫游没有开我这边帮您开起来噢噢你帮我开一下吧嗯功能是免费的哈然后您有上网需求没 
您好很高兴为您服务 送宽带您稍等我看一下 您不要挂机噢帮您看一下您现在是否有宽带线 
您好请讲 呃流量活动啊它说到明年二月一号会自动关掉实际只扣到十块每个月 您现在直接取消取消不了啊 
您是三十八块钱的呃叫飞享套餐 
您好请讲哎喂你好 那您稍等一下 对上个月您这个套餐没有变更还是一样的都是八八 
你好请讲 噢您本地的话我帮您看了一下就基本的飞享八八套餐八十八块钱一个月另外的话有来电提醒彩铃没有收费的业务我帮您看了一下就这三个 可以那我这边的话帮您把这个彩铃帮您关掉您稍等 
您好很高兴为您服务 恩你好 您这号码基本套餐用的是飞享幺八套餐来电显示包在套餐里面不用另外扣费的除了您这个基本套餐就没有再付什么那个套餐费了嗯对然后就是您这个月的话是今天吗开了一个学校里面那个和教育就是从这个月月底开始才开始每个月多扣呃就是八块钱的费用这样 
中午好请讲 呃有 我看一下 
您好请说 您帮他付费的是吗 呃有 
您好很高兴为您服务 我看一下存还给我妈又又又又跟那个 漳州平和大世界贸易有限公司的集团网这个有啊 
服务其他什么可以帮到您咱们 但是有另外一个五十块流量包您看有没有需要不需要可以把它关闭掉 可以我帮您取消掉吧流量这个月可以把它用掉下个月是不累积的我会帮您做取消噢要下个月这个月可以全部用了要下个月才能取消啊对取消下个月生效您这个月流量还是一样可以用的通都用完了噢好的好的好我帮您处理好了还需要其他帮助吗 
您好请说听到诶您好 完之后它目前是有开通一个就基本月租八十八十八套餐以外有开通一个手机动漫六块有开通一个手机动漫六块还有一个手机彩铃手机阅读跟彩印的服务这些您需要给您关闭掉吗 好的稍等一下 
您好请讲 有五十八块钱套餐是下个月一号才生效 是下个月一号先生 
哎你好诶您好很高兴您服务您好 呃是的没错对三十八的 噢不行啊我这边改不了因为你有办宽带的活动所以我改不了 
嗯嗯现在用的这个是十八套餐嘞 恩他这个套餐每个号码都要有的你提交的号码就取消掉了 嗯最低我这边目前的话只能刚办了十八块了 
您好很高兴为您服务 恩好的您稍等我帮您马上查一下您这个是十八元套餐然后有一个来电提醒三块钱嗯还有一个是彩铃幺二五八零会员包还有彩印这些业务其他就没有了 呃我看一下您稍等一下噢嗯嗯 
你好您好请问什么可以帮助您 对四十八元校园套餐然后归属地是福州的是吧对是的 恩好不客气还有别的问题吗 
您好高兴服务 哦稍等一下呃这个月最后一个月下个月会自动取消 现 
您好请讲 诶您好请说 什么套餐流量吗 
请稍等 我也有转接那个幺八五号码上取消掉是吗 好给您取消掉了 
好的请稍等一下 那感谢耐心等待呃您这边的话就基本套餐十八块钱的来电提醒两块钱彩印三块钱的那这个如果彩印不用的话可以帮您取消掉一下 好请稍等一下 
你好请说 对那个好像我看到一种什么新飞享三八套餐二零一七版这个我可以办理吗可以我这边可以帮您直接改下个月生效它是一g零五百一十二兆流量是吧一点五g的流量三百兆一点五g三百分钟嗯就是三十八块钱这个我好像自己在微信上也可以改吧好像是可以啊 谢谢哈对 
您好请说 您用的是一个八十八的一个信那个什么飞享的八十八套餐就是有两百二十分钟七百兆流量的这一种 您要申请安装宽带是吗 
您好请讲 我看一下您现在用的是五十八元套餐 有很多的就是什么咪咕会员音乐包手机报热门资讯这些帮您取消掉啊 
您好请说 您稍等我帮您查一下哈女士 不客气感谢您耐心等待这边帮您查看目前就是您自己的三十八的基础套餐还有自己的宽带优惠其他的话没有额外的增值包月业务了有一个g的古田的惠农网 
那您是有是您讲合 您现在您的八十八的套餐然后您的流量套餐来电提醒功能啊您其他的话这边帮您查看一下没有 嗯对您现在就这些功能然后家庭网三块没有别的 
恩 嗯正在帮您查询一下有什么东西啊请不要挂机好的 呃您好彩铃跟噢应该是说来电彩印跟一个来电提醒已经帮您取消了那您的手机上面这个套餐还有一个家庭网这个保留吗嗯保留记录它这个月的怎么呃帐户余额任何现那政府网之类的都没有动了 
您好请讲 您现在用的是二十八元的套餐 可以啊一百分钟通话一百兆的流量 
您好请讲 对啊项业务目前就基本套餐包是三十八块钱的然后还开了一个流量包二十块钱的 每个月的话固定消费合计上上个月话费用了五十多块钱五十八块三 
您好很高兴为您服务 你好 呃对能申请吗改套餐可以改您要改什么套餐 
哎再见您好很高兴您服务 您这张卡的流量套餐已经有登记取消过了 嗯嗯对是的 
您好请说喂你好请问你好 我帮您看一下您稍等 不客气我帮您看到您现在没有套餐呀您现在就是一个五十八元的套餐您说的是六十元六g的这个吗 
您好请说 我看一下没有噢来电显示有啊那这个是包含在上您套餐里面的一个业务并没有另外收费 呃这个有但这个是包含在您的套餐里面的没有另外扣那个六块钱的没有收费 
您好请讲 就是您的动感地带三十八套餐外加一个两块钱来电提醒 嗯其他还有一些梦网代收费之类的造成您额外每个月都在额外扣费 
您好请说 诶您好 六g流量是到十二月十七号到期 
您好请讲 诶三十八元干嘛 有回复改到一三三八套餐元的套餐看下它有没有帮我改您现在就是三十八块钱套餐本地拨打国内一百分钟流量五百兆跟来电显示 
哎您好您请讲 您好您说 您稍等我给您查看一下感谢耐心等待我这边给您查看了一下本机您这边现在是新飞享八十八套餐有扣费的除了基本套餐就是一个来电提醒的功能还有就是彩铃彩印跟音乐包最近要取消吗 
您好什么需要帮助 可以没问题您在本卡收费的就是十三块钱的套餐另外的话是里面送省内流量三百兆然后您有办一个七十块钱两个g的流量包还有两块钱的来电提醒六块钱的来电显示一块钱的短信回执三块钱的家庭网 网收费目前是这些 
不是您好很高兴为您服务 呃目前是新飞享三十八元套餐哎 呃还有一些来电提醒彩铃以及您有点播的一些业务啊什么动动感地带通生活报 
还有什么可以帮您 嗯 嗯嗯 
您好请讲喂你好 除了一下这个七十九套餐以外有个五十元的流量包然后有个来电提醒还有彩铃 啊那个是活动还没到期要到十二月一号到期 
您好请讲 五十八块钱的飞享套餐它是新版的四百分钟三个g的这样我都没噢好好好谢谢可以不客气那还有什么可以帮助您吗 嗯您好 
您好请说 游戏你上车您自己三十八元的套餐然后有个五块钱的游戏我帮您取消了还有什么疑问取消 那您这三十八元的套餐您是要保留的 
您好什么可以帮助您早上好 您稍等一下噢我冒昧的问一下您您的手机平常是不是有玩游戏啊 就这边就是帮您查询到他跟您说的是小朋友的话有玩游戏通话那边游戏需要扣费的如果您不要的话我可以帮您取消好吧 
您好请说 五十g的 没有说我实际上只是说你这边的话办理二十元的话是在嗯指定的这个嗯区域里面去使用流量不限量 
你好有什么可以帮您 您现在是商旅的八十八元的套餐 没关系您的套餐是一个月八十八块里面三百分钟三百五十分钟三百兆流量和来电显示 
您好请讲 对 不是啊您下个月还是三十八呀那个新飞享套餐不是八十八 
其他您好请说 您这个是五十八的新飞享套餐 呃怎么了 
嗯您好很高兴为您服务 你好 稍等一下我看一下 
您好很高兴为您服务 流量稍等我看一下给您看了您这边是有一个夜间流量包要取消吗取消之后剩余的不能累积下个月 给您取消了下个月就没有了 
您好请说 没有呀现在两城一家已经停办了不需要两城一家了 嗯是的已经没有两城一家了已经停办了它里面的话是全国接听免费不用来电呃还有就是没有漫游费跟长途费了 
您好您说 这个卡号是吗 好啊基本的话是这个八十八的除了八十八有一个五十块一g的流量下个月改成一百三十八五十元的要不要关掉一下 
嗯流量是吧 有啊你除了月租五十元两g之外之前有开一个三十元那个五百兆流量啊 月租是基本月租啊月租没有单独关的只能说诶比如说我不要五十的我可以换了八十八这样的可以换一个基本套餐 
嗯嗯您好请说 嗯嗯呃您手机除了一个三十八套餐然后我帮您再确认一下嗯恩除了三十八套餐还有一个呃那个房地产的那个啊vip集团网每个月收您两块钱 这样 
嗯啊您好请说 我帮您看一下 噢那手机动漫游戏的要帮您关就直接帮您关了嘛没怎么用 
您好请讲吗 彩铃这些业务要取消是吧对就彩铃嘛嗯稍等哈我看您这边没有彩铃的业务呀没有吗对这边上面查了一下没有彩铃的业务 它反正 
你好请说 我给您发过去的你好先生改好了下个月生效 退订什么意思啊您现在那个还有一个四十元的流量包和一个短信套餐这两个还要吗下个月 
本机用的是商旅五十八套餐 新飞享五八针对五十块以下客户办理您要改就改新飞享八十八 资费是包含有国内三百分钟本地九百分钟 
您好很高兴为您服务 诶先生您好请问咨询什么问题 诶好的先生我帮您看了一下您是一百三十八套餐嘛对不对除了这个之外您有一个来电提醒一个呃彩印就这两个业务了我个人觉得噢彩印没有什么用我帮您关了好不好 
中午好 它 恩对每天都有一个g 
你好 基本的话一个是月租费十八块 嗯对 
您好请讲 套餐三十八除此之外您有的业务就是一个噢三十块钱流量包来电提醒以及有彩铃然后有一个流量活动其他就没有了 三十块五百兆啊要关掉吗 
您好请说 八十八的 三百五十分钟三百兆流量 
您好很高兴为您服务那 喂你好请问有什么可以帮您 四十八块一个月下个月改成三十八了 
呃您好什么帮到您 我想问一下我在现在手机里帮我办一下那个 对 
很高兴为您服务 不好意思这个暂时无法取消您这个是有做活动只要扣您十块钱有三g本地流量活动到明年的六月一号才结束对他是结束之后会自动关掉您放心 六十六就可以办 
您好请讲喂您好请问一下我现在办理的这个是什么套餐呐好八十八的这个全球通套餐 八十八的我刚才不是有重新办了一个噢下个月 完了我问问呃对您这张卡的话下个月是有把那个套餐改的月租十八号这个月还是八十八噢那我下个月办办理那个是什么套餐呐呃十八块钱的这种全球通你和一百分钟在本地打全国有一百兆全国流量具体的这个不是怎么回事 
您稍等我查一下 下个月改月租八块的已经有登记了您放心然后五十八的就会取消看一下有没有其他的稍等一下 先生您好没有其他什么包月收费业务您下个月收费的话只留一个月租八块钱然后如果有上网的话另外上了其他没有 
中行 我们这边除了这个基本套餐之外这边有个来电提醒呃手机动漫呃彩印呃这些功能的话平时是没什么用的我这个帮您都取消掉 诶好的来电显示是包含您这个基本套餐里面的是不用扣费的那这边的话就是保留一个基础套餐呃是这些都已经取消掉了 
啊您好请讲 请稍等 对已经关闭了 
您好请说 呃目前帮您查询了一下没有您这套餐的话是没有带流量的上网功能你也没有开通 可以呀但是您没有流量如果看完开起来你上网要收取消一兆两毛九 
您好请说 和家庭七十九元套餐 恩对吧 
您好请讲 我看一下 没有显示来电的号码是多少是吧那是因为来电显示没开您本机服务密码知道吗知道的话我帮您开起来 
嗯嗯嗯嗯好的您好很高兴您服务 您目前就基本套餐套餐费十块钱的然后还有六块钱来电显示噢然后十六块的 您这个号码接听电话是免费的那打电话的话请稍等一下您这边国内打国内电话的话国内打移动电话六分钱然后打国内移动网外的电话每分钟两毛钱收费 
请问什么可以帮您 本机是一个任我用套餐另外还有一个来电提醒流量包有一个一个g的流量包这个是目前活动每个月只要十块呃我帮您看一下只要十块钱一个g全国流量这个活动是到今年底什么 呃您说什么听不太清楚 
您好请说 您的基本套餐的话十八块钱然后还有个来电提醒其他暂时的话 嗯不客气哎还其他疑问的吗那没有没有嗯好请问使用 
噢套餐用的是一个三十八套餐 从今年到现在我帮您把卡里来电到现在一直用三十八没有变过 您这个也是已经是新版的就是国内三百分钟省内流量一点五g您是新版的三十八 
您好请说 嗯改一个套餐您现在的套餐是五十八的飞享请问现在想改多少 二十八的 
呃您好请讲 好您稍等一下帮您查询一下 您这边的话是您一个基本套餐四十八块钱的加上一个来电提醒是有三块钱加上您一个就是咪咕动漫会员五块钱其他的就没有了 
您好请讲 的呃除了月租八十八以外就一个来电提醒还有一个流量的一个活动那个流量活动是免十个月免费的那个活动是到那个一月一号我帮您活动到期预约取消掉吧避免调到次还是正常收费 意思是现在是免费的是免费的在一月一号之前都免费 
你好 嗯那我帮您看一下你这边都开通什么业务啊 您这边就套餐是幸福卡套餐然后有开通加油包当月用的然后佳域力电力公司的集团网没有开通其他业务先生 
嗯嗯嗯嗯您好请讲 恩好我给您看一下 我看了一下您这边的话平常音乐就是一个八十八套餐还有个是彩铃其他的话是还有呃其他是没有那我看了一下您的消费的话按九月份的消费来说有用了两百六十多其中的话是您除了八十八套餐以外就打电话用了五十多块钱还有流量超了一百多块钱主要是电话跟流量用的比较多一点 
您好请说 恩你好 呃要收费的套餐是吧对对对对对我帮您看一下套餐费八十八来电提醒两块 
您好您说 嗯您讲 你稍等我这边帮您查看一下噢好好那你帮我哦哦对您现在这边帮您查看您这个基本八块钱的套餐然后您的一个彩铃功能其他的话您怎么没有了 
什么您好请讲您好 基本套餐是五十八元的飞享套餐五百兆一百分钟和来电显示的这种 有一百二十八元的套餐 
您好听得到吗 诶您好请说 您就一个五十八的基本套餐呃然后你额外有一个彩铃彩印跟来电提醒这三个你要吗如果没有我帮您取消吧 
发送您好请说哎你好我想问一下就是 我这个号码不是改成八十八元的套餐吗对 在固定的局的流量四个g流量不限量对吧噢对对对对呃是是有这个月我看到了他的四个区就是台江鼓楼参加西安这四个g 
呼叫保持吗 是呼叫等待吗还是什么 呃本机这边是有这个办这个有开通的这个呼叫等待功能这功能是有开啊 
您好请讲 嗯女士嗯 呃您说的是那个三十块钱那个啊三十块钱那个流量的话它是不用到不用扣到您自己话费的因为您这边有个活动它是给您先存三十块钱然后在哪去扣也就说这三十元是移动公司垫付没有扣到您自己的话费的哈 
您好高兴为您服务 呃我帮您查询一下稍等我看了一下目前来说的话您这个号码只剩呃是开了一个来电提醒两块钱的然后没有什么其他收费的业务了 嗯对就一个两块来电提醒加起来五十元没有什么收费了 
你好请说哎 请您稍等好的您这张卡套餐是三十八块钱的我帮您看一下 稍等噢没有其他扣费业务了 
那就是帮助您 一百五十八的 嗯每个月六百兆 
您好很高兴为您服务 请您稍等我帮您查询一下来电显示是您套餐里面赠送您的这个不用取消没有开通一个来电提醒我这边帮您约定到活动到期自动取消还有个十块钱的流量套餐我帮您设定下个月一号取消 没了您目前除了三十八那就没有其他的业务了 
你好 恩好的我看一下有开通来电提醒三元彩铃六元彩印三元哎嗯就这些嘛这几个对 好的我帮您下个月取消 
您好请讲 诶好的您固定的现在就是自己一个三十八元的基本套餐六g的一个用完了会自动取消或者时间到了也会自动取消现在每个月扣费的就咱们自己一个三十八的套餐 一点五g我们省内的流量省内的流量一千四百兆全国的就一百兆都在我们福建省内的话总共是这个一千五百兆的流量 
你好您好高兴您服务 呃您打那个幺二五三零这个彩铃专线去帮你查询一下 呃直接让他们那边帮您订了您不要开了您想下载什么歌曲直接让他们那边帮您订制就可以了 
你好请讲 您现在办理的是五十八套餐还有一个三十元的流量包 可以那我这边帮您登记 
您好请说 诶好的马上为您查询用的是三十八块钱套餐额外我看一下 其他收费套餐没有了您放心 
您好请讲呃诶你好 嗯嗯 嗯没有了好的祝您阖家 
嗯早上好 呃基础套餐就一个啊你原来办的是五十八它到月底就会关闭掉了然后下个月就剩下五十八块钱的 对是的 
好请讲 嗯你好请说 新飞享套餐 
您好请讲 好您稍等呃您是说是视频定向流量包吗 呃这个是和视频订下流量包是四十八套餐里面特享包有送的出一g的一个流量 
您好请讲 噢有一个移动公司免费送的流量九十十一送三个月时间每个月送两个g的省内流量然后十二月一号就自动取消了 现在就是您十八套餐里面一百兆流量呢没有其他流量 
您好请说您好您请说 嗯开通哪些业务对吗 好的您稍等查一下呃这里查看就一个基本包三十八套餐其他目前没有什么包月收费的业务 
您好您说 您这张卡的套餐是全家统套餐一百八十八元然后套餐之外我看了一下您这个号码并没有其他的额外收费项目了您自己付费的就是一个月一百八十八元套餐费 我帮您查询了一下本机目前积分还有两百就是一地方 
很高兴为您服务您好 你好 您稍等我帮您查一下已经您这边还有彩铃来电提醒彩印这三个业务 
你好请讲 业务其他业务是吧有一个来电提醒下个月取消了还有彩印对下个月取消现在有个彩铃 彩铃那个保留还是取消也是下个月取消是吧 
好您好请说 呃请稍等 呃您要去哎好像没加成功啊您要添加的号码多少 
您好请讲您好 您好您说 对基本套餐三十八 
您好很高兴为您服务 哪些业务是吗除了那个任我用幺三八还有一个七十元的可选包订到十二月一号结束其他的业务就没有啦 就国内流量一g通话时间是国内加本地的一千二百分钟加本地流量不限量 
您好请讲 很抱歉如果您玩游戏扣了一个二十九块钱的 对 
您好请讲 月租费五块钱有要求每个月最低消费二十块没有用到十块钱按照十块钱扣 呃月租费五块 
嗯您好请讲 幺五八的嗯号码一下号报给你吗嗯 嗯 
哎 您好很高兴为您服务 套餐 
您好您说你好好 好请您稍等一下好谢谢谢谢嗯不客气这张卡套餐就只有八十八块钱 没有 
嗯嗯 您好请讲 流量包五十一号取消掉吗 
您好请讲 嗯幺五零 六零零 
喂您好 呃您稍等一下呃幺五零尾号是二幺二二的号码给您出这个号码的费用了 啊对您以后不用目前的话是不要给这个号码充钱 
您好请讲 请稍等我帮您查一下诶诶呃是有一个咪咕音乐那个是彩铃女士这个需要取消是吗 呃对一个月六块钱 
您好请讲 套餐是八十八的 以前的套餐您的套餐从一六年十一月份开始用的就是八十八没改过啊 
您好请问什么可以帮到您 呃二十元流量还有您套餐十八块那这个就三十八了然后如果是天气预报三块还有个家庭网目前就这些别的没有 噢那没问题帮您退订的话下个月失效这个月流量没有用完就没有累积下个月了 
诶你好 嗯可以啊这张卡现在费用的套餐是十八块钱的本地打国内电话两百分钟福建省内上网流量三百兆 呃您这个月是下个月的流量活动就说呃我帮您看一下噢就是流量包从十一月一号开始进行生效他是说在生效起十二个月之内每个月呢五十块钱有给您送一个g的上网流量包然后赠送活动期间之内我们还会给您送三百九十块钱话费就是九十块钱话费分三个月每个月给您返还四十元后三个月后九个月每个月给您返还三十元是这个情况 
您这个是咪咕特费就是彩铃要吗 还有就是基础套餐三十八来电提醒两块呃其他的您稍等一下啊 恩你好没有开其他收费的业务了 
您好请说 呃对我 呃五十八的话现在是有个新套餐但是它那种有要求套餐费要低于五十块的才能办那个套餐直接办的话是办不了 
您好请讲 好的帮您取消下个月失效这个月还可以用六零零 嗯还没其他可以帮到您 
幺五您好请说 本机的话是五十块钱的流量卡套餐有个两块钱的来电提醒然后一个彩铃功能 包含了来电显示功能跟两个g的流量 
您好请讲其他的 诶您好请说 您好您目前用的是五十八的飞享套餐然后一个宽带活动另外还有来电提醒三块彩印功能三块钱只要包月的业务就被取消了 
您好请说 嗯没错是的 流量每个月有五g的省内流量 
你好 好我给您看一下嗯嗯谢谢目前查询游戏的之前倒是有订购的 我还有点什么游戏了我帮您游戏的订购功能屏蔽一下一年说下次在买到了 
呃您好请说 好的您稍等我看看一下 您好您目前宽带是五十兆的 
您好请讲 好的请稍等感谢耐心等待这边帮您查询本机号码目前没有这相关业务 工作人员给您开通 
对您好请讲 呃您的这个有开通一个月租六块来电显示六块有开通这两个业务 您是户主确定要取消是吧您这种版本的流量了噢那就嗯这种这个版本停办了确定要取消吗 
您很高兴为您服务 你好 我看一下您这里有开通的业务的话就一个八十八的一个基本套餐然后还有一个wlan一个三十元的流量包还有看爱奇艺的手机视频的九块钱的流量 
您好请讲 您用的是一百二十八的套餐 稍等我帮您查一下您套餐是这样子的您这边是有活动活动是要求每个月保底消费幺八八您这边消费要是没有达到月底是要收费用收到幺八八为准 
您好请说 这张卡就八十八套餐然后来电提醒功能费这些其他的没有了 八块钱它那个套餐要通过短信更改那我现在把那个更改方法发给您好吗 
您好您请讲 您这张卡目前有办全球通八十八的当地套餐还有办了一个下个月有申请办了一个五十元的上网套餐 那就五十块的上网套餐关掉了还有办理一个三块的短信套餐要关吗 
您好请问什么帮您 套餐一百二十八的 对 
你好 您的话等于说您这五十八套餐您去外外地跟在您的余额是不是 呃对啊是啊现在我们就取消国内的那个漫游费了 
您好请说 如果有开过了已经之前有开过的 对对对之后把香港的资费发给您看一下好吗 
那请您 没有您是八块钱的没有办三十八的 嗯没有看见有办这种套餐它是收多少三十八吗 
您好请讲 有啊有个宽带家庭宽带一个月二十一块钱的第一年有优惠第一年免费第二年收费的 噢 
生效好的您好请说 看一下十一月七号 十一月七号 
你好请说 嗯您这边的话是一个基本的三十八套餐另外呢呃有一个音乐包啊 然后有一个彩印业务其他没有了那音乐包跟彩印的话需要帮您关掉吗 
高兴服务 二行飞享三十八元的b套餐三十八 对呀一百二十八有两种一种六百五十分钟六百兆还有一种是四百二十分钟一个g您要改哪一种啊 
哎您好请说 好您稍等我帮您看一下您现在是遇到什么问题了 可以用啊它这个卡的话是二g三g四g三g网络都有支持的 
您好很高兴为您服务 您这边的话您是一个飞享三十八元的套餐里面本来有五百兆流量另外您还开了一个十块钱一百兆的流量包然后呢您还有赠送一个g的省内流量 省内流量十块钱十块钱的流量包十块钱流量包是四月份的时候开了 
您好很高兴为您服务 一百五十八商旅套餐先生九百分钟打电话六百兆流量跟来电显示 五十g的没有具体的有个幺八八的还有那个国内流量两g省内流量不限量有这勇气需要改这种吗对对对对没错没错没错那我就给您改成那个全家统套餐下个月一号生效本月有剩流量不结转分钟数的话下个月是国内五百分钟然后本地是七呃您稍等噢就是我帮您改的话下个月生效噢那下个月开始它的分钟数就是国内的话它是无百分钟本地的话是七百嗯您稍等就国内一共是一千二它也改过国内一共是一千二然后流量的话是国内两g然后省内流量不限量还有包括来电显示好吗 
您好请说 对是这个活动我帮您登记下个月一号取消流量这个月内可以用好吗 恩好的已经帮您取消好了 
嗯诶您好请讲 有那个来电提醒那有个彩铃还有一个彩印这 那来电提醒保留 
您好很高兴为您服务 有 这个话是在八月十四号开的话一直没关闭掉通过短信开的 
您好请说您好 噢好的您这边有个彩印三块钱跟那个来电提醒三块就这两个 噢好的帮您设置月底取消下个月就没有了噢稍等一下好的先生这边已经帮您取消好了还有没有什么其他需要帮助的 
您好请讲 套餐我帮您看了一下您十八块钱您说的这个无线咪咕特级会员跟彩印的业务这个之前送的噢送那个三个月的您看如果不需要我这边可以帮您做取消 所以它这个送的九月十月十一月份噢下个月还有一个月我帮您预约一下到时候自动给您关闭 
你好请讲 好的稍等我给您查一下 对 
您好请讲 幺三七七 有这个号码的密码吗 
您好您好请讲 对下个月一号开始 呃不改是吧再改回原来三十八是吗 
您好请讲 我帮您看一下这边的话是看到您十月十九号的时候办理的您是说您自己没有办理过这个活动是吗 好的那这个我帮您去报到后台去帮您反馈一下然后就帮您取消掉可以吗 
您好请说 啊这个我们这边查看不到您的服务密码如果是您的本机是吧 您本机的话是密码忘记那您这边的话可以去重置一下我这边等等会把那个重置密码的方式发给您 
哎您好请讲 一卡多号我看一下您稍等待 嗯 
不要您好很高兴为您服务您好很高兴为您服务 您收费的除了您本身一个一百三十八元的套餐之外给您看了一下您现在有一个全球通秘书十块还有您这边的话一个彩铃功能其他的话给您看了一下 呃您除了一百三十八套餐和刚跟您说的移动秘书跟彩铃之外还有个集团网呀都取消是吗 
呃请说 好的稍等我看一下 这边现在用的是无线通基本包是没有月租每月通话保底十块另外来电提醒功能还有来电还有一个是那个两千分钟五块钱这个语音包另外还剩下一个掌握生活的手机报 
您好请讲 比如说八十八套餐那您这边我看了一下是有给您送了一个幺三九邮箱这个是送一年的时间的 备注到期自动取消好然后另外呢还有一个是彩印如果彩铃功能彩印帮我备注到期 
您好请问什么可以帮您 嗯现在 飞享八块钱的那个是我们人工改不了呀短信改我把短信变更方式发给您那您现在这个三十八的新飞享套餐二零一六版是现在只有新入网才能办理的转完之后就不能再转回来 
恩你好请讲这样子 短信功能好帮您看一下啊好到短信功能这边关掉了 帮您对今天下午的时候关的 
您好 嗯 本机使用是五十八的商旅套餐啊就一百五十分钟一百五十兆这种 
哎您好请说 您现在办的是八块钱的套餐 三十分钟通话加来电显示 
嗯您好喂你好嗯嗯噢是这样子g的流量包这个月用还是以后每个月都要 好的我帮您先看一下您看一下咱们开一个多少的比较合适 比如说嗯国内的比如说四百兆够不够 
好的您这个套餐是七十九块钱的 嗯女士没有其他的收费业务了 上网套餐有一个三十的流量那个是显示的是付三十啊那个是不是扣费的付三十是代表是说您这个通过其他途径的一个流量啊 
您好请说 我看一下您手机上除了基本的套餐以外有来电提醒和咪咕会员 咪咕会员就彩铃 
您好什么可以帮助您的你好呃我想问一下我现在那个有 这个是大声一些吗我我就在那个这张卡里面就是 最低套餐八块钱 
您好请说 号码的话除了八十八的基础套餐以外还有个两元钱的一个来电提醒其他没有了这个月是属于消费这么多钱噢帮您看了一下是流量超了三十三块六毛八上网流量超 这个月超的不是上个月超的钱 
您请讲喂你好诶您好请问什么可以帮到您 唉那你办事流量 有啊每个月都有在这边啊这个月您自己流量用完就用它这六g里面的吗是用到这边是里面对放心您自己的流量用完就自动转转转过来了啊 
您好很高兴为您服务 它是动感地带十八元的套餐这边送了两百兆流量加来显 噢对诶 
您好请讲 噢好我查看一下呃是有个流量活动就那个五十块的流量活动它是每个月返还三十就您只要付二十块钱就两个g流量活动是连续六个月六个月后自动取消 呃是这样就不要直接取消掉是吧 
您好请说您好 诶好您稍等马上给您查一下嗯说您自己基本套餐以外的话您这里的业务的话开通一个短信套餐还有一个来电提醒 安心锁它只是一个功能是没收费的它就是帮先生流量比如说超出以后随后月结束 
您好很高兴为您服务 您请说 呃有一个来电提醒一个月三块是这个不要了吗 
