你好请讲其他 先生嗯请讲 
请讲您好请讲 除了三十八的套餐没有其他的 
你好 噢可以我看一下来电提醒三元还有一个七十元的流量包有做活动的然后您套餐的话是三十八的就这些 
您好请讲 呃您目前这边没有办五十元流量套餐 
您好请说 还有没有别的消费好的您稍等帮您看一下 
您好请问什么可以帮助您帮我查一下本机里面呃 那您稍等一下好吗 
您好请讲 嗯请说 
您好请说 我看一下稍等噢有开通彩铃功能 
嗯 你好请讲 
您好很高兴为您服务 您稍等一下噢 
嗯嗯您好请讲你好 好的学校校讯通噢那帮您取消掉了下个月就没有了 
您好请讲 十八块钱套餐一百兆流量的然后您现在还有办理了一个七十块钱两g的流量包这是 
你好请说 三十八的 
多少 原因 
您好请讲 集团一段 
您好请讲 稍等一下噢 
你好很高兴为您服务 您现在用的流量套餐除了基本套餐三十八以外然后您这边有办理一个三十块钱的五百兆的上网流量包 
您好请讲 您好请问什么可以帮您 
您好请说 上个月吗稍等 
喂你好什么帮到您 您说是位被噢 
很高兴为您服务 好我看一下先生感谢耐心等待流量共享功能是不是有自己添加的号码是幺三八尾数八三八四这个号码 
零幺七您好请讲 恩是 
高兴您服务 噢您现在用的是十八套餐飞享十八元 
您好请说诶我的电子你能查一下我的电子邮件是什么我现在流量收不到啊我不知道我现在电子邮件 是说邮箱账号不知道还是什么 
您好请讲 好我给您看一下 
您好很高兴为您服务 哎好的您稍等我帮您查询一下 
你好请说你好恩您说 呃您套餐您稍等我一下呃帮我查一下呃您好我这边电脑卡住了我这边查不到嗯就可能需要您麻烦您再打一个电话进来查一下好吗哦你套餐是八十八的我只能看到这个其他看不到了 
您好请讲 对 
零六您好很高兴为您服务 嗯您是有没有开通其他收费业务是吗 
目前这个卡用的是一个四十八的基础月租套餐 那也没看到您开什么呀 
您好请说 好那您稍等我看一下您这个月消费我帮您看了一下您这里的话其他的业务都没开您话费用的比较大主要是自己手机拿去上网了我现在给您下发一个您自己的意见查询套餐使用情况的方式您可以随时打开这样就可以查到自己的流量使用情况了 
您好请说 嗯您这边订的三十块流量已经成功了可以用的 
您好 恩你好什么可以帮到您的不客气笔但是 
你好 您这边是一个来电提醒三块钱嗯嗯阅读还有个六块彩铃还有个六块彩印三块 
嗯您好请说 呃本机号码的话现在套餐是九块钱套餐除了这个九元套餐之外其他扣费业务的话就都没有了然后是有个来电提醒还有个咪咕音乐还有个彩印都是到期自动关就这些 
您好很高兴为您服务 呃您现在这张卡的话就是一个九块钱的优酷视频流量包月租来电提醒的话呢三块钱一个月有个彩印三块 
您好请说 这里面的话您就一个八元的固定费用跟来电提醒还有一个彩铃那其他我看一下一个单位的未见网嗯 
您好很高兴为您服务 您稍等一下感谢耐心等待这边查了一下您就一个八块钱的基本套餐没有其他业务 
您好请说 好的马上为您查询 
您好很高兴为您服务 开通什么先生 
您好请说 呃对下个月变更的是一个三十八飞享套餐 
啊您手机的话每天的话的一g流量可以在本地用 没有通话时间啊有啊您这早期办的有三十分钟国内通话 
您好请讲 您本机号码是吗您本机号码我帮您查看了一下目前的话是我们的这个神州行畅听卡 
你好很高兴为您服务您好 呃好我查询一下噢您好我查了有其他倒是没有开通就只有本身基本套餐和来电显示就没有开别的业务了 
好您好很高兴为您服务 稍等我马上为您查询您这张卡现在办理的是三十八套餐还有个来电提醒三块彩铃六块还有彩印三块 
噢您好请讲 恩好您用的是动感地带的十八块钱的套餐 
您好很高兴您服务 可以的那我首先说下第一个本机办的是月租十八的套餐然后其次的话就是有个月十元的夜间流量另外还开了一个被被的一个九元的视频定向流量包 
您好请讲 我看一下稍等 
你好请说 呃有的 
你好 嗯流量王套餐一天一g的 
您好请讲 现在是三十八元的套餐 
您好请讲 对 
呃您好很高兴您服务 不能是吗我看一下已经关掉了啊好的谢谢不客气的还需要别的查询吗嗯没有了噢好祝您生活愉快再见 
很高兴为您服务 十块钱一个g我们没有十块钱一个g的流量加油包啊 
您好请说 您好请说 
你好需要什么帮助诶 好稍等一下您下个月改的是三十八的这个新飞享套餐就三百分钟本地打全国电话一点五个g的省内流量还有来电显示 
您好请说 您 
您好请讲 您这个是十八块的套餐 
您好很高兴服务 呃请说 
您好请问什么可以帮助您 流量套餐是吗您说剩余的是吗 
您好请讲你好 本机吗没有啊您现在是新飞享五十八噢 
您好请讲你好 诶请说 
哎是您好请说 请稍等帮您查询套餐是飞享三十八元套餐 
您好请讲 你好 
您好请说 您这张卡用的是那个八十八套餐流量提供三百兆另外开通一个五十块钱一个g的流量 
您好很高兴为您服务 我看一下稍等祝您 
您好什么可以帮您 好的我帮您查您好我这边帮您查有收费的业务就是三十八元的这个基础套餐没有别的收费啊 
您好请讲 您的套餐基本费三十八块钱那套餐以外我看一下套餐外没有多订其他服务您这个月费用是因为流量用完超出了产生的扣费 
您好很高兴为您服务 对您现在是咱们飞享十八块钱的套餐没错那怎么短信一直发来 
对您好请讲 好啊您稍等帮您查一下噢您好目前您的基本包的话是一百三十八块钱的套餐额外这边有一个两块钱的来电提醒还有一个两块钱的闲时通话优惠套餐还有一个是十块钱一个g的夜间流量然后平时有个家庭宽带还有个三块钱的手机彩印其他功能暂时就没有开通了 
您好请问什么可以帮助您 您这个十八元套餐主要是这个月打电话打的比较多就是分钟数打完之后还打了二十三块多的费用 
您好很高兴为您服务 的这么多宽带到什么时候到期宽带什么时候到期啊稍等嗯先生您这个月最后一个月了下个月就没了 
您好请说 呃您好 
您好您请说 好的您稍等您好您这个是新飞享的八十八套餐每个月是五个g的省内流量 
你好很高兴为您服务 没有 
您好有什么可以帮助您 嗯您好嗯嗯 
二十您好什么帮助您 套餐是五十您下个月是八十八套餐这个月是五十兆 
很高兴晚上好请讲 我看一下噢您稍等噢没错您下个月是有改了这个新飞享的八十八套餐 
您好有什么可以帮您 嗯您现在是八十八元的套餐然后是满五个g的流量呃您是另外办理一个四十元上呃四十呃呃五五十元的上网流量套餐这个要不要帮您取消掉吗 
您好 套餐是最低月租八块的那种 
您好请问什么可以帮您 啊 
您好很高兴为您服务 呃我这个卡它是什么什么什么套餐吗七十九套餐噢七十九套餐对噢七十九套餐然后 
嗯您好 好请稍等一下嗯有的除了g一百三十八套餐发现您这边还订了一个五十元流量包一下如果不需要的我可以帮您取消的 
您好您好请讲 吧要您稍等噢我查一下呃这个可以啊活动就到这个月了那我帮您登记月底关那流量只限这个月用不累积下个月噢 
您好请说 是其他收费的一些包月业务对吗 
呃您本机号码现在用的是一个五十八块钱的套餐 一百五十兆跟一百五十分钟啦 
您好请讲 这个是一个动感地带的一个网聊套餐十二块钱 
您好很高兴为您服务 嗯嗯好的诶您好所以您这边手机就是基本的套餐还有那个还有那个来电显示没有其他的另外就是流量平常流量用的比较多好像流量费扣的多 
你好什么可以帮您 您是三十八块钱的全球通套餐 
你好什么可以帮您 您本机吗 
您好请讲喂你好诶请讲 呃您现在的话基本套餐是那个五十八的那嗯嗯我看一下啊除了基本套餐五十八块钱之外的话有一个三十块钱五百兆的流量套餐那这三十块流量是送的到期的话自动关现在没有扣钱的那就说您消费业务就五十八的 
嗯好您好很高兴为您服务 哦好请稍等 
很高兴你好请说对 月加一个是和教育沟通包跟一个名师微课堂 
嗯拜拜您好很高兴为您服务 我看一下 
您好请说 您现在这个是八块钱的月租套餐那除了这个套餐之外没有申请其他业务 
您好什么帮您哎你好诶我昨天晚上申请的那个呃十元六g的 呃加油包有开通就十块钱一百兆已经有开通好了可以使用了费十八十块钱不是四g吗呃不是啊他是我明天叫做四g流量加油包十块钱里面只有一百兆五十二十元一百兆诶对加油包都是十块钱一百兆的 
见 嗯来电提醒吗我看一下 
您好请讲喂你好你好 您现在九十九套餐嗯 
您好请讲 您是是四g飞享十八块钱的套餐然后还开了一个十块钱一百兆的上网流量包 
你好 嗯您这张号码您的基本套餐五十八本身每个月有三个g的流量 
您好请讲 呃增值业务 
您好请讲 您现在用的是一个八十八的套餐 
您好请讲 您这个号码的是一百八十八的套餐这个套餐里面的话包的两千四百分钟还有两个g全国流量还有三十八个g的省内流量 
您好高兴您服务 有有是有其他套餐优惠可是您这边更改不了啊为什么因为您这边原先有个宽带要更改的话只能到营业厅更改 
您好请讲 宽带的话呢这个是两年的时间我查了一下到一八年的十月一号的时候到期十月一号到期二零一八年十月一号对还有什么问题吗 
你好请讲 无线网的分钟数请稍等我帮您查一下 
您好很高兴为您服务 我看一下套餐的话您这个月是十八元套餐的基本月租一个月十八块钱的它是除了十八以外的话就一个家庭网的三块钱还有个集团网呃正常噢其他没什么异常收费的都正常的还有个校讯通八块钱校讯通就这么多 
您好请讲 呃目前帮您查询有个手机保障您只是这个吧这边是您 
喂您好请讲 它办理了哪些业务嗯好的您稍等我帮您看一下 
你好 我看这边显示是您的十八元套餐额外的没有 
您好很高兴为您服务 您稍等我看一下您这本机的话您是一个十八块钱的套餐然后我给您查了一下您除了十八块钱的套餐以外呢这边没有其他的收费业务只剩下一个三块钱的家庭网呀 
你好您好请说 啊 
您好请讲 二十八 
再见你好请说 我看一下您稍等宽带您这个是家庭网的套餐啊和家庭套餐这个套餐本身就有送宽带的 
您好高兴您服务 帮您看一下嗯嗯对如果不要就先给您取消掉月底前使用呃下个月就没有了好吗哎 
您好请讲 嗯请稍等没有十块一百兆加油包有开通了可以用了 
您好请说 嗯嗯对是的然后呢 
请说 没收费的话目前是三十八一个月的套餐其他的话给您看过去 
您好很高兴为您服务 这张卡是吧呃对对张卡现在是五十八元套餐然后下个月换成新飞享八十八了新飞享新飞享八十八对 
您好请讲 噢它这边有办理的 
您好请说 手机套餐是吧您稍等一下我给您查一下理解您好先生这个现在办的是五十八的全球通飞享套餐五百兆的国内流量然后一百分钟本地打呃就是全国通话加个来电显示一个月五十八 
下午好请讲 呃您的套餐的话就是一个五八套餐另外的话呢还有一个彩铃六块噢还有一个是吗和娱乐包两块这两个没什么用我帮您取消一下呗 
您好您说 您幺八八套餐您额外有一个来电提醒两块钱还有五十块钱一个g的流量包就这些 
幺幺您好很高兴为您服务 你好好 
您好请说 嗯 
您好请说您好 诶您好请问 
您好您请说 呃对上网功能是关着的那短信功能没有关正常开着 
您好请讲 噢您这个是属于一个二十八元套餐里面的话没有其他增值业务只有一个二十八元套餐 
您好您说 呃爱奇艺的这个是四g流量包嘛是吧 
的帮助吗你好 宽带是吗那您有他的宽带账号跟密码吗 
嗯嗯嗯嗯嗯嗯你好 请您稍等一下现在是八十八的商旅套餐 
您好请问什么可以帮助您 它每天扣的是之前不是有办了一个宽带的活动买一年送一年的活动吗就查一个费用 
嗯您好很高兴为您服务 您用的是五十块钱的流量卡套餐 
您好请讲 你好 
您好请讲 改多少的呀 
诶您好请说 您这个是八块钱的套餐了 
您好很高兴为您服务 噢好的请稍等我查一下目前就一个基本套餐三十八块钱还有两块钱来电提醒 
您好请讲 宽带停掉没有是吗 
您好请讲 好的给您查询到您套餐基本费三十八元钱的其他时候有一个九块钱的手机保障服务费用这个您要取消吗 
您好很高兴为您服务 呃十八块钱套餐没错就这一个其他的我看一下呃都关了送的业务专线彩铃呢彩铃的来电提醒的这些都关了就只有十八套餐 
您好请讲 呃您是说有预约什么 
你好 您现在用的是我们的那种三十八套餐三百分钟国内通话流量一点五个g省内流量我们还有额外送您一百分钟国内通话送到明年二月一号那我们现在数据现在够用吗你看一下流量啊我看一下 
你好早上好 嗯您说 
您好请讲 嗯嗯 
嗯没您好请说 哎你好 
你好中午好 校园套餐我看一下不是没有啊您现在用的是三十八块钱套餐不是校园的 
您好有什么帮到您的吗 三十八块钱的就是在安溪拨打电话有一百分钟流量有五百兆这个够短信也发一份给您可以可以看一下三十八块钱一个月套餐 
您好请讲 现在当前开的话同城包就是你呃接电接打电话就跟在本地价格是一样的然后您这有划分服务区那就是在呃漳州或者泉州打算服务区外的收费笑了接是不用钱的呀 
您好请讲 港澳台漫游吗 
嗯你好 诶请说 
您好 好您稍等一下我帮您看一下咱们都有哪些收费类的业务 
高兴为您服务 我看一下稍等一下噢您本机号码上网功能有开通了 
您好请讲零行吧哎你好有什么可以帮您 我给您看一下 
您好什帮助您 噢套餐里就是那个畅聊卡月租二十八块钱的这一款的 
很高兴为您服务您好很高兴为您服务 您现在是五十元的流量卡套餐里面有两g流量还有个来电显示打电话是两毛钱一分钟的下个月改成了八十八的八十八元一千两百分钟打电话我看一下嗯然后流量是有五g流量的 
您好请讲 套餐之外有一个来电提醒还有一个彩印还有个彩铃其他的就没有了再见 
您好请说您好 噢您这边就是我们动感地带三十八块钱套餐三十八 
你好请讲您好您好可以听到吗 我帮您看一下已经开通成功了呀可以用了一百兆可以用啊 
您好请说 您稍等我看一下噢来电提醒 
您好请讲 啊本机的话查询是我们的三十八元套餐一百分钟流量五百兆这样子的 
您好请说 我这边帮您看了一下您这张卡就三十八块钱套餐一百分钟本地拨打国内电话分钟数五百兆流量还有就是宽带还有一个五十块钱流量套餐两块钱来电提醒 
您好请讲 嗯它下个月改了一个五十八套餐那就是说五十八不要改了是吗 
您好什么可以帮您 八十八块钱的 
啊您好请说 哎噢好的我看一下 
呃您好请说 流量要取消是吗我稍等一下哈 
您好请讲 你好 
本您好请讲 好的马上帮您确认请您稍等呃您现在来电的这个号码就是您自己本身的月租费每个月是收取您一百二十八块钱除了这个以外的话其他需要您个人收取 
您好请说 您这边我帮您看一下您这边下个月改成那个二零一七版的八十八套餐下个月生效了 
您好很高兴为您服务 您好请讲 
您好请讲 我看一下噢您稍等 
您好很高兴为您服务 送宽带您稍等我看一下 
您好请讲 呃流量活动啊它说到明年二月一号会自动关掉实际只扣到十块每个月 
您是三十八块钱的呃叫飞享套餐 
您好请讲哎喂你好 那您稍等一下 
你好请讲 噢您本地的话我帮您看了一下就基本的飞享八八套餐八十八块钱一个月另外的话有来电提醒彩铃没有收费的业务我帮您看了一下就这三个 
您好很高兴为您服务 恩你好 
中午好请讲 呃有 
您好请说 您帮他付费的是吗 
您好很高兴为您服务 我看一下存还给我妈又又又又跟那个 
服务其他什么可以帮到您咱们 但是有另外一个五十块流量包您看有没有需要不需要可以把它关闭掉 
您好请说听到诶您好 完之后它目前是有开通一个就基本月租八十八十八套餐以外有开通一个手机动漫六块有开通一个手机动漫六块还有一个手机彩铃手机阅读跟彩印的服务这些您需要给您关闭掉吗 
您好请讲 有五十八块钱套餐是下个月一号才生效 
哎你好诶您好很高兴您服务您好 呃是的没错对三十八的 
嗯嗯现在用的这个是十八套餐嘞 恩他这个套餐每个号码都要有的你提交的号码就取消掉了 
您好很高兴为您服务 恩好的您稍等我帮您马上查一下您这个是十八元套餐然后有一个来电提醒三块钱嗯还有一个是彩铃幺二五八零会员包还有彩印这些业务其他就没有了 
你好您好请问什么可以帮助您 对四十八元校园套餐然后归属地是福州的是吧对是的 
您好高兴服务 哦稍等一下呃这个月最后一个月下个月会自动取消 
您好请讲 诶您好请说 
请稍等 我也有转接那个幺八五号码上取消掉是吗 
好的请稍等一下 那感谢耐心等待呃您这边的话就基本套餐十八块钱的来电提醒两块钱彩印三块钱的那这个如果彩印不用的话可以帮您取消掉一下 
你好请说 对那个好像我看到一种什么新飞享三八套餐二零一七版这个我可以办理吗可以我这边可以帮您直接改下个月生效它是一g零五百一十二兆流量是吧一点五g的流量三百兆一点五g三百分钟嗯就是三十八块钱这个我好像自己在微信上也可以改吧好像是可以啊 
您好请说 您用的是一个八十八的一个信那个什么飞享的八十八套餐就是有两百二十分钟七百兆流量的这一种 
您好请讲 我看一下您现在用的是五十八元套餐 
您好请说 您稍等我帮您查一下哈女士 
那您是有是您讲合 您现在您的八十八的套餐然后您的流量套餐来电提醒功能啊您其他的话这边帮您查看一下没有 
恩 嗯正在帮您查询一下有什么东西啊请不要挂机好的 
您好请讲 您现在用的是二十八元的套餐 
您好请讲 对啊项业务目前就基本套餐包是三十八块钱的然后还开了一个流量包二十块钱的 
您好很高兴为您服务 你好 
哎再见您好很高兴您服务 您这张卡的流量套餐已经有登记取消过了 
您好请说喂你好请问你好 我帮您看一下您稍等 
您好请说 我看一下没有噢来电显示有啊那这个是包含在上您套餐里面的一个业务并没有另外收费 
您好请讲 就是您的动感地带三十八套餐外加一个两块钱来电提醒 
您好请说 诶您好 
您好请讲 诶三十八元干嘛 
哎您好您请讲 您好您说 
您好什么需要帮助 可以没问题您在本卡收费的就是十三块钱的套餐另外的话是里面送省内流量三百兆然后您有办一个七十块钱两个g的流量包还有两块钱的来电提醒六块钱的来电显示一块钱的短信回执三块钱的家庭网 
不是您好很高兴为您服务 呃目前是新飞享三十八元套餐哎 
还有什么可以帮您 嗯 
您好请讲喂你好 除了一下这个七十九套餐以外有个五十元的流量包然后有个来电提醒还有彩铃 
您好请讲 五十八块钱的飞享套餐它是新版的四百分钟三个g的这样我都没噢好好好谢谢可以不客气那还有什么可以帮助您吗 
您好请说 游戏你上车您自己三十八元的套餐然后有个五块钱的游戏我帮您取消了还有什么疑问取消 
您好什么可以帮助您早上好 您稍等一下噢我冒昧的问一下您您的手机平常是不是有玩游戏啊 
您好请说 五十g的 
你好有什么可以帮您 您现在是商旅的八十八元的套餐 
您好请讲 对 
其他您好请说 您这个是五十八的新飞享套餐 
嗯您好很高兴为您服务 你好 
您好很高兴为您服务 流量稍等我看一下给您看了您这边是有一个夜间流量包要取消吗取消之后剩余的不能累积下个月 
您好请说 没有呀现在两城一家已经停办了不需要两城一家了 
您好您说 这个卡号是吗 
嗯流量是吧 有啊你除了月租五十元两g之外之前有开一个三十元那个五百兆流量啊 
嗯嗯您好请说 嗯嗯呃您手机除了一个三十八套餐然后我帮您再确认一下嗯恩除了三十八套餐还有一个呃那个房地产的那个啊vip集团网每个月收您两块钱 
嗯啊您好请说 我帮您看一下 
您好请讲吗 彩铃这些业务要取消是吧对就彩铃嘛嗯稍等哈我看您这边没有彩铃的业务呀没有吗对这边上面查了一下没有彩铃的业务 
你好请说 我给您发过去的你好先生改好了下个月生效 
本机用的是商旅五十八套餐 新飞享五八针对五十块以下客户办理您要改就改新飞享八十八 
您好很高兴为您服务 诶先生您好请问咨询什么问题 
中午好 它 
你好 基本的话一个是月租费十八块 
您好请讲 套餐三十八除此之外您有的业务就是一个噢三十块钱流量包来电提醒以及有彩铃然后有一个流量活动其他就没有了 
您好请说 八十八的 
您好很高兴为您服务那 喂你好请问有什么可以帮您 
呃您好什么帮到您 我想问一下我在现在手机里帮我办一下那个 
很高兴为您服务 不好意思这个暂时无法取消您这个是有做活动只要扣您十块钱有三g本地流量活动到明年的六月一号才结束对他是结束之后会自动关掉您放心 
您好请讲喂您好请问一下我现在办理的这个是什么套餐呐好八十八的这个全球通套餐 八十八的我刚才不是有重新办了一个噢下个月 
您稍等我查一下 下个月改月租八块的已经有登记了您放心然后五十八的就会取消看一下有没有其他的稍等一下 
中行 我们这边除了这个基本套餐之外这边有个来电提醒呃手机动漫呃彩印呃这些功能的话平时是没什么用的我这个帮您都取消掉 
啊您好请讲 请稍等 
您好请说 呃目前帮您查询了一下没有您这套餐的话是没有带流量的上网功能你也没有开通 
您好请说 和家庭七十九元套餐 
您好请讲 我看一下 
嗯嗯嗯嗯好的您好很高兴您服务 您目前就基本套餐套餐费十块钱的然后还有六块钱来电显示噢然后十六块的 
请问什么可以帮您 本机是一个任我用套餐另外还有一个来电提醒流量包有一个一个g的流量包这个是目前活动每个月只要十块呃我帮您看一下只要十块钱一个g全国流量这个活动是到今年底什么 
您好请说 您的基本套餐的话十八块钱然后还有个来电提醒其他暂时的话 
噢套餐用的是一个三十八套餐 从今年到现在我帮您把卡里来电到现在一直用三十八没有变过 
您好请说 嗯改一个套餐您现在的套餐是五十八的飞享请问现在想改多少 
呃您好请讲 好您稍等一下帮您查询一下 
您好请讲 的呃除了月租八十八以外就一个来电提醒还有一个流量的一个活动那个流量活动是免十个月免费的那个活动是到那个一月一号我帮您活动到期预约取消掉吧避免调到次还是正常收费 
你好 嗯那我帮您看一下你这边都开通什么业务啊 
嗯嗯嗯嗯您好请讲 恩好我给您看一下 
您好请说 恩你好 
您好您说 嗯您讲 
什么您好请讲您好 基本套餐是五十八元的飞享套餐五百兆一百分钟和来电显示的这种 
您好听得到吗 诶您好请说 
发送您好请说哎你好我想问一下就是 我这个号码不是改成八十八元的套餐吗对 
呼叫保持吗 是呼叫等待吗还是什么 
您好请讲 嗯女士嗯 
您好高兴为您服务 呃我帮您查询一下稍等我看了一下目前来说的话您这个号码只剩呃是开了一个来电提醒两块钱的然后没有什么其他收费的业务了 
你好请说哎 请您稍等好的您这张卡套餐是三十八块钱的我帮您看一下 
那就是帮助您 一百五十八的 
您好很高兴为您服务 请您稍等我帮您查询一下来电显示是您套餐里面赠送您的这个不用取消没有开通一个来电提醒我这边帮您约定到活动到期自动取消还有个十块钱的流量套餐我帮您设定下个月一号取消 
你好 恩好的我看一下有开通来电提醒三元彩铃六元彩印三元哎嗯就这些嘛这几个对 
您好请讲 诶好的您固定的现在就是自己一个三十八元的基本套餐六g的一个用完了会自动取消或者时间到了也会自动取消现在每个月扣费的就咱们自己一个三十八的套餐 
你好您好高兴您服务 呃您打那个幺二五三零这个彩铃专线去帮你查询一下 
你好请讲 您现在办理的是五十八套餐还有一个三十元的流量包 
您好请说 诶好的马上为您查询用的是三十八块钱套餐额外我看一下 
您好请讲呃诶你好 嗯嗯 
嗯早上好 呃基础套餐就一个啊你原来办的是五十八它到月底就会关闭掉了然后下个月就剩下五十八块钱的 
好请讲 嗯你好请说 
您好请讲 好您稍等呃您是说是视频定向流量包吗 
您好请讲 噢有一个移动公司免费送的流量九十十一送三个月时间每个月送两个g的省内流量然后十二月一号就自动取消了 
您好请说您好您请说 嗯开通哪些业务对吗 
您好您说 您这张卡的套餐是全家统套餐一百八十八元然后套餐之外我看了一下您这个号码并没有其他的额外收费项目了您自己付费的就是一个月一百八十八元套餐费 
很高兴为您服务您好 你好 
你好请讲 业务其他业务是吧有一个来电提醒下个月取消了还有彩印对下个月取消现在有个彩铃 
好您好请说 呃请稍等 
您好请讲您好 您好您说 
您好很高兴为您服务 哪些业务是吗除了那个任我用幺三八还有一个七十元的可选包订到十二月一号结束其他的业务就没有啦 
您好请讲 很抱歉如果您玩游戏扣了一个二十九块钱的 
您好请讲 月租费五块钱有要求每个月最低消费二十块没有用到十块钱按照十块钱扣 
嗯您好请讲 幺五八的嗯号码一下号报给你吗嗯 
哎 您好很高兴为您服务 
您好您说你好好 好请您稍等一下好谢谢谢谢嗯不客气这张卡套餐就只有八十八块钱 
嗯嗯 您好请讲 
您好请讲 嗯幺五零 
喂您好 呃您稍等一下呃幺五零尾号是二幺二二的号码给您出这个号码的费用了 
您好请讲 请稍等我帮您查一下诶诶呃是有一个咪咕音乐那个是彩铃女士这个需要取消是吗 
您好请讲 套餐是八十八的 
您好请问什么可以帮到您 呃二十元流量还有您套餐十八块那这个就三十八了然后如果是天气预报三块还有个家庭网目前就这些别的没有 
诶你好 嗯可以啊这张卡现在费用的套餐是十八块钱的本地打国内电话两百分钟福建省内上网流量三百兆 
您这个是咪咕特费就是彩铃要吗 还有就是基础套餐三十八来电提醒两块呃其他的您稍等一下啊 
您好请说 呃对我 
您好请讲 好的帮您取消下个月失效这个月还可以用六零零 
幺五您好请说 本机的话是五十块钱的流量卡套餐有个两块钱的来电提醒然后一个彩铃功能 
您好请讲其他的 诶您好请说 
您好请说 嗯没错是的 
你好 好我给您看一下嗯嗯谢谢目前查询游戏的之前倒是有订购的 
呃您好请说 好的您稍等我看看一下 
您好请讲 好的请稍等感谢耐心等待这边帮您查询本机号码目前没有这相关业务 
对您好请讲 呃您的这个有开通一个月租六块来电显示六块有开通这两个业务 
您很高兴为您服务 你好 
您好请讲 您用的是一百二十八的套餐 
您好请说 这张卡就八十八套餐然后来电提醒功能费这些其他的没有了 
您好您请讲 您这张卡目前有办全球通八十八的当地套餐还有办了一个下个月有申请办了一个五十元的上网套餐 
您好请问什么帮您 套餐一百二十八的 
你好 您的话等于说您这五十八套餐您去外外地跟在您的余额是不是 
您好请说 如果有开过了已经之前有开过的 
那请您 没有您是八块钱的没有办三十八的 
您好请讲 有啊有个宽带家庭宽带一个月二十一块钱的第一年有优惠第一年免费第二年收费的 
生效好的您好请说 看一下十一月七号 
你好请说 嗯您这边的话是一个基本的三十八套餐另外呢呃有一个音乐包啊 
高兴服务 二行飞享三十八元的b套餐三十八 
哎您好请说 好您稍等我帮您看一下您现在是遇到什么问题了 
您好很高兴为您服务 您这边的话您是一个飞享三十八元的套餐里面本来有五百兆流量另外您还开了一个十块钱一百兆的流量包然后呢您还有赠送一个g的省内流量 
您好很高兴为您服务 一百五十八商旅套餐先生九百分钟打电话六百兆流量跟来电显示 
您好请说 对是这个活动我帮您登记下个月一号取消流量这个月内可以用好吗 
嗯诶您好请讲 有那个来电提醒那有个彩铃还有一个彩印这 
您好很高兴为您服务 有 
您好请说您好 噢好的您这边有个彩印三块钱跟那个来电提醒三块就这两个 
您好请讲 套餐我帮您看了一下您十八块钱您说的这个无线咪咕特级会员跟彩印的业务这个之前送的噢送那个三个月的您看如果不需要我这边可以帮您做取消 
你好请讲 好的稍等我给您查一下 
您好请讲 幺三七七 
您好您好请讲 对下个月一号开始 
您好请讲 我帮您看一下这边的话是看到您十月十九号的时候办理的您是说您自己没有办理过这个活动是吗 
您好请说 啊这个我们这边查看不到您的服务密码如果是您的本机是吧 
哎您好请讲 一卡多号我看一下您稍等待 
不要您好很高兴为您服务您好很高兴为您服务 您收费的除了您本身一个一百三十八元的套餐之外给您看了一下您现在有一个全球通秘书十块还有您这边的话一个彩铃功能其他的话给您看了一下 
呃请说 好的稍等我看一下 
您好请讲 比如说八十八套餐那您这边我看了一下是有给您送了一个幺三九邮箱这个是送一年的时间的 
您好请问什么可以帮您 嗯现在 
恩你好请讲这样子 短信功能好帮您看一下啊好到短信功能这边关掉了 
您好 嗯 
哎您好请说 您现在办的是八块钱的套餐 
嗯您好喂你好嗯嗯噢是这样子g的流量包这个月用还是以后每个月都要 好的我帮您先看一下您看一下咱们开一个多少的比较合适 
好的您这个套餐是七十九块钱的 嗯女士没有其他的收费业务了 
您好请说 我看一下您手机上除了基本的套餐以外有来电提醒和咪咕会员 
您好什么可以帮助您的你好呃我想问一下我现在那个有 这个是大声一些吗我我就在那个这张卡里面就是 
您好请说 号码的话除了八十八的基础套餐以外还有个两元钱的一个来电提醒其他没有了这个月是属于消费这么多钱噢帮您看了一下是流量超了三十三块六毛八上网流量超 
您请讲喂你好诶您好请问什么可以帮到您 唉那你办事流量 
您好很高兴为您服务 它是动感地带十八元的套餐这边送了两百兆流量加来显 
您好请讲 噢好我查看一下呃是有个流量活动就那个五十块的流量活动它是每个月返还三十就您只要付二十块钱就两个g流量活动是连续六个月六个月后自动取消 
您好请说您好 诶好您稍等马上给您查一下嗯说您自己基本套餐以外的话您这里的业务的话开通一个短信套餐还有一个来电提醒 
您好很高兴为您服务 您请说 
您好很高兴为您服务喂你好我想 嗯马上给您查一下看到您是下个月改成功了八十八块钱套餐 
你好你好你好 十八套餐一百分钟一百兆流量 
您好请说 您好 
您好请说你好 你好 
您好很高兴为您服务 您现在这张号码卡收费的除了您本身套餐之外来电提醒要取消吗 
谢谢您好请讲 这个十八块钱的新飞享套餐套餐之外的话我看一下别的没有什么收费的业务了 
您好很高兴为您服务 嗯对的 
早上好请讲 您现在这个是飞享三十八套餐它有一百分钟本地使用五百兆国内流量跟来电显示一个月三十八元 
不客气您好 嗯请讲 
您好高兴为您服务 请稍等一下 
您好很高兴为您服务 呃有宽带专席需要查询什么呢 
您好请说 本机号码有办宽带 
愉快再见您好很高兴您服务 那安心包的您要下个月关掉下个月开始才能够直接扣十块的那这个月它就是按照安心包的了 
您好请说 您稍等我看一下 
幸福您好请讲您好请说 呃我听不清麻烦您重复一下 
您好请说你好 呃您现在就十八套餐呀下个月就改成那个七七十九套餐了 
