一个您好请问您稍后宽带办理还是咨询是是办理我做的是幺八八的套餐原来有送宽带的是吗哦 请问好好静安区金山路 睡觉了对 过那个没有 
您好请讲你好我想问一下 是本机号要办移动宽带吗 
您好请讲 就这个流量不够想临时办一个是吗 马上生效的请稍等噢呃十块钱一百诶您已经有开一个流量安心包了有用超了就十块钱一百兆这样子计费 你现在是出省的还是在在省内 
你好进行啊我 呃对但是它那个其实不是办理流量包诶需要去重新购买一个新号码入网这个套餐 对它都是要换号码的我们这边有那种号码卡入网 那种叫日租卡 
您好请说 嗯对 对您所拨打电话已停机 嗯嗯这个的话是这样子啊因为它停机吗您名字的话就是要停机保号啊就是停机啊 
您好很高兴为您服务您好 呃什么什么意思三天买几兆的流量 噢您说只要今天用的流量是吗二十四小时的它这边的话呢二十四小时的话呢它这边的话呢就是说是直接的话呢就是说是呃比如说有个十块钱五百兆的流量可以吗 对二十四小时的到十五块钱是呃一个g的二十四小时的 
您好先生您好 有在嗯现在只有一百三十八您都是让您的本地用吗本地的话是有一款一百三十八是在本地不限量使用通话分钟是有一千二百分钟 对对对是的这款套餐目前要到营业厅去办理 这款套餐要到当地营业厅去办先生我先把资费发给您嗯嗯 
您好请讲 这个还可以买什么样的流量流量啊嗯 我看一下您还剩多少呃您在福建省内还出省呢 呃因为您这个号码流量用的比较多也用超了超过达到一定金额我们这边就停止收费的您现在还有八百一十兆的流量可以用不扣钱您现在还要开吗还是等这八百一十兆用完再去开呢 
您好请讲您好 那个是校园区内就是您在福州校园高校范围内才能用了两千 四g用不了了您要回到学校范围才能用的噢号好好好好恩好的哎好那祝您生活愉快再见 
您好很高兴为您服务 嗯对您这是全球通八元套餐 呃其他的话就一个来电提醒有个两块钱那别的话就没有了 查一下抱歉吗 
您好很高兴您服务您好 我需要买您现在买一点是吧用到月底 您需要噢我们现在有个三十块钱有一个g的流量但是今天开通我们收您三十块我们只收您十三块八毛一流量有四百七十一兆够不够您这种一样嘛 我们有个三十块一个g的流量然后九月十八号我们收您十三块八毛一流量有四百七十一兆现在能听得到吗 
你好请讲喂你好 哎我想问一下有没有 流量套餐有啊有三十元一g啊十元一百兆啊都有三十元一g对 是啊 
您好请说 除了十八块钱套餐之外有个三月学校的一个微片网有个两块其它别的收费业务的话暂时就没有了 对十八块钱套餐包含一百分钟打电话来电显示然后其他收费业务的话就是有个彩铃一个功能跟歌曲六块 噢可以了三月学校这个业务的话您要用吗 
噢有个六十块钱六g的半年之内有效 那是这个月临时使用的吗 三十块钱一g五十块钱两g 呃对 
您好请讲你好 诶您好您请说 移动无限流量什么问题 无限流量大专有啊您的话是在那个本地流量不限量的还是从手机在外地 
您好请讲 流量 对 对 
您好请说您好 加油包我们这十块钱一百兆立即生效下个月自动取消加油包 其他那是流量可什么按天折算也有像三十块钱一个g那因为今天十八号了这个月开只扣您十三块八毛一有四百七十一兆流量 好那就给您只开这个月下个月自动取消只能当月使用好吗 
早上好 嗯对它原价三十块一g今天开只收十三块八毛一这个月可以用了四百七十一兆下个月一号自动关那您收到短信都显示三十块钱不用当天就扣您十三块多 
幺五很高兴为您服务 你好 有不好意思 呃开通国际及港澳台漫游功能就可以了 
您好请说 诶您好 可以的您就需要流量之类的吗 那您可以变更一个三十八的套餐您平时都在福建省内用吗 
您好很高兴为您服务你好 流量几个g是基础套餐里面的吗 那我们现在的话有一个是那个呃新飞享的那个八十八元的套餐有一款的话它是五个g的移动数据流量但是在福建省的四千六百二十兆全国通用无百和在一起只有五个g的流量您都在福建省吗 的省外的是吗省外的话那您这边的话需要改有个一百五十八的只有五百分钟然后是两个g的流量还有一款的话是那个幺八八的全家统套餐国内的就是外省可以用的也只有两个g这样的剩下都是福建省 
你好请讲 噢那它那个是入网的它那个套餐是一百三十八元的只是说您刚买卡它会送您就是嗯话费送六百每个月送五十块所以就是只要八十八但第二年以后还是恢复一百三十八的噢这样子是不是是一百三十八套餐如果您有需要可以到营业厅去办理就老卡去改是一百三十八它没有新卡要有送话费好嘛 流量比较多一点的话您五十块钱如果不够的话它晚上一个档次是八十八八十八赠送五g九四四点五g是省内的五百兆是国内的估计是吗八十八块钱的那个一个我套餐介绍和办理方式要不先给您发一个信息吧然后您先看一下如果您要改这个八十八的发短信就能办如果您想改那个一百三十八您自己带上身份证到营业厅去办因为那个套餐自助方式和人工都办不了 那还有十呃对了您办理要以收到那个八十八那个要以收到成功办理的信息为准因为您办理的时候发信息过去他有一条信息里面会有明确成功两个字不用客气的那祝您生活愉快再见 
你好 噢对一百三十八的套餐 对漳州本地流量无限量只能在漳州用 要不诶对厦门就不行了 
中午好请讲 诶您好 哎对对对就是一千两百分钟五个g其中有四点五g都是省内的五百兆国内然后一千两百分钟有三百分钟国内通用有九百分钟只能是本地拨打国内 对就是说您在莆田你在莆田一千两百分钟离开了莆田就只剩三百分钟 
你好喂 因为它是只能针对一些幸运客户啊或者说从低往高抬更改的套餐的才能办理 对晚上搞往上升的才有 你现在三十八改三十八是改不了的 
您好很高兴为您服务 嗯是这样的因为您的流量的话都是省内流量啊您现在人是在省外对吗 噢所以您现在在上网的话都是在用安心包十块钱一百兆来收费的所以它没收到十块钱的话就会发短信通知您一次 因为这个八八套餐里面没有全国通用的流量的 
您好您请说 啊我们是有那种和家庭九十九套餐 噢那个它是一种这个资费它这个是有里面是有包含宽带不会把他的套餐的资费介绍发送短信给您看一下 呃流量的话您是要比较多的那我们是有那种呃有一种新的这个飞享的八十八套餐二零七八它那个是有福建省内使用的有四千六百二十兆流量仅限当月使用然后另外国内流量五百兆也就您整个月都在福建省内那就有五个g的流量费用 
您好请说 嗯有的它是一点五g的省内流量其中有一百兆可以在国内用本地打国内电话有三百分钟您是本机要改吗 好的那其中有一百分钟是国内用有包来电显示那我就帮您下个月改成这个三十八的噢最低消费下个月 有包来电显示 
你好 嗯 国内流量您是说改套餐吗 没没有没有更大一般都是深圳的省内的国内的话比如说您可以另外加流量包会更多一些比如说我们的五十元两个g 
您好很高兴为您服务 您是手机套餐怎么了 赠送夜间流量是吧没有赠送夜间流量 对对你就是自己套餐本身的那个五百兆没有另外赠送流量了好的我知道了嗯还有其他可以帮您的没好的祝您生活愉快再见 
快再见您好很高兴为您服务 流量包有很多种您大概需要多少流量 呃这目前能办从三十开始 g 
哎您好很高兴为您服务请讲 流量套餐有多少多少噢您这边目前是三十元的呃如果再上一个档次是五十块的两个g的还有七十元三个g的都可以办噢 不是外地早上没有这个是刚 米你目前三十块钱套餐是多少多少g啊它目前是三十元五百兆的五块钱太多了 
再见很高兴为您服务 哎您好请讲 不好意思您先说一下您的问题可以吗因为有点杂音没听清 八十八是本地无限流量吗 
您好请讲 先生 流量是吗 流量的话我帮您查看了一下请您稍等这个套餐流量的话是三百兆但是您这款是之前旧版的分钟数是五十分钟流量只有一百兆 
一百分钟 一百分钟一百兆流量这是全国可以用的那另外还有赠送本地的有两百分钟跟这个省内的流量一点四七 没错好像 对福建一点对您在福建的话就一点五g就都可以用 
你好请说 噢好的您这流量目前我看了一下还剩下两百七十三兆 这边都快完了呃包的话只能您您这两百多兆用完了到时候可以再包那个六十元六g的这个比较划算一点噢噢你我这里对这个会比较划算我这里发一个查流量的王只给您您可以随时随地可以点开来看一下流量明细噢不然超过它会另外扣费的 会不会给我给它会有短信通知但是有的如果都在用它可能会延迟一些所以您自己查会比较保险一点 
您好请说 您好 呃您好请讲 八块钱的 
您好请说 流量您这个月目前套餐里的是都用完了吗然后您如果单独开噢我们现在最优惠的有个六十块六个g一百八十天之内用完的这个可以立即生效谢谢 其他的也可以啊像临时的话十块钱一百兆还有包月的三十元一个g五十块钱两个g这些都可以开 对五十块钱两个g三十块钱一个g 
您好请讲 那个叫做任我用幺三八套餐 任我用幺三八本地的移动数据流量不限量 那就不能享受到本地流量优惠了只能按照国内流量或者省内流量套餐来办 
您好请讲 嗯稍等我看一下 呃呃流量活动是吗二十二十七暂时没有啊如果您需要的话有个现在有六十元六g的流量在一百八十天半年内用半年内用完费六十六g 对 
您好很高兴为您服务诶你好嗯嗯 有一个是六十元六个g的流量一百八十天的有效期现在 可以我看一下 不是办过了那可以再办啊 
您好很高兴为您服务 嗯嗯对它是本地打国内三百国内的国国内拨打国内的一百总共四百 对没错 那我就想 
您好请讲 噢那个是上网流量五十元 好可以您稍等一下噢 取消好了这流量只能本月内用啊从下个月生效其他的还需要什么帮助呢 
您是用本机号码办宽带吗 包年的宽带现在没有什么优惠啊我建议您还是办呃宽带活动会比较优惠的 现在有一个是呃您现在办理的这个套餐帮我看一下您现在办理的这个套餐是一个五十八块钱的一个飞享的新飞享套餐 呃可以参加我们有个两年的宽带活动它里面是噢一百兆的宽带优惠就每个月四十一块钱而且第一年每个月还有再返还十五块就等于说第一年的宽带费每个月只要二十六第二年每个月四十一块嗯嗯就是一百兆的宽带还有送一个电视机顶盒的做活动 
您好请讲 嗯流量套餐哇您稍等一下流量套餐就十块钱一百兆呢那三十块一个g五十块两个g的 修改一个套餐对吗 呃那您可以改一个飞享八十八的一千两百分钟通话五个g流量 
您好什么可以帮您 您稍等我看一下哈嗯这边我给您查询了一下您本机号码就一个未天网啊是南平农商银行的 对 昨天我看一下哈那您目前没有用到现在在南平吗 
嗯您好请讲 有什么可以帮助您 有六个g的流量使用期是一百八十天目前这个最优惠 噢不是每个月它只扣一次 
嗯嗯您好很高兴为您服务您好呃您好我那个手机上有看到一个 新飞享五八是吧 那个是只要套餐没有改可以直接联系一下去 对是的噢好的好的恩那其他还有什么可以帮到您的吗呃目前没有恩好的那也感谢您的来电 
您好请讲 呃您套餐八十八本身里面有三百兆流量那另外呢它有给您额外赠送的那个两g的省内流量到今年年底十二月月底到期会自动关掉所以现在就两千多兆 这个月我看一下您现在还剩下一千一百兆左右费用 对它现在三百兆 
您好请讲 嗯您这个就是流量王卡一天一g的在莆田本地上网的流量的 呃对不起他打电话没有免费每分钟是一毛九的 对是的 
你好 刚刚我看一下手机保障服务啊就是那些手机保险的一个月十五块钱 嗯好稍等 这个一般是您有接到那种电话向您推荐的您是手机刚买的 
您好很高兴为您服务 呃家里面宽带对吗它这个宽带跟宽带你要改套餐才有送啊要改成我们现在这种七十九九十九一百三十九或者一百八十八这种套餐才有送宽带 诶没错 了而且这个要办的话会比较麻烦要到营业厅申请看能不能办人工台是没有权利办啊 
我给您看一下有先生 还有半个月时间嗯再见建议您要加一千兆收费只要二十六块三一千零七十七兆三十一g多 再添加可以啊有啊嗯嗯订了一个三十的今天开通收十五块七毛八五百三十八兆 嗯嗯 
您好嗯恩您好请讲 嗯稍等帮您看一下现在买流量的话有十块一百兆还有三十块一g五十块两g 呃对 对或者个活动那个嗯 
您好很高兴为您服务您好 我手机您好 您好请问有什么可以帮到您的吗 五十万没有宽带有七十九套餐有送宽带 
您好请讲 打电话便宜 您这个八块的装是移动公司最低的套餐了 分钟多的那您可以改一个三十八的三十八是三百分钟新飞享了三百分钟然后一点五g省内流量这种的 
很高兴为您服务 十块只有一百兆 这个没有二十的可以给您推荐一个套餐您买三十的当时的今天买它扣钱只扣您十五块七毛八那流量呢有五百三十八兆这个划算 它不算三十他这个月只有半个月它只收您十五块 
您好请讲 你好 一百三十八其实有两种一种是来电显示五百兆呃那个五百分钟国内打国内电话一g的全国流量还有另外一种任我用套餐但是这种需要通过营业厅才能办理呃这个套餐里面有包括嗯四百那个五百分钟国内打国内电话七百分钟本地打国内电话一共一千两百分钟流量是一g全国流量本地流量不限量使用达到三十几会限速呃 对一g全国流量但是本地流量不限量使用 
您好请讲 嗯嗯那这边帮您看了一下有一个是六十块六g半年流量包这个最优惠 六 嗯是先帮您看了一下您之前已经有办理过了吗噢然后还没用完您现在这边流量还有这个一百一十五兆比如说您可以用完了以后再打电话进来开 
您好请说有什么可以帮您的 它是这样子分钟数一千两百分钟本地主叫全国省内流量有五个g就是我们套餐 一千二百分钟本地主叫全国通话有三百分钟是全国通用的 流量有 
你好 噢我看一下啊有啊我们有一个六十块那个流量六g一百八十天内有效 恩对半年内总共有六g 那还一种是改套餐或者是加流量包有一个是下个月开始连续六个月的活动原价五十块两g的包月流量打四折每个月交二十块两g但要办六个月 
中午好请说对 钱对不上什么意思您是说话费有疑问是吗 您稍等一下先生我帮您算一下账单好吗二十四半个月的话我看一下您到月底结账的时候余额不是只剩下二十七块零三分吗 哎就只扣了您的套餐费十八块钱还有您打电话扣了十二块两毛五然后短信一毛钱流量扣了两分钱其他就没有啦 
祝您阖家您好请说 二幺 呃是这样子您说的那种是新飞享八八套餐它当前是八十八以上的套餐转入那您现在是一百三十九比八十八更高的业务规定上这边暂时不能受理还办不了 呃那或者您这种情况的话就是可以改其他的能够受理的套餐流量你用的大您都在本地用还是在外地用啊 
您好请说 你好流量包是吧我给您看一下啊 噢那您要再买那个嘛那个可以再开 十月份才刚买的是吧那就不能再开了但是现在开的话开其他流量包可能没有那个六十元六g的那么划算那您如果用的多的话按照您的使用情况您肯定要也要买比较多一点的您可以考虑开一个两百的两百块的今天开诶不对您万一用不完就不好那开现在到月底用 
您好请讲 有四百分钟怎么您这个是那个新飞享套餐它只是全网高的更改不支持通常更改的因为您目前已经是办理三十八元套餐就更改不了那个注销三十八元套餐只能往高的更改比如说五十八块钱那个您可以更改 对 那个办理方式吧 
您好请说这样 噢不好意思没太听清楚是什么费用 东是丽人 刚刚收到的短信吗 
您好请讲 它是这样的 订购彩铃的对吗 就是 
中午好请讲 你好 噢好的那您这边的话是把短信给您发过去还是这边给您报一下吧就是短信把这短信吧噢好的那呃短信都发给您了还有什么可以帮助您 一个五十个g嘛 
您好请讲 嗯可以开那个包月套餐有三十块一g或者五十块两g噢 好的 呃现在您欠费了开不了业务啊 
很高兴为您服务 呃宽带您现在是要申请我们中国移动的宽带是吧 那行那您先不用挂机我们有那个宽带专席的工作人员我帮您转接过去让工作人员给您介绍一下可以吧 好我现在帮您做转接 
为您服务 诶您好 就是不会扣这个在山东打我们国内的接免费打一毛九这个不会贵呀 我看了一下它上个月账单一共才用了一百三十多没有用两百多 
您好很高兴您服务 本地流量多的套餐呢嗯就是我们现在有个八十八的套餐里面五个g的流量 五个g在福建省内都可以用 分钟数一千两百分钟在本地南平本地都可以通用 
你好您好请问什么可以帮助您 轻松卡吗 轻松卡停办了现在没有了 就是如果早期自己有办没有取消吗那可以继续用就现在如果要重新再办就办不了了 
您好请讲 嗯要开通一个国际及港澳台的一个漫游功能您这张卡已经有开了恩 您如果是在香港那个位置上网它比如说您到那边按照三块钱包三兆流量三兆如果不够用会自动叠加如果费用用到三十块钱当天在香港上网流量不限量可以理解成一千三十块钱不限量上网 对就一天三十元然后无限量使用按照北京时间为准 
您好请讲 呃幺八八有一款是赠送一千两百分钟国内通话流量赠送省内不限量国内是赠送两g的 对 行那我这里给您办理是下个月一号生效 
您好请说 呃您现在这个是幺三八套餐一百三十八元套餐 这个在漳州本地是无限流量的然后还有国内流量有一g 分钟数的话在漳州本地打全国的又总共七百分钟国内打国内的还有五百分钟加起来有一千二百分钟啊 
您好请讲你们问一下最近有没有什么套餐套餐是吧是啊您现在用的是一百八十八的套餐呃然后流量还有没有没店铺也比较便宜 因为我看到内用流量比较多根据您自己的消费情况来说这个一百八十八的是最划算的 其他的流量会更少啊 限速的您这是限速的是解绑不了它是四十g之后是限速了噢好的 
晚上好请说喂你好我想问一下我 您稍等一下您稍后补充这个月的吗还是嗯嗯我看一下你刚说我们现在有一种流量活动原价五十块两g的然后他现在可以连续六个月每个月返还三十元等于说您只要一个月支付二十块钱这个活动如果有参加是下个月才开始的您可以考虑一下 别的话还有一种是那个花六十块钱可以买六g的流量一百八十天内用完 用这个是吧可以那这个六十六g开通是马上开始的好吗 
您好请说 你好 可以呀我这边可以帮您直接更换好 他一千四百多兆省内流量加一百兆国内流量一共一点五g然后分钟数是国内打国内一百分钟漳州打国内通话有两百分钟一共有三百分钟还有送来电显示的 
您好请说 啊彩铃功能就是每个月都有开的是不是我打给你的那个我可以听到歌曲的那个一个月十五块钱 彩铃我看了一下是一很早就开了呀一四年的八月份就开了 好的那我就帮您取消掉了 
您好很高兴您服务 你好公司呃您好能听到吗啊可以啊可以二号您的电话已经接通请讲 喂你好嗯目前我帮您看了一下把这资费我稍后也发给您然后您在有用宽带吗 因为有用宽带的话最便宜最低的话就是这个七十九套餐其他都是更高的了 
您好很高兴您服务 呃您是流量不够想要补充是吗 呃您是未下个月想要改换套餐的意思是吧 如果您是要加定流量的话到时候您这边有六十元十二g的如果用关了现在这边的活动还有个六十元六g的活动您到时候可以去申请六十元六g的也是很划算的这是家庭还是什么对啊嘉定呢这就是您所想要的嘉定的服务 
您好 本机吗 没有您这流量是本地的 对 
您好请讲 呃对有这个 我看一下是b套餐的稍等一下这是套餐包含它会收费 对对 
您好请讲 您好 恩对是的 一百三十八的话它是在泉州大泉州地区流量可以无限使用的办理的话您要带身份证到移动营业厅前台办 
没有你好请说呃您好 额我给您马上看一下好 嗯流量稍微多一点的话您可以转成那个五十八的套餐 呃五十八的套餐那是那个省内流量两千五百七十二兆然后国内流量五百兆然后总共加起来的话费有三个g 
您好请说 它是下个月生效的它有的 了对 其中有五百兆的国内流量两千五百兆省内流量分钟数的话有三百分钟只能在南平本地用一百分钟可以全国用 
您好请讲 呃一万两千分钟先帮您看一下噢它这个就是两百个小时嘛就上网时长那您要连接那个cmcc异地优或者哎不在是校园网要登录上去才能用那您要先开通这个那个校园网您之前有用过吗 那说明没有开通这个业务稍等一下我把开通方式发给您了因为它要先开通这个校园网那个业务帮您登陆那个连接上去用密码登才可以用 已经注册过了是吗 
您好高兴为您服务 哎你说 那是 嗯对没错最高的是一百兆 
您好很高兴为您服务 再见嗯有包月的这个三十块一个g五十块两个g如果加油包就十块一百兆 那个歪派的嘛那有一个一百三十八的 呃有一个一百三十八的套餐 
您好很高兴为您服务 您说 您稍等我帮您这边查一下 增值优惠的话您本机里面现在没有啊您是有其他号码又产生增值优惠吗 
您好请说 您如果是说话这个要改流量套餐的话我建议您去改可以考虑改成一百三十八的本地流量不限量分钟数也多有一些总共一千两百分钟 你本地流量不限量随便您用 这个得先问您去营业厅改到时候记得带上身份证我发这个套餐的详细给您看一下 
您好您请说 您的套餐的话流量的话是七百兆 啊这样的它 呃那个它是国内流不是不是它这个是有福建省内使用的流量有给您两g吗那个是您有参加它活动有送您的就是这个月十月十二号它系统送您到二零一七年十二月底它自动取消每个月它这都有给您福建省内用的两个g的流量 
您好请讲 好的我帮您看一下那您好女士您是月底使用对吗 恩好的我这边的话帮您看了一下您今天开通到月底使用呢是这个五百三十八兆给您然后收您十五块七毛八的一笔费用 对十五块七毛八 
您好很高兴您服务 现在升级套餐的话可以办理的是五十八元的三个g的流量打电话有四百分钟 这张活动是针对二十八以上的套餐申请办理所以目前您现在这个动感地带三十八网聊套餐不在活动范围内所以办不了的 对没错因为它那个是一个活动 
您好请讲 之前有包含流量最低十八块钱一百分钟一百兆流量 噢没有包含流量最低八块钱 八块钱只有三十分钟国内打国内还有包含来电显示 
喂你好嗯那您说 二十呢流量比较优惠的话我们现在目前有那种正常流量套餐有三十元的话一个g的流量包今天开通按天数折算 用一天的是吗这两个的话我们现在目前的话有那种十五块钱一天然后一个g的流量包 嗯对 
嗯您好请讲 嗯对没错 这个号码我这里面有五百兆有五百兆是国内流量可以用啊 嗯对对对 
有啊 一百三十八没有赠送宽带 有一百三十九的有送宽带 对 
嗯您好请讲 已经大概需要多少兆的人告诉我吗 我看一下您这边之前的一个使用情况您这五g都用完了用的比较大呀您直接开个六十块钱六g的吧它这个的话是半年内有效费用只收一次要帮您开这个吗 目前就这个比较优惠了更大的可选包是有啊它那个费用会比较高您可以先开这个吗这个的话得用完了您不够再就几天了现在就开流量可选包这样会比较节约话费啊 
您好请问需要什么帮助您好请问需要什么帮助 在本地不限量国内通用的一个g 对五十八县都可以提醒您如果用到三十g的话会限速噢 还有什么东西感谢您的来电再见 
您好有什么可以帮您请说 呃这个是什么意思啊我我跟您说一下它这个是需要呃星级是是呃您是四星级身份噢我们有最高五星级噢您四星级因为呃我您消费比较高呃然后就是这个信息主要是可以欠费时间的可以欠多久还有欠费额度可以欠费可以欠多久那种信用度 对没有什么其他意思对 不要担心哈嗯嗯好的谢谢好不客气哈祝您阖家幸福再见 
你好 帮您看到这边有参加了一个六十元六g的流量活动那这个要用完了还没有啊还剩下三十五兆您这边把它用完之后可以再办一次 流量三十五兆对这三十五兆用完之后您可以再办一次 对没错 
您好很高兴为您服务 这没办法这个现在注册它都会发一个验证码给您嘛然后获取验证码才有啊 噢验证码这个的话我可以帮您把梦网点播功能关闭掉 就梦网点播您以后就不会收到这些验证码 
你好请说 三十八吗三十八新新版的那种它通话是国内一百本地两百合起来有三百分钟 啊对就版的只有一百分钟没错 可以呀您现在改到呃下个月一号生效 
您好很高兴为您服务 呃其实您用的很多啊我建议您的话有一个流量包挺好的六十块钱有六g流量可以用半年噢 太多了那我开个少一点的吧您稍等大概现在五百兆或者一个g左右的够用吗 有一个是四百七十一兆的才十二块钱然后再多一点的有个是八百七十五兆的二十一块钱 
您好您说 最划算的是一个六十块钱六g流量可以再办可以在一百八十天之内都可以用 其他的话就没划算了就按正常收费的比如说什么三十块钱一个g啊五十块钱两个g啊这样类型的 下个月生效的这个三十八三百分钟和一点五g流量 
您好请说您好 噢您在目前套餐的话是三十八元的我建议您可以改成五十八的套餐下个月生效 就是这个月用是吗 那您可以办理个就是三十元一g的那今天开通只要收您十五块多流量有五百多兆可以用 
你好请说 您现在套餐里面的流量是五百兆全国的省内的话那个两个g赠送的这个只能在福建省内用 比较省外就不能用这个两个g 差不多一千零二十四兆 
您好请说 呃有啊有包括呀 噢我看一下您稍等噢我知道了女士这个是您参加了石头剪刀布移了两次它一次是给您送一百兆在九十元那这个二十元我们公司其实当时活动赠送进来的时候它就一次性存进来那个十元两次就是总共二十对有个记录这里哈不好意思让您误解了 有个三十七块八块二十您自己就十七块吧月租费八块打电话打了九块三毛一短信发五毛嘛就这些了 
您好请讲 因为流量现在有一个六十块钱六个g的半年包就是一百八十天之内使用有效这个比较划算 对六g 因为这个平均加十块钱就有一个g啊这个是目前最优惠的活动啊 
您好请讲 我跟你 嗯对嗯 嗯有的有一个呃幺二八的是全家统的这种套餐有个省内流量不限量使用国内流量有两个g哈通话时间医院也是一千两百分钟我帮您更改下个月生效噢 
您好请讲 对呀 我帮您查询过您取消掉啦您是上个月的账单啊不是这个月的 它给您发的是九月份的账单啊 
你好请讲 呃您要开流量包是吗我们有个流量噢六十块六个g的流量 对国内流量就是您付六十块的费用流量有六个g六个g的流量的话在一百八十天之内把它用完就可以了用完之后它会自动取消 对没错这个活动很优惠很多客户都有办理的 
为您您好很高兴为您服务 我帮您查一下 您这个套餐里面每个月流量有五百兆 对 
您好高兴为您服务 就下个新飞享三十八套餐是一个三百分钟本地拨打国内电话跟一点五个g省内流量的这种 不是一点五个g 国内只有一百兆 
您好很高兴为您服务 有啊一百三十八现在确实不是流量老用户也可以办理啊 呃一千两百分钟然后本地流量不限量还有来电显示 恩对 
您好请讲 一百五十八这个嘛还是七十元的 确实是两g流量 我也不知道 
嗯没有您四十八的话是本身套餐里面是三百兆没错然后但是您这个月是有另外或者哪些省内流量有另外赠送的一些流量对如果是单单套餐来说是只有三百兆 呃先生如果说您要流量在多一些的话有呃五十八元的那种有三个g的流量五百兆全国的再加十二点五g省内流量这个是五十八的然后四百分钟一百分钟通国内通话还有三百分钟本地打国内通话 呃三十八的不多三十八的那种只有五百兆的流量加一百分钟本地打国内通话 嗯是的 
您好请说 信 这个月流量没超 对啊今天才用了五十几兆还有很多的 
您好您说 呃本月要用的流量包是吗 好的您稍等一下我帮您看一下哈 呃您好 
您好很高兴服务 因为我们手机上都是有这个手机的邮箱幺三九邮箱它有一些那个一些信息会默认发送到幺三九邮箱那个话费账单吗它会默认发送到幺三九邮箱的如果您不需要这个账单发送到幺三九邮箱的话那我们这个可以帮您把这个发送邮箱的这个信息给它取消掉 那这个这个短信也没关系如果您不想要帮您取消掉那可以麻烦您输一下这个服务密码我可以帮您把这个发送邮箱的这个那个给它取消掉 邮箱是有啊那我帮您把邮箱那个取消掉吧 
诶您好很高兴您服务 一个g的一千零二十四兆噢那没问题了噢好谢谢啊好吧行不客气没事的啊再见哈嗯 
您好很高兴为您服务 七百兆 通话的话是两百二十分钟 还是一百二十八 
您好请说 呃流量可以啊您大概需要多少兆流量呢 现在的话有一个六十块钱六个g的 嗯其他的话就是十块一百兆加油包还有三十块五百兆的这种可选包按天折算的 
呃宽带一点的三十八上去了有五十八的五十八是四百分钟加上三个g的流量 三十八有三十八一千二百分钟加五g的流量 一千二百分钟 流量的有五个g啊 
您好请说 您是说只要这个月的当月流量吗 当月流量您要用多少兆先生啊嗯不好意思 嗯如果是额外开通的它有十元一百兆的加油包或者是六十元六g的半年流量包或者可以折算一些流量您跟我说一个大概您要用多少流量可以 
嗯您好请讲 稍等这边帮您看一下什么 使用八十八套餐它这边是两百二十分钟通话七百兆的流量 嗯是的 
您好请讲 咪咕特级会员是一个彩铃的这个他现在是我们公司这边赠送给您的然后活动的话是到十二月份到期如果您不需要的话等您到十一月份的时候来电取消就可以十一月份的时候取消 对现在的费用六块钱的钱我们公司帮您付不用您自己付赠送给您的 它现在是我们公司帮您付这个钱没有您自己付啊 
您好请说 可以的业务密码知道吗女士 好的号码您报一下 那您密码输入一下按井号键结束你好密码不正确 
您好请讲 你好 稍等一下帮您查询 嗯你有办下个月有办一个购机的活动它是一个月最低消费九十 
呃您好什么帮到您 您的卡都在哪儿用啊是在泉州 ############################################################################################################################################################################################################################################################### 
您好请问您是要新装宽带吗 宽带的套餐是这样子我们现在是有办一个指定的和家庭七十九的套餐那我们活动的合约时间是两年两年期间之内的话是有免费赠送五十兆的宽带以及互联网电视服务这样子的套餐 一年你单独办理包年没有优惠五十兆的宽带一个月六一个月八十一年是要九百六 没有了 
您好请说 请稍等一下 哎 嗯好女士感谢耐心等待五零套餐包的是来电显示啊来电提醒是另外的 
诶请讲 诶您好请问什么可以帮到您 嗯就账单的话目前基本套餐五十八里面有三g的流量在福建都能用出了福建就只有五百兆 嗯是的省内三g都能用手机三g是二点五g省内加五百兆的国内总共三g啊 
您好请讲你好 您这个幺五八上网的本身就是骗流量多的 啊对对 我 
你好 想换什么样的 可以呀您想要换大计什么样类型的我帮您推荐一个 开始用的他手机有需要用到定位吗 
您好请讲 早一点就十块一百兆多的话我们有三十块一个g五十块两个g那种流量包是全国通用的 那就帮您八块的基本套餐想改掉比如说改成二十八它有三百兆三十八有五百兆都是全国通用的流量 只是您如果需要多的我们只能建议您额外开个流量包 
您好请讲 对啊一千两百分钟三百分钟国内通话九百分钟在本地打国内嘛那您目前这边分钟用了还是一千 九百分钟是泉州本地打国内电话三百分钟可以全国用那也就是说如果您都在泉州本地这一千两百分钟都可以打电话 嗯那您另外还有三百分钟国内通用了九百分钟是本地打国内的这些分钟都都可以用的您放心的噢 
喂你好什么帮到您 恩对有叫新飞享八八套餐 要看您有没有同意了如果您要同意变更他们会帮您转转成功下个月生效的 您有同意那您要记得把您自己那个七十元流量啊把这个给取消掉要不然您下个月重复收那个钱不划算了七十元流量还要不要了 
嗯您好请讲 噢游戏飞享五十八的 呃目前的话因为新飞享套餐的话它是针对部分优这个客户然后办理的它一般是属于低于五十八元套餐进行变更啊您现在八十八才改不了 您不要的话被别人现在可能是低于五十八元的套餐 
这个是我们新飞享三十八现在有这个套餐有的 新飞享三十八它是针对新入网的或者是这个本身套餐低于这个套餐才能改您目前已经是八十八改不了这个三十八套餐的 对或者也可以代办代办提供双方身份证原件跟密码到营业厅操作 
您好请说嗯 您好请说 如果您只去两天的话不用办任何业务直接用就可以了 对因为它优惠包最少是三天起那您只需两天没有必要开了 
