为您您好很高兴为您服务喂 幺五零五九幺六四九幺六 
您好很高兴为您服务 幺七七我看一下稍等噢先生您改的是电信的打一万号电信呢 
您好很高兴为您服务 嗯那现在需要的是一个外地号码的服务密码是吧 
您好高兴为您服务 身份证号您说一下 
您好请讲 试问您要一个puk码是吧 
园信息 这里的宽带账号呃您是办上海办不了吗对 
很高兴为您服务 在上海的那您要问您在哪里买您要问一下他能不能从外地的 
您好很高兴服务 密码您这边不要挂机我帮您转首层然后你四号键进入改密码取消的啊四号键 
您好很高兴为您服务 副卡您稍等一下啊嗯嗯总共三个一个是和家庭一个副号码还有个两个适合加副卡已经两个号码 
您好兴为您服务您好 号码不好意思 
您好很高兴为您服务您好 拨号上网的帐号密码吗 
吧 您还有什么可以帮您 
您好很高兴为您服务 这个手机服务密码 
您好很高兴为您服务 啊我这边只能核对没有办法直接告知您可以帮我核对一下 
您好很高兴为您服务 密码是自己设置的然后当时那个给您卡的时候上面应该有密码卡片的六位数的刮开的那上面有服务密码的 
您好很高兴为您服务 您好对 
您好很高兴为您服务 幺三九幺八幺八五八幺八 
您好很高兴为您服务 账单对吧我 
您好很高兴为您服务您好很高兴为您服务您好很高兴为您服务听得到吗你好很高兴为您服务 密码可以设置的如果您忘记的话我帮您转语音平台您按四号键根据提示音来设置好吧 
您好很高兴为您服务 宽带帐号吗 
您好很高兴服务 输入密码我们不清楚如果您不会设置的话可以帮您转接专席让专人知道您一下怎么操作那您这边不要挂机啊为了更好等一下 
为您服务 恩你好 
是那个拨号连接上网的那个账号密码是吗呃这个您用手机发送宽带密码四个字的拼音首字母到幺零零八六他账号跟密码都会发给您的 不客气恩祝您生 
您好很高兴为您服务 密码是自己设置的如果您忘记的话我帮您接语音提示您按四号键重新一段 
喂你好 您好高兴服务 
您好很高兴为您服务 说过什么名字啊 
喂你好 哎您好很高兴为您服务 
您好很高兴为您服务 好麻烦您报一下 
您好兴为您服务 好的 
您好很高兴为您服务 账号我们查不了了您要用手机号才能查询宽带业务的 
您好很高兴为您服务 没有听懂您是要查询什么 
幺三八 四幺零九服务密码知道吗知道好幺三八 
很高兴为您服务 不是这个证件号码名字对吗也不对 
请说 锁掉了手机是什么卡是puk码锁还是pin码锁了 
您好很高兴为您服务 宽带拨号上网的用户名密码密码也没有了是吧 
您好很高兴为您服务你好我想 呃服务密码查不到的只能重置呃请您发送幺零六三到幺零零八六可以进行密码重置幺零六三 
您好很高兴为您服务 是很抱歉这我看不到的 
您好很高兴为您服务 您好您说你好您好请问能听到我的声音吗 
您好很高兴为您服务 啊这个要自己设置的身份证号码您知道吗对您这张卡的身份证号码 
您好很高兴服务 嗯嗯 
移动宽带密码只能是家里无线网呢还是说你 你好家里无线网的是吗家里无线网的那个密码我查不了的您如果密码忘记了要重新设置的 
您好兴为您服务哎你好我想问一下就 嗯嗯电话已登记过名字证件号码啦请您不要挂机为了 
您好请讲 三八七八 
您好很高兴为您服务 密码查不到的只能重置请您发送那个呃幺零六三到幺零零八六可以进行密码重置幺零六七好好好好请问还有什么可以帮您不客气祝您生活愉快再见 
您好很高兴为您服务你好有没有变化唉请讲 呃您是要查哪个号码本机吗 
您好很高兴为您服务 实名认证我们这边人工办不了的实名制认证是要带好身份证原件到办 
呃您好请讲 幺三八 
家里wifi密码 wifi密码我们这边是查不了的因为wifi密码是您自己设置的 
您好很高兴服务 幺三六 
您好很高兴为您服务 啊 
您好很高兴为您服务 呃这边的话您服务密码我们人工是看不到的先生我可以把那个密码如何查询的方式下发到您手机根据这个短信查询就可以了 
您好很高兴为您服务 是查本机还是其他号码呢 
就办那个八十八送话费的活动对吧唉对啊啊我帮您把您手机密码知道吗 那您名字身份证报一下 
嗯单位证件号码您说当前来电这个号码的单位证件号码吗 您这个当前还能这个号码的话呢处于单位的名下然后这个应该是营业执照一个代码 
您好很高兴为您服务 呃我看一下您这号码是公司名称登记的呃必须要提供您公司的那个证件号才可以重新设置一个新的密码因为老密码查不到的 
好很高兴为您服务你好我就是这个是 呃我我这边来帮您查我就是说帮您核对一下您报姓名我只能告诉我还是我现在报姓名叫是不是让 
噢 当然查不到这是您的隐私内容查不到只能查到号码花的时间 
您好很高兴为您服务 恩 
但是这个已经超过 您好有什么可以帮您呢 
您好很高兴服务 出示就是您手机服务密码忘记了对吧 
您好很高兴为您服务 密码wifi密码还是宽带拨号上网的密码 
您好很高兴为您服务 噢服务密码查不到的只能重置请您发送那个幺零六三到幺零零八六就可以重置密码 
很高兴为您服务 对啊欠费停机了肯定会欠费停机呀 
幺三六二幺八八多少 四三零七密码知道吗 
您好很高兴为您服务 噢服务密码查不到的只能重置请您发送那个幺零六三到幺零零八六就可以重置密码 
您好很高兴服务 您好请讲 
您好很高兴服务 您好请讲 
您好很高兴为您服务 幺三七 
不 密码知道吗 
喂唉你好我想核实一个手机号的实名咨询好的先生麻烦您把手机号码报给我呃幺三八 幺三八幺六四四六零八零是吗请您报姓名和身份证跟我核对 
您好很高兴为您服务 你帮我 
您好很高兴为您服务 噢服务密码查不到的只能重置请您发送那个幺零六三到幺零零八六就可以重置密码 
您好很高兴为您服务 您这张卡的话是不是一张四g费是四g卡片是吧 
您好很高兴服务 密码您这边不要挂机我帮您转首藏然后你四号键进入 
您好很高兴为您服务 他可以什么 
您好很高兴为您服务 嗯服务密码的话是自己设置的如果您忘记的话我帮您转接语音平台您按四号键重置一个新的可以吗 
您好很高兴为您服务 幺八七的是的 
您好高兴为您服务 手机号是多少 
您好很高兴服务 你现在属于全球通套餐一百一十八一个月对全球通呢 
您好很高兴服务 您好请讲 
您好很高兴为您服务 手机号码本机号码我人工没办法告知的您可以打一下那个就别人电话现在都有来电显示吗您看一下是多少就知道了好吧嗯不客气那还有什么可以帮您 
您好很高兴为您服务 呃这个我帮您转到自助平台您输入您的身份证号码可以重置密码您稍等不要挂您稍等 
您好很高兴为您服务 呃密码是重新设置的以前的查不到的您可以重新送重置一个新密码的密码的话是一个六位数如果您需要设置的话我先帮您接语音提示您按四号键根据提示来操作就可以了 
您好很高兴服务 手机号码的这个卡的 
您好很高兴您服务呃你好我想核对一下本机的一个实名制的恩好的姓名身份证您报一遍 唉可以核对成功没有问题还有什么帮您 
您好很高兴为您服务 呃这个我帮您转到自助平台您输入您的身份证号码可以重置密码您稍等不要挂您稍等 
服务 方面还需要自己设置的一下密码查不到的是另外的话我可以帮您转一下您按四号键重置一个新的可以吗 
高兴为您服务 您说本机号码对吧我看一下来本机的密码知道吗 
您好请讲 这个号码告诉我 
您好很高兴为您服务 您的密码的话就是说需要您自己查询一下然后用您的身份证和那个姓名可以查询到的我这边把密码查询的方式下发到您手机根据这边短信查询就可以了 
您好很高兴为您服务 您说的是宽带拨号上网的用户名跟密码还是给您家里无线网的 
您好很高兴服务今天 要积分换什么换话费吗 
您好很高兴为您服务 呃哪个号码您这个本机吗本机不是我们上海的我帮您转回您归属地您查询您稍等不要挂您稍等是的充愉快 
您好很高兴为您服务 唉 
您服务 恩对 
您好很高兴为您服务 好的您报一下号码谢谢 
你好 恩 
您好很高兴为您服务 好的您请说 
您好很高兴为您服务 嗯你要要么就是那种发票我们这边有那个就是话费的一个发票发票上面问一下他们它上面的知道什么钱里面有名字的还有手机号 
您好很高兴为您服务 号码不是上海的啊我帮您转回当地幺零零八六 
您好很高兴为您服务 他的哪个手机号码您报一下幺五零 
您好很高兴为您服务 帮我在外省的手机密码吗女士我没有您的手机设置密码的如果你的密码没有了您可以自己去重新设置一个幺零六三发送至幺零零八六自己就可以重新设置不是我这边加一下怎么改呀呀女士我们查不到的我们没有您的原始密码的我们人工根本看不到 
您好很高兴为您服务 呃是查什么服务密码吗其他密码对吗 
您好很高兴为您服务 嗯嗯您说什么名下有两部手机 
可以慢慢游到哪个国家 好的那帮您开通一下之前您开了国际漫游到二十二十七号零点到期了要重新开一下对吧 
很高兴为您服务您好我查的手机实名制您说幺五零 九八二八请稍等好身份证号码姓名报一下吧人数连三四幺二二六幺九八六幺幺幺二幺五七四嗯对正确的还有什么可以帮您您需要了谢谢啊不客气那祝您生活愉快再见 
好您报一下帮您嗯嗯 不对 
您好请讲 那个机主是否实名登记本机号码是吗呃什么本机号码有没有登记是吗 
您好很高兴为您服务 是您来电号办的这个宽带的原始密码是吧 
您好很高兴为您服务 本机吗本机是公司的不是个人的 
您好很高兴为您服务 幺三八嗯 
您好很高兴服务 好的麻烦您那如果对服务满意请评价祝您生活愉快再见 
好很高兴为您服务 呃查号码请报一下 
很高兴为您服务喂您好很高兴 幺三九邮箱密码噢这个我帮这个幺三九下面要自己设置的这个的话我把设置方式发给您然后稍后您根据短信重新设置一个就可以了好吧 
您好很高兴为您服务 幺八二 
您好兴为您服务 呃密码是要自己设置的如果您忘记的话我帮您接语音提示您按四号键重置一个新的好吗 
您好很高兴为您服务 哪个号码办理的宽带 
您好很高兴服务 那个小姐问一下就是说我的 
您好很高兴为您服务 嗯不好意思听不清楚您的声音请您换个方向重复一下 
您好很高兴为您服务 嗯嗯 
您好很高兴为您服务 您好请讲 
您好很高兴为您服务 呃喂您好很高兴向 
为您服务 不是啊 
很高兴为您服务 地方 
您好很高兴为您服务 就那个那个 
您好很高兴为您服务 好的您稍等您身份证号码知道吧但这张卡的身份证号知道的那我帮您转接到语音您根据语音提示重新设一个六位数服务密码就可以了当时不客气您稍等不要挂机将听到该业务详细介绍 
很高兴为您服务 啊自己设置一个就可以了身份证号码知道吗对这张卡的身份证号码 
您好很高兴为您服务 无法得到密码是宽带 
您好很高兴为您服务然后我想看一下我手机的服务密码多少 好的 
您好兴您服务您好要问一下我这手机密码是多少怎么手机服务忘记的话这个只能重新设置了你打幺零零八六按四号键根据语音提示再设置一个新的就可以了 那您根据语音提示操作我帮您转到语音首层然后您按一下四号键好吧好好好那请稍等应该不需要直接上 
您好很高兴为您服务 您的服务密码您是来电这个手机吗 
高兴为您服务您好 您好您说 
您好很高兴为您服务 好的 
您好很高兴为您服务 呃服务密码是客户的个人隐私我这边是无法给您登陆的但是您可以自己重新设置一个服务密码 
很高兴为您服务喂您好有什么可以帮您 呃星级卖什么新卡vip你现在目前的这个是四星级的 
您好很高兴为您服务 另外的话可以重新设置的我先帮您接语音提示按四号键重置一下好吧 
很高兴为您服务 啊公司的对 
您好很高兴为您服务 哪个号码就就是现在打的这个电话他puk码是吗对对对密码有吗您这边 
为您服务 四二幺噢 
您好很高兴为您服务 请说 
您好很高兴为您服务 姓名是什么 
您好很高兴为您服务 恩身份证办了就是解就是这个很抱歉这个我们查询不到的 
好很高兴为您服务喂你好我问一下这个手机号码的姓名是不是叫陈纪呃身份证号码报一下 稍等 
您好很高兴服务 然后有很多怎么去网站注册的 
您好请讲 幺三六 
很高兴为您服务 呃密码知道吗 
您好很高兴为您服务 手机密码嘛就是您当时买卡的时候就有的当时应该是以短信的方式发给您会在您套餐卡上面 
您好很高兴服务你好华夏你我 帮您看可以吗 
您好很高兴为您服务 名下使用的对吧那你把号码小姐 
您好很高兴为您服务您好 二幺九九 
为您服务 恩对 
您好很高兴为您服务你好我想问一下机主是叫张明吗本机对吧本机不是个人名字不是您不是个人名字是吧好好好谢谢啊不客气还有什么可以帮您办这个你好您好请问听得到吗 
您好很高兴为您服务 这个我这边查不到您要查的话要在网上查您的通话详单打通了对吧 
好很高兴服务 恩 
您好很高兴为您服务 服务密码是吧 
您好很高兴为您服务 个人名字登记的 
您好很高兴为您服务条手机实名认证手机幺八三 手机密码知道吗 
您好很高兴为您服务 呃服务密码的话是自己设置的 
您好很高兴为您服务 服务密码查不到的只能重置的啊请您发送幺零六三到幺零零八六可以进行密码重置幺零三幺零六三发到幺零零八六 
您好很高兴为您服务 预不对就可以了您看可以吗可以的请报一下好吧噢 
您好很高兴为您服务对对您好很高兴为您服务服务密码是什么呢 唉对 
您好很高兴为您服务 但是上海移动客服 
您好兴您服务 请讲什么问题 
您好很高兴为您服务 这个我这边没有这个功能的上海移动没有这个功能人工客服没有要么去营业厅才营业厅应该可以查的 
您好很高兴为您服务喂你好我想问请问一下本机机主是叫徐丹皮吗呃身份证号码报一下吧三幺零二二九幺九九零零幺零二三零二六对吧嗯对正确的还有什么可以帮您 
您好很高兴为您服务 嗯嗯 
可以重新设置 为您转接语音您稍后根据语音提示重新设置新的服务密码六位数字 
很高兴为您服务 呃您说的是什么密码 
您好很高兴为您服务 噢服务密码查不到的只能重置您可以发送幺零六三到幺零零八六就可以进行密码重置了一个我我什么什么路幺零六三发到幺零零八六 
您好很高兴为您服务 服务密码是无法查询的看可以重新设置新的 
您好兴为您服务您好 方面问题的话这个只能重新设置了你打幺零零八六按四号键语音提示再申请一下愉快再见 
很高兴为您服务 那您积分兑呃这个服务密码对吗您当时办理的姓名身份证号知道吗 
很高兴为您服务 服务密码这边确实的无法查询到的如果说您要重置密码的话要用幺三六这个本机移动手机您打幺零零八六算四号键再转一号键根据语音方式可以重置新的密码的 
您好很高兴为您服务 号码忘记 
您好很高兴为您服务您好 身份证号码能报一下吗 
您好很高兴为您服务 我想修改一下 
对身份证号码知道吗 知道的是吧那我帮您转接到语音自己根据语音提示设置一个六位数服务密码自己设一个好吧 
您好兴您服务您好 密码的话您把这手机卡上面给到您的一个密码六位数固定那么如果您这个忘记的话您可以重新设置的您打那个幺零零八六按四号键根据语音提示再设置一个新的就可以 
您好很高兴为您服务 二 
您好很高兴为您服务 请报一下名字和身份证号码 
您好很高兴为您服务 手机服务密码他是要自己通过发短信查询的您可以发密码两个中文到幺零八六我把那个查询的方式发 
您好很高兴为您服务对 你报一下名字身份证我看一下 
您好高兴为您服务 你说密码对吧 
您好很高兴为您服务 呃密码的话是您自己设置的我会把设置方式我也没事的话我帮您发送就发送设置方法您自己设置 
您好请说 初始密码每张卡都不一样的初始密码是自己设置的六位数的服务密码 
高兴为您服务您好 好的号码多少 
就是要要要什么密码手机服务密码号 办理的话我们默认会给您一个手机服务密码知道反正直接通知您的这个这个密码的您可以通过我们这边或者您自己登陆我们移动官网网站可以办理一些业务查询可以用到这个密码 
为您服务 好呃姓名身份证 
您好很高兴为您服务 您好很高兴为您服务九二我要 
您好很高兴为您服务喂你好你好 嗯嗯 
