诶你好 呃请说 哎你好诶我像我这个手机如果是在跨地区一分钟是多少钱呐打 帮我查一下您稍等一下您这张卡现在是在整个大陆打大陆的移动六分大陆打联通电信是两毛 
您好请讲 呃我问一下我那个手机是不是有什么功能打开了 帮您看了一下除了基本套餐还有个来电提醒彩印彩铃其他的没有了 那个彩铃要不要收钱了 
您好请讲 喂你好那么一个g是不是三十块啊 呃本机号码请稍等我看一下让我方三十元流量套餐十一月一号申请生效的套餐二零一七版一三十块钱一个g 呃三十块一个g 
你好 你好帮我查一下那个呃七十块钱两g的流量现在需要补多少钱的月租 噢好我看一下 问一下我 
您好请讲 哎你好麻烦你反映下本机是多少钱一个月套餐 您现在是飞享的十八套餐 我十八有多少流量多少分钟呢 
您好很高兴为您服务 你好帮我查一下我这个本机套餐是多少钱的 您本机套餐是三十八 噢那就给我改十八块啊 
嗯 他您好很高兴为您服务请问您要帮我看下我这个钱套餐一个什么收费请稍等正在为您查询 一下 基本套餐费八块钱然后其他没有了没有其他费用是吧对因为还有就是那个这个号码已经 
嗯嗯您好请说 可以就请问一下那个流量用超过一一兆扣多少钱 超出一兆的话是两毛九 两毛九 
您好请说 哎那个现在的流量我我流量包用完了然后想问下再开通个流量的话一个一个一个月交多少钱 您看需要亮了比如三十块一g的够吗 三十块钱一g的是吧那可以啊 
您好很高兴为您服务 那你帮我查一下这个手机号码的每个月套餐费是多少钱啊 请稍等一下呃您好三十八块钱 噢就是有一个便宜的啊 
您好请讲哎您好 您好搞那个开通一个g流量多少钱 一个g的话如果是包月的话现在是三十元一个月呃您是这个月要办吗 对啊 
嗯嗯您好很高兴为您服务 诶请帮我查询我这个号码怎么收费呀 您的号码是那个神州行轻松卡就不用月租就是每个月的话您的上网流量五块钱来电显示六块钱加上小孩子在学校的校讯通八块别的业务就没有了 那五块钱的费用什么块钱 
您好高兴您服务您好 诶你好诶我想问一下我这个呃这个号码的话它现在的话套餐是呃是多少钱 您现在办理的是一百五十八块的飞享套餐另外有开通一个七十块两个g的上网流量包 呃七十块两个g的上网那你能帮我把七十七十块两个g的上网包给取消了吗 
什么嗯您好请讲 哎我问一下就是那个家庭网络那种就是那个电视盒要是以后更新还是安装什么都里面要扣费吗 噢就是安装是吗安装号键都是需要那个安装费的 不是我就是说你以后电视里面以后你那边要是我里面有更新不是下来安装就是里面收可以一般会更新了要钱吗 
您好很高兴为您服务 你看一下我的套餐是多少钱的 噢好的请您稍等谢谢嗯 他打电话块 
您好请讲 多少哎你好我刚才关了一个什么就是那个就是特级会员免费专属临河就是免就是要费用的吗 这个是免费的您这上面这个无线音乐俱乐部它这里面水的费用对 噢那我刚才以为这个是要钱给我关掉了 
您好请讲诶 电话本机的话他拨打呃因为我这个现在好的哎这边呃呃拨打的话一分钟是多少钱 呃您再说一下刚刚有点断断续续没有听清楚您说什么打多少钱 都那个订对 
你好请说 诶你帮我看下我这个套餐是多少钱呢 嗯您是十八块钱的费用 他有没有还有没有其他什么什么套什么什么什么彩铃彩印订啊这些的有没有另外其他的费用 
你好 喂你好我想请问一下您全球通它现在最低的套餐费用是多少钱 八块钱一个月 啊 
您好请说你好你帮我查一下这个这个话费扣的测试什么啊 好稍等一下我给您查一下这个月的吗 啊这这这个月了 您这个月套餐是三十八套餐加一个来电提醒二九 
您好请讲 呃你好我想问一下我这部手机是怎么收费的 您本机号码有哪些收费业务是吗对对对有哪些业务就是您一个神州行的家园卡套餐费五块钱保底消费十块然后来电显示六块其他业务的话没有了就按照正常收费 啊那五块是什么钱你说 
还有什么可以帮您 的 哎你好是这样子的 就是说呃我现在这个只有接到电话卡是福建宁德的现在在福建福州来打这样子的话那个打一接打是接听是还有打电话是多少钱一分钟这样子 
您好请讲 身份证我们我们有办了一个号交易这个多 和教育是吗我帮您查一下呃有一个和教育的没错您不需要是吗 一个月是多少钱 
您好请讲 你好 噢你好 呃您说 
您好请说 喂你好 你好 啊麻烦你帮我查一下我这个是多少钱的套餐啊 
您好很高兴为您服务 你好诶我只是这样的噢嗯我刚刚有信号说你们那边咨询什么那我用套餐这个是多少钱的八十八幺三二 哎它原价是幺三八那第一年的话有做活动每个月给您返还五十块钱是从呃 噢然后现在是呃就是就是反正所有的东西短信流量短信呃流量这块免费用是吧 
您好请讲 喂你好你帮我查一下我这个手机把我那个另外一个给我绑定那个家庭网那一个怎么有经常打过去它手机之后关机的话它一条短信过来那个要给我说要什么费用吗 呃这是来电提醒 可以那个灯要增加什么费用吗我手机啊 
您好请说 诶给我看下我原来这个是多少多少钱的套餐 十八块钱的 十八嘞 
您好请说你好 诶你好 哎先生您好 呃我想请问一下呃我现在这个手机就是家庭网然后了吗我的五五幺五二的这张漫游的情况下呃拨打要不要收费了喂请问一下拨打 
您好请说您好 喂你好请问一下本机是多少分钟了 对对然后您这边是一百分钟呢一百块钱套餐诶 好的还 
嗯嗯嗯 您好请讲 稍等喂你好问一下我现在真的给我看一下主套餐有收收到什么免费赠送你们是吧 呃这边下个月的话有转为一个新飞享三十八的套餐也是三十八然后它是三百分钟然后 
下午好很高兴为您服务 诶你好我想查询一下我我我这个那个手机丢了没什么用我看了好像今天来来电显示现在来电显示要不要钱呢一个月 本机的来电显示送的不用钱 我这个手机的是吧 
您好请讲您好 诶你好我想问一下我现在的套餐一个月是多少啊 呃一百二十八然后的话你还有一个三十块流量包 噢你这样噢那我想问一下我把流量包取消可以吗 
您好请问什么可以帮助您 诶你好我这个有来电就是那个给我关机了嘛然后开机的时候它就提醒我上次给我打电话了吗然后这个有一个就是短信就是一个是两毛钱对吧 来电提醒业务有提醒就扣费嗯 噢那我这个能不能取消啊 
您好很高兴为您服务 你好我这个月租卡是多少的 我查一下月租费是八十八 哎换吗 
您好请问有什么可以帮您 我现在发现我买的套餐 需要查询本机办的业务对吧 嗯对对对对那您稍等马上帮您看一下 
您好 呃喂您好我想咨询一下开通那个什么国际漫游的话是怎么收费 行呃本机要开吗 呃我是咨询先咨询一下是怎样收费的 
嗯 您好很高兴为您服务我那个手机是多少钱套餐有什么套餐有那种 移动流量是一场二十八元的套餐里面有一百分钟在泉州打全国的时间还有三百兆的流量还有来显 噢三百兆流量是吧啊没错 
您好请说什么意思啊恩你好 呃我订那个 新闻噢 去金门短信在金门花我们大力的短信怎么收费呀 
您好请讲 的我一个月拦截功能 你好什么帮助吗 诶你好请问一下现在那个你们移动的宽带它是怎么收费的 
您好您说 诶请问我那个我们那个我有个咪太嘛然后它是这样子这个移动的然后一天一g吗超过一g另外收费那超过一g的话是怎么收费啊 操作一次嗯嗯操作它一天最低流量王套餐超出话一兆两毛九来扣费达到六十块钱一次性的费用来进行计算的 我那我超一g要多少钱呐 
噢 啊 你好请说 诶你好呃麻烦你帮我查询一下现在这个套餐是呃多少钱的一个 
您好请讲 你好我想咨询一下就是我这个号码我想转接到另外一个卡上面转接要收费吗 呼叫转移分钟一毛钱 噢接电话还要一毛钱啊 
您好请讲 呃你好呃就是我想请问这种这八十八块钱的套餐流量到是省外的就是流量怎么算的 我的话需要另外收费的您现在今天流量只能在省内用在外省要另外扣钱返 这办一个点一下吗 
您好请讲 流量套餐帮我看一下 流量套餐是吗 嗯是多少钱的 
您好请讲 噢是这样的我的套餐是二十八元是吗 是 那我帮我改成嗯再便宜点十八元的吧 
您好请讲 喂你好 什么可以帮您 他中午再再打个电话他说我这个下个月帮我开通那个三十八块的那个套餐 
嗯嗯就是您好很高兴为您服务 喂你好请问一下那个共享流量流量包那个四季要收钱了 噢如果是家庭成员共享就不用钱那如果是非常里面成员之间共享的话功能费到十二月三十一号之前只收五块钱一个号码 嗯嗯等于说家庭网的成员不用吗 
请问一下我这张卡那个啊分钟后来工作人员怎么算多少还是 您稍等一下有什么六百你好您的流量的话已经用完用超了超了五十六块钱 那您的流嗯套餐的一兆是怎么算多少钱 两毛九 
您好请说 喂你好你就那个现在应该一g流量我现在开是扣多少钱 一个g流量它原价是三十块今天开的话它只能用五百兆然后费用的话差不多只要扣您那个十四块有四百七十一兆 四百七十一兆 
您好请讲 诶你好那个最近在哪里那个套餐呢就是那个流量套餐 呃流量包的话还是有的呀您要用到多少流量呢 流量包那个加油包是十块钱的是吧 
你好请讲 哎你好哎 呃请说怎么了 我现在想去美国吗然后你这个看一下就是如果我好像没有开通这个通话的 
早上好请讲 呃你好我问一下牵宽带现在多少钱噢女士这个号码家里要新装宽带是吗这样子然后我我不想嗯不连接那个这个手机号嘞 那您可以用其他号码打过来我们帮您转宽带专线给您详细介绍一下 就是要这个号码才可以吗才可以牵宽带吗 
不用了拜拜喂你好 诶您好请讲 诶请问一下像我是多少钱的套餐我是是三十八的套套餐 对对八十八的套餐然后办理宽带业务嗯您说 
你好我现在就可以通过我只收一百五六零您好他不会收取能听见喂喂你好请讲诶我这个国际漫游开通的网络 好您稍等马上帮您查一下 你好中国移动的意思这边查询二十一号 国际漫游开通 
您好请讲 呃你好我想请问一下呃移动的啊那个呃菲律宾的电话一分钟是多少 嗯嗯您在本地打是吗 呃对 
哎 嗯 您好请说 你好诶我想问一下我办了一张那个的主卡那个上网那个划算吧 
您好很高兴为您服务 诶麻烦问一下那个宽带里面也人家一年多少钱 帮您现在的话没有优惠五十兆宽带包年的话要九百六一年没有 那九百六啊 
早上好 你好那个我想问一下我不是装那个宽带吗好像可以免费家那个网络电视是吧 嗯噢您是说那个宽带您要互联网电视是吗 对 
早上好 诶我这个我一个月套餐要多少钱的帮我查一下 好的您现在用的套餐是上网一百五十八块钱套餐 一百五十八块套餐那几g啊 
回来您好高兴您服务 诶你好请问一下我现在人在香港日本现在这个流量是怎么算的就是wifi的流量就是我们的流量手机该怎么算 您如果是在香港的话 那就是那个三兆 
嗯 您好请讲 你好我想问一下我这个套餐每个月多少钱 好的我看一下套餐是三十八的套餐三十八对然后包含了本地通话一百分钟五百流量 
换点那个长或者对对对对就你好你说特别大那个我想问一下我这个套餐是多少钱的流量有多少 呃这张卡目前使用的是五十块套餐包两g流量跟来电显示 短g流量 两个g就两千兆 
你好 诶你好呃我想问一下那一个哦你们现在不是有有一个那个一天一元五百兆的那个卡吗 噢对日租卡 呃那那这个收费怎么算一个月还要再交九块钱的那一个是吧现是月初然后一天收您一块钱五百兆流量这样子呃就是说如果这张卡不用的话一个月就是只要九块钱是吧没错不上网一个月加九块呃如果要上网就是一天交一块钱 
很高兴您服务 喂你好 诶您好请讲 麻烦你帮我查一下我这张流量卡每个月多少钱好不好 
您好请说 喂 你好 你好那个我办理宽带啊多少钱一个月 
您好请讲 我问一下就是现在办个宽带是多少钱呀 呃我这边马上帮您转宽带客服您可以了解一下具体资费啊 噢 
嗯嗯 您好很高兴为您服务您好 呃你好 您好请说 
很高兴为您服务 诶请问下你们那边流量包都有什么价位啊 流量包是吧 对对对流量包 
您好请说诶你好帮我咨询一下啊我帮我查询一下这个本机哎总的套餐是是怎么消费您这码卡是无线座机的请问你一下是无线座机每个月通话保底消费十块钱只要您在就是南安省新片区这边的话拨打就是本地的本身泉州的移动号码两千分钟之内免费就是说就是在我们自己南安南是里面的范围然后打打出泉州的拨打泉州的移动号码 噢 就是两千分钟没呃免费的对如果超出的分钟数或者是拨打非移动的号码那么前三分钟按照每分钟两毛噢两百分钟按照两毛钱后面按照每分钟一毛钱来计算就是是打打打本地电话的 噢 
很高兴为您服务 喂你好 诶您好请讲 那个呼叫转移接电话是不是也有消费的 
您好请说 哎你好我想问一下我这个套餐是多少钱的套餐 您稍等我看一下您现在是我们这个三十八的套餐然后另外的话您这有个宽带的业务然后每个月是收您四十一块活动是从这个月开始要收费的其他没有了 嗯那我问一下我这三十八块钱的套餐里面含多少流量呢 
您好请您说 你好呃我手机号是开通了一个流量的安心包啊是没错 有开通呢 嗯它是收费怎么收的 
嗯您好诶您好你你帮我查一下那个步行街的那个二十七栋九十几号的宽带你帮我查一下费用 呃您是 本机号码绑定的移动宽带续费对对稍等一下 感谢耐心等待您本机号码办的那个宽带是一个月三十就您说的那那个账号的尾数零幺的那个它是一个月三十一块钱买一年送一年呃今年的九月份是这个第二年的第一个月了 
您好请讲您好 哎你好我这个套餐是多少钱你帮我查一下 八十八块钱一个月的现在好像有个新的八十八块钱的套餐取消要这个套餐呢就是新版的二零幺四版版的您现在是要改这个套餐吗我我想了解一下套餐那种是什么它是这样子的嗯三百分钟全国用的然后九百分钟本地打国内电话加起来一千两百分钟国内流量五百兆省内流量四千六百二十兆加起来的话是三个g的 噢就是流量就是就是它的通话时间就等于说如果在本地去打国内电话也是有九百分钟免费通话时间啊对在厦门反正我用我原来是我原来只有三百对不对 
您好请讲 等下你帮我查一下我这个宽带多少钱呀 您稍等我帮您看一下噢先生您好感谢耐心等待您这个是到二零一七年的十一月一号到期十一十一月一号 那这个那我那个但是发发短信过来他说还有十五条 
您好很高兴为您服务考虑保留 哦你你帮我查询一下我现在套餐是多少钱然后还有什么其他附加的套餐吗其他的业务套餐帮我查询一下 好的稍等对您这买月租费五十八元的有个来电提醒两块钱 噢知道呢 
嗯您好请说 诶你好我想咨询一下那个宽带装装你们有限那个也是网络电视的话需要二十块钱充值费吗 噢对他是有个安装费对 那我现在呼叫安装也要收嘛我之前呢也要收吗 
您好很高兴为您服务 啊我问一下我那个套餐一个月是交多少钱噢 您这边是和家庭九十九的套餐 不是我一个月好像是不是交九十九元还是五还是他有补贴多少我去交六十元吗 
噢您好请讲嗯 哎就是我我今天人人在香港吗这边的话那个流量的话十块你们有没有什么区有没有超过七天了好的 呃请问一下先生您在香港几天呢 一天嘛一天一天两天吗 
没有 您好很高兴您服务 喂你好我想问一下这个套餐都有多少钱呢 嗯女士您现在办理是十八块钱的你要更高的还是想了解更低的呢 
你好 好 您请说 喂你好我我这个我这边真的不是装那个装宽带嘛他们现现在你给我说那个订工作人员跟他讲有装的时候他给我充上去 
您好请讲 啊我想开通一下那个国际服务了通话的 国际漫游是吧 嗯 
您好请说你好我想问我这边分钟打完了嘛我就申请怎么就打完了是不是好的 那马上帮您检查一下请您别挂呃您是说的没错分钟数目前为止帮您查询用完了 就打完了分钟到多少分钟啊 三百五十分钟 
你好请讲 嗯小姐问一下我这个这张这个套餐如果一百分钟用完以后每分钟是多少钱 呃超过以后是一毛九一分钟 噢我这个一百分钟是免费是不是 
您好请说 不要哎你好嗯我购买一个流量怎么怎么怎么过来 先生您需要多少流量呢 块钱 
呃很高兴为您服务 可以诶喂我请问一下那个飞享套餐八块钱一个月八块钱的飞享套餐是怎么回事怎么收费的 八块钱里面有三十分钟免费通话来电显示其他就没有了 三十分钟什么 
您好请说 喂请问一下我这个当地卡那个这个福州问题能用的时候是怎么收费的吧 福州是吗啊呃这边的话是全国接听免费全国拨打一分钟一毛九 噢全国免费一分钟一毛九啊对哎行是接听呃挂机 
您好很高兴为您服务 诶你好诶我想办理问一下诶我这这这个卡是打和接是多少钱帮我查一下看一下 接听要钱 嗯嗯 
你好嗯 您好请说 喂你好我想问问我这个套餐费和上次查的那个我宽带退订了有没帮我退掉了 好您稍等我马上帮您查一下记录好的 
您好很高兴为您服务 喂你好 诶那个 我想问一下我这套餐是是三十八元的是吧 
您好请讲 嗯你好我想问一下那个这卡那个办那个无线那个流量卡那个那个就是要多少钱一个月 无限流量卡您在本地用还是在福建省 还有什么可以帮您的来 
你好 喂 您好请说 那个特色那个手特设加油包那个 
诶您好 诶你好 嗯 那个我想呃我想问一下现在异地接听电话还要漫游费吗 
很高兴为您服务您好 呃你好请问一下你们现在移动这边最便宜的这个月套餐是多少钱啊 十八块 二十八块的是吧但是哥哥地方的这个营业营业点都能办理是吧 
从这个 月就能查嘞 哎你好你帮我看下都是我这个套餐是多少钱套餐 噢十八块的全球通 
很高兴为您服务您好 嗯问一下你这这个这个卡如果达到那个莆田涵登那个这个话费怎么算 您稍等我帮您查一下人是在福州打是吗 人在平常啊 
您好请讲你好 呃喂您好 请问小姐 问你一下噢那如果手机呃如果我到厦门有没有长途费用 
嗯嗯 啊 您好请讲钟您好诶您好我要拿那个五百兆流量多少钱啊五百兆因为现在已经是十九号今天没有刚好五百兆的有四百三十七兆十二块八这个可以吗五百兆流量啊我不知道现在没有五百兆的就是有四百多兆的十二块八可以吗你好这个套餐 
您好请讲 呃您好我刚才的话就是呃查到的话我这边的话呃有来电提醒的一个一个业务每个月需要三块钱是吗 我看一下啊嗯您好您这边对有个来电提醒那来电提醒的话我查了一下您这边是有个活动的优惠三个月的您是呃有用吗不用我直接帮您登记活动到期的时候给您关掉一下 嗯我那我我想问一下就是我现在的话那个四g的飞享套餐的话它是里面就没有来电提醒不是没有来电 
您好请说 我想问一下就是要是别人它说什么要我的电话号码然后做那个什么学联系学校的无线就是注册那个是要收费的吗就是拿那个电话号码去那个注册那个学校的wifi吗那个是要钱的吗 注册学校的wifi办学校宽带吗还是什么 不知道 
您好请讲 喂你好 诶您好 诶这个本机套餐是十八块的是吧 
您好请讲 诶现在三十八元套餐呢那个现在是怎么算 多少八十八吗 三十八 
您好请讲您好 你帮我查一下我这个办的时候现在办这宽带是怎么收费的呀 好的那您先稍等一下我马上帮您看一下 好我们已经 
哎您好请说 你好我帮我查一下我这个手机号码绑定的这个宽带是怎么收费的 宽带是吗稍等一下我帮您看一下 啊然后改一下手机嗯 
您好高兴为您服务 诶请问一下流量对一百兆多少钱 一百兆十块 十块在本地银行卡买一百兆买十块钱 
嗯您好请说 对你好那个我想咨询一下那个港澳台开通港澳台港澳台那边这个 玉 漫游的这个业务 
您好请讲 呃您好我想请问一下你帮我查一下我现在补寄这个套餐啊到底是多少钱一个月的 好我帮您看一下啊 恩 
您好请讲 不了诶你好我这个套餐是多少钱呐的 套餐是十八块钱的套餐 我上个月是消费了多少钱呐 
您好什么帮您诶喂你好我想问一下呃 这个发一条短信是多少钱 呃一条短信是一毛 密码噢 
你好早上好 喂你好我想这个我这个本机的套餐费是多少的 呃您用的基本的套餐八十八块的 那我能更改吗改成那个三十八或者四十八元的有没有 
早上好 哎你好我想查询一下那个如果办那个国内流量的吗当天的是什么费用 好的我帮您查看一下确定 嗯嗯就是只有 
呃你好请说你好我想问一下我目前这个套餐是怎么资费跟我说一下喂你好哎验证码您好 您说呃您好不好意思您刚才声音太小我这边没有听到 我说我目前手机是什么套餐 呃您目前是八十八的套餐 
哎您好请说 呃我想问一下我这张卡现在在外地接电话要不要话费呀 不用这张卡全国接听免费离开厦门打电话也是一毛九 嗯那我想问下打电话嘞 
您好很高兴为您服务 二我我问一下我如果 挂短信给别人的话 你那个全花 
您好请说呃 嗯请问那个加油包出初始化一个g多少钱 加油包如果一个g要您就可以开那个原价我帮您看一下有个便宜一点的因为它一个就不到一个g点的就是原价五十块现在只要收您二十一块三毛七然后流量有八百七十五兆 那全国的是不是全国的全国它这个是全国流量然后请您接入取消的二二十呃是八百兆多 
您好请讲 我我帮我查一下我套餐是多少钱的 啊好我查看您本机号码现在用的是超级网聊三十九套餐一个月三十九块然后下个月一号就改成新飞享五十八套餐 噢改了十八套餐呢 
您好请说幺喂你好诶您好诶我 问一下我那个流量是省内流量但是我连现在在河南的流量是国内流量已经用完了这个流量是怎么算的超了超了保证超了七八百兆 您在外省是省内用 我现在人在河南的 
您好请说您好 我这个套餐是多少钱的嘞 您套餐现在是八块钱然后外加每天一块钱一个g的本地流量 你说多少钱 
您好很高兴为您服务 喂 你好 喂 
您好请说 诶现在装宽带的话多少钱呢 啊现在有两种方式就一种就是说有一个宽带套餐就说办一个七十九元套餐它就免费送您宽带嗯省外呢就是有一个包月的就是一个月六十块钱这样 噢那个七十九套餐是包年的吗 
您好请讲 诶问一下我这个呃套餐嗯是多少钱呢 套餐是八块钱的 有包含三十八块 
您好很高兴为您服务 诶请问一下那个我的那个呃套餐以外的每分钟要多少钱啊 呃您这套餐以外每分钟多少钱是吗呃一毛九 我套餐已经用完了这个是吧 
您好很高兴为您服务 嗯比如说我这张卡拿到山西套餐会怎么算的上网 它流量的话只有省内流量在外省的话它要那种就是另外就是开通国内的那种流量就等于说它套餐有个十块钱一百兆的那就说那一百兆流量就是全国的 噢那你可以帮我开通一下吗 
问题吗您好请说 你好我想问一下我现在套餐是多少钱的套餐 呃五十元流量卡自带两个g的 嗯不是那有其他的套餐吗流量多的 
好请说 你好呃帮我查询下这个卡呃套餐接电话交钱吗 接听的话是免费的 接听免费不还是任何地方打这部手机都是免费吧 
您好 诶问一下我们现在有一种什么新乡经超微信想费套餐是怎么资费是什么样的 就新飞享套餐是吗 噢可能是诶 
您好请讲 哎那个美女请问一下我现在本机套餐是多少钱的套餐 噢我帮您看一下您本机神州行本地二十八块的套餐 对对对 
您好请讲 你好今天今天有个那个什么幺二五八零的一个什么短信的那个那个那个那个那个那个什么包啊那个是要收费了吗你帮我取消掉呗哎 噢幺二八零那个生活播报是免费的要取消吗 呃取消吧好像那个一直跳一直跳跳而且占用很大 
您好很高兴为您服务 喂你好我想咨询一下我这个号码办理那个宽带的费用问题 好的那这我要帮您转接到宽带时的您详细咨询一下好吗 嗯嗯 
您好请问什么号 喂你好 您好您说 我想我想问一下就是说呃现在这个我那个飞享套餐二十八流量的你们这个语音通信五十元二十分钟是免费的吗 
您好很高兴为您服务 哎你好我想开我想问一下我要是开通就是几天那个国际漫游的话收费是怎么收费啊 但是按照每个国家资费不同收到然后这边国际漫游只是一个功能不收您费用您需要哪个国家 呃日本 
高兴为您服务 呃喂你好我想咨询一下你们那边宽带的这个情况就是一年多少 宽带是什么问题是办一下宽带对吗 对新办宽带的话就一年的费用是多少上就问一下 
您好很高兴为您服务 唉你好那个我想办一个宽带就是这个现在有什么套餐 呃宽带的话有那个按年收费的还有那种承诺消费送宽带的 有呀 
您好很高兴为您服务 哎你好我想问一下我们这个手机号码的那个宽带业务是不是到期了 嗯来电号办的宽带吗 对就这个啊这个号码办的宽带 
六九二九九 您好很高兴为您服务 再见我现在 您好很高兴为您服务 
您好很高兴为您服务 喂你那个我看刚才在官网那个什么关 不客气 下我本机号码的套餐 
您好很高兴为您服务喂你好我想 这个买这个流量是怎么买的咨询一下 买流量是吧本月的话您可以买一个三十块钱有三个g的流量都懂 本月是三十块钱没包有有三个g的流量 
对您好高兴您服务喂你好这手机这个月套餐那个十六元的充资费是怎么收的 您说十六元的对吧那这边就是说是这样子的您不是您是要改套餐是什么 我想问一下咨询一下 就是现在现在没有十元套餐现在最基础就十八元的 
您好恩 嗯嗯我想问一下我手机里面有个魔百盒还是送那个对 魔百盒是什么 是那个是什么费用啊是什么费用是吧它那个是 
喂 您好请讲 唉你好我问一下我刚才这个手机跟弄的那个号码我告诉你听一下好吧 幺五二幺五二幺五零幺八二六幺八二 
您好很高兴为您服务 这样我问一下我这个号码到外地打打电话的话呃接电话要钱吗到外省是吧对对对额外省的话您打电话 您这个是铁通固话不能到外省用的呀应该是固话 外省用不了了 
哦 呃您好很高兴为您服务 唉你好呃我这边是想问嗯手机号码幺三七诶零幺六六五四八零然后开通那个就是去台湾的那个漫游费用 国际漫游是幺三七零后面多少 
您好很高兴为您服务 唉你好你帮我问一下我这个套餐是多少钱的 套餐十八块的呀十八块唉对 噢他有没有赠送什么东西啊 
您好很高兴为您服务 喂你好我想我想呃这个套餐下个月给我改成那种流量多一点的就是电话少一点的它是多少钱一个月的 流量多通话少流量大概需要多少 一个g的因为我上一个月就是一个g的 
您好兴为您服务 哎你好我想问一下啊比如说人家打电话给我我把人家 按取消这个算通话的吗噢普通话呀不通话对吧对是的 不扣费的对吧 
您好很高兴为您服务 你好我想请问一下现在四g套餐里头最便宜的是多少钱 便宜的能改的最便宜是十八块 噢然后就给我打电话怎么说有六十八有七十八的你说十八块是开通东西 
您好很高兴为您服务 喂你好什么你好唉我想请问一下我是就是通话两百分钟两百二十分钟通话断掉了有这座机分钟啊 你什么时候一分钟 一毛九啊 
您好很高兴为您服务 唉你给我 十块钱扣多少流量十块钱十块钱可以改一百兆 就一百兆啊 
您好高兴为您服务 喂你好 请说 唉你好那个我的套餐还是怎么收费的 
您好很高兴为您服务 哎你好我想问一下就是咱们现在这个宽带一百兆现在是多少钱 呃移动的呃家庭宽带一百兆对吧先 噢对 
您好很高兴为您服务 唉我请问一下话费啊就是说到这个柬埔寨去这个到了当地以后我跟导游之前这个话费多少钱不在 柬埔寨对请稍等一下好谢谢呃您打国内电话的话九毛九一分钟对对 哎就说充钱不在打到国内是吧九八九就是说我是在当地我跟这个名字 
您好请讲 噢 现在 我想问一下你能帮我查一下我现在用的这个套餐是每个月几块钱的套餐 
您好很高兴为您服务哎你好我想问一下这个流量十块钱流量多少 十块钱您是说这个月临时加十块钱吗 嗯我现在流量没有了吧还有零不再闪的 找一个十十块左右这个九块两毛四一百六十一兆下个月我们 
为您您好很高兴为您服务 唉你好我问一下我现在这个手机是集团短号是多少钱一个月的呢 公司短号是吧我刚才 这样的再见 
您好很高兴为您服务哎你好我想查一下这个呃电话卡的资费的状况您现在是一个神州行的大众卡十块钱 其他消费就想稍等一下啊嗯嗯其他收费项目就没有了就这些 啊我现在就是就想改一下这个资费就是说改成比较优惠的可以上网的那种流量吗噢您上面还有个一块钱的ip长途 都可以我就是十一块那如果您流量的话一百兆流量够用其他通讯 
您好很高兴为您服务 唉你好呃我想问一下我想那个到日本开通海外漫游呃就现在的费用是怎么日本是怎么计费的 呃您在日本那边接听电话我看一下是呃一块九毛九一分钟打回中国内地的话也是呃是两块九毛九一分钟 嗯那上网呢 
您好兴您服务 唉先生你好 您好您说 呃我我上次那个上个月的呃是手机给我一号包帮我给问一下那个那个写了八套餐那个反正不可以用现在这个不是给知道的行不行 
您好兴您服务您好 不是我现在像月底下个月用十块钱大大概现在不是现在到月底的话大概加多少兆了呢 十块钱现在看一下我帮您看 免费你看一下吧 
公司唉 您好很高兴为您服务 唉你好我想唉问一下那个其他我的那个话费对吧十月份的话费里面有一项就是其他费用呃总的是一千一百零二点一九元然后刚才我问问那个人工服务改他说里面有一笔宽带的那个费用那么我想问一下具体宽带到底是多少钱 宽带因为是这个手机号码办的宽带对吧 
您好很高兴为您服务 唉唉唉小姐我问一下啊我我们是嗯本来是三十号最后一天八月三十号呢我我换了一个就是我家里的都我是群呃那个呃就是家里的那个六个人就是互打电话可以免费的就是我是我定的后来我换了一个号码然后呢你们不知道工作人员 就是 呃三十一号没没让我这个就换成我就是一号我再打电话证实一下他说哎呦昨天没人跟你那个呃上面就是呃换个号码看不到然后他一号跟我换的现在换成功了我只是想问一下我们现在商户再打电话就是能嗯一号换的能不能就是呃算不算嗯成立了就是通过了 
很高兴为您服务 你好我是想咨询一下我这个套餐是有一个叫什么就是这种充值亲情电话就是每个月同步了以后就是那个互打信息的互打这边就是说是是免费的 对是的 三块钱随意聊现什么问题对对对名叫我就是想问一下我一个进去如果在外地的以前不是外地要这个就是那要要那个叫什么漫游费吗现在不是漫游费取消了嘛我就这种情况下如果他在外地的话我打电话也是可以免费的吗 
您好很高兴为您服务唉你好 呃我想问一下今天是八月一号我那个宽带费应该扣掉了吧 嗯我看一下您上个月装宽带是吗 呃不是去年去年装到今年正好到了吗八月份 
很高兴为您服务你好您好请说恩 我向你们反映就是我的幺零二幺零八幺八六这个号码的问题啊 幺五零二幺零八幺八六九是吧 对 
您好很高兴为您服务 你好是这样的我现在流量不够了 恩要加流量包是吗 呃呃就是说要全国都能用的那种 
您好很高兴为您服务 哎你好我想问一下我现在套餐的那个流量快用完了我想问一下你们有什么加流量的那手机卡密码有一个任我翻活动一个套餐计算可以加二十块钱再给您是 两一点五一二十块钱一点五g 是每个月二十块钱每个月加一点五g就开这个月啊 
您好兴您服务 哎你好我想问一下我这个手机今天的话我想开通一个呃去日本当地的话一个流量一一个流量包你们这边怎么收费的呀 首先开通国际漫游啊这个好之后的话然后再看一个是针对日本的一个流量包这边的话里面有三天五天七天的 啊我能够定向开某一天嘛因为我是某一天会在那边其他时间的话我不需要 
