诶你好 呃请说 
您好很高兴服务唉你好呃行那那我这边的一个流量和套餐的费用是一个什么样的情况 您下个月改的是一百五十八套餐呀下个月还是这个价格就是免费申请了一下有五百分钟通话三个g的流量再送三个g 
嗯嗯您好兴为您服务 唉你好稍等我在你们这个营业厅上面看到一个什么二百三十八那个全国免流量的那个套餐吗然后 
高兴您服务 哎呃不好意思您这个宽带是吧 
好很高兴为您服务 你好我想咨询一下我这个唉嗯这个卡的那个流量是吧我想在上海他一块钱五佰兆我想这几天我想有一点事回老家我想想它那个流量是怎么算的呢 
您好很高兴为您服务哎你好我想问一下就是呃家庭就是我现在有个套餐嘛家庭成员之间互打电话是不收费的吗那如果有成员是在外地的话我们之前互相打电话是也是免费的吗 在上海号码打它是免费的就是他在外地还是要收费 
您好很高兴为您服务 喂你好请说哎请问下现在打长途呃这个打那个长途电话现在全部是免费的吗呃全部是呃取消的话那也得长途电话费 
您好很高兴为您服务 喂你好我想请咨询一下就是说我这个号如果是用打那个中国电信的话收费吗 
您好很高兴为您服务 喂你好 
喂先生您好喂你好就是我想问一下 是从九月份开始不是已经没有那个长途那个漫游了吗 
您好很高兴为您服务 唉你好就是我想请问一下现在就说没有那个漫游费了是吧 
您好很高兴为您服务 哎你好我想在家里那个网站多少钱移动的那个杜专线 
您好很高兴为您服务 解决流量喂您好我想问一下我是日本想办理漫游的话不收费的 
为您服务您好 喂你好呃我看到那个我小区里面有有有人你们呃那个移动安装那个网络广州的那个你们那个员工后来我问了想咨询一下就是说现在小区里面 
高兴为您服务 唉喂你好呃我想麻烦你帮我查一下就是我这个号码现在呃每个月的那个就是套餐是是多少钱的套餐我这个应该是一百一百零八的好像 
您好兴您服务 哎你好我想问一下那个嗯十六元的那个神州行啊叠加呃一个订购过全国漫游包那现在你们不是取消长途漫游费了吗那我现在就是如果说是这个这个漫游资费是怎么收取的呢 
宽带 您好很高兴为您服务 
高兴为您服务 唉你好我我昨天是这个十八元的那个套餐啊 
很高兴为您服务 哎你好就是说我想咨询一下就是说我想我想办理一下那个一g的物联网卡就是移动的这个需要多少钱 
您好很高兴您服务 唉你好唉谢谢啊你我这个现在套餐是呃我想问一下套餐这个流量费应该是多少谢谢 
您好很高兴为您服务 我想问一下就是说如果那个流量就是不受限制的流量一个月要交多少钱的无限量的 
为您服务电话 喂你好我想问一下刚才那邮箱这个手机号码一共多少钱呢工号 
您好高兴为您服务 对呀下个月我的套餐换那个接听是免费的对吧 
您好很高兴为您服务喂你好 你好您说 
您好很高兴为您服务对 你好我想咨询一下我这个手机号码就是所有的集团的这个用户啊 
您好很高兴为您服务 呃喂你好我我想问一下你们这边的话宽带范围服务办理的话是怎么样的一个收费的 
您好很高兴为您服务 喂你好呀唉我想问一下我现在这个手机啊这个手机的那个那个漫游有没有就是外地的长途电话不想换 
哎您好很高兴为您服务 呃您好我这边是属于企业的然后呃是需要安装那个移动的宽带然后五十兆的这个费用的话是三九八零这个套餐对吗 
您好很高兴为您服务 唉你好小姐哎我想问一下就是就是手机上面来批以后它上面不是有那个热线一条是吧就是说二十块钱是千五百兆流量谢谢 
您好很高兴为您服务唉你好我咨询一下就是如果是呃出国然后半个国际漫游的话这个费用大概是多少钱 他没有功能费的您是需要哪个国家呢去瑞典然后先开通国际漫游国际漫游没有功能费不使用是不收的 
您好很高兴为您服务 喂你好我问一下我那个设置那个套餐是多少每个月八块钱的 
您好很高兴为您服务 呃你好我问一下那个就是手机在日本漫游多少钱 
很高兴为您服务啊没哎 感谢充值的现在因为每个费用通话喂你好啊您好请说我想问一下你们那个安宽带是多少钱一 
您好很高兴为您服务 哎你好我想问一下就是说公司想要装一个移动的宽带加电话的费用是多少 
好吧好的 您好很高兴为您 
您好很高兴服务 哎你好我想问一下你这里有一个什么九十八就是办两g送两g那个套餐还有没有 
很高兴服务 喂你好我想问一下我这个听得到吗 
好很高兴为您服务 等一下嗯我想我想问一下那个套餐什么套餐呢都是啥 
银行卡绑定我 唉你好那个我想问一下就是我现在这个手机里面的流量到底有多少 
您好很高兴为您服务 唉小姐你好刚才你们那个移动公司里面发了一个系统里面发了一个短信八块八块钱来用八千一百八十兆对吧 
您好很高兴为您服务 喂你好我想了解一下咱们现在这一个啊移动宽带一年大概是多少钱呀 
兴服务 唉你好唉我就想问一下我这个手机的那个号码那个主叫有那个显示是收费的吗 
您好兴为您服务 唉我问一下我这个手机是多少钱一个哎一一个月的 
您好很高兴为您服务 唉你好小姐我这个电话啊三十来电上机费用 
您好很高兴为您服务 噢我想问一下中国移动的宽带大概是一年的话大概是多少钱 
您好很高兴为您服务唉你好那个我想咨询一下那个现在那个互转的话是多少钱费用怎么出来 互转 
您好很高兴为您服务 唉喂你好我想问一下你 
您好很高兴为您服务 喂你好 
您好兴为您服务 唉小姐日本的漫游嗯就是网上这样子是怎么样收费的 
您好很高兴为您服务 你好我想问一下我这个就是一个月八十八块钱就是多少钱的那个通话的通话呀是吧嗯 
您好请讲 喂你好我想咨询一下就是的多终端流量共享功能包的 
它是有人他那边您好很高兴为您服务 哎我想问一下刚刚我就是是移动公司新办理了一个号码就是然后我收到短信就是是注意的就是呃说我这个这个新的这个号码的话这个流量分享的话他们要要十块钱的月租的我的主号码分享给副号码流量的它要月租费的 
噢 您好很高兴为您服务 
很高兴为您服务 哎你好我想请问一下我一个月扣多少钱一张 
很高兴为您服务 你好我刚才幺八二二幺八的这个手机上的业务你帮我看一下喂 
很高兴为您服务 喂你好 
您好很高兴为您服务 唉你好我那个每个月流量都超出很多上个月用的六千多兆 
您好很高兴为您服务 我想问一下我这个套餐现在打打一分钟的市内电话资费是多少 
您好很高兴为您服务唉你好呃我想问一下就是我刚刚就是办理了一个什么那个呃新版流量至尊包的一个他说功能费一百元月什么意思啊 就这个业务的话原价是一百元一个月的每月给您十g的本地流量活动今天还每个月送啦呃三十g的本地流量就是一个我想那个业务 
您好很高兴为您服务 是这样的我十一号左右再那个台湾是转机带一天有没有短期的那个服务呃优惠服务啊 
您好很高兴为您服务喂您好 那我咨询一下我办理了那个什么家庭网如果是一个人到外地去了我打过去不要收费呢 
您好很高兴为您服务 呃您好 
效 您好很高兴为您服务 
嗯 您好很高兴服务 
您好请讲 呃我想问一下我想申请流量的话下个月生效现在流量的话怎么怎么核算 
很高兴为您服务 你好我问一下我现在月租是多少钱呢 
您好兴为您服务 现在这钱我这个我这种卡最便宜的套餐是多少钱 
很高兴为您服务 唉你好我现在问一下我这个套餐除了我这个套餐之后再升级还有其他什么套餐 
您好请请讲 请问一下我这个套餐是多少的 
您好很高兴为您服务 唉你好我要把我想开通一个那个啥流量流量包 
嗯您好很高兴为您服务 唉你好我我今天准备到那个和那个这个国外打电话有什么优惠吗 
诶应该呃 您好很高兴服务 
您好很高兴为您服务 你好帮我看一下帮我看一下这个手机的流量套餐是多少钱的 
您好很高兴为您服务 你好我这个号码是到月底的时候会扣一个那个宽带就是我这个号码是绑在那个家庭套餐里面的 
喂您好上海移动客服代表工号幺零六五九您现在接电话是免费的啊您好女士不好意思打扰一下这边的话是给您来电反映下您之前所投诉的一个问题噢那这边的话我也是帮您有查询过那个之前我们员工是必须大于您说要帮您办理这个十八块钱套餐然后这个月先帮您生效的那么是只要我们查证下来的话的确没有帮您更改的嘛导致您这个月还是现在这个五十八块钱的一个费用那么女士您看这样好吧就是我这边的话帮您呃下个月的话改成十八块钱的一个套餐然后之后的话这个月的一个费用我这边帮您调整四十块钱的一个费用然后在这个月月底之前到账您看可以吗 嗯可以的 
您好很高兴服务 哎你好我想知道那个流量 
为您服务 喂你好 
您好很高兴为您服务 噢你好我就我想咨询一下如果就是前面给我是漫游包是有什么推荐的国际漫游是吧 
您好很高兴为您服务 喂我问一下我这个 
您好很高兴为您服务 喂你好唉我我我麻烦你帮我查一下就是我这个手机啊办过一次宽带这个宽带呢有没有产生其它的什么费用你帮我查一下 
您好很高兴服务 想问一下就我这个打电话超出多少钱一分钟 
您好很高兴为您服务 喂你好我想问一下就是说那个套餐现在最低月费是多少呀 
您好很高兴为您服务 所以我想问一下现在就是到境外去那个总共用用流量的话是一天最高封顶三十五啊 
您好很高兴为您服务 拜拜喂你好我麻烦问一下嗯这个现在最最便宜的手机卡是什么样的 
您好很高兴为您服务 唉小姐我想问一下我这个手机不是那个套餐里面的流量用完了嘛如果不够的话现在有什么划算的就是当月可以加流量的那种的 
您好很高兴为您服务 唉你好我问一下我因为我想我就是今天去澳门嘛然后我想开通一下澳门的那个漫游包就是怎么计费的 
您好很高兴为您服务喂你好问一下我那个手机啊那个我想请你帮我查一下套餐是多少 这个套餐本地是一百五十八的每月五百分钟通话然后两g流量还有一个三块钱来电提醒业务 
您好很高兴为您服务 我想问一下我这个套餐好像一个月是多少钱呢一定要查一下 
服务 喂你好 
您好很高兴服务 唉你好就是我那个十九号加了一个就是流量包现在已经用完用完之后的话太清楚我是这样的 
您好很高兴为您服务你好我想问一下我现在手机套餐是多少钱一个月的 套餐套餐的话您是四十八的五十分钟五百兆流量的超出打电话一毛九一分钟全国接听免费的就这一个 
您好很高兴为您服务喂你好我想问一下就是那个移动的网络二十兆的一年是多少钱 二十兆的一年是七百六十块送两百的话费 
您好很高兴为您服务 所以我想问一下现在就是到境外去那个总共用用流量的话是一天最高封顶三十五啊 
您好很高兴为您服务嗯你你能帮我查查我现在那个套餐他们电话的话接听是免费的打的话是多少钱一分钟啊 打的话您有三百分钟免费的超出之后就一毛九一分钟 
您好很高兴为您服务 喂你好我想问一下就是我这个月流量用完了我想买流量但是那个从那个微信营业厅上说 
您好很高兴为您服务 唉你好 
您好很高兴服务 你好我想申请一下流流量包怎么算 
您好很高兴服务 唉你好那个芽庄的话我去越南的话开通国际漫游是一天三十块流量畅用的对吧 
您好很高兴为您服务 唉小姐你好呀是这样的我一个手机手机号码是幺三五零幺八幺五四幺七吗他上个月我播放他用这个手机号码申请了你们移动的一个宽带因为现在呢好像发生一个有点费用的一个问题你帮我看看这个宽带是每年支付两百块是怎么样的 
您好很高兴为您服务 我这个套餐是五十八块钱包月的对吧 
您好很高兴为您服务 哎你好我想问一下就是我要到东欧去的话就是德国这些地方去的话那个移动话费是多少钱 
为您服务 唉我问一下那个泰国的那个网费你们有吗 
您好很高兴为您服务 唉我麻烦问你问你现在就是这个办这个全球通包月的因为最低的是多少钱 
很高兴为您服务 那你帮我看一下你们客服到底帮我七月一号改成一个是什么套餐我要我要知道一下你们帮我改错了但是这个错错的我也知道一下 
您好很高兴为您服务 你好小姐我问一下我这个套餐里面的语音通话流量用完之后然后话费是怎么来转 
您好很高兴为您服务 哎你好我想问一下就是呃到外地去我现在在上海嘛如果到外地到外地去有能不能呃有接听或者拨打的优惠 
您好很高兴服务喂 你好 
您好很高兴为您服务 唉你好 
很高兴为您服务 呃我就是你们那个比方说我们先我不是上次有个投诉建议你要处理吗 
吗 你好 
您好请讲 哎你好唉我因为刚刚收到一个就是你们的一个短信说我那个套餐是不是我原来的那个套餐已经结束了嗯根据我的用量哎提议我就建议往就是升级四g套餐对吧嗯嗯那个叫四g套餐他现在给了我两个选择这个就是一百一十八的一个是说就一百二十八的嗯嗯嗯嗯那个两个嗯什么叫额外加送什么三g可以地址在转的什么 
您好很高兴为您服务 唉喂你好是这样的我现在套餐是八十八的是吧然后八十八那个是就两g的流量然后五十分钟的国内通话 
您好很高兴为您服务 啊喂你好啊 
您好很高兴为您服务 喂你好我想问一下我这个g的那个套餐是多少能查到吗八块钱吗 
您好很高兴为您服务 喂你好 
很高兴为您服务您好很高兴为您服务 你好问一下我们这个彩铃是没有多少钱 
您好很高兴为您服务请 喂你好 
您好很高兴为您服务 唉你好是这样的就是我这个套餐那个要公司公司我们公司要办那个集团号业务吗那我这个套餐只有十块钱的他可以加那个套餐参加其它号的话要不要加额外的费用啊 
高兴为您服务 因为我要装安装一个宽带的话你们那边以及核实可以安装的就是那种最低消费多少流量送到宽带那个 
您好请讲 你好是这样的我申请了一个移动宽带现在已经弄好了然后那个呃我忘了我申请的是两年的你能帮我查一下我的呃资费是多少吗因为马上一号要扣费了办的是两年一千四百八的唉一千四百八我就是在我的那个幺三九的那个移动手机号里面充进去一千四百八就可以了是吧 
我不会确认的您好很高兴为您 唉我问一下现在移动的的钱一个月租月租是多少 
您好很高兴服务 唉你好小姐就是我刚刚收到短信说我这个月的那个通话的时间已经结束了已经用完了 
您好很高兴为您服务 嗯打就是这个国际长途的话这个资费情况就是之前买个国家是多少钱一分钟是在哪里咯 
您好很高兴为您服务 呃我问一下我刚才在那个支付宝充了呃五百兆的流量全国全国通用的我我都没看到流量信息啊 您好很高兴服务 现在浙江流量多少钱 
您好很高兴为您服务就那个刚刚刚才发错了退订那么多业务你帮我催办呀 噢好的请问要办理什么业务 
很高兴为您服务 喂你好我想咨询一下宽带的费用怎么算 
为您服务您好 公司 
您好很高兴为您服务 噢你好我就想问一下就是现在装装宽带是多少钱 
很高兴为您服务 喂你好我想那个呃问一下那个菲律宾的那个话费流量是什么样的资费呀 
为您服务 唉你好 
您好请讲您好 呃我想那个问一下有一个套餐是五十块钱两个g两g流量的 
您好很高兴为您服务 喂你好唉你好呃我想查一下我家那个宽带现在是多少钱的零四 
您好很高兴服务 唉小姐你好哎我想问一下我那个手机是那个宽带的话就是说用的是扣费的因为怎么 
很高兴为您服务 喂你好我想问一下我这个手机现在是那个我我上个月选了一下什么那个呃四g的一个什么什么自选套餐啊 
吧您好很高兴为您服务 呃我想咨询一下那个宽带的问题不少 
您好很高兴为您服务 诶我那个集团套餐就是我公司里面他们现在不是每个月十块钱然后扣七块付三块别的吗对吧到处是短号对吧啊对 
哦 喂 
您好请讲 我想问一下就是我这个手机有那个流量喂 
很高兴为您服务 你好我想我想现在有没有好的一百的那个套餐 
您好很高兴为您服务 好像我想查一下我我这个手机是每个月月租费多少钱 
您好很高兴为您服务 唉你好那个我这边这边想问一下我现在是什么套餐 
啊噢唉你好我今天七月一下喂你好 好 
您好很高兴为您服务 哎我想一个问题就是用这个现在这个手机打到西班牙的固定电话要多少钱一分钟 
很高兴为您服务 呃你好我想问一下现在买我我想那个意思可以可以毛一分喂你好您要买买到什么就是我想问一下买流量包的话呃现在有哪几个 
都没有 您好请讲 
您好很高兴服务 啊喂你好 
您好很高兴为您服务 喂你好我想咨询一下就是说 
很高兴为您服务 哎我想问一下我这有个套餐叫主叫五叫显示基本费就是是什么费用 
您好很高兴服务 你好呃小姐我我参加了一个月租费是几点就是那个公司的集团集团业务就是时间点怎么它短信过来是十八元的 
您好很高兴服务 你好我想问一下 
您好很高兴服务 哎你好我想问一下你们现在那个移动的套餐幺五八下面有些档是什么当时是幺二八幺零八的 
为您服务 喂你好我想咨询一下就是说嗯八六微信公众号上面是说那个九月一号起取消了闺内长途漫游费那么我想问一下就是我这个套餐是一百零八的套餐 
您好很高兴为您服务 你好我想咨询一下就是说呃我这边的话企业的话想开通四零零的电话的话你们这边是怎么收费的呀 
您好很高兴为您服务 我以为你说一下唉那我这个多少 
您好很高兴为您服务 嗯那个我想问一下就是我们同事还有一个办公室一点啊就是了一根宽带专线了到另外一个办公室都是在上海的然后那个这个费用大概是多少 
您好请讲您好 喂你好 
您好很高兴为您服务 唉先生你好唉先生我问我过去是五十八的套餐那个打电话要一百分钟现在怎么六十八只有五十分钟啊 
幺您好很高兴为您服务 哎你好我想问一下就是说现在有十八块钱的套餐是吧 
您好很高兴为您服务 喂请问这个流量十块钱是一百八一百 
您好兴为您服务网上银行也是可以办理 唉是这样子的我七月份要去国外旅游我想问一下有什么密码就是说就是优惠的就是到国外流量用那个比较便宜点的吗 
很高兴为您服务 哎我想问一下我现在这个幺八二手机有一个宽带嘛这个宽带呢我想问一下如果现在是一个月多少钱啊呃就这个手机号码办的宽带对吗我看一下啊就是幺八二 
您好很高兴为您服务 唉先生你好就是我问一下你们家那个宽带那个我想问现在的宽带是那个这么收费的 
您好很高兴为您服务 喂你好那个我这手机上面有一个那个高清语音通话现在是怎么计算的 
您好很高兴为您服务嗯 喂 
为您服务 唉你帮我看一下本机号码的那个套餐套餐那个那个费用是多少的 
您好兴服务 喂你好我想知道一下噢手机号码停机保号的话一个月交多少钱 
您好很高兴服务 唉小姐你好哎我想问一下哈就现在中国移动就是打美国的那个长途呃是什么收费的呀 
您好请讲 喂你好你帮我查一下我那个月租是不是四十八的嗯 
五百好的 您好很高兴为您服务 
您好请讲 喂你好 
您好很高兴为您服务 你帮我查一下套餐外的打电话的资费是多少钱一分钟 
为您服务 你好我那个刚刚办理办理了一个套餐是在那个你们官网ipp上 
您好很高兴为您服务 喂你好 
您好很高兴为您服务 嗯嗯充了不是对就是四g自选套餐那个 
您好很高兴为您服务 呃我想问一下就是我前几天买的那个呃流量吗 
您好很高兴服务唉你好你好你好我想问一下就是我需要想开通一个就是说比如呃别人给我打过一次电话然后的话挂完之后然后我这个自动短信给他发发送一个短信就是是你每天开心这种多少钱 嗯没有的现在没有这样的服务的 
高兴为您服务 哎你好我想问一下就是那个我如果要开通好像我那个差不多不充话费一样的要办理什么手续吗 
您好很高兴服务 唉你好呃我想问一下我那个手机的费用现在比较高我问一下我现在电话费自己打电话多少钱通话主要的费用在哪里 
您好很高兴为您服务您好 唉你好 
高兴服务您好请讲 你给我查一下我这个月的用的那个费用是怎么算的你看看 
再加一点您好很高兴为您服务 唉喂你好唉你好我想问一下这个一号这个流量超过了到时候怎么算的 
很高兴为您服务您好很高兴为您服务 对 
您好很高兴服务哎哎那女士我就想问一下我老客户号打过来电话我我接听是免费的吗 全国接听都是免费 
您好很高兴服务 唉我想问问那个台湾地区那个长途电话 
您好很高兴服务 呃您好帮我查一下幺三七七 
您好高兴为您服务您好 呃您好我现在那个套餐是 
您好很高兴为您服务 唉你好如果我在上海这边开通一百兆流量需要多少钱 
您好很高兴为您服务 唉你好我就是我想说这台手机就刚我打过来过了然后说那个现在办流量的话是刚刚好像三十几块然后是七百多兆是吧 
您好很高兴为您服务 哎你好我想问一下那个宽带一年多少钱 
您好很高兴服务 在那个韩国三天的那个包流量是多少钱啊 
好很高兴为您服务 喂你好 
拨 喂你好你好 
您好兴为您服务您好 你好那个我想改那个一百分钟的套餐多少钱呢 
您好高兴为您服务您好 喂你好你看我呃我想问一下呃呃我开通的如果我开通国际漫游到澳门去打电话一个分钟是多少钱 
您好很高兴为您服务 哎你好我想问一下我这个月租费多少钱一最低话费说 
您好请讲 呃我问一下我这个月就是套餐费多少钱一个月的 
您好很高兴服务 喂你好我好像是另外一个手机退了 
您好很高兴为您服务 你好我想问一下我那个我现在这个或者有一个保商住两用的现在用你们中国移动的宽带覆盖所以我想问一下价格 
也就 您好很高兴为您服务 
您好很高兴为您服务 唉你好你好 
很高兴为您服务 唉我有个问题我的手机啊流量刚刚申请的是两个g的对吧今天早上还没用了打开就是一点九八八八三最低是什么意思啊怎么没有两个gb的 
您好很高兴为您服务 呃我想请问一下如果我这个手机啊呃发信息套呃美国去嗯一条信息要多少钱 
您好很高兴为您服务 喂你好你帮我帮我现在查一下这个号码是用他这个通话分钟数是多少钱一分钟啊 
您好很高兴服务 唉你好我问一下就是香港的那个算的 
恩您好很高兴为您服务 喂你好我想问一下我现在有个家庭副号码在重庆打接电话多少钱 
您好很高兴为您服务 你好麻烦你帮我查一下我这个集团集团包的话每个月是五块钱对吧 
您好很高兴服务 你看看我的那个幺三五零的号码为什么要说我那个什么魔盒的什么魔百盒多少钱啊 
您好很高兴服务 啊我想问一下啊这个现在每个月的四g流量的事情是不是有赠送啊 
您好很高兴为您服务 你好我我想咨询一下那个宽带就是我或者是那个就要安装那个宽带了消费满多少钱 
您好很高兴为您服务 请问你那个录音咕视频流量是有的是明天是增加我们的电话 
很高兴为您服务 哎你好我想查一下一个幺三九幺六五九四九五他那个神洲套餐一个月是多少钱的 
您好很高兴为您服务 外三m六就刚才我就是刚刚呃包括的有就是在问过就是要到国外吗他说要三十块钱它发个短信给我三十块钱我 
您好兴为您服务 唉你好是这样的就是我想咨询一下那个国际漫游是怎么收费的 
您好很高兴为您服务 唉你好我问一下那个移动的宽带一年是多少钱 
您好很高兴为您服务 呃你好我想问一下就是说下个月就呃我这手机好可以申请那个本来不是一个月三g的是吧 
您好很高兴为您服务 唉你好我现在宽带是怎么扣费的 
您好很高兴为您服务 喂你好我咨询一下办理宽带的话是显示多少钱呢嗯嗯 
您好很高兴为您服务 这样我您好我收到一条短信就是说你们说我一个宽带如果不需要的话每天还是多少呃 
您好很高兴为您服务 唉你好 
您好很高兴为您服务 喂你好是这样的那个嗯现在不是取消那个漫游费吗恩对嗯那个我现在再打就是我现在是上海的号码吗我在上海打外地比方说就是其他省呢那个话费原来有一个一块钱的那个叫什么叫开通的那个是吧唉对现在是不是没有用出来 
您好很高兴为您服务 喂先生我想我要我要到日本去以后有那个宽带呃这个漫游国际宽带多少钱我想弄个出国的宽带噢那个我要问我儿子不是宽带我二十 
您好请问用户编号 唉你好我问一下我这手机打打那个区电话多少钱怎么计费的 
您好很高兴为您服务 哎你好 
您好很高兴为您服务呃我想本机的话就是说想添加一个g的流量是多少钱 您说这个临时加一个g流量 
您好很高兴为您服务 哎你好我想问一下就是我们公司有有人那个手机吗他订了一个是融合通信手机互拨优惠功能什么包月租费 
您好很高兴为您服务 哎我想问块钱以前不是累计满意了吗 
您好很高兴为您服务 唉你好 
您好兴为您服务 喂你好我想问一下现在这个宽带是怎么是怎么多少一条需要多少钱呀 
上 您好很高兴为您服务 
呃您好很高兴为您服务 哎你好我想问一下就是公司的这个移动宽带你们是怎么收费的 
您好兴您服务您好 噢那个我想开那个流量包有多少钱 
很高兴为您服务 喂您好小姐我前面那个下载一个和微信然后我想问一下这个东西是收费怎么收怎么收 
您好兴您 嗯喂你好我想问一下就是比如说从这个月可以打那个长途我打市话的那个话费是一样的吗 
您好很高兴为您服务 呃我要问一下这个集团的那个短号是是怎样收费的 
您好很高兴为您服务 啊喂你好我就是刚刚改那个套餐我假如是在上海范围内用的话是在贵州用的那个打电话怎么算呢 
服务 您好 
您好很高兴服务 喂你好我请问一下您几个问题好吧先重新提交您一下就是以前就是我大哥办的十六元神州行畅听版就是每月十六元畅听版这个是就是是清电话是不要钱的打电话是多少钱一分钟你知道吧我我 
为您服务 唉你好我是因为我这个号码参加你们移动的一档其他的那个那个套餐的那个呃呃就是那个地方集团用我自己就是说集团内通话两两百五集团外通话三千那个因为这个号码上到外地那我想问一下我如果在外地打我如果现在人到外地了网上还打打那个情况跟群内的是从这里面扣了还是另外再付费啊 
