诶 你好   呃 请 说   哎 你好 诶 我 像 我 这个 手机 如果 是 在 跨地区 一分钟 是 多少 钱 呐 打   帮 我查 一下 您 稍等一下 您 这 张卡 现在 是 在 整个 大陆 打 大陆 的 移动 六分 大陆 打 联通 电信 是 两毛
您好 很 高兴 为您服务   喂 你好 那个 我 现在 这个 套餐 是 怎么 样子 收费 嗯 是 怎么样 的   呃 您 现在 是 一百二十八 块钱 的 商旅 套餐   嗯 嗯 然后 这边 是 有
你好 对 您好 请 讲   喂 你好 我 想 问 一下 我 这 张卡 为什么 呃 我 的 应该 是 说 我 的 套餐 费是 八十 八块钱 是 吧   对 是 的 新飞 享 八十八 的   那 为什么 里面 有 这么 多 捆绑 的 什么 咪咕 会员 啊 什么 的 每个 月 都 是 让 我 消费 直接 交到 一百二
您好 请 讲   哎 你好 我 问 一下 我 现在 套餐 是 多少 钱 的 套餐 呀   噢 我 帮 您 查 五十八 的   五十八 的 现 呃 是 多少 分钟 呀
谢谢您 好 很 高兴 服务   你好 王到 那个 台湾 的 但 这 部手机 办 流量 在 厦门 接 呃 一分钟 接打 是 多少 钱 噢   您 去 台湾 漫游 拨打 和 接听 每分钟 是 九 毛 九 计算 的   啊
啊 您好 请 讲   你好   你好   我 这个 接听 要 不要 钱 的 你 帮 我 说 去
嗯   哎 您好 请 说 诶 你好 我 想 问 一下 那个 全球通 到 香港 的话 呃 接 打电话 它 业务 就 那个 收费 接 需要 需要 那个 需要 那个 呃 扣费 吗 还是 说 有人 接 跟 打 都 是 九 毛 九 一分钟 噢 接 也 是 是 吧 嗯 对 这 是 全球通 的 是 的 那 如果 是 如果 神州行 的话 那 就是 一样 的 国际 的 都 是 同一 同一 收费 接打 都 是 九 毛 是 吧 一 毛九一 毛九好 这 样子 吧 好 的 谢谢 不 客气 其他 有 什么 可以 帮 您 的 噢 谢谢 那 感谢您 的 来电
您好 您 请 讲   哎 你好 诶 我 这个 是 呃 多少 钱 套餐 吗   这 款 的话 是 一百二十八 元 的   诶 能 不能 诶 帮 我 改成 八十八 的 八十八 多少 分钟
通 您好 请 说   喂 你好 诶 我 想 咨询 我 这个 号码 是 那个 怎么 收费 的   吧 那 您 这个 它 是 固定 套餐 九块 钱 的   呃 这个 是 里面 还有 什么 东 内容 啊
您好 请 讲   喂 你好 嗯 我 问 一下 我 这个 一个月 套餐 多少 钱   呃 女士 您 现在 用 的 是 三十八 的 套餐   呃 那 怎么 每个 月 都 扣 四 十几块 那六 什么 叫 增值 业务费 啊
您好 请 讲   你好 问 一下 这个 套餐 现在 是 怎么 收费 的   噢 您 这 五十元 流量 卡 套餐 包含 两个 g 流量 和 来电显示 那 打电话 呢 就是 按照 一分钟 两 毛钱 来算 接电话 免费   一分钟 两毛 那 现在 有 什么 别的 就是 恩 套餐 嘛 我 想 改 套餐
您好 请 讲   哎 你好 问 一下 噢   您 讲   我 这个 电话号码 在 外面 接要 不要 钱 嘛
您好 高兴 为您服务   诶 你好 我 请问 一下 我 这个 套餐 一个月 是 多少 钱   三十八 套餐 一百 分钟 呃 您 说   哎 我 三十八 好像 那个 嗯 每个 月 到 那个 这个 月 过后 然后 发 信息 的 是 五十块 啊 我 要 麻烦 你 给 我 开个 地方 呢
您好 请 说   呃 我 想 咨询 一下 就是说 移动 的 移动 的 宽带 是 怎么 算 呢   嗯 那 您 不要 挂机 我 帮 您 转 宽带 专席 好 吗   噢
你好 请 说   呃 我 这 套餐 是 多少 钱 的   这 套餐 是 八十八 的 飞享 套餐   要 往 低 的 改嘛
您好 请问 是 本 机要 新装 宽带 吗   我 问 一下 那个 装 宽带 要 多少 钱   呃装 宽带 的话 我们 现在 嗯 跟 套餐 绑定 的话 比较 划算 的 嗯 那 您 现在 不要 把 套餐 改成 七十九 元 的 套餐   就 可以 送 一百五十 兆 的 宽带 了 我 哥哥 几天 再装
您好   喂 你好 我 想 开通 那个 香港 国际 吗 流量 要 多少 钱   看 一下 香港 漫游 这个 功能 是 免费 的 您 要 去 几天 啊 你 去 几天   我 不是 就是说 我 在 这张 就要 打 那些 香港 那个 电话 能 开通 吗
您好 请 讲   哎 喂 你好 我 想 请问 一下 是 接听 是 前面 的 吗   嗯 没错 全国 接听 都 免费   国外 呢
您好 您 请 说   诶 你好 诶 我 问 一下 就是 我 这边 就是 我 我 这个 电话号码 不是 办 了 那个 宽带 嘛   哦 怎么 了   刚才 我 这 是 一个月 多少 钱 啊
您好 您 请 讲   我 想 问 一下 我要 充要 用 那个 流量 加油 包是 多少 有 多少 钱 的 套餐 呢   呃 五百 兆 加油 包有 十元 一 百兆 你 现在 如果 要 增加 流量 您 可以 考虑 订 一个 三十元 一 g 的 流量 包 啊 然后 下个月 取消 掉 因为 现在 订 三十元 一 g 的 流量 包 的话 我们 移动 公司 是 按天 折算 的 只 收 您 的 价格 是 十五块 七毛八 流量 有 三百 呃 有 五百三十 八兆 这个 月 用   十月 三十块 多少 兆
您好 请 讲   诶 麻烦 问 一下 你 这边 那个 宽带 是 怎么弄 啥 的   宽带 怎么 了 不能 用 吗   不是 不是 不是 就是 两 宽带 怎么 消费 怎么 装 安装
你好   喂 漫游 有没有 收费   漫游 现在 漫游 不用 收费 的 漫游 接听 是 免费 的 您 的 套餐 里面 的 分钟 数是 可以 在 就是 套餐 一千两百 分钟 可以 在 漫游 用 但是 流量 只能 在 省内 用 在 省外 流量 就 用 不了   啊
您好 很 高兴 为您服务   呃 呃 你好 我 问 我 想 问 一下 现在 流量 一 g 的 是 多少 钱 流量 包   请 稍等一下   呃
上 好 请 说   诶   你好   肯定 有 我 那个 套餐 的 十二月 我 是 多 多少 钱 的 套餐
您好 请 讲   你好 问 一下 我 这个 套餐 是 多少 钱 的 套餐   三十八 的 套餐   那 我 想 问 一下 我 上个月 的 呃 这个 月 的 话费 是 多少 钱 啊
行   你好 请 讲   哎 你好 你 诶 我 这个 流量 套餐 是 每个 月 多少 钱 的   请 稍等一下 我查 一下 嗯 嗯 那 您好 女士 您 这个 套餐 内 每个 月 包含 了 是 一个 g 的 流量 下个月 有 换换 成 那种 幺 八八 的 省内 流量 无限 使用 的
您好 请 讲   支付宝 喂 你好   啊 您 说 麻烦 你 帮 我查 一下 我 这个 卡   就是说 打 出去 的话 应该
您好 请 说   噢 麻烦 你 请问 一下 我们 打四 零零 电话 电话 开头 的 要 不要 收费   这边 就要 正常 收费 呃 正常 收费 了 嗯 对 是 的   好 的 好 的 谢谢 啊
您好 请 说   诶 你好 嗯 你好 啊 我 问 一下 我 现在 这个 套餐 是 多少 钱 呐   您 除了 八十八 以外 额外 的 您 还有 个 来电 提醒 两块钱 下个月 改 的 是 一百三十八 套餐   那 那 那 你 能 不能 帮 我 改 一下 那个 省份 的 的 套餐 呢
啊 您好 很 高兴 为您服务   哎 你好 我 这个 号码 打 那个 头 哎 投诉 四 零零 的 号码 要 要 就 打 分钟 数 还是 另外 收费   拨打 四 零零 的 是 吧 这个 的话 分钟 数会 先扣 就是 有 扣费 的 号码   又 还要 另外 收费 啊
你好 请 讲   诶 你好 我 我 里面 的 流量 是 怎么 收费 的   先生 是 本机 吗 我 看 一下   不
你好 请 说   帮 我查 一下 那个 套餐 使用费   有 一个 什么   宽带 的 还有 一个 叫做 家校 互联 呢
您好 请 讲   啊 请问 一下 我 这 手机 那个   一个月 套餐 是 多少 钱 十八块 的   十八块 然后 应该 是 报停 它 的
你好 请 讲 噢 你好 我 想 说 我 的 别人 的 昨天 那个 用 完 了 二十块 都 不能 用 是 吧   我 看 一下 您 在 外省 是 吧   没有 现在 在 那个 国内   噢 再 不是 您 现在 在 省内 还是 在 省外
嗯 您好   诶 你好 你好 喂   你好 女士 您 请 说 您好   诶 你 帮 我查 一下 我 这个 套餐 下个月 是 多少 钱 一个月 的
你好 诶 你好   诶 请 说   呃 就是 我 之前 是 一直 都 是 动感地带 套餐 嘛 噢 就是 它 的 套餐 费 三十八 对 吧   嗯 嗯 是 的
您好   哎 就是 我 那个 我 想 问 一下 就是 我 那个 套餐 有 一个 就是 打 那个 国内 的 一百 分钟 嘛 不是 我 打电话 那个 我 想 一点 都 没有 送 啊   帮 我   好 的 时候 用
哎 请问 一下 那 麻烦 你 啊 喂 诶 其他 我 这个 大众卡 要 不要 漫游费 的   现在 已经 取消 漫游费 了 呀 全国 接听 都 是 免费 的   噢 好 谢谢 谢谢 不 客气 还有 其他 他 拨打 电话 啦   拨打 电话 的话 您 这个 是 就是说 呃 呃 忙 时 和 非忙 时 的 区别 嘛 然后 您 这边 两城 一家 我 就 帮 您 取消 了 现在 不 需要 了 噢
您好 请 说   哎 你好 我 想 问 一下 办理 那个 呃 嗯 那个 什么 八元 的 什么 飞享 套餐 然后 那个 是 嗯 短信 是 怎么 算 的 呢   发送 国内 短信 每条 一毛钱 跟 现在 一样   噢 好 我 我 想 问 一下
您好 请 说   诶 你好 我 想 问 一下 我 这个 套餐 是 八十 八块钱 一个月 的 是   对 八十八 块 的 三十   如果说 我 现在 不 想要 用 这个 是 直接 取消 或者说 我要 停机 是 直接 可以 诶 办理 吗
您好 请问 算 那 就 不是 那种 要 买 月租 你好   你好 我 想 咨询 你 一下 我 这个 手机 那个 我 那个 八块钱 套餐 如果 八块钱 超过 的 那个 我们 一分钟 是 多少 钱   一毛九用 那个 一毛九是 吗 对 是   噢 在 市区 内 一分钟 就是 一毛 九
好 的 您好 请 说   诶 你好 你 帮 我查 一下 这个 手机 怎么 收费 的   别的 手机 就 套餐 费是 八块 的 月 头 一次性 扣   多少 钱 呢
您好 请 说   哎 你好 诶 我 想 问 你 一下 噢 像 我 是 它 是 在 外地 吧 然后 我 是 想 问 一下 就 说 这个 有没有 就 说 长 打 长途 有没有 算 那个 漫游费 呀 怎么 那样   噢 不会 啊 就是 您 在 外地 是 接听 免费 嘛 打电话 就是 一毛 九 每分钟 就 可以 了   二 这个 那个 呃 等 下 就 说 接听 就是 都 是 按 一 毛九来 算 啊
嗯 好   您好 请 说   你好 我 我 呃 就是 想查 一下 另外 一个 手机号 他 的 那个 发 信息 要 不要 钱 你 能 帮 我查 一下 号码 多少 呢 幺 五二 幺 五 二八 零 六六   八零 六六 还是 三 零六 六八 八五 零八零 六六
挂机 您好 请 讲   卡 那个 二十八 套餐 这个 资费 发送 发送 一下 吧   呃 就是 新飞 享 八十八 元 套餐 资费 啊   可能 我 下个月 办理 这种
为 您 很 高兴 为您服务   嗯 咱们 办 这个 号码 问 等 登录 全国 流量   您好   用 了
您好 请 说   扣 喂 你好 你好 你 麻烦 你 帮 我查 一下 我 这个 卡 的 套餐 是 多少 钱 啊   请稍等 我 看 一下 啊 十八块 钱 的   十八块 钱 是 吗 的 那 那 我 这个 月 一共 有交 了 几次 话费 啊
您好 请 说   嗯 哎 你好 我 想 问 一下 我 这个 是 一 六版 的 套餐 还是 一一 版 的 套餐   您 这个 的话 是 一 六版 呢   那 可以 改成 有 一版 的 呢
嗯 您好 请 说   喂 你好   您好 喂 有 什么 可以 帮 您   对 喂
嗯 您好 很 高兴 为您服务   喂 你好 我 想 请问 一下 我 这 张卡 的 那个 噢 情况   您 稍 等 我 帮 您 看 一下 帮 您 看到 您 这边 套餐 里面 没有 包含 任何 的 流量 您 也 没有 使用 上网 啊   噢 它 是 一个月 多少 钱 的 这个 它 这个 卡 多 一个月 多少 钱
嗯 您好 高兴 您 服务 您好   诶 我 这个 流量 是 怎么 收费   流量 是 吗 稍等一下 我 看 一下 噢 您 这 号码 的 套餐 本身 里面 带 的 就是 一 百兆 流量 给 您 用 的 然后 您 现 然后 我们 在 这个 月 还有 送 您 两 百兆 的 省内 流量 所以 您 现在 人 在 福建省 内 的话 这个 月 到 目前为止 还 剩下 两百 八十二 兆 的 省内 流量 给 您 用 说 流量 还是 有 的 不用 担心 噢   诶 下个月 我 有 多少 这个 流量 一百 分钟 三百
很 高兴 为您服务 呃 您好 我 想 问 一下 办 一个 加油 包要 多少 钱 一 百兆 了   十块钱   噢 那 有 两 百兆 呢   没有 两 百兆 的 我们 可以 推荐 您 办 这个 三十 的 当时 的 流 流量 套餐 您 现在 办 它 只 收 一半 的 费用 收 您 十五块 七毛八 流量 有 五百三十 八兆 这个 会 划算 一点
您好 请 讲 您好 请 说 您好   您 说 我 请问 一下 噢 我 这个 三十八 元 的 套餐 你 不是 有 一个 新 危险 那个 套餐 嘛 是不是 三 十八块 的   永新 飞享 三十八   噢 那 我 要 改 那个 那 你 不是 有 一点 五 g 的 流量 嘛 是不是 三百 分钟 话费 噢
很 高兴 为您服务   诶   诶 喂 你好   我 想 请问 一下 这个 我 现在 这个 钟 申请 这个 宽带 吗
您好 高兴 您 服务   嗯 我 想 问 一下 就是 我 啊 套餐 现在 那个 国内 打 国内 那个 一百 分钟 用 完 了 然后 我 现在 还 剩 打 国内 是 一分钟 是 怎么 算 的 一毛 九分 多少 钱 嗯 嗯   一毛 九   一毛 九
您好 请 讲   呃 我 问 一下 我 那个 手机 是不是 有 什么 功能 打开 了   帮 您 看 了 一下 除了 基本 套餐 还有 个 来电 提醒 彩印 彩铃 其他 的 没有 了   那个 彩铃要 不要 收钱 了
您好 请 讲   喂 你好 那么 一个 g 是不是 三十块 啊   呃 本 机号码 请稍等 我 看 一下 让 我方 三十元 流量 套餐 十一月 一号 申请 生效 的 套餐 二零一七版 一 三十块 钱 一个 g   呃 三十块 一个 g
你好   你好 帮 我查 一下 那个 呃 七十块 钱 两 g 的 流量 现在 需要 补 多少 钱 的 月租   噢 好 我 看 一下   问 一下 我
您好 请 讲   哎 你好 麻烦 你 反映 下本机 是 多少 钱 一个月 套餐   您 现在 是 飞享 的 十八 套餐   我 十八 有 多少 流量 多少 分钟 呢
您好 很 高兴 为您服务   你好 帮 我查 一下 我 这个 本 机 套餐 是 多少 钱 的   您 本机 套餐 是 三十八   噢 那 就 给 我 改 十八块 啊
嗯   他 您好 很 高兴 为您服务 请问 您 要 帮 我 看 下 我 这个 钱 套餐 一个 什么 收费 请稍等 正在 为 您 查询   一下   基本 套餐 费 八块钱 然后 其他 没有 了 没有 其他费用 是 吧 对 因为 还有 就是 那个 这个 号码 已经
嗯 嗯 您好 请 说   可以 就 请问 一下 那个 流量 用 超过 一一 兆 扣 多少 钱   超出 一兆 的话 是 两毛 九   两毛 九
您好 请 说   哎 那个 现在 的 流量 我 我 流量 包用 完 了 然后 想 问下 再 开通 个 流量 的话 一个 一个 一个月 交 多少 钱   您 看 需要 亮 了 比如 三十块 一 g 的 够 吗   三十块 钱 一 g 的 是 吧 那 可以 啊
您好 很 高兴 为您服务   那 你 帮 我查 一下 这个 手机号码 的 每个 月 套餐 费是 多少 钱 啊   请 稍等一下 呃 您好 三十 八块钱   噢 就是 有 一个 便宜 的 啊
您好 请 讲 哎 您好   您好 搞 那个 开通 一个 g 流量 多少 钱   一个 g 的话 如果 是 包月 的话 现在 是 三十元 一个月 呃 您 是 这个 月 要 办 吗   对 啊
嗯 嗯 您好 很 高兴 为您服务   诶 请 帮 我 查询 我 这个 号码 怎么 收费 呀   您 的 号码 是 那个 神州行 轻松 卡 就 不用 月租 就是 每个 月 的话 您 的 上网 流量 五块 钱 来电显示 六块钱 加上 小孩子 在 学校 的 校 讯通 八块 别的 业务 就 没有 了   那 五块 钱 的 费用 什么 块钱
您好 高兴 您 服务 您好   诶 你好 诶 我 想 问 一下 我 这个 呃 这个 号码 的话 它 现在 的话 套餐 是 呃 是 多少 钱   您 现在 办理 的 是 一百五十 八块 的 飞享 套餐 另外 有 开通 一个 七十块 两个 g 的 上网 流量 包   呃 七十块 两个 g 的 上网 那 你 能 帮 我 把 七十 七十块 两个 g 的 上网 包 给 取消 了 吗
什么 嗯 您好 请 讲   哎 我 问 一下 就是 那个 家庭网络 那种 就是 那个 电视盒 要是 以后 更新 还是 安装 什么 都 里面 要 扣费 吗   噢 就是 安装 是 吗 安装 号键 都 是 需要 那个 安装费 的   不是 我 就是说 你 以后 电视 里面 以后 你 那边 要是 我 里面 有 更新 不是 下来 安装 就是 里面 收 可以 一般 会 更新 了 要钱 吗
您好 很 高兴 为您服务   你 看 一下 我 的 套餐 是 多少 钱 的   噢 好 的 请 您 稍 等 谢谢 嗯   他 打电话 块
您好 请 讲   多少 哎 你好 我 刚才 关 了 一个 什么 就是 那个 就是 特级 会员 免费 专属 临河 就是 免 就是 要 费用 的 吗   这个 是 免费 的 您 这 上面 这个 无线 音乐 俱乐部 它 这 里面 水 的 费用 对   噢 那 我 刚才 以为 这个 是 要钱 给 我 关掉 了
您好 请 讲 诶   电话本 机 的话 他 拨打 呃 因为 我 这个 现在 好 的 哎 这边 呃 呃 拨打 的话 一分钟 是 多少 钱   呃 您 再说 一下 刚刚 有点 断断续续 没有 听 清楚 您 说 什么 打 多少 钱   都 那个 订 对
你好 请 说   诶 你 帮 我 看 下 我 这个 套餐 是 多少 钱 呢   嗯 您 是 十八块 钱 的 费用   他 有没有 还有 没有 其他 什么 什么 套 什么 什么 什么 彩铃 彩印 订 啊 这些 的 有没有 另外 其他 的 费用
你好   喂 你好 我 想 请问 一下 您 全球通 它 现在 最低 的 套餐 费用 是 多少 钱   八块钱 一个月   啊
您好 请 说 你好 你 帮 我查 一下 这个 这个 话费 扣 的 测试 什么 啊   好 稍等一下 我 给 您 查 一下 这个 月 的 吗   啊 这 这 这个 月 了   您 这个 月 套餐 是 三十八 套餐 加 一个 来电 提醒 二九
您好 请 讲   呃 你好 我 想 问 一下 我 这 部手机 是 怎么 收费 的   您 本 机号码 有 哪些 收费 业务 是 吗 对 对 对 有 哪些 业务 就是 您 一个 神州行 的 家园 卡 套餐 费 五块 钱 保底 消费 十块 然后 来电显示 六块 其他 业务 的话 没有 了 就 按照 正常 收费   啊 那 五块 是 什么 钱 你 说
还有 什么 可以 帮 您   的   哎 你好 是 这 样子 的   就是说 呃 我 现在 这个 只有 接到 电话卡 是 福建 宁德 的 现在 在 福建 福州 来 打 这 样子 的话 那个 打一接 打 是 接听 是 还有 打电话 是 多少 钱 一分钟 这 样子
您好 请 讲   身份证 我们 我们 有办 了 一个 号 交易 这个 多   和 教育 是 吗 我 帮 您 查 一下 呃 有 一个 和 教育 的 没错 您 不 需要 是 吗   一个月 是 多少 钱
您好 请 讲   你好   噢 你好   呃 您 说
您好 请 说   喂 你好   你好   啊 麻烦 你 帮 我查 一下 我 这个 是 多少 钱 的 套餐 啊
您好 很 高兴 为您服务   你好 诶 我 只是 这样 的 噢 嗯 我 刚刚 有 信号 说 你们 那边 咨询 什么 那 我 用 套餐 这个 是 多少 钱 的 八十八 幺 三二   哎 它 原价 是 幺 三八 那 第一年 的话 有 做 活动 每个 月 给 您 返还 五十块 钱 是从 呃   噢 然后 现在 是 呃 就是 就是 反正 所有 的 东西 短信 流量 短信 呃 流量 这块 免费 用 是 吧
您好 请 讲   喂 你好 你 帮 我查 一下 我 这个 手机 把 我 那个 另外 一个 给 我 绑定 那个 家庭网 那 一个 怎么 有 经常 打 过去 它 手机 之后 关机 的话 它 一条 短信 过来 那个 要 给 我 说 要 什么 费用 吗   呃 这 是 来电 提醒   可以 那个 灯要 增加 什么 费用 吗 我 手机 啊
您好 请 说   诶 给 我 看 下 我 原来 这个 是 多少 多少 钱 的 套餐   十八块 钱 的   十八 嘞
您好 请 说 你好   诶 你好   哎 先生 您好   呃 我 想 请问 一下 呃 我 现在 这个 手机 就是 家庭网 然后 了 吗 我 的 五五 幺 五二 的 这张 漫游 的 情况 下 呃 拨打 要 不要 收费 了 喂 请问 一下 拨打
您好 请 说 您好   喂 你好 请问 一下 本机 是 多少 分钟 了   对 对 然后 您 这边 是 一百 分钟 呢 一百块 钱 套餐 诶   好 的 还
嗯 嗯 嗯   您好 请 讲   稍 等 喂 你好 问 一下 我 现在 真的 给 我 看 一下 主 套餐 有收 收到 什么 免费 赠送 你们 是 吧   呃 这边 下个月 的话 有 转为 一个 新飞 享 三十八 的 套餐 也 是 三十八 然后 它 是 三百 分钟 然后
下午 好 很 高兴 为您服务   诶 你好 我 想 查询 一下 我 我 我 这个 那个 手机 丢 了 没什么 用 我 看 了 好像 今天 来 来电显示 现在 来电显示 要 不要 钱 呢 一个月   本机 的 来电显示 送 的 不用 钱   我 这个 手机 的 是 吧
您好 请 讲 您好   诶 你好 我 想 问 一下 我 现在 的 套餐 一个月 是 多少 啊   呃 一百二十八 然后 的话 你 还有 一个 三十块 流量 包   噢 你 这样 噢 那 我 想 问 一下 我 把 流量 包 取消 可以 吗
您好 请问 什么 可以 帮助 您   诶 你好 我 这个 有 来电 就是 那个 给 我 关机 了 嘛 然后 开机 的 时候 它 就 提醒 我 上次 给 我 打电话 了 吗 然后 这个 有 一个 就是 短信 就是 一个 是 两 毛钱 对 吧   来电 提醒 业务 有 提醒 就 扣费 嗯   噢 那 我 这个 能 不能取消 啊
您好 很 高兴 为您服务   你好 我 这个 月租 卡是 多少 的   我查 一下 月租费 是 八十八   哎换 吗
您好 请问 有 什么 可以 帮 您   我 现在 发现 我 买 的 套餐   需要 查询 本机 办 的 业务 对 吧   嗯 对 对 对 对 那 您 稍 等 马上 帮 您 看 一下
您好   呃 喂 您好 我 想 咨询 一下 开通 那个 什么 国际漫游 的话 是 怎么 收费   行 呃 本 机要 开 吗   呃 我 是 咨询 先 咨询 一下 是 怎样 收费 的
嗯   您好 很 高兴 为您服务 我 那个 手机 是 多少 钱 套餐 有 什么 套餐 有 那种   移动 流量 是 一场 二十八 元 的 套餐 里面 有 一百 分钟 在 泉州 打 全国 的 时间 还有 三百 兆 的 流量 还有 来显   噢 三百 兆 流量 是 吧 啊 没错
您好 请 说 什么 意思 啊 恩 你好   呃 我订 那个   新闻 噢   去 金门 短信 在 金门 花 我们 大力 的 短信 怎么 收费 呀
您好 请 讲   的 我 一个月 拦截 功能   你好 什么 帮助 吗   诶 你好 请问 一下 现在 那个 你们 移动 的 宽带 它 是 怎么 收费 的
您好 您 说   诶 请问 我 那个 我们 那个 我 有 个 咪 太 嘛 然后 它 是 这 样子 这个 移动 的 然后 一天 一 g 吗 超过 一 g 另外 收费 那 超过 一 g 的话 是 怎么 收费 啊   操作 一次 嗯 嗯 操作 它 一天 最低 流量 王 套餐 超出 话 一兆两 毛九来 扣费 达到 六十块 钱 一次性 的 费用 来 进行 计算 的   我 那 我 超一 g 要 多少 钱 呐
噢   啊   你好 请 说   诶 你好 呃 麻烦 你 帮 我 查询 一下 现在 这个 套餐 是 呃 多少 钱 的 一个
您好 请 讲   你好 我 想 咨询 一下 就是 我 这个 号码 我 想 转接 到 另外 一个 卡 上面 转接 要 收费 吗   呼叫转移 分钟 一毛钱   噢 接电话 还要 一毛钱 啊
您好 请 讲   呃 你好 呃 就是 我 想 请问 这种 这 八十 八块钱 的 套餐 流量 到 是 省外 的 就是 流量 怎么 算 的   我 的话 需要 另外 收费 的 您 现在 今天 流量 只能 在 省内 用 在 外省 要 另外 扣钱 返   这办 一个点 一下 吗
您好 请 讲   流量 套餐 帮 我 看 一下   流量 套餐 是 吗   嗯 是 多少 钱 的
您好 请 讲   噢 是 这样 的 我 的 套餐 是 二十八 元 是 吗   是   那 我 帮 我 改成 嗯 再 便宜 点 十八元 的 吧
您好 请 讲   喂 你好   什么 可以 帮 您   他 中午 再 再 打个 电话 他 说 我 这个 下个月 帮 我 开通 那个 三 十八块 的 那个 套餐
嗯 嗯 就是 您好 很 高兴 为您服务   喂 你好 请问 一下 那个 共享 流量 流量 包 那个 四季 要 收钱 了   噢 如果 是 家庭成员 共享 就 不用 钱 那 如果 是 非常 里面 成员 之间 共享 的话 功能 费到 十二月 三十一 号 之前 只收 五块 钱 一个 号码   嗯 嗯 等于 说 家庭网 的 成员 不用 吗
请问 一下 我 这 张卡 那个 啊 分钟 后来 工作人员 怎么 算 多少 还是   您 稍等一下 有 什么 六百 你好 您 的 流量 的话 已经 用 完用 超 了 超 了 五十 六块钱   那 您 的 流 嗯 套餐 的 一兆是 怎么 算 多少 钱   两毛 九
您好 请 说   喂 你好 你 就 那个 现在 应该 一 g 流量 我 现在 开是 扣 多少 钱   一个 g 流量 它 原价 是 三十块 今天 开 的话 它 只能 用 五百 兆 然后 费用 的话 差不多 只要 扣 您 那个 十四块 有 四百 七十一 兆   四百 七十一 兆
您好 请 讲   诶 你好 那个 最近 在 哪里 那个 套餐 呢 就是 那个 流量 套餐   呃 流量 包 的话 还是 有 的 呀 您 要 用到 多少 流量 呢   流量 包 那个 加油 包是 十块钱 的 是 吧
你好 请 讲   哎 你好 哎   呃 请 说 怎么 了   我 现在 想 去 美国 吗 然后 你 这个 看 一下 就是 如果 我 好像 没有 开通 这个 通话 的
早上好 请 讲   呃 你好 我 问 一下 牵 宽带 现在 多少 钱 噢 女士 这个 号码 家里 要 新装 宽带 是 吗 这 样子 然后 我 我 不想 嗯 不 连接 那个 这个 手机号 嘞   那 您 可以 用 其他 号码 打 过来 我们 帮 您 转 宽带 专线 给 您 详细 介绍 一下   就是 要 这个 号码 才 可以 吗 才 可以 牵 宽带 吗
不用 了 拜拜 喂 你好   诶 您好 请 讲   诶 请问 一下 像 我 是 多少 钱 的 套餐 我 是 是 三十八 的 套 套餐   对 对 八十八 的 套餐 然后 办理 宽带 业务 嗯 您 说
你好 我 现在 就 可以 通过 我 只 收 一百 五六 零 您好 他 不会 收取 能 听见 喂喂 你好 请 讲 诶 我 这个 国际漫游 开通 的 网络   好 您 稍 等 马上 帮 您 查 一下   你好 中国移动 的 意思 这边 查询 二十一 号   国际漫游 开通
您好 请 讲   呃 你好 我 想 请问 一下 呃 移动 的 啊 那个 呃 菲律宾 的 电话 一分钟 是 多少   嗯 嗯 您 在 本地 打是 吗   呃 对
哎   嗯   您好 请 说   你好 诶 我 想 问 一下 我办 了 一张 那个 的 主卡 那个 上网 那个 划算 吧
您好 很 高兴 为您服务   诶 麻烦 问 一下 那个 宽带 里面 也 人家 一年 多少 钱   帮 您 现在 的话 没有 优惠 五十 兆 宽带 包年 的话 要 九百 六 一年 没有   那 九百 六 啊
早上好   你好 那个 我 想 问 一下 我 不是 装 那个 宽带 吗 好像 可以 免费 家 那个 网络 电视 是 吧   嗯 噢 您 是 说 那个 宽带 您 要 互联网 电视 是 吗   对
早上好   诶 我 这个 我 一个月 套餐 要 多少 钱 的 帮 我查 一下   好 的 您 现在 用 的 套餐 是 上网 一百五十 八块钱 套餐   一百五十 八块 套餐 那 几 g 啊
回来 您好 高兴 您 服务   诶 你好 请问 一下 我 现在 人 在 香港 日本 现在 这个 流量 是 怎么 算 的 就是 wifi 的 流量 就是 我们 的 流量 手机 该 怎么 算   您 如果 是 在 香港 的话   那 就是 那个 三兆
嗯   您好 请 讲   你好 我 想 问 一下 我 这个 套餐 每个 月 多少 钱   好 的 我 看 一下 套餐 是 三十八 的 套餐 三十八 对 然后 包含 了 本地 通话 一百 分钟 五百 流量
换点 那个 长 或者 对 对 对 对 就 你好 你 说 特别 大 那个 我 想 问 一下 我 这个 套餐 是 多少 钱 的 流量 有 多少   呃 这 张卡 目前 使用 的 是 五十块 套餐 包两 g 流量 跟 来电显示   短 g 流量   两个 g 就 两 千兆
你好   诶 你好 呃 我 想 问 一下 那 一个 哦 你们 现在 不是 有 有 一个 那个 一天 一元 五百 兆 的 那个 卡 吗   噢 对 日 租卡   呃 那 那 这个 收费 怎么 算 一个月 还要 再交 九块 钱 的 那 一个 是 吧 现是 月初 然后 一天 收 您 一块钱 五百 兆 流量 这 样子 呃 就是说 如果 这 张卡 不用 的话 一个月 就是 只要 九块 钱 是 吧 没错 不 上网 一个月 加 九块 呃 如果 要 上网 就是 一天 交 一块钱
很 高兴 您 服务   喂 你好   诶 您好 请 讲   麻烦 你 帮 我查 一下 我 这张 流量 卡 每个 月 多少 钱 好不好
您好 请 说   喂   你好   你好 那个 我 办理 宽带 啊 多少 钱 一个月
