呃请说 帮我查一下您稍等一下您这张卡现在是在整个大陆打大陆的移动六分大陆打联通电信是两毛 
您好很高兴为您服务 恩对的任我翻但是您要改成飞享套餐才会才可以办您现在是四g上网把这个版本是不可以办的 
他没有功能费的您是需要哪个国家呢去瑞典然后先开通国际漫游国际漫游没有功能费不使用是不收的 再订那他不会产生任何资费然后您是瑞典对吗然后人到了一点那边呢上网的话是三块钱三兆这样子不使用使用最多是三十块钱一天无限流量的然后那边打电话资费还有必要提醒我会发到您手机的稍后您可以看一下三十块钱一天的那个流量是无限的对不用不收用的话就三块钱三兆这样子如果没有用到三十按用多少算多少收如果当天费用累计到三十费用就帮您封顶了不会再多当天流量是无限用是这样最多三十块钱多少钱 
您好很高兴为您服务 八块钱的 
您好很高兴为您服务 呃那个漫游就是打打接电话的资费是吧 
很高兴为您服务啊没哎 移动宽带是吧对对好的之后我要帮您转接到宽带专席您详细咨询一下好吧好您稍等不要挂机将近大概喂小姐稍等一下帮您转接到专席 
您好很高兴为您服务 公司呃那首先您把这边的地址报一下查一下有没有线路啊我这边是 
您好很高兴为您 那种流量套餐十八块钱一百兆流量国内流量九月份开始再见账户 
您好很高兴服务 有的有一百分钟通话两个g的流量打国内电话一毛九一分钟流量超出两毛九一兆在数据两个g的本地流量一个g的夜间流量 
很高兴服务 听得到 
好很高兴为您服务 就是问我您现在什么套餐是吧 
银行卡绑定我 流量您目前是五个g啊每 
您好很高兴为您服务 对有的有这样一个活动但是的话就是要在京东或者是说您的那个上面进行订购的它只能用七天七天里面如果你用不完的话它就自动取消可以可以那也可以你帮我订个八十八八十八块钱的不好意思先生不是我帮您定是您要根据它的那个订购方式来进行订一个是登录京东app一个是那个在说您的pp上面订这个它不是我们人工定的先生我们人工定不了你们系统里面能不能帮我订一下我我做不了先生我系统里面也不行吧公司我们个么对我们根本做不了先生 
您好很高兴为您服务 移动宽带一年最低二十兆七百六十块钱现在办一年送两百元的话费 
兴服务 直接显示是免费送的他会帮您等了费用减掉的不收钱 
您好兴为您服务 套餐八十八块八十八 
您好很高兴为您服务 呃您这号码要改成那种全国免接听的套餐是吧 
您好很高兴为您服务 呃一年的话我们有二十兆和五十兆的嘛但是具体的资费小姐你可以把地址报一下我查一下对应的价格 
互转 嗯呼叫转移对吧 
您好很高兴为您服务 那你帮我 
您好很高兴为您服务 唉你好 
您好兴为您服务 嗯恩漫游的话已经开通好了在当地如果打电话的话回大陆两块九毛九一分钟接听还有拨当地一块九毛九一分钟上网的话流量按照三块钱三兆计费的一天用到三十块流量是不封顶的因为有些套餐 
您好很高兴为您服务 八十八是两百二十分钟通话七百兆流量 
您好请讲 恩 
它是有人他那边您好很高兴为您服务 这是一个功能呀功能的话是十块钱一个月您这边是有个宽带的我看一下宽带有没有赠送稍等 
您好很高兴为您服务 喂你好 
很高兴为您服务 这个消费一百零八块 
很高兴为您服务 手机号码 
很高兴为您服务 有什么可以帮您先生 
您好很高兴为您服务 我现在改套餐行吗嗯可以的您要改什么套餐呢 
您好很高兴为您服务 呃都是一毛九一分钟 
就这个业务的话原价是一百元一个月的每月给您十g的本地流量活动今天还每个月送啦呃三十g的本地流量就是一个我想那个业务 对是的 
您好很高兴为您服务 短期的优惠服务 
您好很高兴为您服务喂您好 呃您是说您在上海打到外地吗 
您好很高兴为您服务 我想咨询一下就是 
您好很高兴为您服务 是上海移动的吗先生 
您好很高兴服务 对上海移动 
您好请讲 那您要申请多少兆流量请问 
很高兴为您服务 月租八十八流量七十一共一百五十八 
您好兴为您服务 月租啊月租的话最少最少最少十八的也是四g套餐全球通的十八 
很高兴为您服务 嗯就是流量不够是吧 
您好请请讲 套餐您目前使用的是十八块一个月一百兆流量别的没有 
您好很高兴为您服务 只开这个月还是以后每个月都要 
嗯您好很高兴为您服务 您是去哪个国家 
您好很高兴服务 您是哪个号码呀我帮您看一下您先帮我查一下 
您好很高兴为您服务 您现在这个号码目前是一百分钟通话和五百兆流量的 
您好很高兴为您服务 谢谢你 
喂您好上海移动客服代表工号幺零六五九您现在接电话是免费的啊您好女士不好意思打扰一下这边的话是给您来电反映下您之前所投诉的一个问题噢那这边的话我也是帮您有查询过那个之前我们员工是必须大于您说要帮您办理这个十八块钱套餐然后这个月先帮您生效的那么是只要我们查证下来的话的确没有帮您更改的嘛导致您这个月还是现在这个五十八块钱的一个费用那么女士您看这样好吧就是我这边的话帮您呃下个月的话改成十八块钱的一个套餐然后之后的话这个月的一个费用我这边帮您调整四十块钱的一个费用然后在这个月月底之前到账您看可以吗 诶好的好的好的那这边帮您要更改套餐的话需要审核一下资料呢您这边的话手机密码知道吗 
您好很高兴服务 涛到月底的话您大概需要加多少流量 
为您服务 唉您说 
您好很高兴为您服务 段 
您好很高兴为您服务 我大概不客气不客气哦哦 
您好很高兴为您服务 他的费用 
您好很高兴服务 一毛九一分钟同一下 
您好很高兴为您服务 全球通最低是十八块钱的一百兆流量国内主叫一毛九一分钟全国接听免费 
您好很高兴为您服务 是每个国家了每个国家不一样的 
您好很高兴为您服务 最便宜的最低的月租是十八块钱一个月的里面是包含了一百兆流量国内主叫一毛九一分钟全国接听免费的 
您好很高兴为您服务 嗯您要流量多一点还是少一点的 
您好很高兴为您服务 漫游包国际漫游开通然后开通国际漫游它是没有功能费的只有使用费不使用它不收的然后到澳门那边呢上网是三块钱三兆这样子不使用不收费使用最高是三十块钱一天无限流量然后打电话资费就是还有必要提醒我发到您手机的稍后您可以看一下好吗 
这个套餐本地是一百五十八的每月五百分钟通话然后两g流量还有一个三块钱来电提醒业务 来电提醒就是关机专线不在服务区对收到那个短消息提醒 
您好很高兴为您服务 九十八的呀 
服务 请说 
您好很高兴服务 用完之后的话您这边可以额外加再加流量包流量包当月的话都是按天折算的就算下来有两百多兆五百多兆八百多兆的都有 
套餐套餐的话您是四十八的五十分钟五百兆流量的超出打电话一毛九一分钟全国接听免费的就这一个 稍等一下主要是打电话上面的 
二十兆的一年是七百六十块送两百的话费 嗯对是的 
您好很高兴为您服务 是每个国家了每个国家不一样的 
打的话您有三百分钟免费的超出之后就一毛九一分钟 对全国接听都是免费的 
您好很高兴为您服务 只能下月开通稍等一下我现在二十块钱一点五g的您要吗啊那个二十块钱一点五g的是全国通用的吗 
您好很高兴为您服务 啊您说 
您好很高兴服务 现在怎么申请的怎么算啊流量包的话有一个加二十块钱加两个g的流量月底清零呢就可以吗 
您好很高兴服务 对是的 
您好很高兴为您服务 宽带费用问题是吧 
您好很高兴为您服务 对啊五十八块钱一百分钟通话五百兆流量的 
您好很高兴为您服务 哪些国家 
为您服务 嗯您说泰国的一个流量套餐是吗 
您好很高兴为您服务 十八块钱一个月一百兆流量国内主叫一毛九一分钟全国接听免费的 
很高兴为您服务 嗯报一下手机号码 
您好很高兴为您服务 呃超出之后的流量是两毛九一兆的超出之后打电话是一毛九一分钟 
您好很高兴为您服务 到外地去那您这手机的话因为现在是十六块钱神州行套餐吗在外地那就接听四毛钱一分钟拨打六毛钱每分钟是的而且现在这个全国漫游包这种服务的话已经下线了已经没有了 
您好很高兴服务喂 请讲 
您好很高兴为您服务 呃您好请讲 
很高兴为您服务 嗯嗯是本机号码反馈的还是其他号码反馈的 
吗 谢谢啊 
您好请讲 就是流量呀他的单词改 
您好很高兴为您服务 对是的 
您好很高兴为您服务 您好请说 
您好很高兴为您服务 这个套餐本机的这个套餐八块钱一个月发过来是的 
您好很高兴为您服务 你好唉 
很高兴为您服务您好很高兴为您服务 呃彩铃的话是五块钱一个月的五块 
您好很高兴为您服务请 请说 
您好很高兴为您服务 机之后的话他月租费是十块钱但是是你员工自己付费还是公司付要问你公司 
高兴为您服务 嗯那你要办吗打电话把地址报给我一下 
您好请讲 对的 
我不会确认的您好很高兴为您 就是您现在这个号码要办理是这个套餐 
您好很高兴服务 你时间只有五十分钟如果用完就按照一毛九一分钟收费 
您好很高兴为您服务 嗯您是说再网上吗套餐 
您好很高兴为您服务 呃确实没有进来我们这边也没有收到您要咨询一下支付宝客服了他们这边还没有充进来 您好很高兴服务 到月底的话您大概需要加多少流量一千多兆够吗一千二百多兆 
噢好的请问要办理什么业务 恩只是显示 
很高兴为您服务 宽带的费用啊一年七百六二十兆的欠了八十元七百兆多少一百兆一年一千零六十现在办一年送两百的话费 
为您服务您好 您好 
您好很高兴为您服务 呃是上海移动的宽带吗那您可以把这边的地址报一下查下线路有没有覆盖能不能 
很高兴为您服务 恩好的帮您看一下现在订的通话费用和流量费用是吧通话打回中国大陆接听都是九毛九一分钟然后流量是每天三元包三兆每天最多扣三十块然后它有多天流量包的就是三天七十八块五天一百一十八块然后七天一百五十八块 
为您服务 先生 
您好请讲您好 可以的 
您好很高兴为您服务 这个号码办的宽带嗯但是这个指定小区活动的 
您好很高兴服务 宽带上不了是吗 
很高兴为您服务 恩对 
吧您好很高兴为您服务 嗯嗯 
您好很高兴为您服务 呃什么问题先生 
哦 你好先生 
您好请讲 本机的话是五佰兆流量一个月 
很高兴为您服务 便宜的套餐呃目前能改套餐最便宜开始是十八块十八二十八三十八之类的最便宜十八块也可以改的您需要修改最便宜吗 
您好很高兴为您服务 呃您月租我看一下您是无月租的初始套餐然后另外又加一个五元三十兆流量所以您套餐就是五块钱每个月就五块钱的那个流量套餐 
您好很高兴为您服务 呃目前您套餐是三十八的四g飞享套餐另外还有个集团业务就这些了 
好 套餐有非常多我发给您看一下吧您这个月改下个月生效我把套餐介绍发给您您看一下好嘛 
您好很高兴为您服务 改到西班牙是吧 
很高兴为您服务 呃这个月加的话我看一下您加加四百兆够吗 
您好请讲 可以啊您这个过去之后再来电再开可以的 
您好很高兴服务 你好 
您好很高兴为您服务 公司里办理那个宽带的话费用是怎么算的呀 
很高兴为您服务 那是来电显示这个不收的就是套餐送的里面包含这个费用它最后帮您减免掉的都没有收您 
您好很高兴服务 嗯嗯你帮我看一下什么问题呢 
您好很高兴服务 嗯嗯 
您好很高兴服务 幺三八小的 
为您服务 哎 
您好很高兴为您服务 四零零号码是吧 
您好很高兴为您服务 什么多少 
您好很高兴为您服务 办专线是吧 
您好请讲您好 嗯请讲 
您好很高兴为您服务 但是流量多了 
幺您好很高兴为您服务 对 
您好很高兴为您服务 是吧对扣 
您好兴为您服务网上银行也是可以办理 自选国家 
很高兴为您服务 宽带的话你办的是一个和家庭然后每个月的宽带资费是八十八 
您好很高兴为您服务 是这个手机号码办理的宽带和地址吗 
您好很高兴为您服务 呃这个套餐是送您两百分钟就是您要在四g网络下啊打电话出去打那种手机座机都可以的就是那种噢短号就不用幺幺零幺二零这个短号不可以分钟手机座机反正打过去都是在这个在四g网络下就可以在这个两百分钟里面扣然后 
您好很高兴为您服务嗯 啊您好 
为您服务 刚才你每个月是十八元的套餐十八每月有一百兆流量 
您好兴服务 保号停机它是停满一个整的自然月收取您五块钱功能费 
您好很高兴服务 如果您开通国际长话功能之后使用幺七九五幺加零零国家代码对方手机号码打过去三毛九一分钟但是您开的时候必须余额大于两百元才能开现在系统提示您余额不够开不了的 
您好请讲 月租是四十八的 
您好很高兴为您服务 三千分钟对吧我看一下啊请稍等 
您好请讲 嗯你好 
您好很高兴为您服务 一毛九一分钟 
为您服务 恩 
您好很高兴为您服务 你好 
您好很高兴为您服务 活动吗嗯嗯 
您好很高兴为您服务 嗯嗯 
嗯没有的现在没有这样的服务的 其他人是上海移动号码吗 
高兴为您服务 你要开通话可以那么就需要多方通话了 
您好很高兴服务 您现在打本地电话一毛钱一分钟本地接听免费出上海之后打六毛接四毛一分钟 
您好很高兴为您服务您好 唉您好 
高兴服务您好请讲 费用对吧自动这详单明细我们看不出来的先生但是您的固定费是一百五十八一个月五百分钟通话两个g的流量 
再加一点您好很高兴为您服务 本地流量啊就是说流量那个问题是吗哎唉先生那很抱歉我这边是查询不到流量呢您可以拨打这个幺零零八六幺幺呀它是直接挂机之后它是流量直接下发到你那个 
很高兴为您服务您好很高兴为您服务 帮您 
全国接听都是免费 您接听是免费的 
您好很高兴服务 台湾您已经办过了呀国际漫游打开之后全球都可以去 
您好很高兴服务 幺三七七 
您好高兴为您服务您好 短信的路由器吗呃您说什么费用 
您好很高兴为您服务 我们可选包的话十块钱一百兆 
您好很高兴为您服务 噢就当月的流量是吧 
您好很高兴为您服务 嗯宽带我们现在最低的是二十兆的我看您这个号码已经参加了一个两百兆的个人消费送宽带的活动的 
您好很高兴服务 六十八 
好很高兴为您服务 昨天晚上 
拨 好 
您好兴为您服务您好 一百一百分钟的通话时间是吗 
您好高兴为您服务您好 开通澳门国际漫游 
您好很高兴为您服务 没有就您现在是十块钱的神州行大众卡再加上一块钱的ip国内长途优惠包 
您好请讲 套餐对吧这个月套餐的话您这边是九十八块一个月先生九十八一个月 
您好很高兴服务 嗯 
您好很高兴为您服务 噢好那你把这边的地址报一下我查一下确认和有没有资源覆盖和对应的价格上海市 
您好很高兴为您服务 您这个套餐吗 
您好很高兴为您服务 嗯您好请说 
很高兴为您服务 哪个手机号码您能报一下吧幺三五二四八幺幺三八七二四八幺幺三八七是吧密码知道吗 
您好很高兴为您服务 一块钱 
您好很高兴为您服务 对一毛九一分钟一毛九一分钟是吧那现在流量还有多少流量你总共是一百兆目前还剩多少的话请您发短信四个六发到幺零零八六查询一下 
您好很高兴服务 噢您那边听不太清楚女士香港是吗 
恩您好很高兴为您服务 您是上海的号码去外地是吧 
您好很高兴为您服务 集团呃您说是公司短号服务对吧 
您好很高兴服务 稍等我给您查一下您这个魔百盒的话是赠送给您联系在账单上面会显示收费但是我们会每个月会送您二十块钱话费帮您底这个费用呢 
您好很高兴服务 吧嗯那对您套餐的话有送本地流量 
您好很高兴为您服务 最低消费八十八送五十兆您什么地方要装宽带我帮您查一下资源情况 
您好很高兴为您服务 就看咪咕视频就是手机上面安装咪咕视频这个软件在上海看这个软件里的视频才能用的 
很高兴为您服务 我打一下号码幺三九幺六五多少 
您好很高兴为您服务 你说流量是吧 
您好兴为您服务 呃您去哪个国家呀 
您好很高兴为您服务 二十兆的话呢是七百六一年五十兆的九百六一百兆的一千零六十呃噢 
您好很高兴为您服务 对对的流量对 
您好很高兴为您服务 宽带是请问是哪个手机号码办理的移动宽带就这个手机号码本机号码我看一下请感谢目前宽带办的是一个和家庭宽带它每个月是八十八的月租宽带费用扣八十八 
您好很高兴为您服务 有宽带的话有两种活动一种是承诺消费满一百零八送二十兆宽带的还有是包年的裸价宽带七百六一年两年八百八就是一次性支付的 
您好很高兴为您服务 没按天扣费一天靠近两呃扣您三块五 
您好很高兴为您服务 恩 
您好很高兴为您服务 我帮您看一下您这是八块钱的套餐稍等四再见这个套餐的话您套餐里面有一个一块钱的幺七九五幺的这个是套餐本身包含的您如果是打的话对吧现在的话就是国内主叫如果您不加就三毛九一分钟直播三毛九一分钟加的话就是加幺七九五幺打是两毛五两两毛钱一分钟的可以帮您把额外加的那个定向的可以取消掉 
您好很高兴为您服务 去几天 
您好请问用户编号 比如说只从国内打到欧洲那边还是怎么样 
您好很高兴为您服务 你好 
您说这个临时加一个g流量 是加我看一下临时加可以办这个三十块一千兆加油包对最近的这个 
您好很高兴为您服务 那个十块钱的 
您好很高兴为您服务 嗯你先不到 
您好很高兴为您服务 您好 
您好兴为您服务 宽带对吧关的话看您装的是如果是装口袋宽带的话一年的话是七百六二十兆的然后如果是那个五十兆的话一年九百六 
您好很高兴为您服务 请问视频的话它是三十个g目前二十元是免收功能费的优惠到年底明天开的时候现在是不收的 
呃您好很高兴为您服务 公司呃您可以把这边的地址报一下我查一下资源和对应的价格 
您好兴您服务您好 就想这个月加一点流量包是吗 
很高兴为您服务 盒飞信是吧您稍等一下 
您好兴您 您现在套餐的话就是这个情况 
您好很高兴为您服务 就是您目前手机申请的公司账号对吗先 
您好很高兴为您服务 呃一样的您下个月开始打出去都是一毛九一分钟就是支持在外地也是一毛九一分钟 
您好 他让我开了一个十块流量 
您好很高兴服务 之前畅听卡十六块一个月的话它估计现在目前的话是打国内电话都是一毛三一分钟全国接听免费 
为您服务 你你在外地打的话就是不管你打群内还是去问都是在两百五十分钟里面扣超出都是一毛钱一分钟 
