请您好请说 本机要申请宽带呃先新装的吗是吗 
为您服务 嗯这个要以当地的那个移动规则为准但是上海移动这边的话在电话里是销户不了所以外地应该建议您稍后打人在外地移动幺零零八六去咨询一下噢那个是销户不了的 
很高兴为您服务 移动宽带您是通过什么渠道办理了 
您好很高兴为您服务 请您好请讲 
您好很高兴为您服务 公司宽带是吧 
高兴为您服务 把这边的地址报一下我查一下有没有宽带线路 
您好很高兴为您服务 就是 
您好很高兴为您服务 服务银行卡就是唉我们公司想办一个那个 
您好很高兴为您服务 变更说号码先生手机号码是多少 
您好很高兴为您服务 就您现在是个人登记的手机号码开出来的发票是要以公司名义登记 
您好很高兴为您服务 在日本上网就是按照三块钱包三兆一天的流量费最多收三十说满三十块当天流量可以无限畅用这样开通国际漫游 
很高兴为您服务您好 宽带怎么装的是吧 
您好很高兴为您服务 呃四g送流量是吗您这是咱们一个流量超过欢的活动什么女士 
您好高兴为您服务您好 什么区的 
您好很高兴为您服务 啊积分兑换话费要自己通过短信兑换不过您停机状态也没办法电话呢要先复机然后才能兑换停机不能兑换积分对 
您好很高兴为您服务 小米说的是这个手机号码你自己订的公司小号吗先生对对对公司时候我这个号码我看一下你前面是来电的工作已经帮您取消了 
您好很高兴为您服务 套餐修改一万的流量多一点是吧 
目前的话换卡服务您是要咨询一下您那个扬州当地的那个客服看他们那边是什么操作的 嗯嗯还有什么 
您好很高兴为您服务 呃首先要先去营业厅办理移机手续然后我这边要帮您看咱们密码是您这个老地址都报老地址先说一下 
很高兴为您服务 您这手机号码办的宽带是到这个月月底关到期的然后的话如果不用的话月底之前要到营业厅注销那你现在公司短信是吧公司登记的话他也要带好公司那个呃应该是你这个应该是营业执照登记的那营业执照的那个副本软件公司介绍信加盖公章的介绍信然后的话你自己呃经办人自己的身份证原件然后宽带安装应该有个设备一个猫的呃您这个是应该几点反正银行一起带过去到您这个地址收到这个移动营业厅把它注销掉 
您好很高兴为您服务 呃您上一个月流量多一点吗 
您好很高兴为您服务 好呃是手机号码还是集团账号的 
高兴为您服务 啊对发短信换的短信代码我可以发您手机上或者您现在记一下也行发给您是吧呃发给我吧那您可以查收一下每个月最后一天不能换一个月只能换一次注意查收请问还有什么帮您的 
服务 电子发票是哪个号码给您发的是本机号码发票吗先生 
您好很高兴为您服务 您要知道她的手机服务密码或者是姓名身份证还是要报出他一周以前两个月以内打过的三个号码 
很高兴为您服务 这样再装移动宽带是吧 
您好很高兴为您服务 对带好身份证和字过去宝山区的营业厅都可以办理的 
好很高兴为您服务 呃是上海移动手机号码是以公司名义登记的对吧之前 
你好您好很高兴为您服 唉你好 
中国移动的网站停机噢就是说您手机打开网页就是提示停机类型啊 下载不下来但您这边那个手机呃我看一下网网络都正常啊您 
你可以办个流量套餐帮您按天结算立即生效的加三十块钱五百兆五十块钱一个g七十块钱两个g都有 啊 
啊 请说 
您好很高兴为您服务 宽带业务要取消 
您好很高兴服务 你现在也就是说有一个号码名字要改为您的名字是这意思吗 
您好很高兴为您服务您好 嗯您好请说 
您好很高兴为您服务 办宽带是吧我们付费的一年七百六二十兆的然后送您两百元的话费 
他到月底的话有一个加二十块钱加两个g的流量月底清零吧就可以吗 好机主姓名报一下 
服务 您现在续约还是取消的 
很高兴为您服务 好的 
您好很高兴为您服务 呃先生这个的话您要加流量包是吗好的先生那我们现在的话有一个活动二十块钱一点五个g的流量包您要吗 
高兴为您服务 流量稍等这个月的话不够您可以订购有一个任我翻就再加二十块钱可以可以再给您是一点五g需要吗 
您好很高兴为您服务哎你好我想我想问一下就是你们请讲呃二十五号开始就是用那个欠费提示那个吗 对联好的那我们是需要更改吗还是 
在异地您好很高兴为您服务 请说 
您好兴您服务您好 这边的话您通过手机登录掌上营业厅有一个意见查询也没有专人查询只能看到了 
您好很高兴为您服务 啊您好请说 
好很高兴为您五啊 电子发票是吧发给您邮箱对吧对好的我看一下啊帮您那个sos用那个那个里面是把那个邮箱里面好这边请报一下您的姓名好的帮您发过去您注意查收还有什么可以帮您不客气请稍后请报一下 
您好请讲 上海德他们对对对好这边帮您您是集团用户对吗对对对对对我这边帮您转到集团专席为了更好的问题问题请稍等一下 
高考您好很高兴为您服务 啊对现在都是电子发票直接推送到您的幺三九邮箱的您现在是要开发票吗 
您好很高兴为您服务 充值发票的话是有我们人工下发到您幺三九邮箱然后您自己直接登录幺三九邮箱在电脑上面打开打印下来就可以了 
您好很高兴服务您好很高兴服务 我想把这个积分换话费里面好一个月可以换一次月底最后一天不能换我把兑换方式发给您通过这个短信方式您来电换一下 
您好很高兴为您服务 取消公司短号对吧 
您好很高兴为您服务 您说的是之前都是六个g的这种已经没有了他六月呃七月底就结束了啊现在没有了 
很高兴为您服务 是移动宽带是吗 
您这边是发到幺三九邮箱还是发到哪里去 一般不查那个也不行手机卡的密码知道吗帮您办一下 
您好很高兴为您服务 呃您是要这个官网添加网线集团短号 
很高兴为您服务 因为您现在宽带到期了你们续约也没有取消所以是按天收费的也不能使用吗 
您好很高兴为您服务 自选套餐没有找到是吧 
您好很高兴为您服务 再加一个套餐流量是吗 
您好很高兴为您服务 您好请讲 
您好很高兴服务 功能嗯对现在什么问题呢信用卡扣款 
您好高兴为您服务 呃但是卡去营业厅帮您办理自己注销 
您好很高兴为您服务 流量我看一下嗯像您这个月的话呃这个是一个五十块一g的 
您好很高兴为您服务 是换卡是请问是公司名登记的还是个人户名 
您好请讲 啊您是要办什么请问 
您好很高兴为您服务 这个没有办法一定要她她本人的身份证原件和您身份证带好两个人去营业厅过户才可以的 
您好很高兴为您服务 是这个手机号码的电子发票登记一下纳税人识别号 
您好很高兴为您服务 呃发票的话是我们这边发给您的比如说您今天充了五十块钱您要这个发票的话你就默认是发跟他讲一下吗或者您自己提供邮箱帮您发过去也可以 
高兴为您服务 噢这个您要跟单位办的或者负责人重新申请一下到时候您手机会收到一条短信在回复确认一下就可以幺零九的 
您好很高兴为您服务 嗯您要是只是改套餐的话可以在网上自己改的不用去营业厅也可以 
您好请讲您好很高兴为您服务 公司的集团短号对吗那不是有没有办过这个短号服务小姐 
给你的您好很高兴为您服务 呃您好 
原先的话通过手机设置来关您是爱疯的手机还是 发送帮您这个iphone客服我们专席人员教您一下请不要挂机wifi解决问题我将您电话转专席处理取消呢 
您好很高兴为您服务 国际漫游的话会帮您开通一下您在哪个国家 
您好很高兴为您服务 嗯您要是只是改套餐的话可以在网上自己改的不用去营业厅也可以 
您好很高兴为您服务 您这个手机充值然后的话然后再下个月一号 
您好很高兴为您服务 噢就帮您转到宽带部门给您问一下好吧 
您好很高兴为您服务 呃我这边可以设置掌厅也可以设置的我帮您设置吗您密码知道吗 
您好很高兴为您服务 嗯我们这边一般都可以办的您是要办哪个套餐呢 
然后我还会这样子您好很高兴为您服务 呼叫等待 
您好很高兴为您服务 嗯我们这边一般都可以办的您是要办哪个套餐呢 
您好兴为您服务 嗯就把您的话费按月账单给主号码对吧 
先生 他没有身份证是吧 
您好很高兴为您服务 您大概需要加多少呢 
您好很高兴为您服务 统一给员工配手机号现在没有集团套餐套餐都是属于个人套餐的支付宝 
您好很高兴为您服务 是办固定电话吗 
服务 宽带是吧 
很高兴服务 您好请讲 
您好很高兴为您服务 嗯我们这边一般都可以办的您是要办哪个套餐呢 
然后我还会这样子您好很高兴为您服务 呼叫等待 
您好很高兴为您服务 呃办宽带是吧移动的上海移动的家庭宽带吗 
一定是五十块一个g的套餐五十块一g 对是的偶十块一个g 
带好机主身份证原件到上海移动电话 两三要到营业厅换呢 
您好很高兴为您服务 恩像您本机号码可以加个二十块钱可以多两个g的流量二十元两个g 
您好很高兴为您服务 呃积分换话费对吧呃您知道之前有多少积分吗 
服务 恩您说 
今 短信 
您好很高兴为您服务 是办固定电话吗 
服务 恩您说 
您好请讲 证件号码呃适合上海本地之间吗 
您好很高兴服务 你好 
您好很高兴为您服务哎我想问一下这个 是移动的宽带对吧那你把地址报一下我查一下有没有线路有没有东西 
您好很高兴为您服务 是家庭绑定打电话过来也能加包的您方便的话但是您到营业厅都加都可以 
您好很高兴为您服务 您要开通国际漫游关闭上网功能是吧 
兴为您服务 嗯 
一月份的账单就是打印 现在已经超过六个月了打不出来的 
您好很高兴服务 对是的 
您好很高兴服务 嗯好的稍后我给您转接 
您好很高兴为您服务 这个抱歉这个手机 
为您服务 公司要支付集团账号的账单对吗 
那反应 不客气感谢你啊 
高兴为您服务 我帮您转到宽带部门问一下请不要挂我帮您转过去为了更好解决问题我将电话转专席处理最高的 
噢那这边的话就是您能把那个手机号码报一下我帮您看一下啊幺三六幺三六四幺六七幺六二二四九三三二二四九三好手机密码知道吗知道好麻烦您根据语音提示输一下密码噢好好的密码验证成功 噢我看您这个手机号码的话是一个那个就全球通五零套餐 
您好很高兴为您服务 畅玩没有插嗯然后呢 
您好很高兴服务 你好请讲 
您好很高兴为您服务喂您好有什么可以帮您 我帮您接到我们宽带服务热线问一下好吗 
您好请讲 使用过因为我这边需要您必须要机卡匹配产生四g网络流量他才会返还话费就您这个号码跟您您这个号码跟您参加活动的时候这个手机要放在一些就iphone七要放在一起产生四g网络流量 
您好很高兴为您服务 短期的国际漫游有效期是三十天的 
您好请讲 你好 
喂您好很高兴为您服务 单位的名称办理移动手机号码对对那公司这边需要提供营业执照副本原件单位授权加盖公章 
您好很高兴为您服务 查什么险 
您好兴为您服务 宽带的话可以发您邮箱里面的 
您就去穿上营业厅吧我把地址发给您嘛您带好身份证过去看一下 对那当然有一个川沙有一个长阳路华夏东路哪个键啊 
您好很高兴为您服务 就是您之前流量比方说是两个g吗呃五十元一个g的对吧现在改到新的业务五十元就是两个g了还是五十块钱的费用不增加七点 
您好很高兴为您服务 你要流量升级修 
您好兴为您服务唉你好就是 短信我看一下您之前今天加过一次一百兆进来了已经 
您好很高兴为您服务 呃它是电子发票现在对方面的话每月发到邮箱幺三九邮箱这个要开通一下的我帮您开通是吧 
您好很高兴为您服务 情况您呃是取消哪个集团服务给的是手机号码套餐还是集团产品服务 
您好很高兴为您服务 嗯您好请说 
您好高兴服务 正在通话记录的话呢需要登录上海移动网上营业厅在网上营业厅里面查 
您好预处理专席代表很高兴为您服务 改帮您转到后台有在排队那现在已经转通了有什么可以帮您的吗 
您好很高兴为您服务 a区ap功能要我们这边帮您打开打开之后您才能使用手机上的高清语音通话您那个是您是要打开高清视频通话这个功能吗 
高兴为您服务 您好请讲 
您好很高兴服务 原来是我外婆的然后后来外婆去世了然后后后来我妈在用然后现在就是说呃被停掉了吗那么有没有什么方法可以把他这个号码转到我妈妈的那个实名制验证呢因为应该走的应该是一个过户过户的话必须要带好上加的死亡证明下家要带好机主身份证原件到上海移动营业厅过户嗯上加的是吧证明然后那如果如果觉得这个麻烦哎麻烦的话 
您服务喂你好先生 嗯这边有一个活动流量的二十元两个g可以吧 
请说 呃就是那个不帮他们付钱了是吧 
您好很高兴为您服务 到哪个地方 
您好很高兴为您服务 您说一百二十八改成多少的最低的最低的您现在改不了现在有活动呀活动还没有结束这个您要等活动结束之后才能改的活动到一八年的一月一号结束 
您好很高兴为您服务 这个号码这个号码可以改您可以自己网上改也可以发短信的 
您好高兴为您服务 兑换它有的就是送到一八年六月份 
您好很高兴为您服务唉你好 我帮您打吧您需要几月份的啊你帮我打怎么打不是我把网上打不需要验证码的吗我把验证码发到您手机上你凭验证码才能打的或者我直接发给您幺三九邮箱里面您登陆邮箱也可以打了我我 
呃停机保号我们可以的就是如果说您要销户的话只能去营业厅销户 就是停机号码还是保留着每月从下个月开始停满一整个自然月会扣除五块钱的停机保号费 
为您服务 嗯它是没有身份证的是吧 
吧您好很高兴为您服务 地址什么宽带吗 
您好很高兴为您服务 嗯您要打那个通话详单是吧呃通话详单的话他是在网上营业厅我的移动然后详单查询里面有个通话详单 
对您好很高兴为您服务零六这个手机抱清楚在线记录地址是哪里呢没有四春节经理加六百二十四套餐哎去好的目前显示不在线状态这边现在清楚了好的好的 
您好兴为您服务 呃通过手机上设置您手机是什么牌子 
您好很高兴为您服务 嗯别的话流量可以的有那个八百四十分换一百兆的当月使用 
您好请讲你好 今天就 
您好很高兴为您服务 他要验证码对吧 
您好很高兴为您服务 那您直接带好身份证设备去虹口区这边的移动营业厅办理注销就好了 
您好请讲 我们这里直接帮您操作取消就可以了您要现在不要了是吧 
您好很高兴为您服务 是家里用的宽带移机吗小姐 
哦您好很高兴为您服务 这个号码的话先挂失了手机号多少 
您好很高兴为您服务 嗯 
您好很高兴为您服务你小姐你好 对带好身份证原件到移动营业厅办 
您好很高兴服务 你好 
您好很高兴为您服务 关基础套餐 
您好很高兴服务 服务密码知道吗帮您办 
可以吗好的嗯好请您稍等不要挂机为了更好的为您解决问题我将您电话转至专席处理由专人为您解答请您稍等好的 
本机号码吗 好密码知道吗先生 
好服务密码知道吗女士 不知道身份证号码姓名报一下 
您好很高兴为您服务 魔百盒需要装五十兆或者以上的宽带才能装的 
您好很高兴为您服务 嗯对的呃您这个号码哎积分换流量您知道自己有多少积分吗 
恩 呃是说宽带吗 
您好很高兴为您服务 噢是一个承诺消费一百零八送宽带话 
高兴为您服务 宽带是这个手机号码的宽带毛钱 
您好很高兴为您服务好的 一百二十的是吗 
您好很高兴为您服务什么 宁波那您要打当地电话我这边上海查询不了五 
六您好很高兴为您服务 再见嗯办宽带的话我们现在最低二十兆然后一年的话呢是七百六然后一次性送两百的话费或者两年八百八 
您好很高兴为您服务 我帮您看一下因为我看一下您这个号码是那个个人名称登记的我们一般纳税人识别号都是由公司名称才会有哎它会有那个税纳税人识别号 
您好很高兴为您服务喂你好您好 不想用了您要销户吗 
您好很高兴为您服务 是呃是办公司的短号服务员工之间打电话有优惠吗 
您好很高兴为您服务 哎对了要挂失吗是是上海移动号码吗对啊上海的不要挂要需要挂失吗要挂失号码请报一下 
您好很高兴服务 发票的话这边帮您进行一个呃呃就是发送发送到您幺三九邮箱里面您现在打印出来是报销用的需要帮您发送一下吗 
您好很高兴为您服务 请问卡的话您按照你现在本机都要去办的话目前是五十八块钱它里面的话是有带一百兆的流量然后如果打电话呢正常是按照一毛九一分钟来计算的 
您好很高兴为您服务 您好 
您好很高兴为您服务 您是要办过什么其他的sim卡吗 
您好很高兴为您服务 什么狗买了一个什么 
您好很高兴为您服务 通话那就带好二代有效身份证本人去上海移动厅办理是那个号码的话有没有参加过什么活动啊 
很高兴为您服务 请说 
使用情况对吧发幺零九幺到幺零零八六进行查证 发给幺零零八六查现在人工查不了吗刚刚看到 
您好唉 就是这个号码发过来的那个短信 
很高兴为您服务 您是要哪个营业厅的地址 
不要挂机您拨打 您好刚才没声音了我再打过来 
您好很高兴为您服务您好 但是我们移动和东方有线合作的还是说单独的东方有线的宽带的 
您好很高兴为您服务 呃就是流量升一下是吧剩下那您要看一下现在是六十八的呃现在是五十八的套餐加五块钱彩铃那么五十八改改的内容多一档那么您现在是五十分钟通话加两个g流量的话六十八块 
什么三四很高兴为您服务 是来电的手机号码吗知道 
您好高兴您服务 积分兑换流量是吧 
公司宽带要注销吗这个您联系客户经理那边办的 嗯对的我们这里不能取消业务的 
很高兴为您服务 嗯嗯 
您好兴为您服务 流量的话就是您是哪一种是另外叠加那个还是是还有套餐里面每个月的那种的流量套餐呀 
恩您好很高兴为您服务 浦江镇哪个区的 
您好很高兴为您服务 嗯对我们这边给到您然后这边提醒到了这个充值发票嗯以后如果再要开账单发票的话未将这部分金额要扣除掉的噢 
幺五八零零 九零七八零八 
您好高兴服务 呃那些什么问题哪个号码 
您好兴您服务您好 可以通过什么 
您好很高兴为您服务 噢好的那宽带移机的问题我帮您转接专席处理请您稍等不要挂啊 
为您服务 嗯嗯好 
您好很高兴为您服务 嗯哦您的 
您好高兴为您服务 有什么问题 
为您服务您好 如果您要这个号码办宽办那个家庭承诺消费的业务还是说个人承诺消费 
您好很高兴为您服务 您号码是 
您好很高兴为您服务 您现在这个号码对吧 
这样子的您好兴您服务您好 十七楼您好能听到吗 
您好很高兴为您服务 什么业务 
很高兴为您服务 嗯魔百盒您现在什么问题呢 
您好很高兴为您服务 但是今天区别是一样的哪个先到期那个先抵扣的 
您好很高兴为您服务 就您带好您机主带好身份证原件快点去营业厅注销您今天就去因为明天注销的话要收月租了 
很高兴为您服务 领取 
您好很高兴为您服务 我这边可以帮您取消要取消吗 
您好很高兴为您服务 请说 
您好很高兴为您服务 是您宽带要换地址是吧 
您好请讲 是登记是单位户名嘛呃那要带好营业执照对营业执照还要带好介绍信和他进行再自己作为他去办吗对带好经办人的身份证这样东西 
呃积分换话费是吧 噢积分换流量八百四十积分可以兑一百兆的流量我可以把那个兑换方式发给您对一下备成功回确认短信给到您的 
您好很高兴为您服务 我这边听不清楚我这现在有问题三个字什么有问题 
您好兴为您服务 您好有什么可以帮您 
您好很高兴为您服务 噢您是代办对吧 
您好很高兴为您服务 哎对了要挂失吗是是上海移动号码吗对啊上海的不要挂要需要挂失吗要挂失号码请报一下 
您好很高兴为您服务 呃宽带到期了不想续费了是吧这是校园宽带您到时候带好身份证原件去营业厅办理注销 
您好高兴为您服务 嗯 
您好很高兴为您服务 但是手机上错了几位数字是全球通 
您好很高兴为您服务 比如说是流量是吧稍等所以这个月不够临时加一个流量吗 
您好很高兴为您服务 呃呃不是您这边是要开通什么功能 
您好很高兴为您服务 您可以帮您下安装宽带地址报一下我给您查一下您这边能不能装 
为您服 恩你好 
服务 积分是吧可以发送短信f两个字母发到幺零零八六进行查询 
您好很高兴为您服务 查一下啊十一月份的那现在可以发给您了您的服务密码知道吗我帮您开通 
您好很高兴为您服务 宽带到期了停掉是吗那您直接带好身份证原件七今天今天最后一天了今天就要去办理了是奉贤区的是在哪家移动营业厅都可以办的 
您好很高兴为您服务 您什么地方要办呢 
您好很高兴为您服务 欧洲的话帮您开国际漫游就行了国际漫游的话开通是没有功能费的有效期有最短的三十天然后还有一百八十天没有长期的 
你好请问 噢那这手机的服务密码有吗 
您好兴为您服务您好 你好唉 
您好很高兴为您服务 四短信现在我们前台不能恢复了它是要您登录上海移动网上营业厅要签订一下客户承诺书才能恢复 
您好很高兴为您服务 国际漫游我们开通一个三十天有效期三十天以后自动关闭的 
您好很高兴为您 呃手机号报那个小模卡号码报 
您好很高兴 嗯嗯 
您好我是预处理专席代表很高兴为您服务您好联系要求办理国际漫游 那这样的小姐有什么给您带来不便非常抱歉我看您这个号码密码验证过登记的名字您报一下好嘛 
您好高兴您服务 加流量 
您好很高兴为您服务 请说听得到的 
您好很高兴为您服务 固定电话号码能不能报一下 
