请您好请说 本机要申请宽带呃先新装的吗是吗 您不用挂电话我帮您转到宽带专家这边给您做申请一下我们专家为您服务 
您好请讲 我给您看稍等一下呃漫游功能已经开了先生 呃国际漫游功能开通就能在国际漫游使用的号码卡啊号码卡漫游功能开了就可以使用了 
你好 四主卡吗 噢一天五百兆一块钱的是吗 
您好很高兴为您服务 呃对你要到台湾去漫游对吗先生 国漫功能的这个基础功能可以帮您免费开这个是不需要钱的要开吗 
您好请讲 电话转接呃是您这边手机要呼叫转移到别的号码上是吗 呃这个直接在手机上设置就行了我把设置方式发给您所有电话都转接是吧 
您好请说 您是要新装移动宽带吗 对要捆绑在本地的移动号码上请问是要用本机办吗 
您好很高兴为您服务 取消宽带的话需要到营业厅进行取消的 到当地的营业厅我看一下您是在厦门的岛内还是岛外 
您好很高兴为您服务 您是说发票开错了 嗯那您说的这个情况我们这边前台没办法直接操作我把您的这个问题反映到上级部门去让我们后台工作人员看能不能给您进行处理到时候会有专人跟您联系好吗 
您好请说 您稍等跟您现在人是在福建省内吗 您这密码还没获取过呀我家那个获取初始密码的方式发给您您去获取一下您的初始密码去 
您好请讲 兆了电话呃一样的我们全全省电话的先生您是要咨询号码在厦门号码的这个问题是吗 呃那是呃什么问题呢 
解绑这个宽带请稍等我看一下您的宽带是两年时间现在一年都还没到 嗯 那我这边要不要噢马上帮您转到这个宽带部门去处理一下您的宽带问题 
您好请讲 好的没问题给您发送了稍后留意产生恩那还有什么可以帮您的没有了诶好的感谢来电再见 
您好请讲 您要办理我们移动宽带是吗 
您好请说 好的那我这边直接给您取消取消完之后这个月剩余的流量月底之前就要用完噢 好的那这边已经取消好了下个月没有 
您好请说 噢我帮您办我先帮您查一下您稍等 我查一下您是不是就这个手机号转到幺八零电信号码上把这个取消掉是吗 
那这种要那这种要机主带身份证到营业厅那边恢复了 现 是很抱歉给您添麻烦了那要带身份证到营业厅那边处理一下 
您好高兴为您服务 呃是您本机号码申请的宽带密码吗 噢那我把那个密码设置方式发给你你看一下 
您好请讲 如果密码您本机的手机服务密码是吧嗯 如果不记得可以通过身份证重置一个新的我把重置密码方式发给您您可以发短信重新设置一个吧哈 
嗯好请讲 您好请说 您好请讲 
你好您好跟您讲诶你好 就是所有人打您电话都转短信提醒是吧 我把设置方式发短信给您吗 
您好请讲 噢好的如果您不记得的话我这边呃就是需要这个女士您呀但是您自己的身份证原件然后找一个漳州移动呃去处理一下银行就移动为准 我这边直接查是查不到的女士如果能够查得到的话我给您解决就告诉您了 
您好请讲 呃国际电话是吗好那我现在帮您开通一下国际长途的可是不是不是我的号码我就是想问一下吧 先生您要叫他自己本机号码打幺零零八六开通下就可以打电话了你这边开通就行不用营业厅嗯对是的那要不自己的吗没有它是按照每分钟多少钱那是要打哪个国家电话吗 
您好请讲 服务密码被那个是查不到的那个身份证号码记得吗 那现在只需要听到语音提示后输入一下身份证号码然后进行重置您的服务密码您现在的话不要挂机好吗 
您好请说 嗯嗯 这个注销的话只能您在重新只能叫家里人帮您代办了代办它要有您的身份证原件还有他自己的身份证原件跟服务密码到泉州本地的营业厅帮您代注销噢现是 
您好很高兴为您服务 是本机转他机还是他机转本机 无条件转接是吗 
您好请讲 你好 七幺八七一六幺八七零五零六是吗 
您好请讲 您卡是哪里的呀 那您现在在南平是吗 
您好很高兴为您服务 你说宽带密码忘记了我这边可以帮您去重新设置一个新的 稍后给您重置吗先生 
您好请讲 那就补卡 我们暂时停掉停机保号停完之后一天扣一毛六那张卡密码知道吗 
嗯嗯您好请讲 你好 呃想 
谢谢 就是 呃您说一下宽带移机那您可以提供一下新的移到的地址我们给您登记上去先安排工作人员帮您确认这个地址能不能进行这个申请操作是新地址吗还是对对对新地址 
您好请讲 每张卡其实都有业务密码只是说您可能之前自己没有获取过或者说没有找过密码 呃那您这样子的话要带身份证原件到营业厅现场进行重新设置密码 
您好很高兴为您服务 您可以提供身份证还有五个拨打过电话进行办理停机保号那要提醒您一下这种停机保号如果通过这种方式办理的话呃以后如果要复机一定要到营业厅去重置密码以后才能够复机而且这种一般手机卡丢失了才会这样办的 您这边的话只需要提供身份证号码就可以了您这边声您是哪个号码要办 
您好请讲 您要查流量剩下多少是吗 我给您直接查询不好意思稍等一下您的流量现在是还有剩下二十八兆给您充值的这个流量剩下二十八兆 
你好请讲 唉你说呀这里是幺零零八六客服热线 按错了 
哎您好请说 啊本机要开是吗 呃我这边可以帮您开只要您符合条件的话我们这边系统可以直接开那漫游到每个国家价格可能内容不同您是在哪里漫游呢 
您好请讲 噢宽带的密码忘记了是吧我这边直接重置一个密码发送到您手机上稍后您看一下好吗噢好谢谢啊我直接发过去给您通知您说我们的这个客户有参加我们这个有呃活动优惠原价是五十元两g的现在只要进行相应的是二十块钱就有两g流量我就开打六个月下个月生效我这边帮您登记吗 再见一个月等于自己只要出二十块钱就有两g的流量哎活动开展六个月它原价要五十块钱我们每个月给您返还三十块钱的话费您看一下有没有帮您登记办理呢 
您好很高兴您服务 呃这个要去营业厅换卡这个没办法寄送非常抱歉 选择是吧泉州地区营业厅都可以呀 
你好很高兴服务 稍等一下你先稍等一下哈 但是这样先生那比如说他那个宽带本身号码如果是没有活动现在确实可以办公那个销户为您修复了那您宽带它也没用不了啊 
愉快再见 您好很高兴为您服务 申请宽带噢我这里可以帮您转接我们那个宽带客服这里您可以申请办理一下 
您好什么可以帮助您 您输入密码 呃密码我们这边没办法发送因为我们也看不到您的密码只能重新设置您可以用您呃等那个身份证去营业厅设置 
为您服务 换卡就带身份证原件吗到营业厅换卡就可以了 好的要带身份证对对换卡都要身份证原件才能办 
您好请讲 宽带的密码是吗请稍等我看一下本机办理的移动宽带密码忘记我帮您重新设置一个新的账号就您本机号码好吗家里有路由器的话也需要设置一下我这边帮您进行下发给您了请问还有什么可以帮助您 
您好有什么可以帮您 您好 流量包现在我们是有一个按天折算的今天是十八号如果现在开通的话是十三块八毛一流量四百七十兆的您看这个够不够四百七十八 
您好请问什么可以帮您 什么意思 呃 
您好请说 您现在是八八的您是觉得太多了还是太少了呢 你好您一个月大概流量我这边帮您查询要不要直接帮您办一个三十八套餐您现在人都是在宁德是吧 
嗯嗯您好很高兴为您服务 那师傅还没上门啊 但是女士您现在主要说要找这个师傅电话是吧 
早上好 呃呃 啊国际您去哪里呢要把国际长途功能跟漫游功能先给您打开您去哪个国家漫游使用到流量吗 
您好您请讲 嗯您好 我这边给您查询您本机的话我看一下我这边显示您下个月是有升级成一个新版的套餐 
您好您说喂你好我想问一下我那个您说 如果说您用身份证买的号码吗现在没有用是吧咱这张卡是现在已经是空号还是说欠费了现在 欠费了是吧那您就是带上您本人身份证原件那当然是泉州的吧是不是泉州地区的 
您好高兴您服务 噢我现在 嗯是去那个外省是吧 
你好请讲 您这个短信功能是吗 密码知道吗 
很高兴为您服务 那您去几天嘛号码 一天的话那就按照每三兆三块钱一天三十块流量不限量使用在澳门 
哦 请说 密码忘记了是幺三九邮箱那个是忘记了密码对吗 
您好请说您好您好请问听得到吗 十块钱二十四个小时十个g对啊 对 
您好请说哎你好我想请问一下那个 送流量现在移动没办法直接转赠流量啊先生 现在以前是有的您这您如果去签一六年的时候一个活动现在没办法 
您好高兴为您服务 今天想多少的三十八吗 十八的那个暂时没有的办它是新卡才有的 
您好高兴为您服务 呃对对对要设备要拿到营业厅给退掉 呃对要到营业厅才能取消我们人工台是取消不了宽带的噢行好谢谢啊嗯嗯好那祝您万事如意再 
你好请说 恩我这边可以帮您开您请稍等我一下 恩您说 
您好兴您服务 本人带上本人身份证本人到上海移动营业厅就可以 这种是老的二三g卡换成那个四g反正 
您好高兴为您服务您好 手机密码知道吗 是的 
您好很高兴为您服务 呃可以去重置一下发送密码两个字到幺零零八六根据短信提示就可以重置密码的 擅自就是中文字密码这两个字发到幺零零八六 
您好很高兴为您服务 呃就是说我知道就比如说您在跟我通话是另一个电话能打进来您可以选择接听不接听这个功能对吧那您已经开通了但是您要激活一下拨打激活的方式呢下发给您了您可以看一下 还有什么可以帮您 
高兴为您服务 是 没密码查不到只能设置一个新密码的您要剩的话通过公司的一个信号来设置他他他到时候让您说公司的一个证件号码说这个十号就行了然后发送短信设置代码是幺零六三发给幺零零八六 
您好很高兴为您服务 您好 本来是十八块钱套餐是吧 
恩 那我帮您把这个业务取消掉您的密码知道吗不客气 请根据语音提示输下服务密码 
您好很高兴服务您好很高兴服务 你好 加流量您是这个月加是吗 
很高兴为您服务 电子发票就是我们这边帮您开通的每个月电子发票自动发给您那个幺三九邮箱里面的问一下 好的那先生那那 
您好很高兴服务 对 七月份发票女士 
为您服务 呃这个就是不是一定要去营业厅办就是说您要办一个新的号码这意思 还是一般的时候手机卡吗还是有什么特别的作用的就是还是怎么样因为手机卡的话就这两个这些要么就大小问题那我就类型问题他说他如果是一般手机卡要办新号码的话嗯嗯营业厅办就带身份证办因为它说是名字或者也是代理点也可以办卡的谢谢 
不客气 唉您好您说 嗯您是要家庭流量 
您好高兴为您服务您好 有的条件是有的首先您这个套餐是不符合要求的你肯定要改套餐就第一个第二个的话您是您这边的话是公司总部的吗 那这边的话就是说您需要一定要这个号码申请的话您还要咨询一下公司你要问一下因为您公司都不能改能能不能改公司套餐我们这边没有办法确定 
您好高兴为您服务 嗯对到月底是的 您是要续约还是我看他现在已经续了如果您不需要续约的话月底前拿到合资还有您的身份证到上海移动营业厅注销 
您好很高兴服务 好发票你要开几月份的发票五月份的吗 好那这边可以帮您办理一下服务密码知道吗 
不是的女士任我翻的流量优惠包您加不了 我们这边的话人工也可以加呀你用那个副号码打人工也可以呀 app里面行没看到哪了你自己搜一个任我翻我不知道在哪里因为我上班不能用手机 
您好很高兴为您服务 呃您现在到月底要多少兆流量呢大概的需求 那目前的话有个二十三块啊二十五块三毛七百四十兆扣吗 
为您服务喂你好 您好您说 您说办什么副号码 
您好很高兴为您服务 宽带的话您什么地址呢 星红红米那个新 
您好兴为您服务您好 噢您现在几月份的 新买的那么这边就打的话默认是从这个今年两月份开始的 
您好很高兴为您服务 呃不好意思没听明白你说移动的什么问题 呃我看一下啊您本机号码现在没有欠费还是正常使用状态没有欠费 
为您服务 呃赠送给您的是两g算上海本地用的一个本地流量在上海本地就可以继续使用的 嗯嗯 
您好很高兴为您服务 这呃你说的是增值税专用发票吗小姐 就是说用发票你之前那个上海营业厅有没有办过一般纳税人登记通过 
您好很高兴为您服务 噢有些活动是另外送流量的活动有的就是您这套餐可以保持不变申请一个活动每个月免费送一g的上海本地流量还送一个g的国内夜间流量还有三个g的咪咕视频流量送到一八年六月份 这边的话我会帮您申请的话您自己短信发送申请都可以 
你需要办理款机器的发票 您是要存过一个是幺四g两毛吗对您是要那个报销对吧啦 那就选择发票不要一次性开封分摊到每个月开就可以报销了您如果是可以办的话 
您好很高兴为您服务 请说 你说的是那个宽带啊宽带把您的电是什么 
您好请讲 是手机号码要办理过户对吗小姐 过会儿过户的话他手机号码是多少我帮您查一下有没有东西 
您好请讲 嗯嗯套餐的话也就是说它的密码您知道吗先生 对他密码如果不知道的话您需要他本机来电换套餐呢要本机打来 
您好很高兴为您服务您好 发票什么刚才我可以给您发电子版的发票邮箱 嗯就本机号码你要是吗 
服务 你好 恩 
您好请讲 办理流量的话您还需要用多少 对是的 
您好很高兴服务 好加流量对吧 加流量的话那您这边是可以额外加个流量包流量包的话就是三十嗯你好 
很高兴服务 来电开通一下就行了 让他来电看一下电子发票就行了 
您好很高兴为您服务 唉你好 家里装宽带对吧 
很高兴为您服务 呃你说别的地方要装吗因为我看您已经办理移动宽带您是其他的地方其他的手机号码要办吗 对啊你这个不是办了一个宽带是到明年三月底到期 
您好兴您服务 是哪个手机号码 我核对一下幺三八 
您好很高兴为您服务 嗯要去那个安装的也就是浦东新区的随便哪家营业厅都可以办的您把设备身份证还有公司这边相关证件营业执照副本原件带好然后单位介绍信加盖公章嗯 对因为这个号码登记的公司名称 
高兴您服务 套餐流量您现在订的是一个二十块钱三百兆流量包您在网上去吗 您现在月租是八块钱四g生效这个套餐一旦转出去的话以后就转不回来了如果您可以的话您可以直接半年流量包往上提升这样您现在是二十块钱三百兆再往上一档是三十块钱五百兆四十块钱七百兆五十块钱一个g 
您好兴为您服务您好 嗯那您手机的一个服务密码你有吗 那根据语音提示输入一下 
您好很高兴为您服务 怎么开这个您这个手机号码要开通流量是吗如果您要开通流量的话我们有十块钱一百兆二十块钱三百兆三十块钱五百兆这样的流量包可以让您选择 什么是五十块钱的消费先生 
您好很高兴为您服务您好 交话费话费的话是通过短信兑换的一个月兑换一次月末最后一天不能兑换我把那个操作的步骤发给您这样您自己通过短信兑换的 啊还有什么可以帮您的 
您好很高兴为您服务 那么您买的手机上您整个过程有没有付过钱谢谢 嗯那么还好那么这样子那么他手机卡有没有收到还没有收到是吧 
您好兴为您服务您好 噢那我这边可以帮您看一下您手机的服务密码您有吗服务密码现在我啥来着的呀姓名和身份证号码知道吗您报一下 唉对您报一下核对一下 
您好很高兴为您服务 您好 增加流量啊好的我帮您现在还有半个月您大概三百兆够用吗三百兆 
您好很高兴为您服务 的是视频的流量不能操作正常的流量用的看视频用的 对但是它是有条件的您领的这个流量它会给您那个一批选择你到时候选择哪个被被人在那个自己用这个流量到时候是只能在指定视频的app里面刚刚出现的数据内容才能抵扣的 
您好很高兴为您服务 那么这个加油包办理要通过短信操作我把指令发给您你通过短信直接回复一下 噢您这边指令的话你发到幺零零八六了没有发到幺零六五八就这些您可以重新再到时候再发一下 
高兴为您服务 这个要看地址有没有光纤资源的您什么地方了 嗯嗯 
您好很高兴为您服务 就是越南的吗对的好的您稍等噢好的好这边已经下发给您了还有什么可以帮您 
您好我是预处理专席代表很高兴为您服务 是我儿子再用以前小学的时候他没有 银行卡是实名制的 
您好很高兴为您服务 噢这很简单的我帮您再就可能十块一百兆那名字报一下就可以 好的那十块一百兆现在开始折算下来看一下是说您九块九毛钱九十八兆不蒋春 
您好很高兴为您服务 嗯嗯 积分对吧 为您服务 您的意思说您公司有很多移动手机号 然后现在要统一 
您好很高兴为您服务 嗯您好 啊这样先看您的地方有没有资源您再去办理您要遇到什么地址呢 
您好很高兴为您服务 密码 不够我加这个要要 
开通吗您好兴您服务 补卡对吧首先的话补卡的话是今天刚推出的所以会出现就是补卡不成功或者是您拨卡没有办法使用的情况而且我们这边是您要是个人实名制登记的个人客户然后才能补卡您要需要带好啊认一下身份证随便呃按照一下身份证本人还要给到您手机的服务密码去我们指定的移动营业厅才能办手机服务密码首先您知道吗 手机的服务密码您知道吗 
您好很高兴为您服务 包年宽带最低二十兆一年七百六是家里的宽带对吧 嗯嗯 
您好我是预处理专席代表很高兴为您服务 我 他给您退机但是吧 
您好兴您服务 您是帮您刷新的手机卡是什么样子 那号码您先报给我一下吗我看一下 
七号很高兴为您服务 银行卡为手机充值那您可以通过第三方平台他们支付宝 那您会有些的话您直接通过手机号码直接绑定我们银行卡但是他银行卡绑定的话那必须要需要您银行登记的姓名身份证要跟我们手机号码登记的姓名身份证一直 
您好很高兴为您服务 您好请说 换四g卡带好您现在人在外省啊 
您好很高兴为您服务 就是说他是上海的话在外地补卡然后 我的 
为您服务 开流量就是当月加个流量包对吧 这个月我看有一个二十元流量是两g的这个比较划算可以吗也是国内通用流量 
您好很高兴服务 发票您要电子发票对吧是您本机号码吗 本机号码电子发票我这边可以帮您开具一下您的服务密码知道吗 
您好很高兴为您服务 嗯可以多加二十块钱包一点五个g 呃没有的他这边就是最划算的就是二十块一点五个g 
您好很高兴您服务 我帮您办理一下就套餐流量用原来的两个g免费升级至三个g而且现在是有优惠每个月再送您三个g的国内流量送到明年的六月底 你好您好 
您好很高兴为您服务 恩您好请说 就是我用的现在是五十八的套餐嘛一百分钟可以啊你要怎么改呢 
之前停掉啊 那您就带好身份证设备去安装地移动营业厅退订但这个剩余时间的费用就不能退还了 对对对 
高兴您服务 我先帮您查一下吧 没错您的安装地址报一下 
您好兴您服务您好 那这个要打回四川当地移动让他们这边帮您办理一下 那您要重新拨打就是你前面加那个区号后面跟着幺零零八六这样打回当地那边可以问一下他们那边是有怎么样的流量 
为您服务 公司短号已经回复的国外已经生效了 恩不客气 
为您服务 呃就是当月要使用流量吗先生 因为那边要用流量的话它只能用那个加油包了我把那个短信开通方式发送过来已回复一下短信进行开通 
好很高兴为您服务 呃三g的呃就是要变更一下套餐啊就是说您现在是非常办的二百三十就需要变更成那个自选版的二百三十八就是套餐资费不变然后流量的话就是有六个g呃是用流量是赠送到明年六月底到明年七月份开始流量的话就恢复这个三个g 呃从就是下个月开始有三个g全国流量另外送三个g全国流量就是六个g嘛然后是送到明年六月底然后明年七月份开始就恢复三个g流量 
您好很高兴为您服务 上海移动的卡吗 这边拿身份证到上海营业厅换就行了都可以换的 
您好很高兴为您服务 您要办家庭承诺消费幺零八是吗您主号我说您是要办家庭承诺消费送宽带对吧对对对对这个要您是上海户籍可以直接带好身份证去那个营业厅里面办理的 嗯嗯主号码上海户籍就行了您办理后费的家庭统付您捆绑其他上海移动号用您一个人统一付费然后这个地方能装就可以直接办啦 
您好很高兴为您服务 你好您好电话已接通请讲话 请问听得到我的声音吗 
您好很高兴为您服务 呃充值对吧您把那个手机号码先报一下 幺三九 
您好很高兴服务 另外流量您要首先开国际漫游开好之后再办流量包按流量包您要看去的是哪个国家 国际漫游可以帮您办您办流量包去的是哪个国家呢 
您好很高兴为您服务 噢这个一直有的只要您算够就可以换 信息是不是您换话费还要转接之前的易 
呃您好很高兴为您服务 需要办这边移动就是移动的四零零电话服务 如果咨询移动四零零电话的话小姐您可以把公司名称办公地址再留个联系电话给我因为营业厅是不受理的我们这边可以帮您登记稍后会有办理的专业业务经理联系你你可以问一下流程资费 
您好兴您服务您好 可以 可以 
您好高兴为您服务 额积分这里不能直接办但说那个可以把那个兑换的方式可以发给您您要兑换话费还是要兑换什么 话费的话我把它兑换代码发给您回复短信就可以兑换了 
您好很高兴为您服务 呃我听不到您说话麻烦您调整一下您好您要七千多的积分怎么了 兑换流量是八百四十分兑换一百兆加油包兑换流量呢只是当月用下月自动取消我会把兑换方式发给您只要自己根据短信进行兑换的 
您好兴为您服务 我是泰国对吧可以开国际漫游的然后那个流量的话是按照三块钱三兆算的三十块钱一天不封顶另外的话有一些套餐带有三天包是七十八的五天一百一十八七天一百五十八 五天的话是一百五十八 
您好很高兴为您服务 宽带是吗我这边为您转接宽带专席由专席为您办理请稍等吧 
您好很高兴为您服务 刚才充流量这里办理业务需要密码的他的密码有吗 比如说上微信帮他买流量这个号码就可以 
您好很高兴为您服务 要买多少流量 嗯您到月底大概还需要多少流量 
您好兴您服务 噢要查才知道手机密码知道吗 您不要挂根据语音提示输入一下您好密码成功地址说一下 
您好很高兴为您服务 积分换话费是吧两千五百分兑换三十元话费我怎么可能用了短信指令您需要的话稍后发短信兑换 感谢还有什么可以帮您吗 
唉你好 噢我刚才直接转到那个宽带那边去了不好意思 啊是的您稍等一下我再帮您试了转接有效 
您好高兴为您服务 就现在是有一个双十一活动十一月十号到十二号申请办理可以享受这个优惠 如果您报下地址我帮您看一下 
您好很高兴为您服务 就是这个月临时加点流量的意思吗哦那选择也挺多的那您看您根据需要来的您看这个月到月底大概需要多少兆我帮您找一个 现在需要多少余额不足要跟您需要来的因为我也不知道你需要多少 
高兴为您服务 彩铃歌曲的话您打幺二五三零这边查询一下 幺二五三零对吧噢好的好的如果您对服务满意请给十分评价祝您生活 
套餐营业厅要求有关 
您好很高兴为您服务 那你要多少通话多少流量您告诉我 介绍因为那您要先告诉我您目要求是几分钟流量多少我才能给您介绍啊 
您好很高兴为您服务 是哪个号码试过您的手机号还有限公司 噢您没有纳税人识别号是吧 
村 去了一呃那这应该是三六零的什么软件什么上面标记的那您要联系他们那边直接删除 对的 
好很高兴为您服务 密码就是六位数的一个服务密码如果您不知道的话您可以发送短信幺零六三到幺零零八六可以进行密码重置 没有设置过的话是没有初始密码的电话就是通过这个幺零六三来重置呢 
您好很高兴为您服务 稍等我查一下啊 不客气那我这边帮您开一下您的服务密码知道吗 
您好很高兴为您服务 那免费充值 宽带吗 
您好很高兴为您服务 这个发票的话在邮箱里然后每个月它有一个移动默认邮箱呢呃在幺三九邮箱里面就是手机号艾特幺三九点com然后那个登录方法我可以发给您用户名是手机号密码的话可以用短信验证码来登录发那个网址给您了 还有什么帮您 
您好兴您服务您好 呃更改的话您拨打幺零零八六按四号键根据语音提示合同重新设置一下好嗯嗯帮您转到语音首层您按一下四号键可以直接设置一下好吧噢好好那这边请稍等其他开户的详细介绍 
您好很高兴为您服务 嗯号码办宽带手机号码是上海移动的手机号码 他先这样 
哦 您好请说 嗯对 
您好很高兴为您服务 营业厅的话是要带好身份证原件去营业厅办的 对 
您好很高兴为您服务 网线您说的是个人办无线网络 号码家里的话我们这边只有移动的这种宽带但是都是有线的没有无限号码 
您好很高兴为您服务 对 改套餐吗 
您好很高兴为您服务 公司就是申请一个新的上海移动号码一共是没有登记 那之前公司先您现在有没有注册过上海移动号码因为它规定最多只能登记有个 
恩 嗯嗯具体细则不太了解这集团业务啊 企业彩铃公众版不是集团要么幺五三零那边开的 
您好很高兴为您服务 唉你好 呃这号码要办理停机保号是吧目前显示您这号码呃可以办停机保号就是从账呃就现在开始马上停掉然后从下个月开始停满一整个自然月会扣除五块钱的停机保号费 
您好很高兴为您服务 企业彩铃如果办的话它是必须公司名义办理然后要十个上海移动手机号码才可以办其他彩铃 啊对一个号码是办理不了线 
姓周流量您好兴您服务 七呃首先下地址的资源地址报一下吧 等一下啊是哪个区的 
您好兴您服务 喂您好请讲 嗯双方带好各自带带一下身份证手机卡去我们上海移动已经办一下过户的手续 
您好很高兴为您服务您好 你好就是 对现在这个短信对是的真的真是的啊这个是专席吧啊对您按照那个短信操作一个月兑换一次月末最后一天不能情况我把那个操作代码发给你这边 
为您服务 嗯这个要以当地的那个移动规则为准但是上海移动这边的话在电话里是销户不了所以外地应该建议您稍后打人在外地移动幺零零八六去咨询一下噢那个是销户不了的 那您那个号码外地号码还能打通电话吗 
很高兴为您服务 移动宽带您是通过什么渠道办理了 他们这边是已经联系我们相关人员进行办理呢还是说没有办因为我们这边只能帮您查一下地址有没有线路覆盖线 
您好很高兴为您服务 请您好请讲 怎么用 
您好很高兴为您服务 公司宽带是吧 那您是哪个地址帮您先看一下有没有资源覆盖 
高兴为您服务 把这边的地址报一下我查一下有没有宽带线路 上海浦东新区什么路啊请问一下 
您好很高兴为您服务 就是 您说的是移动宽带嘛 
您好很高兴为您服务 服务银行卡就是唉我们公司想办一个那个 就是办那个卡就想问一下具体是怎么办呢办公司短号是吗之前没有办过的现在公司要主键这个短号群是这个意思对吗呃就是公司内部打电话吗嗯您公司这边以前有在移动办过公司 
您好很高兴为您服务 变更说号码先生手机号码是多少 对卡号是多少你报一下 
您好很高兴为您服务 就您现在是个人登记的手机号码开出来的发票是要以公司名义登记 那除非您把那个个人名称要过户到公司名称公司名称一下那开出来的电子发票才会有公司抬头 
您好很高兴为您服务 在日本上网就是按照三块钱包三兆一天的流量费最多收三十说满三十块当天流量可以无限畅用这样开通国际漫游 反正在绑定 
很高兴为您服务您好 宽带怎么装的是吧 那报一下地址吗我帮您查询一下是否有覆盖您看行吗 
您好很高兴为您服务 呃四g送流量是吗您这是咱们一个流量超过欢的活动什么女士 唉您稍等一下我帮您看一下好嘛呃目前看到的话您是一个三十八元档次的一个飞享套餐吗只包含有五十分钟那个通话分钟数和一个三百兆的国内流量是这样的啊唉您稍等我看一下 
您好高兴为您服务您好 什么区的 什么公路再报一下 
您好很高兴为您服务 啊积分兑换话费要自己通过短信兑换不过您停机状态也没办法电话呢要先复机然后才能兑换停机不能兑换积分对 
您好很高兴为您服务 小米说的是这个手机号码你自己订的公司小号吗先生对对对公司时候我这个号码我看一下你前面是来电的工作已经帮您取消了 对 
您好很高兴为您服务 套餐修改一万的流量多一点是吧 下个月可以换八十八分九十八九十八的话每月流量是两百二十分钟流量两个g的现在办的话还免费在送的每个月两个g充呢 
目前的话换卡服务您是要咨询一下您那个扬州当地的那个客服看他们那边是什么操作的 嗯嗯还有什么 恩您需要咨询一下对方的这边暂时不知道怎么办理很抱歉 
您好很高兴为您服务 呃首先要先去营业厅办理移机手续然后我这边要帮您看咱们密码是您这个老地址都报老地址先说一下 还是要保留我可以先帮您查我这边也办理不了以及噢噢噢好的 
很高兴为您服务 您这手机号码办的宽带是到这个月月底关到期的然后的话如果不用的话月底之前要到营业厅注销那你现在公司短信是吧公司登记的话他也要带好公司那个呃应该是你这个应该是营业执照登记的那营业执照的那个副本软件公司介绍信加盖公章的介绍信然后的话你自己呃经办人自己的身份证原件然后宽带安装应该有个设备一个猫的呃您这个是应该几点反正银行一起带过去到您这个地址收到这个移动营业厅把它注销掉 这是公司的那个营业执照的副本原件 
您好很高兴为您服务 呃您上一个月流量多一点吗 噢这个单独办一张新的卡吗您是指 
您好很高兴为您服务 好呃是手机号码还是集团账号的 集团账户的话因为现在没有纸质发票了如果你要发票的话申请电子版的然后我们会下发到您指定的邮箱去邮箱下载打印就可以 
高兴为您服务 啊对发短信换的短信代码我可以发您手机上或者您现在记一下也行发给您是吧呃发给我吧那您可以查收一下每个月最后一天不能换一个月只能换一次注意查收请问还有什么帮您的 好的好祝您生活愉快再见 
服务 电子发票是哪个号码给您发的是本机号码发票吗先生 月结发票哪个月的发票 
您好很高兴为您服务 您要知道她的手机服务密码或者是姓名身份证还是要报出他一周以前两个月以内打过的三个号码 不能办了您如果知道密码的话可以网上营业厅帮他办我们这边人工台不能办了 
很高兴为您服务 这样再装移动宽带是吧 啊那有什么地方装呢 
您好很高兴为您服务 对带好身份证和字过去宝山区的营业厅都可以办理的 啊不用 
好很高兴为您服务 呃是上海移动手机号码是以公司名义登记的对吧之前 稍等我看一下啊呃直接用户的话先生您记一下那个带好证件 
你好您好很高兴为您服 唉你好 您要办宽带是吧 
中国移动的网站停机噢就是说您手机打开网页就是提示停机类型啊 下载不下来但您这边那个手机呃我看一下网网络都正常啊您 就是你刚刚说的是什么打不开呢 
你可以办个流量套餐帮您按天结算立即生效的加三十块钱五百兆五十块钱一个g七十块钱两个g都有 啊 那个要八元套餐换掉的您换套餐下个月才能生效这属于一个基础套餐 
啊 请说 您现在是想改成什么样的 
您好很高兴为您服务 宽带业务要取消 哪个号码的宽带 
您好很高兴服务 你现在也就是说有一个号码名字要改为您的名字是这意思吗 好是在这个群组里面吗这个号码 
您好很高兴为您服务您好 嗯您好请说 呃您好请讲能听见吗这边有点断断续续的不太清楚啊 
您好很高兴为您服务 办宽带是吧我们付费的一年七百六二十兆的然后送您两百元的话费 月消费一百零八的话是这样的宽带 
他到月底的话有一个加二十块钱加两个g的流量月底清零吧就可以吗 好机主姓名报一下 全国的 
服务 您现在续约还是取消的 对 
很高兴为您服务 好的 因为现在这个号码就是身份证名字不是您的是把用户名是您的 
您好很高兴为您服务 呃先生这个的话您要加流量包是吗好的先生那我们现在的话有一个活动二十块钱一点五个g的流量包您要吗 可以的先生如果你要的话可以当月生效 
高兴为您服务 流量稍等这个月的话不够您可以订购有一个任我翻就再加二十块钱可以可以再给您是一点五g需要吗 这是和最划算的不然你方便加我看不到那么多的我们二十块钱平时只有三百兆呀因为它活动才给他多啊您大概需要多少兆啊如果您觉得有担保的话就可以订购这种安心手上就不要订购这个如果您流量的话超过就是大于五百兆以上那你还不如这个因为手算下来 
您好很高兴为您服务哎你好我想我想问一下就是你们请讲呃二十五号开始就是用那个欠费提示那个吗 对联好的那我们是需要更改吗还是 好知道等我就想问一下自己都可以在这个什么 
在异地您好很高兴为您服务 请说 哪个号码 
您好兴您服务您好 这边的话您通过手机登录掌上营业厅有一个意见查询也没有专人查询只能看到了 你通过手机登录掌上营业厅也没有一个一键查询也没有那个账单查询 
您好很高兴为您服务 啊您好请说 不客气那还有什么可以帮您 
